#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5          0.98884444     0.00900693       0.91715441     0.00997150        1.0466380     0.00823678        -7.25%      5.84%
           5          10           2.5913849      0.0108870        2.4274572     0.00921103        2.7183934      0.0114088        -6.33%      4.90%
          10          15           1.9022554      0.0116040        1.7743885      0.0102427        1.9866870      0.0128777        -6.72%      4.44%
          15          20           1.7615348      0.0172793        1.6627601      0.0154057        1.8275550      0.0189842        -5.61%      3.75%
          20          25           1.9738220      0.0247629        1.8767776      0.0220672        2.0368476      0.0272069        -4.92%      3.19%
          25          30           2.3055659      0.0262533        2.1992027      0.0233417        2.3767468      0.0261691        -4.61%      3.09%
          30          35           2.7990191      0.0255009        2.6755925      0.0226601        2.8762133      0.0280908        -4.41%      2.76%
          35          40           3.1833906      0.0465780        3.0451499      0.0411302        3.2733871      0.0466965        -4.34%      2.83%
          40          45           2.9330246      0.0438376        2.8151806      0.0387058        3.0151314      0.0439564        -4.02%      2.80%
          45          50           2.0014201      0.0121781        1.8932604      0.0110510        2.0967308      0.0135979        -5.40%      4.76%
          50          55           1.2340729     0.00687956        1.1739498     0.00643147        1.2981820     0.00767927        -4.87%      5.19%
          55          60          0.87738145     0.00559961       0.84043566     0.00507565       0.92321084     0.00625027        -4.21%      5.22%
          60          65          0.64815125     0.00589738       0.62191324     0.00534354       0.68069819     0.00658489        -4.05%      5.02%
          65          70          0.51309265     0.00926698       0.49183992     0.00839275       0.53945559      0.0103517        -4.14%      5.14%
          70          75          0.41378445     0.00886987       0.39609255     0.00803242       0.43573037     0.00990888        -4.28%      5.30%
          75          80          0.32660375     0.00465334       0.31280209     0.00421559       0.34372402     0.00519665        -4.23%      5.24%
          80          85          0.27538640     0.00929294       0.26301466     0.00841477       0.29073293      0.0103824        -4.49%      5.57%
          85          90          0.20499694     0.00902709       0.19667383     0.00817389       0.21532134      0.0100855        -4.06%      5.04%
          90          95          0.17322834     0.00435694       0.16578875     0.00394610       0.18245677     0.00486672        -4.29%      5.33%
          95         100          0.14757281     0.00497583       0.14095894     0.00450602       0.15577698     0.00555873        -4.48%      5.56%
         100         105          0.12140422     0.00404301       0.11593893     0.00366141       0.12818364     0.00451646        -4.50%      5.58%
         105         110          0.10387048     0.00278959      0.099057614     0.00252670       0.10984060     0.00311582        -4.63%      5.75%
         110         115         0.084446728     0.00237166      0.080624457     0.00214829      0.089188062     0.00264887        -4.53%      5.61%
         115         120         0.077999661     0.00273935      0.074157997     0.00248098      0.082765051     0.00305995        -4.93%      6.11%
         120         125         0.061769948     0.00244247      0.058874543     0.00221207      0.065361552     0.00272834        -4.69%      5.81%
         125         130         0.053658623     0.00206885      0.051125480     0.00188717      0.056794534     0.00231082        -4.72%      5.84%
         130         135         0.044608703     0.00191777      0.042534192     0.00175859      0.047151366     0.00214213        -4.65%      5.70%
         135         140         0.051468135     0.00382325      0.048443586     0.00346181      0.055219936     0.00427162        -5.88%      7.29%
         140         145         0.031466251     0.00373385      0.029879776     0.00342437      0.033435330     0.00408016        -5.04%      6.26%
         145         150         0.028807703     0.00131059      0.027283513     0.00118765      0.030698456     0.00145396        -5.29%      6.56%
         150         155         0.031463825     0.00250979      0.029522060     0.00223438      0.033818403     0.00284071        -6.17%      7.48%
         155         160         0.021590610     0.00245581      0.020519335     0.00218742      0.022897089     0.00277786        -4.96%      6.05%
         160         165         0.021497893     0.00100788      0.020174725    0.000916370      0.023124342     0.00111401        -6.15%      7.57%
         165         170         0.019508836     0.00107834      0.018386041    0.000982308      0.020882977     0.00119207        -5.76%      7.04%
         170         175         0.018573613     0.00128620      0.017227178     0.00116998      0.020248026     0.00142362        -7.25%      9.02%
         175         180         0.013159256     0.00118551      0.012380186     0.00108480      0.014124444     0.00130112        -5.92%      7.33%
         180         185         0.014562358     0.00116482      0.013629625     0.00105786      0.015689743     0.00129077        -6.41%      7.74%
         185         190         0.014815861     0.00153105      0.013786420     0.00139848      0.016073085     0.00168223        -6.95%      8.49%
         190         195        0.0091743012     0.00138728     0.0085214379     0.00126920      0.010012838     0.00152151        -7.12%      9.14%
         195         200        0.0092631552    0.000694492     0.0086244757    0.000623651      0.010063785    0.000778556        -6.89%      8.64%
         200         205         0.010784240    0.000648077     0.0099496187    0.000580703      0.011811085    0.000728420        -7.74%      9.52%
