#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           4.9839780      0.0190419        4.7238484      0.0190633        5.2463872      0.0188924        -5.22%      5.27%
          10          20           4.2735794      0.0295178        4.0347094      0.0262471        4.4480989      0.0324906        -5.59%      4.08%
          20          30           1.9890700      0.0233886        1.8676363      0.0207208        2.0954949      0.0261317        -6.11%      5.35%
          30          40          0.94054386     0.00571368       0.88408831     0.00538424        1.0098300     0.00638214        -6.00%      7.37%
          40          50          0.55780222     0.00509220       0.52609443     0.00461178       0.59713414     0.00568829        -5.68%      7.05%
          50          60          0.39807631     0.00445736       0.37516161     0.00403685       0.42650086     0.00497914        -5.76%      7.14%
          60          70          0.26558857     0.00357931       0.25080718     0.00324173       0.28392413     0.00399818        -5.57%      6.90%
          70          80          0.19757167     0.00289648       0.18549675     0.00262328       0.21254999     0.00323547        -6.11%      7.58%
          80          90          0.13505628     0.00179542       0.12529051     0.00162619       0.14717021     0.00200543        -7.23%      8.97%
          90         100         0.090392429     0.00112763      0.082499361     0.00102109       0.10018338     0.00125981        -8.73%     10.83%
         100         110         0.060915849    0.000710415      0.055451305    0.000643277      0.067694339    0.000793705        -8.97%     11.13%
         110         120         0.044540112    0.000592244      0.040501204    0.000536293      0.049550175    0.000661657        -9.07%     11.25%
         120         130         0.032954307    0.000293128      0.029851690    0.000263287      0.036684329    0.000327463        -9.41%     11.32%
         130         140         0.024962458    0.000257325      0.022482755    0.000229755      0.027808892    0.000289962        -9.93%     11.40%
         140         150         0.019396978    0.000213610      0.017398122    0.000190620      0.021710334    0.000240705       -10.30%     11.93%
         150         160         0.015355388    0.000176269      0.013706036    0.000156834      0.017285695    0.000199680       -10.74%     12.57%
         160         170         0.011803174    0.000143987      0.010492357    0.000124998      0.013349029    0.000167875       -11.11%     13.10%
         170         180         0.010015173    0.000305911     0.0088629174    0.000266075      0.011384914    0.000354045       -11.51%     13.68%
         180         190        0.0079314083    0.000248419     0.0069991081    0.000217013     0.0090443762    0.000286772       -11.75%     14.03%
         190         200        0.0064322551    9.08789e-05     0.0056645949    7.97706e-05     0.0073534551    0.000104374       -11.93%     14.32%
         200         210        0.0052998524    0.000101084     0.0046452874    8.85652e-05     0.0060924485    0.000116301       -12.35%     14.96%
         210         220        0.0045322215    9.77612e-05     0.0039639877    8.46344e-05     0.0052217133    0.000114319       -12.54%     15.21%
         220         230        0.0037040563    7.73712e-05     0.0032260515    6.74074e-05     0.0042879728    8.94877e-05       -12.90%     15.76%
         230         240        0.0033376308    9.37058e-05     0.0028915665    7.98449e-05     0.0038887821    0.000111396       -13.36%     16.51%
         240         250        0.0024984429    6.19947e-05     0.0021614875    5.30363e-05     0.0029159447    7.34171e-05       -13.49%     16.71%
         250         260        0.0021865676    6.36246e-05     0.0018912629    5.47778e-05     0.0025515134    7.49996e-05       -13.51%     16.69%
         260         270        0.0021358656    7.91945e-05     0.0018384511    6.83461e-05     0.0025082439    9.29040e-05       -13.92%     17.43%
         270         280        0.0015763919    5.83706e-05     0.0013556117    4.96037e-05     0.0018518156    6.96468e-05       -14.01%     17.47%
         280         290        0.0015877155    5.36297e-05     0.0013582745    4.47442e-05     0.0018778305    6.56846e-05       -14.45%     18.27%
         290         300        0.0012526749    3.47282e-05     0.0010687001    2.95359e-05     0.0014859405    4.13771e-05       -14.69%     18.62%
         300         310        0.0010993783    3.22839e-05    0.00093614213    2.72803e-05     0.0013068834    3.87767e-05       -14.85%     18.87%
         310         320       0.00098938878    4.17839e-05    0.00084075965    3.54823e-05     0.0011788528    4.98030e-05       -15.02%     19.15%
         320         330       0.00085368790    3.21445e-05    0.00072580770    2.76040e-05     0.0010163444    3.78307e-05       -14.98%     19.05%
         330         340       0.00081664335    3.05671e-05    0.00069291541    2.61775e-05    0.00097474006    3.61563e-05       -15.15%     19.36%
         340         350       0.00071361157    2.59570e-05    0.00060270985    2.19201e-05    0.00085619294    3.12072e-05       -15.54%     19.98%
         350         360       0.00058118253    2.53708e-05    0.00049198577    2.14886e-05    0.00069535655    3.04239e-05       -15.35%     19.65%
         360         370       0.00049216367    2.36634e-05    0.00041490024    1.99250e-05    0.00059184165    2.85038e-05       -15.70%     20.25%
         370         380       0.00045164054    1.83046e-05    0.00038010452    1.54372e-05    0.00054436906    2.20448e-05       -15.84%     20.53%
         380         390       0.00042747980    1.89689e-05    0.00035825788    1.58341e-05    0.00051762451    2.31044e-05       -16.19%     21.09%
         390         400       0.00035038029    1.74029e-05    0.00029466359    1.47614e-05    0.00042234172    2.07998e-05       -15.90%     20.54%
         400         410       0.00031033598    1.41903e-05    0.00025944507    1.18829e-05    0.00037682827    1.72141e-05       -16.40%     21.43%
         410         420       0.00029135823    1.46520e-05    0.00024324097    1.22015e-05    0.00035415260    1.78982e-05       -16.51%     21.55%
         420         430       0.00026504733    1.43380e-05    0.00022021837    1.18666e-05    0.00032402292    1.76138e-05       -16.91%     22.25%
         430         440       0.00031438440    2.63375e-05    0.00026184762    2.20814e-05    0.00038343758    3.19118e-05       -16.71%     21.96%
         440         450       0.00023099649    1.57765e-05    0.00019242983    1.33349e-05    0.00028168007    1.89605e-05       -16.70%     21.94%
         450         460       0.00021038840    1.38521e-05    0.00017423043    1.14541e-05    0.00025831809    1.70651e-05       -17.19%     22.78%
         460         470       0.00024555664    3.77579e-05    0.00020321323    3.08983e-05    0.00030157709    4.68573e-05       -17.24%     22.81%
         470         480       0.00015371431    1.18206e-05    0.00012732202    9.96338e-06    0.00018861305    1.42535e-05       -17.17%     22.70%
         480         490       0.00011838094    7.56279e-06    9.7417355e-05    6.24916e-06    0.00014642311    9.31961e-06       -17.71%     23.69%
         490         500       0.00013730517    1.68743e-05    0.00011437442    1.43848e-05    0.00016747546    2.00672e-05       -16.70%     21.97%
         500         510       0.00013315565    1.28209e-05    0.00010987759    1.06358e-05    0.00016411798    1.56870e-05       -17.48%     23.25%
         510         520       0.00011087964    1.03955e-05    9.1529467e-05    8.65301e-06    0.00013668799    1.27125e-05       -17.45%     23.28%
         520         530       0.00010422088    1.16864e-05    8.5936396e-05    9.75105e-06    0.00012840386    1.42009e-05       -17.54%     23.20%
         530         540       0.00010825390    9.65274e-06    8.8868109e-05    7.88940e-06    0.00013422274    1.20485e-05       -17.91%     23.99%
         540         550       8.9132890e-05    9.27629e-06    7.2951633e-05    7.67549e-06    0.00011095550    1.14167e-05       -18.15%     24.48%
         550         560       8.4928268e-05    9.60209e-06    6.9840071e-05    7.96566e-06    0.00010513194    1.17699e-05       -17.77%     23.79%
         560         570       8.6281940e-05    9.69308e-06    7.0581717e-05    7.99456e-06    0.00010742633    1.19598e-05       -18.20%     24.51%
         570         580       8.7943528e-05    9.37225e-06    7.2375042e-05    7.83095e-06    0.00010861177    1.13683e-05       -17.70%     23.50%
         580         590       7.2632307e-05    6.82432e-06    5.8455093e-05    5.46625e-06    9.2243360e-05    8.73739e-06       -19.52%     27.00%
         590         600       3.2596758e-05    5.64689e-06    2.6479974e-05    4.59770e-06    4.0923219e-05    7.07051e-06       -18.77%     25.54%
         600         610       4.8687504e-05    7.22644e-06    3.9200337e-05    5.76256e-06    6.1769069e-05    9.27822e-06       -19.49%     26.87%
         610         620       4.5131502e-05    6.59881e-06    3.6977783e-05    5.41883e-06    5.6089226e-05    8.17450e-06       -18.07%     24.28%
         620         630       4.1287944e-05    6.98196e-06    3.3437723e-05    5.58997e-06    5.2057160e-05    8.94207e-06       -19.01%     26.08%
         630         640       3.7342811e-05    4.73703e-06    3.0376713e-05    3.84923e-06    4.6808041e-05    5.94427e-06       -18.65%     25.35%
         640         650       2.7134540e-05    3.26504e-06    2.1766239e-05    2.62356e-06    3.4558457e-05    4.15138e-06       -19.78%     27.36%
         650         660       3.0285438e-05    4.38410e-06    2.4458333e-05    3.56555e-06    3.8312759e-05    5.51422e-06       -19.24%     26.51%
         660         670       3.5805214e-05    4.34372e-06    2.8612461e-05    3.46071e-06    4.5818299e-05    5.58539e-06       -20.09%     27.97%
         670         680       3.1813112e-05    5.45977e-06    2.5742313e-05    4.47625e-06    4.0103894e-05    6.79768e-06       -19.08%     26.06%
         680         690       2.5507315e-05    4.60188e-06    2.0444015e-05    3.70647e-06    3.2504694e-05    5.83881e-06       -19.85%     27.43%
         690         700       3.5872778e-05    8.32744e-06    2.8613504e-05    6.63943e-06    4.5971899e-05    1.06810e-05       -20.24%     28.15%
         700         710       2.8483198e-05    7.81189e-06    2.2259501e-05    5.95377e-06    3.7391716e-05    1.05524e-05       -21.85%     31.28%
         710         720       1.4075478e-05    2.05072e-06    1.1177803e-05    1.62151e-06    1.8139005e-05    2.66241e-06       -20.59%     28.87%
         720         730       7.3581707e-06    1.49148e-06    5.9099922e-06    1.19716e-06    9.3618314e-06    1.89915e-06       -19.68%     27.23%
         730         740       9.4936841e-06    1.78802e-06    7.6492395e-06    1.44152e-06    1.2035274e-05    2.26460e-06       -19.43%     26.77%
         740         750       5.0307778e-06    1.32856e-06    3.9734754e-06    1.06487e-06    6.5219386e-06    1.69176e-06       -21.02%     29.64%
         750         760       5.2433668e-06    1.08804e-06    4.1684458e-06    8.63139e-07    6.7547688e-06    1.40611e-06       -20.50%     28.83%
         760         770       1.1528000e-05    3.48239e-06    8.9183696e-06    2.60814e-06    1.5319551e-05    4.80187e-06       -22.64%     32.89%
         770         780       1.3025259e-05    2.68042e-06    1.0321283e-05    2.12530e-06    1.6818712e-05    3.45741e-06       -20.76%     29.12%
         780         790       1.0584355e-05    2.58500e-06    8.4151035e-06    2.04733e-06    1.3618683e-05    3.34161e-06       -20.49%     28.67%
         790         800       1.0971847e-05    2.88442e-06    8.7223912e-06    2.30224e-06    1.4121450e-05    3.69710e-06       -20.50%     28.71%
         800         810       1.3379725e-05    3.11363e-06    1.0456908e-05    2.42732e-06    1.7547103e-05    4.09307e-06       -21.85%     31.15%
         810         820       8.5789169e-06    2.89350e-06    6.7726638e-06    2.28553e-06    1.1124914e-05    3.74996e-06       -21.05%     29.68%
         820         830       9.9060106e-06    2.11024e-06    7.8921168e-06    1.67917e-06    1.2725410e-05    2.71727e-06       -20.33%     28.46%
         830         840       6.9164698e-06    2.06595e-06    5.4949968e-06    1.64349e-06    8.8905565e-06    2.65000e-06       -20.55%     28.54%
         840         850       1.7252098e-05    7.97474e-06    1.3595886e-05    6.27244e-06    2.2436763e-05    1.03855e-05       -21.19%     30.05%
         850         860       1.0310873e-05    2.40035e-06    8.1731313e-06    1.90964e-06    1.3310470e-05    3.08661e-06       -20.73%     29.09%
         860         870       1.0502824e-05    2.47315e-06    8.3223408e-06    1.95480e-06    1.3562848e-05    3.20464e-06       -20.76%     29.14%
         870         880       5.3125033e-06    1.07120e-06    4.1472370e-06    8.33761e-07    6.9780230e-06    1.41186e-06       -21.93%     31.35%
         880         890       1.6899911e-05    5.34772e-06    1.3444575e-05    4.27883e-06    2.1741892e-05    6.83488e-06       -20.45%     28.65%
         890         900       7.4739755e-06    3.41179e-06    5.8399852e-06    2.68068e-06    9.8141825e-06    4.45085e-06       -21.86%     31.31%
         900         910       5.0240554e-06    1.69406e-06    3.9628301e-06    1.33649e-06    6.5313210e-06    2.20026e-06       -21.12%     30.00%
         910         920       2.4302021e-06    6.08662e-07    1.8765811e-06    4.71099e-07    3.2312089e-06    8.07279e-07       -22.78%     32.96%
         920         930       5.1130245e-06    2.00481e-06    4.0014153e-06    1.56375e-06    6.6891815e-06    2.63396e-06       -21.74%     30.83%
         930         940       1.7259242e-06    5.90197e-07    1.3271414e-06    4.54114e-07    2.3067601e-06    7.87777e-07       -23.11%     33.65%
         940         950       2.4380727e-06    6.47857e-07    1.9177562e-06    5.13288e-07    3.1710439e-06    8.36837e-07       -21.34%     30.06%
         950         960       3.8593380e-06    9.25404e-07    3.0347892e-06    7.23185e-07    5.0249470e-06    1.21524e-06       -21.37%     30.20%
         960         970       1.6644410e-06    5.13456e-07    1.2793376e-06    3.96547e-07    2.2266236e-06    6.82130e-07       -23.14%     33.78%
