#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5         0.062073609     0.00677411      0.046458897     0.00450584      0.083596933     0.00936703       -25.16%     34.67%
           5          10          0.16999504     0.00259969       0.13305799     0.00203589       0.22486372     0.00343876       -21.73%     32.28%
          10          15         0.082616618     0.00170159      0.065598615     0.00135345       0.10727941     0.00220534       -20.60%     29.85%
          15          20         0.045755127     0.00109511      0.036830620    0.000882642      0.058396988     0.00139623       -19.50%     27.63%
          20          25         0.032877342    0.000829033      0.026825132    0.000678457      0.041255068     0.00103705       -18.41%     25.48%
          25          30         0.036361678    0.000977582      0.029905657    0.000808729      0.045172210     0.00120600       -17.76%     24.23%
          30          35         0.042183926    0.000947386      0.034732167    0.000771801      0.052215679     0.00116452       -17.66%     23.78%
          35          40         0.052963990     0.00123053      0.043526454     0.00101353      0.065453523     0.00151951       -17.82%     23.58%
          40          45         0.057400390     0.00100858      0.047018681    0.000820676      0.070810307     0.00123834       -18.09%     23.36%
          45          50         0.050154938     0.00134637      0.041027601     0.00111528      0.061944329     0.00163866       -18.20%     23.51%
          50          55         0.031956719    0.000811327      0.026042275    0.000660286      0.039650013     0.00100877       -18.51%     24.07%
          55          60         0.024076678    0.000786227      0.019537667    0.000640337      0.030024178    0.000976438       -18.85%     24.70%
          60          65         0.016731244    0.000628367      0.013515154    0.000507721      0.020977799    0.000787762       -19.22%     25.38%
          65          70         0.014040772    0.000597559      0.011340498    0.000483921      0.017607515    0.000747179       -19.23%     25.40%
          70          75         0.010824987    0.000481778     0.0087234379    0.000388711      0.013611290    0.000605088       -19.41%     25.74%
          75          80        0.0089047761    0.000448400     0.0071568035    0.000359865      0.011232370    0.000566759       -19.63%     26.14%
          80          85        0.0081778584    0.000404274     0.0065753382    0.000325585      0.010310378    0.000508790       -19.60%     26.08%
          85          90        0.0058099155    0.000344438     0.0046622577    0.000276723     0.0073419049    0.000434762       -19.75%     26.37%
          90          95        0.0050504487    0.000340963     0.0040473146    0.000273654     0.0063922828    0.000430846       -19.86%     26.57%
          95         100        0.0036995771    0.000248277     0.0029628293    0.000199649     0.0046862932    0.000313050       -19.91%     26.67%
         100         105        0.0030339240    0.000226007     0.0024261658    0.000181044     0.0038495092    0.000286229       -20.03%     26.88%
         105         110        0.0027717262    0.000217146     0.0022116115    0.000173382     0.0035260556    0.000276076       -20.21%     27.22%
         110         115        0.0021693607    0.000190244     0.0017315693    0.000152569     0.0027585452    0.000240598       -20.18%     27.16%
         115         120        0.0017357284    0.000164136     0.0013807763    0.000131168     0.0022159026    0.000208456       -20.45%     27.66%
         120         125        0.0017875546    0.000185462     0.0014207117    0.000147560     0.0022843549    0.000236739       -20.52%     27.79%
         125         130        0.0011155823    0.000105186    0.00088451053    8.28208e-05     0.0014298304    0.000135966       -20.71%     28.17%
         130         135        0.0010789443    0.000109651    0.00085563219    8.68482e-05     0.0013823912    0.000140702       -20.70%     28.12%
         135         140       0.00093448261    9.40217e-05    0.00073933274    7.42930e-05     0.0012006430    0.000120997       -20.88%     28.48%
         140         145       0.00089635688    0.000100987    0.00070887231    7.94849e-05     0.0011521564    0.000130526       -20.92%     28.54%
         145         150       0.00051387722    7.43088e-05    0.00040679202    5.88004e-05    0.00065975256    9.54426e-05       -20.84%     28.39%
         150         155       0.00057381413    8.66215e-05    0.00045363789    6.82276e-05    0.00073784397    0.000111862       -20.94%     28.59%
         155         160       0.00040187207    6.41349e-05    0.00031732519    5.04768e-05    0.00051743841    8.28903e-05       -21.04%     28.76%
         160         165       0.00049008711    9.89386e-05    0.00038582789    7.79021e-05    0.00063327016    0.000127814       -21.27%     29.22%
         165         170       0.00027770630    5.90669e-05    0.00021799016    4.63967e-05    0.00036006283    7.65372e-05       -21.50%     29.66%
         170         175       0.00031733146    6.34743e-05    0.00024985826    4.99891e-05    0.00040993585    8.19803e-05       -21.26%     29.18%
         175         180       0.00032202474    7.05492e-05    0.00025283736    5.54403e-05    0.00041744153    9.13877e-05       -21.49%     29.63%
         180         185       0.00010418386    2.98940e-05    8.1944842e-05    2.35156e-05    0.00013476068    3.86679e-05       -21.35%     29.35%
         185         190       0.00017941586    5.50874e-05    0.00014086252    4.32242e-05    0.00023255039    7.14509e-05       -21.49%     29.62%
         190         195       0.00019985952    6.94202e-05    0.00015629000    5.43287e-05    0.00026023667    9.03213e-05       -21.80%     30.21%
         195         200       0.00017638276    5.18953e-05    0.00013866295    4.08940e-05    0.00022825469    6.69734e-05       -21.39%     29.41%
         200         205       0.00013651946    5.05950e-05    0.00010687170    3.95351e-05    0.00017752560    6.59301e-05       -21.72%     30.04%
         205         210       4.6731008e-05    2.14177e-05    3.6410538e-05    1.66764e-05    6.1083113e-05    2.80166e-05       -22.08%     30.71%
         210         215       8.9290342e-05    3.28883e-05    6.9390846e-05    2.55022e-05    0.00011710218    4.32321e-05       -22.29%     31.15%
         215         220       7.2588215e-05    6.42033e-05    5.6279919e-05    4.97454e-05    9.5419118e-05    8.44623e-05       -22.47%     31.45%
         220         225       0.00015649136    7.04442e-05    0.00012170821    5.48603e-05    0.00020499208    9.21305e-05       -22.23%     30.99%
         225         230       6.0145351e-05    3.57415e-05    4.6793473e-05    2.78252e-05    7.8768498e-05    4.67696e-05       -22.20%     30.96%
         230         235       4.0092226e-05    2.04867e-05    3.1198488e-05    1.59500e-05    5.2486357e-05    2.68051e-05       -22.18%     30.91%
         235         240       0.00018886992    0.000121498    0.00014714572    9.47070e-05    0.00024691167    0.000158732       -22.09%     30.73%
         240         245       5.4458011e-05    2.90090e-05    4.2344249e-05    2.26150e-05    7.1351795e-05    3.78915e-05       -22.24%     31.02%
         245         250       4.0534825e-05    2.84260e-05    3.1809729e-05    2.23422e-05    5.2549648e-05    3.67859e-05       -21.52%     29.64%
         250         255       6.0677152e-05    3.15928e-05    4.7232797e-05    2.46269e-05    7.9416048e-05    4.12853e-05       -22.16%     30.88%
         255         260       1.2960171e-05    1.29602e-05    9.9486416e-06    9.94866e-06    1.7223867e-05    1.72239e-05       -23.24%     32.90%
         260         265       4.0225379e-06    2.45946e-06    3.1409600e-06    1.92226e-06    5.2453063e-06    3.20353e-06       -21.92%     30.40%
         265         270       2.9317433e-05    1.61655e-05    2.2923682e-05    1.26545e-05    3.8167005e-05    2.10167e-05       -21.81%     30.19%
         270         275       2.2101533e-05    1.67228e-05    1.7133237e-05    1.29499e-05    2.9051645e-05    2.20068e-05       -22.48%     31.45%
         275         280       9.3579069e-06    7.34133e-06    7.2561429e-06    5.71329e-06    1.2298584e-05    9.60855e-06       -22.46%     31.42%
         280         285       2.0156146e-05    1.19643e-05    1.5517355e-05    9.22505e-06    2.6713333e-05    1.58280e-05       -23.01%     32.53%
         285         290       3.2583898e-05    2.13110e-05    2.5353102e-05    1.66053e-05    4.2657242e-05    2.78530e-05       -22.19%     30.92%
         290         295       1.5724737e-06    1.57248e-06    1.2287224e-06    1.22872e-06    2.0483882e-06    2.04839e-06       -21.86%     30.27%
         295         300       6.2927278e-06    4.07899e-06    4.8319393e-06    3.13404e-06    8.3653469e-06    5.41924e-06       -23.21%     32.94%
         300         305       4.1682160e-07    3.49546e-07    3.2277896e-07    2.71771e-07    5.4879528e-07    4.57999e-07       -22.56%     31.66%
         305         310       6.6354915e-05    5.80941e-05    5.1596789e-05    4.52668e-05    8.6925807e-05    7.59225e-05       -22.24%     31.00%
         310         315                   0              0                0              0                0              0            0%         0%
         315         320       3.1294122e-05    3.10904e-05    2.4429891e-05    2.42757e-05    4.0811582e-05    4.05359e-05       -21.93%     30.41%
         320         325       5.3810912e-08    5.38110e-08    4.2047735e-08    4.20478e-08    7.0099564e-08    7.00997e-08       -21.86%     30.27%
         325         330       1.4577842e-06    1.43868e-06    1.1170643e-06    1.10262e-06    1.9414579e-06    1.91562e-06       -23.37%     33.18%
         330         335       1.4226950e-05    1.24926e-05    1.0884203e-05    9.55132e-06    1.8983394e-05    1.66805e-05       -23.50%     33.43%
         335         340       3.7141070e-06    3.64750e-06    2.8446853e-06    2.79307e-06    4.9530218e-06    4.86545e-06       -23.41%     33.36%
         340         345       3.4151178e-05    3.39643e-05    2.6525245e-05    2.63812e-05    4.4794310e-05    4.45469e-05       -22.33%     31.16%
         345         350       3.6978796e-06    3.58372e-06    2.8244469e-06    2.73676e-06    4.9436722e-06    4.79205e-06       -23.62%     33.69%
         350         355       4.6122817e-08    4.61229e-08    3.4918308e-08    3.49184e-08    6.2278233e-08    6.22783e-08       -24.29%     35.03%
         355         360       5.9193796e-05    5.87163e-05    4.5971836e-05    4.56145e-05    7.7645059e-05    7.69916e-05       -22.34%     31.17%
         360         365       1.7714633e-09    1.77147e-09    1.3080412e-09    1.30804e-09    2.4580067e-09    2.45801e-09       -26.16%     38.76%
         365         370       9.9212739e-08    8.02238e-08    7.6743833e-08    6.21775e-08    1.3073386e-07    1.05476e-07       -22.65%     31.77%
         370         375       1.9312704e-06    1.76585e-06    1.4704135e-06    1.34514e-06    2.5915405e-06    2.36811e-06       -23.86%     34.19%
         375         380       1.3135351e-06    1.31354e-06    1.0092381e-06    1.00924e-06    1.7438174e-06    1.74382e-06       -23.17%     32.76%
         380         385       6.2854746e-06    6.28545e-06    4.8007173e-06    4.80070e-06    8.4010618e-06    8.40103e-06       -23.62%     33.66%
         385         390       2.0204497e-06    1.51051e-06    1.5218439e-06    1.13724e-06    2.7453110e-06    2.05313e-06       -24.68%     35.88%
         390         395       7.6683026e-12    7.66832e-12    5.4836142e-12    5.48362e-12    1.0997020e-11    1.09970e-11       -28.49%     43.41%
