#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1        0.0015094793    0.000174361     0.0010522471    0.000122377     0.0022423334    0.000257945       -30.29%     48.55%
         0.1         0.2         0.033716547     0.00517267      0.023646830     0.00355797      0.049517208     0.00781132       -29.87%     46.86%
         0.2         0.3         0.085343231      0.0144221      0.061792259      0.0105344       0.12218657      0.0206595       -27.60%     43.17%
         0.3         0.4          0.21192830      0.0399423       0.15517530      0.0288232       0.29861035      0.0539363       -26.78%     40.90%
         0.4         0.5          0.22461929      0.0283834       0.16168843      0.0202194       0.32600197      0.0416704       -28.02%     45.14%
         0.5         0.6          0.23258490      0.0676775       0.16659024      0.0490022       0.34077189      0.0974090       -28.37%     46.52%
         0.6         0.7          0.39889822      0.0553327       0.28879802      0.0395313       0.57779655      0.0814083       -27.60%     44.85%
         0.7         0.8          0.55992913      0.0943639       0.40788522      0.0681616       0.80587238       0.137195       -27.15%     43.92%
         0.8         0.9          0.51251172      0.0598526       0.37825783      0.0433823       0.72691100      0.0870982       -26.20%     41.83%
         0.9           1          0.58254543      0.0871748       0.42955395      0.0623574       0.82983312       0.128443       -26.26%     42.45%
           1         1.1          0.77467048       0.134134       0.57358152      0.0951962        1.0972618       0.199517       -25.96%     41.64%
         1.1         1.2          0.74883528       0.204230       0.55007737       0.140539        1.0759419       0.314601       -26.54%     43.68%
         1.2         1.3           1.0443787       0.234858       0.79077823       0.164176        1.4422492       0.355134       -24.28%     38.10%
         1.3         1.4          0.40925796       0.209567       0.34341351       0.146880       0.49481407       0.317179       -16.09%     20.91%
         1.4         1.5           1.0919040       0.259917       0.85902527       0.179478        1.4358027       0.399362       -21.33%     31.50%
         1.5         1.6          0.94043930       0.179212       0.75846083       0.128411        1.1989285       0.264660       -19.35%     27.49%
         1.6         1.7           1.2505921       0.577788       0.99454772       0.398017        1.6316472       0.889240       -20.47%     30.47%
         1.7         1.8          0.59271818       0.527390       0.48652442       0.616056       0.72791184       0.647196       -17.92%     22.81%
         1.8         1.9           1.5293492       0.913448        1.2566511       0.632563        1.9012197        1.39427       -17.83%     24.32%
         1.9           2          0.29365322       0.939311    0.00064833870        1.42742       0.43731489       0.759868       -99.78%     48.92%
           2         2.1           2.1016933       0.484869        1.7169556       0.343725        2.6350355       0.721754       -18.31%     25.38%
         2.1         2.2           3.0338717       0.763849        2.4349834       0.528270        3.8843297        1.16709       -19.74%     28.03%
         2.2         2.3           2.4464902       0.691550        2.0260484       0.489942        3.0309142        1.02932       -17.19%     23.89%
