#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           37.550658       0.678012        32.492618       0.611865        42.323587       0.745197       -13.47%     12.71%
        0.15         0.3           37.851837       0.649181        32.705189       0.563775        42.709522       0.731716       -13.60%     12.83%
         0.3        0.45           37.411252       0.622881        32.345812       0.540285        42.194947       0.703526       -13.54%     12.79%
        0.45         0.6           36.496087       0.599182        31.530060       0.517415        41.191061       0.678993       -13.61%     12.86%
         0.6        0.75           36.820033       0.605387        31.873581       0.524978        41.485158       0.683430       -13.43%     12.67%
        0.75         0.9           37.630292       0.847195        32.640119       0.753476        42.325980       0.934589       -13.26%     12.48%
         0.9        1.05           37.016288       0.612721        32.143105       0.532774        41.596593       0.690022       -13.16%     12.37%
        1.05         1.2           35.335307       0.597928        30.681797       0.518184        39.717785       0.675780       -13.17%     12.40%
         1.2        1.35           35.718430       0.616367        31.074751       0.533643        40.079205       0.697032       -13.00%     12.21%
        1.35         1.5           34.986915       0.653187        30.526937       0.575870        39.164061       0.726516       -12.75%     11.94%
         1.5        1.65           33.965334       0.593329        29.602572       0.516717        38.061329       0.667691       -12.84%     12.06%
        1.65         1.8           33.762796       0.593537        29.516326       0.519387        37.742895       0.665282       -12.58%     11.79%
         1.8        1.95           32.924140       0.653907        28.865451       0.584897        36.719458       0.720216       -12.33%     11.53%
        1.95         2.1           32.161946       0.612543        28.182795       0.542200        35.887322       0.680061       -12.37%     11.58%
         2.1        2.25           31.731183       0.584640        27.830398       0.512601        35.381907       0.654286       -12.29%     11.51%
        2.25         2.4           30.132464       0.592536        26.539868       0.521760        33.480935       0.660205       -11.92%     11.11%
         2.4        2.55           28.801005       0.531016        25.394108       0.467826        31.969611       0.591482       -11.83%     11.00%
        2.55         2.7           27.543502       0.542487        24.323922       0.478168        30.533735       0.603822       -11.69%     10.86%
         2.7        2.85           26.888006       0.523778        23.737403       0.459851        29.820525       0.585114       -11.72%     10.91%
        2.85           3           25.980236       0.537615        22.990622       0.472456        28.755809       0.600320       -11.51%     10.68%
           3        3.15           24.538354       0.517725        21.721051       0.454927        27.154370       0.578124       -11.48%     10.66%
        3.15         3.3           23.742205       0.516418        20.992563       0.451453        26.302189       0.579402       -11.58%     10.78%
         3.3        3.45           20.567904       0.470287        18.302219       0.415275        22.656840       0.522788       -11.02%     10.16%
        3.45         3.6           18.663845       0.458458        16.626621       0.404572        20.541240       0.510217       -10.92%     10.06%
         3.6        3.75           16.414358       0.448900        14.681063       0.400776        18.003632       0.494577       -10.56%      9.68%
        3.75         3.9           13.988996       0.398428        12.499665       0.354054        15.359084       0.440802       -10.65%      9.79%
         3.9        4.05           11.685991       0.376811        10.436313       0.332966        12.840674       0.419433       -10.69%      9.88%
        4.05         4.2           9.5759641       0.335407        8.5186617       0.294410        10.563486       0.375689       -11.04%     10.31%
         4.2        4.35           8.0993857       0.317912        7.1456853       0.275811        9.0032689       0.359722       -11.77%     11.16%
        4.35         4.5           5.9141924       0.275741        5.2145984       0.238379        6.5779013       0.312785       -11.83%     11.22%
         4.5        4.65           4.8383247       0.265211        4.1976663       0.226503        5.4568215       0.303782       -13.24%     12.78%
        4.65         4.8           3.9626370       0.263184        3.4206012       0.224968        4.4856717       0.300702       -13.68%     13.20%
         4.8        4.95           3.6109981       0.270483        3.1037627       0.230089        4.1002250       0.310162       -14.05%     13.55%
        4.95         5.1           3.0476302       0.232195        2.6256188       0.198263        3.4533175       0.265362       -13.85%     13.31%
         5.1        5.25           2.1747512       0.193562        1.8824523       0.166669        2.4540028       0.219554       -13.44%     12.84%
        5.25         5.4           1.6481592       0.187195        1.4245539       0.159489        1.8630766       0.214526       -13.57%     13.04%
         5.4        5.55           1.2891187       0.172075        1.1238202       0.148676        1.4458827       0.194701       -12.82%     12.16%
        5.55         5.7          0.75037424       0.114856       0.65514334      0.0997797       0.84039779       0.129256       -12.69%     12.00%
         5.7        5.85          0.79964559       0.162914       0.69723903       0.140976       0.89679845       0.184134       -12.81%     12.15%
        5.85           6          0.33749938      0.0813809       0.29848731      0.0721129       0.37372756      0.0899934       -11.56%     10.73%
           6        6.15          0.12414827      0.0467911       0.11044600      0.0413022       0.13677728      0.0519180       -11.04%     10.17%
        6.15         6.3         0.051997219      0.0331661      0.046770237      0.0301299      0.056732936      0.0358825       -10.05%      9.11%
         6.3        6.45         0.042351733      0.0500022      0.038191189      0.0446730      0.046253835      0.0549162        -9.82%      9.21%
        6.45         6.6        0.0085817952     0.00842814     0.0081662651     0.00800485     0.0089011205     0.00875531        -4.84%      3.72%
         6.6        6.75      -0.00016410253    0.000164103   -0.00019462069    0.000194621   -0.00013157510    0.000131576        18.60%    -19.82%
        6.75         6.9                   0              0                0              0                0              0            0%         0%
         6.9        7.05                   0              0                0              0                0              0            0%         0%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
