#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1                   0              0                0              0                0              0            0%         0%
         0.1         0.2                   0              0                0              0                0              0            0%         0%
         0.2         0.3        0.0045030082     0.00450302     0.0039123405     0.00391235     0.0050512849     0.00505130       -13.12%     12.18%
         0.3         0.4        0.0098613020     0.00964031     0.0091029013     0.00895173      0.010498925      0.0102075        -7.69%      6.47%
         0.4         0.5         0.012292057     0.00659758      0.010960262     0.00593929      0.013492659     0.00718447       -10.83%      9.77%
         0.5         0.6         0.029295259      0.0112618      0.026386589      0.0104620      0.031911973      0.0119864        -9.93%      8.93%
         0.6         0.7          0.18683298      0.0585039       0.17066301      0.0535922       0.20095551      0.0627681        -8.65%      7.56%
         0.7         0.8          0.21017455      0.0599428       0.19097613      0.0534862       0.22762199      0.0661902        -9.13%      8.30%
         0.8         0.9          0.15996845      0.0393285       0.14776609      0.0369587       0.17035955      0.0412573        -7.63%      6.50%
         0.9           1          0.51719920       0.111825       0.45834110      0.0978783       0.57207649       0.125389       -11.38%     10.61%
           1         1.1          0.71214989       0.102555       0.63084847      0.0902031       0.78875470       0.114854       -11.42%     10.76%
         1.1         1.2           1.0060164       0.117815       0.89306451       0.103334        1.1111676       0.132011       -11.23%     10.45%
         1.2         1.3           1.3313962       0.144942        1.1826864       0.127527        1.4695576       0.161972       -11.17%     10.38%
         1.3         1.4           1.7168715       0.154618        1.5145357       0.135518        1.9075742       0.173780       -11.79%     11.11%
         1.4         1.5           2.1471465       0.186721        1.8874297       0.159881        2.3940341       0.214443       -12.10%     11.50%
         1.5         1.6           3.2134936       0.242507        2.8040995       0.207305        3.6044843       0.278001       -12.74%     12.17%
         1.6         1.7           4.7909335       0.327987        4.1592716       0.278194        5.4003968       0.379391       -13.18%     12.72%
         1.7         1.8           5.7106398       0.319503        4.9962890       0.274715        6.3920496       0.364785       -12.51%     11.93%
         1.8         1.9           7.6106974       0.394437        6.5821807       0.331911        8.6084458       0.458869       -13.51%     13.11%
         1.9           2           10.147113       0.443596        8.7736887       0.376858        11.477529       0.512163       -13.54%     13.11%
           2         2.1           11.894884       0.476736        10.288387       0.403127        13.445556       0.551777       -13.51%     13.04%
         2.1         2.2           14.767157       0.513590        12.746535       0.431738        16.722453       0.597773       -13.68%     13.24%
         2.2         2.3           19.283239       0.575007        16.707983       0.489978        21.762790       0.661378       -13.35%     12.86%
         2.3         2.4           24.672439       0.663615        21.419750       0.565034        27.790124       0.763972       -13.18%     12.64%
         2.4         2.5           29.266554       0.688186        25.427659       0.589813        32.936172       0.786917       -13.12%     12.54%
