#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10                   0              0                0              0                0              0            0%         0%
          10          15          0.40885744      0.0194804       0.32177333      0.0153736       0.49996397      0.0237867       -21.30%     22.28%
          15          20          0.99664042      0.0234887       0.79544789      0.0188015        1.2038747      0.0283252       -20.19%     20.79%
          20          25           1.0021154      0.0209354       0.81041590      0.0169897        1.1966232      0.0249452       -19.13%     19.41%
          25          30          0.84907710      0.0182841       0.69482587      0.0150143        1.0035576      0.0215616       -18.17%     18.19%
          30          35          0.64173935      0.0154116       0.53026107      0.0127727       0.75217481      0.0180300       -17.37%     17.21%
          35          40          0.49301382      0.0129161       0.41011974      0.0107675       0.57442750      0.0150284       -16.81%     16.51%
          40          45          0.40429922      0.0118959       0.33910541     0.00999288       0.46774208      0.0137520       -16.13%     15.69%
          45          50          0.30027576      0.0100316       0.25335057     0.00848499       0.34560831      0.0115276       -15.63%     15.10%
          50          55          0.24847191     0.00928962       0.21106314     0.00790850       0.28432164      0.0106149       -15.06%     14.43%
          55          60          0.21012263     0.00850751       0.17952127     0.00729441       0.23924764     0.00966159       -14.56%     13.86%
          60          65          0.17285179     0.00757999       0.14810840     0.00650613       0.19629495     0.00859727       -14.31%     13.56%
          65          70          0.16108464     0.00709294       0.13876550     0.00613799       0.18209191     0.00799139       -13.86%     13.04%
          70          75          0.14938992     0.00654682       0.12922756     0.00569402       0.16827518     0.00734469       -13.50%     12.64%
          75          80          0.20731908     0.00736084       0.18008102     0.00643282       0.23269329     0.00822337       -13.14%     12.24%
          80          85          0.38785792     0.00911151       0.33750542     0.00797870       0.43461379      0.0101591       -12.98%     12.05%
          85          90           2.4705665      0.0232755        2.1597354      0.0205058        2.7574251      0.0258171       -12.58%     11.61%
          90          95           8.1856771      0.0454529        7.1714994      0.0401205        9.1187609      0.0503337       -12.39%     11.40%
          95         100          0.98953628      0.0166946       0.87134496      0.0147938        1.0975567      0.0184259       -11.94%     10.92%
         100         105          0.62621417      0.0143763       0.55314440      0.0127391       0.69272090      0.0158666       -11.67%     10.62%
         105         110          0.51650313      0.0142194       0.45812599      0.0126312       0.56934003      0.0156601       -11.30%     10.23%
         110         115          0.40490546      0.0123322       0.35984462      0.0109564       0.44555097      0.0135776       -11.13%     10.04%
         115         120          0.36221914      0.0115037       0.32342813      0.0102976       0.39699448      0.0125854       -10.71%      9.60%
         120         125          0.30154886      0.0102213       0.26997625     0.00918846       0.32974236      0.0111444       -10.47%      9.35%
         125         130          0.24771394     0.00992005       0.22267472     0.00900453       0.26994289      0.0107269       -10.11%      8.97%
         130         135          0.21410103      0.0114933       0.19258986      0.0102834       0.23316579      0.0125737       -10.05%      8.90%
         135         140          0.18073880      0.0105354       0.16312115     0.00951433       0.19627433      0.0114409        -9.75%      8.60%
         140         145          0.15010457     0.00768963       0.13574506     0.00697405       0.16272212     0.00831957        -9.57%      8.41%
         145         150          0.13541880     0.00702887       0.12273705     0.00637401       0.14651695     0.00760561        -9.36%      8.20%
         150         155          0.11624145     0.00568624       0.10572055     0.00519976       0.12539954     0.00610913        -9.05%      7.88%
