#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           4.4096092      0.0830622        4.1931751      0.0889818        4.5840895      0.0784888        -4.91%      3.96%
          10          20           4.2315120      0.0841613        3.9995483      0.0752141        4.3975224      0.0923818        -5.48%      3.92%
          20          30           2.2478804      0.0531020        2.1022212      0.0479525        2.3746101      0.0577163        -6.48%      5.64%
          30          40           1.0126015      0.0286078       0.94441612      0.0269310        1.0838637      0.0309175        -6.73%      7.04%
          40          50          0.64101766      0.0247508       0.60414933      0.0231406       0.68675096      0.0268123        -5.75%      7.13%
          50          60          0.41761051      0.0194461       0.39391040      0.0180048       0.44700931      0.0212734        -5.68%      7.04%
          60          70          0.27633583      0.0178461       0.26201811      0.0166374       0.29409624      0.0193890        -5.18%      6.43%
          70          80          0.20695791      0.0111482       0.19397922      0.0103182       0.22305732      0.0122000        -6.27%      7.78%
          80          90          0.15860174     0.00868937       0.14776866     0.00816556       0.17203962     0.00936349        -6.83%      8.47%
          90         100         0.095101895     0.00434516      0.086842403     0.00398019       0.10534738     0.00480301        -8.68%     10.77%
         100         110         0.063529691     0.00211861      0.057894483     0.00193405      0.070519882     0.00234936        -8.87%     11.00%
         110         120         0.047939214     0.00222921      0.043666596     0.00204068      0.053239182     0.00246557        -8.91%     11.06%
         120         130         0.032912024     0.00163731      0.029915746     0.00146591      0.036607199     0.00181651        -9.10%     11.23%
         130         140         0.027821277     0.00128489      0.025131014     0.00115605      0.030946430     0.00143177        -9.67%     11.23%
         140         150         0.020454117     0.00132462      0.018500915     0.00122554      0.022687409     0.00144940        -9.55%     10.92%
         150         160         0.015425872     0.00104291      0.013774281    0.000942883      0.017345838     0.00115770       -10.71%     12.45%
         160         170         0.015006415     0.00104706      0.013451762    0.000962319      0.016822755     0.00114912       -10.36%     12.10%
         170         180         0.010017229    0.000833901     0.0089161443    0.000733641      0.011311426    0.000955437       -10.99%     12.92%
         180         190         0.010455381     0.00125368     0.0091973729     0.00108498      0.011970371     0.00146446       -12.03%     14.49%
         190         200        0.0066960054    0.000525207     0.0059054423    0.000460839     0.0076464246    0.000604456       -11.81%     14.19%
         200         210        0.0055053145    0.000437758     0.0048531362    0.000385618     0.0062879473    0.000501210       -11.85%     14.22%
         210         220        0.0053357900    0.000648749     0.0046501025    0.000556709     0.0061718212    0.000764111       -12.85%     15.67%
         220         230        0.0033495224    0.000293632     0.0029269813    0.000257757     0.0038635075    0.000337907       -12.61%     15.35%
         230         240        0.0036710012    0.000511050     0.0032143435    0.000441477     0.0042259534    0.000598256       -12.44%     15.12%
         240         250        0.0022480310    0.000246039     0.0019461739    0.000213345     0.0026227655    0.000288680       -13.43%     16.67%
         250         260        0.0025976594    0.000382780     0.0022575196    0.000332895     0.0030169839    0.000444891       -13.09%     16.14%
         260         270        0.0018193531    0.000239662     0.0015719679    0.000207641     0.0021269726    0.000279474       -13.60%     16.91%
         270         280        0.0020511762    0.000313239     0.0017685297    0.000265791     0.0024056347    0.000374400       -13.78%     17.28%
         280         290        0.0025036811    0.000474214     0.0021331002    0.000401093     0.0029770134    0.000569815       -14.80%     18.91%
         290         300        0.0011863070    0.000165438     0.0010209587    0.000141731     0.0013936037    0.000195834       -13.94%     17.47%
         300         310       0.00095665605    0.000172919    0.00081658317    0.000146592     0.0011330130    0.000206243       -14.64%     18.43%
         310         320       0.00080276888    0.000177595    0.00068984617    0.000153064    0.00094377614    0.000208117       -14.07%     17.57%
         320         330        0.0010569083    0.000277308    0.00089818627    0.000234135     0.0012579789    0.000332388       -15.02%     19.02%
         330         340       0.00065790537    0.000118408    0.00055867910    0.000100816    0.00078451063    0.000140832       -15.08%     19.24%
         340         350        0.0011458247    0.000265728    0.00097495241    0.000226726     0.0013625999    0.000315084       -14.91%     18.92%
         350         360       0.00067513188    0.000114104    0.00056999339    9.53934e-05    0.00081048845    0.000138437       -15.57%     20.05%
         360         370       0.00070271637    0.000154325    0.00059730585    0.000130755    0.00083689933    0.000184472       -15.00%     19.09%
         370         380       0.00026101529    5.49271e-05    0.00021902703    4.52926e-05    0.00031576667    6.78044e-05       -16.09%     20.98%
         380         390       0.00045890917    0.000117005    0.00038488858    9.65583e-05    0.00055511825    0.000144337       -16.13%     20.96%
         390         400       0.00024398044    6.50148e-05    0.00020528169    5.46487e-05    0.00029389580    7.83418e-05       -15.86%     20.46%
         400         410       0.00028876767    8.83421e-05    0.00024781955    7.75762e-05    0.00034208212    0.000103176       -14.18%     18.46%
         410         420       0.00017361252    4.71354e-05    0.00015426873    3.67213e-05    0.00019652615    6.23432e-05       -11.14%     13.20%
         420         430       0.00034823988    0.000143524    0.00028953219    0.000119185    0.00042543967    0.000175687       -16.86%     22.17%
         430         440       0.00022218486    5.72627e-05    0.00018921744    4.92247e-05    0.00026440511    6.79335e-05       -14.84%     19.00%
         440         450       0.00021587809    7.08578e-05    0.00017826818    5.85307e-05    0.00026578671    8.71598e-05       -17.42%     23.12%
         450         460       0.00023335021    5.78983e-05    0.00019388862    4.74948e-05    0.00028508390    7.17599e-05       -16.91%     22.17%
         460         470       0.00010553045    2.76905e-05    8.7504129e-05    2.27373e-05    0.00012944777    3.44698e-05       -17.08%     22.66%
         470         480       0.00016094886    5.66750e-05    0.00013536644    4.90443e-05    0.00019438806    6.63030e-05       -15.89%     20.78%
         480         490       8.4432076e-05    2.63007e-05    7.0438169e-05    2.19289e-05    0.00010272947    3.20446e-05       -16.57%     21.67%
         490         500       8.1563597e-05    2.21255e-05    6.8078482e-05    1.86222e-05    9.9224597e-05    2.66827e-05       -16.53%     21.65%
         500         510       8.6141988e-05    1.83030e-05    7.1274551e-05    1.51686e-05    0.00010586909    2.25247e-05       -17.26%     22.90%
         510         520       6.8027864e-05    3.49628e-05    5.4572817e-05    2.77649e-05    8.6399378e-05    4.48840e-05       -19.78%     27.01%
         520         530       0.00013505718    5.54564e-05    0.00010992644    4.54075e-05    0.00016901658    6.89075e-05       -18.61%     25.14%
         530         540       8.1975148e-05    2.63131e-05    6.7289127e-05    2.15699e-05    0.00010159108    3.27001e-05       -17.92%     23.93%
         540         550       6.5180377e-05    2.89491e-05    5.3486412e-05    2.39295e-05    8.0892041e-05    3.56186e-05       -17.94%     24.10%
         550         560       4.3676684e-05    1.77844e-05    3.6080168e-05    1.47716e-05    5.3793157e-05    2.17696e-05       -17.39%     23.16%
         560         570       5.4282811e-05    1.70300e-05    4.5219823e-05    1.42326e-05    6.6040785e-05    2.06363e-05       -16.70%     21.66%
         570         580       0.00013522121    5.92258e-05    0.00010808220    4.62636e-05    0.00017303534    7.78437e-05       -20.07%     27.96%
         580         590       4.2875372e-05    2.05161e-05    3.6071693e-05    1.72059e-05    5.1602785e-05    2.48343e-05       -15.87%     20.36%
         590         600       8.1475698e-05    3.37364e-05    6.6430440e-05    2.75860e-05    0.00010170171    4.19609e-05       -18.47%     24.82%
         600         610       2.1671938e-05    7.41950e-06    1.7501256e-05    6.03438e-06    2.7344229e-05    9.30089e-06       -19.24%     26.17%
         610         620       5.7428397e-05    5.12102e-05    4.6947285e-05    4.19062e-05    7.1572717e-05    6.37534e-05       -18.25%     24.63%
         620         630       2.5238923e-05    1.68906e-05    2.0902768e-05    1.42868e-05    3.1040701e-05    2.02716e-05       -17.18%     22.99%
         630         640       0.00029861898    0.000272701    0.00023518253    0.000214369    0.00038767150    0.000354770       -21.24%     29.82%
         640         650       5.2256184e-05    2.07447e-05    4.1407464e-05    1.63092e-05    6.7460390e-05    2.70383e-05       -20.76%     29.10%
         650         660       5.8190635e-05    3.86567e-05    4.7299500e-05    3.16111e-05    7.3095153e-05    4.81919e-05       -18.72%     25.61%
         660         670       1.2574198e-05    5.97939e-06    1.0491413e-05    5.00813e-06    1.5279325e-05    7.24813e-06       -16.56%     21.51%
         670         680       1.4135124e-05    6.00179e-06    1.1113259e-05    4.61031e-06    1.8442458e-05    8.04445e-06       -21.38%     30.47%
         680         690       5.6323475e-05    3.10388e-05    4.5060252e-05    2.42458e-05    7.2052148e-05    4.07958e-05       -20.00%     27.93%
         690         700       5.2128282e-06    2.03565e-06    4.2352548e-06    1.66591e-06    6.5536539e-06    2.54530e-06       -18.75%     25.72%
         700         710       4.5374939e-05    3.20755e-05    3.6344234e-05    2.54908e-05    5.7855781e-05    4.12466e-05       -19.90%     27.51%
         710         720       2.4437168e-05    1.89585e-05    1.9683986e-05    1.53298e-05    3.0909795e-05    2.38570e-05       -19.45%     26.49%
