#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           8.4818910      0.0619985        7.9793809      0.0597885        9.0033223      0.0658171        -5.92%      6.15%
          10          20           3.0462154      0.0340583        2.7580361      0.0308363        3.4036874      0.0380550        -9.46%     11.73%
          20          30           1.2586153      0.0159093        1.1395472      0.0144043        1.4063132      0.0177763        -9.46%     11.73%
          30          40          0.63498180     0.00831843       0.57491099     0.00753148       0.70949661     0.00929459        -9.46%     11.73%
          40          50          0.38351681     0.00583724       0.34723520     0.00528502       0.42852233     0.00652223        -9.46%     11.73%
          50          60          0.25516824     0.00454666       0.23102871     0.00411654       0.28511211     0.00508021        -9.46%     11.73%
          60          70          0.16264829     0.00312541       0.14726137     0.00282974       0.18173498     0.00349218        -9.46%     11.73%
          70          80          0.12380382     0.00350776       0.11209168     0.00317592       0.13833214     0.00391939        -9.46%     11.73%
          80          90         0.089050751     0.00232531      0.080626335     0.00210533      0.099500814     0.00259818        -9.46%     11.73%
          90         100         0.065717498     0.00187464      0.059500464     0.00169730      0.073429415     0.00209463        -9.46%     11.73%
         100         110         0.046614886     0.00146375      0.042205005     0.00132527      0.052085121     0.00163552        -9.46%     11.73%
         110         120         0.039690618     0.00182777      0.035935790     0.00165486      0.044348293     0.00204226        -9.46%     11.73%
         120         130         0.030207475     0.00135594      0.027349775     0.00122766      0.033752308     0.00151506        -9.46%     11.73%
         130         140         0.023768739     0.00123284      0.021417717     0.00111727      0.026557989     0.00137751        -9.89%     11.73%
         140         150         0.016785974    0.000727233      0.015054369    0.000649856      0.018772648    0.000817874       -10.32%     11.84%
         150         160         0.015194880    0.000769593      0.013564808    0.000687468      0.017084029    0.000864865       -10.73%     12.43%
         160         170         0.012943752    0.000948154      0.011487945    0.000832134      0.014659182     0.00108993       -11.25%     13.25%
         170         180        0.0097364652    0.000862324     0.0086323319    0.000758572      0.011034813    0.000986253       -11.34%     13.33%
         180         190        0.0085286540    0.000530781     0.0075450967    0.000463704     0.0096908781    0.000613187       -11.53%     13.63%
         190         200        0.0072295021    0.000823023     0.0063925967    0.000728117     0.0082186712    0.000935344       -11.58%     13.68%
         200         210        0.0058639978    0.000388425     0.0051381962    0.000337498     0.0067378563    0.000451020       -12.38%     14.90%
         210         220        0.0052775885    0.000596052     0.0046004161    0.000513718     0.0060989627    0.000697376       -12.83%     15.56%
         220         230        0.0037084545    0.000406749     0.0032220490    0.000345020     0.0043069686    0.000486960       -13.12%     16.14%
         230         240        0.0033938919    0.000281212     0.0029528066    0.000243550     0.0039308776    0.000327531       -13.00%     15.82%
         240         250        0.0029215595    0.000301362     0.0025253260    0.000259928     0.0034106873    0.000353265       -13.56%     16.74%
         250         260        0.0031918820    0.000573576     0.0027336537    0.000485647     0.0037663400    0.000686119       -14.36%     18.00%
         260         270        0.0019563286    0.000200248     0.0016945781    0.000171989     0.0022794323    0.000235971       -13.38%     16.52%
         270         280        0.0020680967    0.000328839     0.0017793105    0.000284810     0.0024273367    0.000383021       -13.96%     17.37%
         280         290        0.0019270095    0.000236822     0.0016570278    0.000202331     0.0022627925    0.000280075       -14.01%     17.43%
