#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.2414677      0.0646021        2.1414994      0.0550773        2.3240264      0.0750606        -4.46%      3.68%
           5          10           3.1538300      0.0634327        2.9584780      0.0537889        3.2763271      0.0682495        -6.19%      3.88%
          10          15           2.5912450      0.0664647        2.4401120      0.0607541        2.6886763      0.0725950        -5.83%      3.76%
          15          20           2.5429983      0.0739747        2.4176895      0.0669210        2.6233969      0.0804809        -4.93%      3.16%
          20          25           2.7948109      0.0756921        2.6591384      0.0679054        2.8834581      0.0828001        -4.85%      3.17%
          25          30           2.8300402      0.0953643        2.7104877      0.0856691        2.9020780       0.104294        -4.22%      2.55%
          30          35           2.9497920       0.122102        2.8302983       0.109209        3.0208083       0.133917        -4.05%      2.41%
          35          40           2.7705337       0.115633        2.6651720       0.103733        2.8389290       0.115369        -3.80%      2.47%
          40          45           2.3183427      0.0802199        2.2318170      0.0724128        2.3730752      0.0800007        -3.73%      2.36%
          45          50           1.4250845      0.0482670        1.3547563      0.0441401        1.4892005      0.0532869        -4.94%      4.50%
          50          55          0.91538623      0.0325293       0.87347454      0.0300235       0.96327346      0.0356138        -4.58%      5.23%
          55          60          0.56067805      0.0220816       0.53900017      0.0203858       0.58756838      0.0242253        -3.87%      4.80%
          60          65          0.41389607      0.0215486       0.39908756      0.0198551       0.43226529      0.0236852        -3.58%      4.44%
          65          70          0.39485716      0.0229642       0.37833963      0.0211082       0.41534633      0.0253005        -4.18%      5.19%
          70          75          0.23594353      0.0209777       0.22890948      0.0192035       0.24466892      0.0232020        -2.98%      3.70%
          75          80          0.21348464      0.0211938       0.20480303      0.0193580       0.22425374      0.0234902        -4.07%      5.04%
          80          85          0.17670583      0.0187022       0.16919655      0.0170531       0.18602071      0.0207617        -4.25%      5.27%
          85          90          0.14351345      0.0161964       0.13801504      0.0148759       0.15033396      0.0178572        -3.83%      4.75%
          90          95          0.12132877      0.0154641       0.11641150      0.0144071       0.12742840      0.0168126        -4.05%      5.03%
