#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.64314471       0.131144       0.55994340       0.112353       0.75246602       0.157023       -12.94%     17.00%
         0.1         0.2           3.5858512       0.909095        3.2250158       0.781235        4.0761336        1.09260       -10.06%     13.67%
         0.2         0.3           5.7684337       0.861229        5.2641002       0.709215        6.3917282        1.07138        -8.74%     10.81%
         0.3         0.4           6.6990780       0.458847        6.1596123       0.382791        7.3512212       0.565195        -8.05%      9.73%
         0.4         0.5           8.5392118        2.04127        7.8689499        1.69412        9.3698818        2.83677        -7.85%      9.73%
         0.5         0.6           11.819445        1.92947        10.799272        1.64573        13.100297        2.33453        -8.63%     10.84%
         0.6         0.7           7.6736653       0.737686        7.2859384       0.619017        8.0806463       0.903957        -5.05%      5.30%
         0.7         0.8           7.9394919        2.89068        7.3608270        2.85191        8.4898849        2.89882        -7.29%      6.93%
         0.8         0.9           7.7148652        2.93327        7.0992326        3.00544        8.2671005        2.86013        -7.98%      7.16%
         0.9           1           9.7035014        1.96191        8.9566349        1.85118        10.339074        2.07650        -7.70%      6.55%
           1         1.1           12.943483        2.10816        12.096856        1.74420        13.928801        2.61755        -6.54%      7.61%
         1.1         1.2           9.7542742        1.97150        9.4021043        1.77610        10.023735        2.17552        -3.61%      2.76%
         1.2         1.3           13.121373        1.98237        12.424976        1.78050        13.785400        2.21252        -5.31%      5.06%
         1.3         1.4           16.843953        2.54772        15.819657        2.30692        17.903332        3.05944        -6.08%      6.29%
         1.4         1.5           18.180960        3.15463        16.685618        2.62069        20.028153        3.91257        -8.22%     10.16%
         1.5         1.6           17.525094        4.61437        16.845076        3.78846        18.202791        5.76136        -3.88%      3.87%
         1.6         1.7           22.691245        3.90872        21.041807        3.20157        24.735634        4.90761        -7.27%      9.01%
         1.7         1.8           11.679239        4.01751        10.310300        5.06989        12.480263        3.27358       -11.72%      6.86%
         1.8         1.9           23.482662        4.56534        22.288581        3.78096        24.877191        5.66926        -5.08%      5.94%
         1.9           2           31.061313        5.68328        29.388405        4.70816        33.064298        7.05166        -5.39%      6.45%
           2         2.1           18.448658        5.41593        17.703441        6.67040        18.805845        5.26694        -4.04%      1.94%
