#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10        -0.035410240      0.0167315     -0.043531772      0.0209736     -0.027891076      0.0131842        22.94%    -21.23%
          10          15          0.18044747       0.812700       0.10246292       0.829775       0.23823286       0.790945       -43.22%     32.02%
          15          20          0.91148427       0.250481       0.86948989       0.197670       0.94126838       0.306965        -4.61%      3.27%
          20          25           1.3886407       0.226995        1.3037009       0.183643        1.4968528       0.285601        -6.12%      7.79%
          25          30          0.82416469       0.176291       0.79254528       0.221995       0.84659032       0.171886        -3.84%      2.72%
          30          35          0.85923409       0.151101       0.79901301       0.123944       0.90958007       0.179484        -7.01%      5.86%
          35          40          0.65038517       0.126886       0.61886299       0.106713       0.68550038       0.161246        -4.85%      5.40%
          40          45          0.44935981       0.100019       0.43667959       0.105122       0.46466083      0.0951502        -2.82%      3.41%
          45          50          0.57067860      0.0945217       0.53327749      0.0753431       0.62055139       0.122070        -6.55%      8.74%
          50          55          0.26855489      0.0783751       0.26055324      0.0999273       0.27668190      0.0734597        -2.98%      3.03%
          55          60          0.24916735      0.0785080       0.23888685      0.0989670       0.25522321      0.0640025        -4.13%      2.43%
          60          65          0.31996159      0.0656466       0.29581450      0.0547618       0.34704738      0.0847954        -7.55%      8.47%
          65          70          0.15719544      0.0601985       0.14623899      0.0765950       0.16443197      0.0491579        -6.97%      4.60%
          70          75          0.23760774      0.0728351       0.22752510      0.0674982       0.24536242      0.0783212        -4.24%      3.26%
          75          80          0.23391565      0.0636355       0.21468574      0.0809695       0.24606383      0.0513917        -8.22%      5.19%
          80          85          0.46459410      0.0946196       0.45408120      0.0815509       0.47328913       0.107227        -2.26%      1.87%
          85          90           3.0727859       0.307920        2.9887428       0.274136        3.1376960       0.392361        -2.74%      2.11%
          90          95           9.0296689       0.504674        8.9400339       0.646984        9.0759504       0.450822        -0.99%      0.51%
          95         100           1.3589712       0.151417        1.3047660       0.120936        1.4317987       0.194620        -3.99%      5.36%
         100         105          0.70498626       0.133162       0.69554174       0.117594       0.71797978       0.153545        -1.34%      1.84%
         105         110          0.30095672       0.121105       0.22624076       0.153837       0.35366863      0.0979268       -24.83%     17.51%
