#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           4.5101044       0.549235        4.3526937       0.692748        4.6562765       0.446521        -3.49%      3.24%
          10          20           4.2351988       0.253209        4.1397819       0.290833        4.3306749       0.224231        -2.25%      2.25%
          20          30           2.4040295       0.156036        2.3316261       0.148043        2.4638508       0.198512        -3.01%      2.49%
          30          40           1.2789669      0.0717262        1.2198427      0.0582269        1.3448322      0.0909383        -4.62%      5.15%
          40          50          0.71759269      0.0649124       0.69437471      0.0527154       0.73991360      0.0821871        -3.24%      3.11%
          50          60          0.57492233      0.0580462       0.53939968      0.0468446       0.61831727      0.0739811        -6.18%      7.55%
          60          70          0.30339897      0.0412998       0.29830049      0.0332098       0.30851816      0.0505779        -1.68%      1.69%
          70          80          0.23189842      0.0369503       0.22478598      0.0293889       0.23852859      0.0477617        -3.07%      2.86%
          80          90          0.17101674      0.0223080       0.16622644      0.0182399       0.17699238      0.0279411        -2.80%      3.49%
          90         100          0.10614305      0.0145196       0.10298535      0.0119992       0.10829510      0.0180241        -2.97%      2.03%
         100         110         0.095537994      0.0110165      0.089226374     0.00903073       0.10268287      0.0137904        -6.61%      7.48%
         110         120         0.071551102     0.00911912      0.065993629     0.00733369      0.078448583      0.0116486        -7.77%      9.64%
         120         130         0.061777820      0.0194862      0.054420708      0.0141257      0.072186807      0.0274795       -11.91%     16.85%
         130         140         0.040257434     0.00665680      0.037904799     0.00546361      0.042799105     0.00831631        -5.84%      6.31%
         140         150         0.027753312     0.00375728      0.025625933     0.00298304      0.030268395     0.00489145        -7.67%      9.06%
         150         160         0.012350528     0.00669632      0.010304890     0.00837556      0.013481551     0.00550853       -16.56%      9.16%
         160         170         0.028378601     0.00911522      0.024913582     0.00722784      0.032938055      0.0117098       -12.21%     16.07%
         170         180         0.015873060     0.00615251      0.014243027     0.00477252      0.017887939     0.00778766       -10.27%     12.69%
         180         190         0.020250555     0.00535857      0.017870529     0.00419377      0.023349097     0.00715120       -11.75%     15.30%
         190         200        0.0078172347     0.00234230     0.0073374736     0.00186988     0.0083190485     0.00300229        -6.14%      6.42%
         200         210         0.010597693     0.00260464     0.0095765015     0.00201170      0.011885624     0.00349149        -9.64%     12.15%
         210         220        0.0085779395     0.00131655     0.0072660607    0.000999798      0.010525532     0.00185093       -15.29%     22.70%
         220         230        0.0055548657    0.000841542     0.0050127131    0.000659897     0.0062397706     0.00111556        -9.76%     12.33%
         230         240        0.0072606963     0.00424131     0.0060270621     0.00307923     0.0090983780     0.00604731       -16.99%     25.31%
         240         250        0.0053554958     0.00206450     0.0045501043     0.00157012     0.0064252537     0.00277638       -15.04%     19.97%
         250         260        0.0020795005    0.000904192     0.0017976430     0.00123290     0.0021988585    0.000695468       -13.55%      5.74%
         260         270        0.0033693153    0.000769562     0.0028983195    0.000580916     0.0040265265     0.00106103       -13.98%     19.51%
         270         280        0.0036145815    0.000988549     0.0032047253    0.000774636     0.0041100601     0.00130943       -11.34%     13.71%
         280         290        0.0032067436    0.000702356     0.0028102405    0.000585904     0.0037479422    0.000893789       -12.36%     16.88%
         290         300        0.0028479675     0.00112564     0.0024024662    0.000825507     0.0034608744     0.00158655       -15.64%     21.52%
         300         310        0.0011654108     0.00164415     0.0010333603     0.00120084     0.0013263806     0.00232604       -11.33%     13.81%
         310         320       0.00023496187     0.00137007   -2.2621957e-05     0.00193310    0.00036963298     0.00100592      -109.63%     57.32%
         320         330        0.0046793871     0.00259613     0.0036573289     0.00190410     0.0062974560     0.00374873       -21.84%     34.58%
         330         340       0.00050261685    0.000438913    0.00037790268    0.000619422    0.00055940555    0.000325002       -24.81%     11.30%
         340         350        0.0016127802    0.000375344     0.0013906927    0.000296179     0.0018975991    0.000503105       -13.77%     17.66%
         350         360        0.0020148742     0.00118079     0.0015764534    0.000854216     0.0027228542     0.00173843       -21.76%     35.14%
         360         370       0.00096958125    0.000315171    0.00080932354    0.000238797     0.0011930169    0.000433584       -16.53%     23.04%
         370         380       0.00018769795    0.000210971   -1.7371145e-05    0.000411473    0.00031110646    0.000135355      -109.25%     65.75%
         380         390       0.00050120832    0.000231105    0.00044920635    0.000273772    0.00054429196    0.000204602       -10.38%      8.60%
         390         400       0.00036999446    0.000183457    0.00035606968    0.000144680    0.00038151800    0.000243972        -3.76%      3.11%
         400         410       0.00066246722    0.000265285    0.00056463408    0.000189294    0.00079403722    0.000387350       -14.77%     19.86%
         410         420        0.0019549326     0.00184424     0.0014926087     0.00135817     0.0026444386     0.00258006       -23.65%     35.27%
         420         430       0.00013559051    0.000563160    2.4753855e-05    0.000768605    0.00020167849    0.000432708       -81.74%     48.74%
         430         440       2.2885135e-05    0.000191060   -4.0027637e-05    0.000269124    5.9167026e-05    0.000141279      -274.91%    158.54%
         440         450       0.00039137624    0.000275023    0.00031408148    0.000198893    0.00050666170    0.000397111       -19.75%     29.46%
         450         460       0.00030720319    0.000246673    0.00025923334    0.000173991    0.00036728737    0.000363700       -15.62%     19.56%
         460         470       0.00020431342    0.000130471    0.00017493798    9.86685e-05    0.00024068401    0.000180841       -14.38%     17.80%
         470         480       0.00018028207    0.000253403    0.00012738511    0.000339060    0.00024255960    0.000258941       -29.34%     34.54%
         480         490       0.00010360032    2.91937e-05    9.0267400e-05    2.33360e-05    0.00011957159    3.96031e-05       -12.87%     15.42%
         490         500       0.00020597651    8.02640e-05    0.00016445681    5.83741e-05    0.00026560548    0.000114538       -20.16%     28.95%
         500         510       8.8127480e-05    7.75126e-05    8.0959283e-05    6.38083e-05    9.6695286e-05    9.64617e-05        -8.13%      9.72%
         510         520       5.0247155e-05    5.22647e-05    4.1995757e-05    7.20320e-05    5.4025257e-05    4.71833e-05       -16.42%      7.52%
         520         530       0.00017132761    8.73550e-05    0.00015921663    7.42666e-05    0.00018521741    0.000105827        -7.07%      8.11%
         530         540       7.0286228e-05    3.45022e-05    6.4310584e-05    2.70520e-05    7.4738759e-05    4.61549e-05        -8.50%      6.33%
         540         550       7.0099815e-05    6.46236e-05    5.2640181e-05    8.76353e-05    8.0335672e-05    5.04395e-05       -24.91%     14.60%
         550         560      -0.00018171355    0.000253061   -0.00027364541    0.000356988   -0.00012343252    0.000184913        50.59%    -32.07%
         560         570       3.9194474e-05    3.55772e-05    2.7466058e-05    5.40709e-05    4.3995176e-05    2.83034e-05       -29.92%     12.25%
         570         580       0.00015679564    6.38709e-05    0.00012559134    4.96625e-05    0.00020019898    8.44146e-05       -19.90%     27.68%
         580         590       6.3897955e-05    5.90000e-05    5.1673125e-05    4.90135e-05    8.2074626e-05    7.44323e-05       -19.13%     28.45%
         590         600       0.00041300997    0.000232128    0.00030932917    0.000169143    0.00056918916    0.000328838       -25.10%     37.81%
         600         610       0.00038798080    0.000367650    0.00027600067    0.000257150    0.00056668949    0.000545965       -28.86%     46.06%
         610         620      -0.00031486890    0.000368952   -0.00048351367    0.000546307   -0.00021233217    0.000258974        53.56%    -32.56%
         620         630      -0.00043312661    0.000456155   -0.00060686692    0.000635893   -0.00031823115    0.000337150        40.11%    -26.53%
         630         640       0.00074383792    0.000507594    0.00056589827    0.000382163     0.0010048178    0.000694356       -23.92%     35.09%
         640         650      -4.1498290e-05    0.000104197   -6.6617330e-05    0.000147641   -2.6027451e-05    7.59505e-05        60.53%    -37.28%
         650         660       5.6529188e-05    4.04164e-05    4.9757996e-05    3.21967e-05    6.2985273e-05    5.32455e-05       -11.98%     11.42%
         660         670      -7.9382966e-05    7.33673e-05   -0.00011840503    0.000103156   -5.4655321e-05    5.38477e-05        49.16%    -31.15%
         670         680       8.8948418e-05    7.55800e-05    6.6186069e-05    5.55926e-05    0.00012320803    0.000105915       -25.59%     38.52%
         680         690       8.3182943e-05    3.56643e-05    6.4794757e-05    2.74700e-05    0.00010980733    4.76669e-05       -22.11%     32.01%
         690         700      -4.3434417e-05    3.43524e-05   -0.00010518457    8.29045e-05   -7.8829833e-06    7.98995e-06       142.17%    -81.85%
         700         710       4.4701433e-05    3.24224e-05    3.5805767e-05    2.57137e-05    5.7063540e-05    4.18152e-05       -19.90%     27.65%
         710         720       3.1782108e-05    2.09251e-05    2.6119973e-05    1.63794e-05    3.9305003e-05    2.78665e-05       -17.82%     23.67%
         720         730       2.9231897e-05    1.59156e-05    2.4614285e-05    1.27379e-05    3.4610895e-05    2.04795e-05       -15.80%     18.40%
         730         740       1.4850040e-05    9.44529e-06    1.2515029e-05    7.43917e-06    1.7668252e-05    1.23600e-05       -15.72%     18.98%
         740         750       -0.0011466461     0.00116062    -0.0016183330     0.00163453   -0.00083698331    0.000849029        41.14%    -27.01%
         750         760       2.4247549e-05    2.71012e-05    1.6576923e-05    2.06465e-05    3.5813671e-05    3.78574e-05       -31.63%     47.70%
         760         770        0.0011851788     0.00117020    0.00087059718    0.000856051     0.0016617990     0.00164800       -26.54%     40.22%
         770         780       6.5955823e-05    5.44877e-05    5.2143205e-05    4.38816e-05    8.5450818e-05    6.91260e-05       -20.94%     29.56%
         780         790       9.4230095e-06    4.83803e-06    8.1455596e-06    3.88131e-06    1.0697874e-05    5.46448e-06       -13.56%     13.53%
         790         800       7.5956279e-06    8.19798e-06    5.7261436e-06    5.81462e-06    1.0420725e-05    1.20064e-05       -24.61%     37.19%
         800         810       2.3575744e-05    2.31289e-05    1.6182272e-05    1.57017e-05    3.5823494e-05    3.55521e-05       -31.36%     51.95%
         810         820      -3.8419323e-05    3.33504e-05   -7.9097745e-05    6.21186e-05   -1.5528721e-05    1.72704e-05       105.88%    -59.58%
         820         830       1.8656214e-05    1.05193e-05    1.4454512e-05    8.41609e-06    2.4795765e-05    1.34537e-05       -22.52%     32.91%
         830         840       0.00019111999    0.000184632    0.00015262411    0.000148093    0.00024484757    0.000235202       -20.14%     28.11%
