#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.70124643     0.00267054       0.56233875     0.00213386       0.84396449     0.00323222       -19.81%     20.35%
          10          20           1.2519626     0.00164418        1.0238774     0.00134366        1.4811334     0.00194939       -18.22%     18.30%
          20          30          0.70322059     0.00112971       0.59054395    0.000947232       0.81306287     0.00130988       -16.02%     15.62%
          30          40          0.50076363    0.000922050       0.43019473    0.000791518       0.56764507     0.00104761       -14.09%     13.36%
          40          50          0.55763918    0.000946200       0.48572405    0.000825579       0.62446276     0.00105991       -12.90%     11.98%
          50          60          0.98812864     0.00122015       0.86497561     0.00106998        1.1016558     0.00136055       -12.46%     11.49%
          60          70           1.6827940     0.00165996        1.4747755     0.00145764        1.8741960     0.00184887       -12.36%     11.37%
          70          80           2.0719070     0.00191095        1.8175482     0.00167844        2.3056522     0.00212768       -12.28%     11.28%
          80          90           1.4590378     0.00140186        1.2911011     0.00124565        1.6118897     0.00154645       -11.51%     10.48%
          90         100           1.3852778     0.00192862        1.2510615     0.00175165        1.5040505     0.00208867        -9.69%      8.57%
         100         110          0.20027731    0.000691537       0.18321509    0.000629771       0.21500791    0.000746390        -8.52%      7.36%
         110         120          0.15310096    0.000596739       0.14111761    0.000549657       0.16328098    0.000637652        -7.83%      6.65%
         120         130          0.12994084    0.000518866       0.12032438    0.000476382       0.13802254    0.000556288        -7.40%      6.22%
         130         140          0.11243668    0.000466714       0.10454731    0.000432650       0.11900044    0.000495940        -7.02%      5.84%
         140         150         0.097543057    0.000426319      0.091038593    0.000398157       0.10290276    0.000450163        -6.67%      5.49%
         150         160         0.084281501    0.000397579      0.078898471    0.000370966      0.088679399    0.000420046        -6.39%      5.22%
         160         170         0.073844163    0.000373678      0.069349417    0.000350424      0.077482485    0.000393011        -6.09%      4.93%
         170         180         0.063511880    0.000339906      0.059825994    0.000321341      0.066468954    0.000355407        -5.80%      4.66%
         180         190         0.055621201    0.000314780      0.052527574    0.000296860      0.058081049    0.000329528        -5.56%      4.42%
         190         200         0.048531117    0.000296598      0.045962029    0.000280273      0.050552734    0.000309916        -5.29%      4.17%
         200         210         0.042462928    0.000278508      0.040322580    0.000263977      0.044129980    0.000290238        -5.04%      3.93%
         210         220         0.037476841    0.000264980      0.035678024    0.000251537      0.038862708    0.000275797        -4.80%      3.70%
         220         230         0.032677281    0.000253813      0.031191977    0.000241901      0.033807873    0.000263237        -4.55%      3.46%
         230         240         0.028584461    0.000236894      0.027360966    0.000226523      0.029502357    0.000244949        -4.28%      3.21%
         240         250         0.025341235    0.000231339      0.024310322    0.000221412      0.026105411    0.000239057        -4.07%      3.02%
         250         260         0.022644957    0.000210735      0.021767949    0.000201978      0.023286939    0.000217556        -3.87%      2.83%
         260         270         0.019987424    0.000213087      0.019268097    0.000204912      0.020503014    0.000219258        -3.60%      2.58%
         270         280         0.018161181    0.000195187      0.017544746    0.000188464      0.018596175    0.000200193        -3.39%      2.40%
         280         290         0.015804894    0.000176296      0.015311504    0.000170686      0.016143824    0.000180353        -3.12%      2.14%
         290         300         0.014011947    0.000177768      0.013602985    0.000172016      0.014286194    0.000181885        -2.92%      1.96%
         300         310         0.012552515    0.000155126      0.012206959    0.000150495      0.012779461    0.000158434        -2.75%      1.81%
         310         320         0.011433996    0.000152600      0.011151475    0.000148269      0.011611534    0.000155611        -2.47%      1.55%
         320         330         0.010227037    0.000171544     0.0099839244    0.000166439      0.010377364    0.000175125        -2.38%      1.47%
         330         340        0.0092582430    0.000136143     0.0090597168    0.000132717     0.0093749099    0.000138436        -2.14%      1.26%
         340         350        0.0085278219    0.000186134     0.0083636268    0.000183147     0.0086182775    0.000187609        -1.93%      1.06%
         350         360        0.0075407949    0.000124574     0.0074076260    0.000122066     0.0076102413    0.000126107        -1.77%      0.92%
         360         370        0.0068405027    0.000119426     0.0067337609    0.000117085     0.0068912231    0.000120830        -1.56%      0.74%
         370         380        0.0062055120    0.000112522     0.0061203743    0.000110513     0.0062412425    0.000113754        -1.37%      0.58%
         380         390        0.0056929798    0.000116362     0.0056225647    0.000114600     0.0057187680    0.000117246        -1.24%      0.45%
         390         400        0.0050146331    0.000101040     0.0049492116    9.91293e-05     0.0050405167    0.000102222        -1.30%      0.52%
         400         410        0.0046771127    9.61094e-05     0.0046375931    9.50752e-05     0.0046822376    9.64719e-05        -0.84%      0.11%
         410         420        0.0045366305    9.96846e-05     0.0044987698    9.83901e-05     0.0045412386    0.000100257        -0.83%      0.10%
         420         430        0.0040663037    0.000103559     0.0040340301    0.000101975     0.0040690741    0.000104435        -0.79%      0.07%
         430         440        0.0036210801    8.79369e-05     0.0036059878    8.71619e-05     0.0036210801    8.79369e-05        -0.42%   0.00000%
         440         450        0.0032290009    8.08568e-05     0.0032171812    8.06324e-05     0.0032290009    8.08568e-05        -0.37%   0.00000%
         450         460        0.0030988436    9.37342e-05     0.0030795513    9.34252e-05     0.0030988436    9.37342e-05        -0.62%   0.00000%
         460         470        0.0028605355    8.00774e-05     0.0028419313    7.98711e-05     0.0028614022    7.97893e-05        -0.65%      0.03%
         470         480        0.0026877202    7.71955e-05     0.0026666225    7.68879e-05     0.0026926459    7.70309e-05        -0.78%      0.18%
         480         490        0.0023303751    7.10123e-05     0.0023055998    7.04301e-05     0.0023423526    7.12484e-05        -1.06%      0.51%
         490         500        0.0023111058    7.89521e-05     0.0022862286    7.83966e-05     0.0023232847    7.90640e-05        -1.08%      0.53%
         500         510        0.0021216254    7.55661e-05     0.0020959861    7.48947e-05     0.0021361896    7.58350e-05        -1.21%      0.69%
         510         520        0.0019707584    7.03855e-05     0.0019445415    6.97021e-05     0.0019869777    7.06908e-05        -1.33%      0.82%
