#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           35.566902       0.841995        30.760972       0.736509        40.101624       0.939163       -13.51%     12.75%
        0.15         0.3           34.879018       0.861368        30.146082       0.752348        39.351044       0.962380       -13.57%     12.82%
         0.3        0.45           35.845074       0.318245        31.049997       0.272834        40.365546       0.363189       -13.38%     12.61%
        0.45         0.6           35.656886       0.533275        30.832522       0.463544        40.215803       0.599202       -13.53%     12.79%
         0.6        0.75           34.567630       0.534525        29.946100       0.467752        38.929163       0.596759       -13.37%     12.62%
        0.75         0.9           34.765170       0.318603        30.104645       0.280852        39.162755       0.354225       -13.41%     12.65%
         0.9        1.05           34.796030       0.284181        30.215278       0.250235        39.107890       0.316763       -13.16%     12.39%
        1.05         1.2           34.591338       0.310682        30.061914       0.273643        38.857411       0.346171       -13.09%     12.33%
         1.2        1.35           33.091068       0.298704        28.795935       0.262250        37.128787       0.333757       -12.98%     12.20%
        1.35         1.5           32.737963       0.239495        28.530834       0.210451        36.691418       0.267382       -12.85%     12.08%
         1.5        1.65           32.889374       0.267870        28.682298       0.233966        36.842887       0.300389       -12.79%     12.02%
        1.65         1.8           32.035349       0.341900        28.039393       0.292750        35.777296       0.391052       -12.47%     11.68%
         1.8        1.95           30.721005       0.350000        26.917889       0.302013        34.279010       0.397623       -12.38%     11.58%
        1.95         2.1           30.391501       0.258528        26.671898       0.226537        33.872715       0.289372       -12.24%     11.45%
         2.1        2.25           30.020831       0.253489        26.379355       0.224668        33.425525       0.280679       -12.13%     11.34%
        2.25         2.4           28.632081       0.222689        25.188901       0.197967        31.849068       0.246313       -12.03%     11.24%
         2.4        2.55           28.072350       0.275856        24.738596       0.245998        31.184114       0.304601       -11.88%     11.08%
        2.55         2.7           27.123647       0.253256        23.943275       0.220709        30.086243       0.284848       -11.73%     10.92%
         2.7        2.85           25.451698       0.228134        22.488825       0.201368        28.210055       0.253518       -11.64%     10.84%
        2.85           3           24.703020       0.294813        21.884777       0.270813        27.320231       0.317365       -11.41%     10.59%
           3        3.15           22.646385       0.310064        20.051743       0.284476        25.056519       0.333962       -11.46%     10.64%
        3.15         3.3           21.481877       0.259789        19.060611       0.227790        23.725434       0.291077       -11.27%     10.44%
         3.3        3.45           18.806437       0.312808        16.684972       0.290460        20.774476       0.333040       -11.28%     10.46%
        3.45         3.6           17.625632       0.288734        15.698110       0.269766        19.407815       0.306027       -10.94%     10.11%
         3.6        3.75           15.239453       0.247001        13.576080       0.224122        16.777208       0.267645       -10.91%     10.09%
        3.75         3.9           13.688231       0.240760        12.215298       0.218751        15.049045       0.260534       -10.76%      9.94%
         3.9        4.05           11.241100       0.148662        10.032590       0.131664        12.360482       0.164890       -10.75%      9.96%
        4.05         4.2           8.8249993       0.127068        7.8655045       0.112841        9.7195555       0.140833       -10.87%     10.14%
         4.2        4.35           6.9798319       0.125543        6.1958767       0.109900        7.7176641       0.140883       -11.23%     10.57%
        4.35         4.5           5.3033031       0.213875        4.6683264       0.181471        5.9087329       0.245380       -11.97%     11.42%
         4.5        4.65           4.1512037      0.0893828        3.6131602      0.0765907        4.6695247       0.102055       -12.96%     12.49%
        4.65         4.8           3.4344560      0.0614248        2.9610919      0.0528262        3.8935759      0.0698792       -13.78%     13.37%
         4.8        4.95           2.7825310      0.0682468        2.3944478      0.0578566        3.1583476      0.0784878       -13.95%     13.51%
        4.95         5.1           2.4726438      0.0746466        2.1287001      0.0635266        2.8049457      0.0855264       -13.91%     13.44%
         5.1        5.25           1.9306516       0.123747        1.6624087       0.103152        2.1899778       0.144514       -13.89%     13.43%
        5.25         5.4           1.5832512      0.0557682        1.3729263      0.0483888        1.7846389      0.0628522       -13.28%     12.72%
         5.4        5.55           1.0851182      0.0982064       0.94665237      0.0813257        1.2166183       0.115309       -12.76%     12.12%
        5.55         5.7          0.86397299      0.0409795       0.75686187      0.0361478       0.96521879      0.0455026       -12.40%     11.72%
         5.7        5.85          0.48092943      0.0392182       0.42151842      0.0349702       0.53709412      0.0431544       -12.35%     11.68%
        5.85           6          0.38737029      0.0226033       0.34143438      0.0197103       0.43051689      0.0253623       -11.86%     11.14%
           6        6.15          0.21959119      0.0397689       0.19486674      0.0348368       0.24263146      0.0444126       -11.26%     10.49%
        6.15         6.3       -0.0091524698      0.0613738     -0.010095616      0.0675260    -0.0080438568      0.0546807        10.30%    -12.11%
         6.3        6.45         0.052694463     0.00575810      0.047484355     0.00513862      0.057414260     0.00632951        -9.89%      8.96%
        6.45         6.6         0.013629090     0.00797899      0.012360512     0.00724252      0.014766695     0.00863551        -9.31%      8.35%
         6.6        6.75        0.0066923336     0.00266936     0.0060884380     0.00239392     0.0072299203     0.00292232        -9.02%      8.03%
        6.75         6.9       0.00092857046    0.000753578    0.00086641069    0.000696738    0.00098082390    0.000802362        -6.69%      5.63%
         6.9        7.05       8.3603452e-05    5.73458e-05    8.1833952e-05    5.59017e-05    8.4692556e-05    5.84145e-05        -2.12%      1.30%
        7.05         7.2       3.2869714e-10    3.28697e-10    2.7559736e-10    2.75597e-10    3.9638326e-10    3.96383e-10       -16.15%     20.59%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
