#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.4628228      0.0498871        2.0130280      0.0428011        2.9174621      0.0566558       -18.26%     18.46%
           5          10           2.8252759      0.0494546        2.3718112      0.0424995        3.2702709      0.0560717       -16.05%     15.75%
          10          15           2.2171678      0.0145567        1.9170334      0.0128774        2.5002962      0.0161268       -13.54%     12.77%
          15          20           2.2272833      0.0158009        1.9491046      0.0141015        2.4848979      0.0173441       -12.49%     11.57%
          20          25           2.3900892      0.0157852        2.1013737      0.0138730        2.6556543      0.0175549       -12.08%     11.11%
          25          30           2.4283250      0.0206487        2.1405368      0.0180353        2.6923025      0.0231146       -11.85%     10.87%
          30          35           2.4634961      0.0317695        2.1798519      0.0277681        2.7224892      0.0354884       -11.51%     10.51%
          35          40           2.3211909      0.0324476        2.0623485      0.0287687        2.5565899      0.0358114       -11.15%     10.14%
          40          45           1.8160122      0.0190404        1.6196038      0.0174318        1.9938304      0.0204641       -10.82%      9.79%
          45          50          0.76343102      0.0103837       0.69543813     0.00951603       0.82310678      0.0111503        -8.91%      7.82%
          50          55          0.46499943     0.00593094       0.42982203     0.00549738       0.49496866     0.00630562        -7.57%      6.45%
          55          60          0.31964047     0.00668942       0.29714767     0.00624595       0.33854448     0.00706430        -7.04%      5.91%
          60          65          0.24550212     0.00528373       0.22912526     0.00496282       0.25910578     0.00555185        -6.67%      5.54%
          65          70          0.19203600     0.00556947       0.18048253     0.00528763       0.20147857     0.00579752        -6.02%      4.92%
          70          75          0.15155217     0.00564427       0.14241905     0.00540153       0.15897794     0.00583116        -6.03%      4.90%
          75          80          0.10925955     0.00489706       0.10303347     0.00470183       0.11429203     0.00504313        -5.70%      4.61%
          80          85         0.085673750     0.00390781      0.081080625     0.00380897      0.089340877     0.00397230        -5.36%      4.28%
          85          90         0.077626111     0.00266136      0.073595288     0.00255068      0.080823960     0.00274523        -5.19%      4.12%
          90          95         0.056837578     0.00273626      0.054085136     0.00261587      0.058988045     0.00282832        -4.84%      3.78%
          95         100         0.048217187     0.00220240      0.045993552     0.00212613      0.049937316     0.00225731        -4.61%      3.57%
         100         105         0.038201783     0.00181568      0.036567883     0.00177342      0.039449863     0.00184569        -4.28%      3.27%
         105         110         0.031310984     0.00138876      0.030054587     0.00136481      0.032249229     0.00140304        -4.01%      3.00%
         110         115         0.025654648     0.00132742      0.024655782     0.00130331      0.026398727     0.00134183        -3.89%      2.90%
         115         120         0.022447750     0.00117426      0.021610307     0.00112783      0.023064299     0.00120932        -3.73%      2.75%
         120         125         0.019741998     0.00127713      0.019079146     0.00125333      0.020220484     0.00129078        -3.36%      2.42%
         125         130         0.015212578     0.00144257      0.014710474     0.00140790      0.015569466     0.00146505        -3.30%      2.35%
         130         135         0.015147558     0.00100895      0.014774761     0.00100760      0.015390881     0.00100558        -2.46%      1.61%
         135         140         0.011776767     0.00124555      0.011441539     0.00122074      0.012004832     0.00126058        -2.85%      1.94%
         140         145        0.0088607119    0.000687933     0.0086555272    0.000673141     0.0089924832    0.000697061        -2.32%      1.49%
         145         150        0.0091959640    0.000554747     0.0089839067    0.000547714     0.0093271005    0.000558971        -2.31%      1.43%
         150         155        0.0079783546    0.000561276     0.0078601068    0.000555611     0.0080361710    0.000563391        -1.48%      0.72%
         155         160        0.0058860510    0.000580519     0.0057609082    0.000570561     0.0059623020    0.000585924        -2.13%      1.30%
         160         165        0.0070247834    0.000768345     0.0068882053    0.000752142     0.0071027119    0.000777875        -1.94%      1.11%
         165         170        0.0045819305    0.000813298     0.0045192538    0.000789182     0.0046122813    0.000830178        -1.37%      0.66%
         170         175        0.0043351456    0.000368056     0.0042992336    0.000350426     0.0043409782    0.000384608        -0.83%      0.13%
         175         180        0.0045020931    0.000708402     0.0044784911    0.000698552     0.0045020931    0.000708402        -0.52%   0.00000%
         180         185        0.0021618073    0.000808925     0.0021287590    0.000819220     0.0021790353    0.000794912        -1.53%      0.80%
         185         190        0.0030809624    0.000433263     0.0030624036    0.000424446     0.0030809624    0.000433263        -0.60%   0.00000%
         190         195        0.0030801166    0.000323935     0.0030692154    0.000321076     0.0030801166    0.000323935        -0.35%   0.00000%
         195         200        0.0026518509    0.000480598     0.0026387124    0.000470834     0.0026518509    0.000480598        -0.50%   0.00000%
         200         205        0.0025260415    0.000554495     0.0025163212    0.000560864     0.0025260415    0.000554495        -0.38%   0.00000%
         205         210        0.0016839724    0.000556197     0.0016632079    0.000549210     0.0016923570    0.000559344        -1.23%      0.50%
         210         215        0.0011887994    0.000496641     0.0011665451    0.000502383     0.0012065940    0.000486930        -1.87%      1.50%
         215         220        0.0014662002    0.000298922     0.0014530752    0.000297924     0.0014729000    0.000298143        -0.90%      0.46%
         220         225        0.0013298261    0.000186334     0.0013169712    0.000196600     0.0013316498    0.000177623        -0.97%      0.14%
         225         230        0.0012372573    0.000180074     0.0012209432    0.000176676     0.0012483191    0.000183098        -1.32%      0.89%
         230         235        0.0013527540    0.000206127     0.0013227980    0.000200329     0.0013798009    0.000212192        -2.21%      2.00%
         235         240       0.00099612668    0.000210488    0.00097772294    0.000208454     0.0010111479    0.000211326        -1.85%      1.51%
         240         245        0.0011785712    0.000152055     0.0011651799    0.000150743     0.0011862332    0.000152616        -1.14%      0.65%
         245         250        0.0010340809    0.000140279     0.0010123249    0.000138395     0.0010526381    0.000141606        -2.10%      1.79%
         250         255        0.0010758010    0.000190442     0.0010586142    0.000187812     0.0010886330    0.000192256        -1.60%      1.19%
         255         260       0.00084107386    0.000156637    0.00082871501    0.000151679    0.00084940211    0.000161441        -1.47%      0.99%
         260         265       0.00064550949    0.000188759    0.00063406128    0.000184130    0.00065466844    0.000192848        -1.77%      1.42%
         265         270       0.00037636394    0.000309257    0.00037015849    0.000297568    0.00038168093    0.000320918        -1.65%      1.41%
         270         275       0.00036888137    0.000197266    0.00036015968    0.000193710    0.00037655401    0.000200312        -2.36%      2.08%
