#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.5359916      0.0495929        2.0633095      0.0425470        3.0156232      0.0563219       -18.64%     18.91%
           5          10           2.9495382      0.0496544        2.4817660      0.0426777        3.4068856      0.0562940       -15.86%     15.51%
          10          15           2.5516405      0.0170465        2.2171452      0.0151365        2.8645314      0.0187959       -13.11%     12.26%
          15          20           2.9955436      0.0172724        2.6245731      0.0153863        3.3380285      0.0189993       -12.38%     11.43%
          20          25           3.1358519      0.0174958        2.7551770      0.0154844        3.4859289      0.0193510       -12.14%     11.16%
          25          30           2.7032214      0.0205328        2.3843445      0.0184349        2.9953809      0.0224416       -11.80%     10.81%
          30          35           2.1936896      0.0199248        1.9461585      0.0178835        2.4190496      0.0217911       -11.28%     10.27%
          35          40           1.7154595      0.0188128        1.5387039      0.0168874        1.8742909      0.0205657       -10.30%      9.26%
          40          45           1.0912734      0.0168082       0.99245230      0.0153969        1.1782777      0.0180624        -9.06%      7.97%
          45          50          0.50933087      0.0111915       0.47158278      0.0100638       0.54131884      0.0122414        -7.41%      6.28%
          50          55          0.36215781     0.00647458       0.33876391     0.00606791       0.38146442     0.00681454        -6.46%      5.33%
          55          60          0.25668404     0.00668023       0.24076428     0.00627507       0.26973794     0.00701154        -6.20%      5.09%
          60          65          0.19696309     0.00731801       0.18543644     0.00708259       0.20630864     0.00749074        -5.85%      4.74%
          65          70          0.13572788     0.00779474       0.12868913     0.00704263       0.14130286     0.00854978        -5.19%      4.11%
          70          75          0.11770687     0.00526525       0.11145742     0.00498572       0.12267180     0.00549161        -5.31%      4.22%
          75          80         0.083909394     0.00548788      0.079961105     0.00516190      0.086962614     0.00576762        -4.71%      3.64%
          80          85         0.065278252     0.00322984      0.062277083     0.00309113      0.067603517     0.00333503        -4.60%      3.56%
          85          90         0.058442190     0.00272490      0.055821792     0.00259034      0.060461961     0.00283145        -4.48%      3.46%
          90          95         0.046402068     0.00205156      0.044600805     0.00196645      0.047741377     0.00211982        -3.88%      2.89%
          95         100         0.033361277     0.00269625      0.032095033     0.00258254      0.034296544     0.00278259        -3.80%      2.80%
         100         105         0.030387556     0.00263760      0.029334816     0.00260179      0.031146764     0.00265166        -3.46%      2.50%
         105         110         0.023708301     0.00136491      0.022942470     0.00132135      0.024255127     0.00139616        -3.23%      2.31%
         110         115         0.017182196     0.00222542      0.016639264     0.00220832      0.017568096     0.00222503        -3.16%      2.25%
         115         120         0.016908946    0.000996777      0.016439058    0.000964419      0.017229177     0.00102026        -2.78%      1.89%
         120         125         0.013399885     0.00105725      0.013007679     0.00103164      0.013667368     0.00107471        -2.93%      2.00%
         125         130         0.011516643     0.00138837      0.011305740     0.00134284      0.011635203     0.00142138        -1.83%      1.03%
         130         135         0.011993275     0.00137034      0.011787149     0.00135234      0.012104316     0.00137929        -1.72%      0.93%
         135         140        0.0071119815     0.00140809     0.0069856570     0.00137799     0.0071808206     0.00142661        -1.78%      0.97%
         140         145        0.0072422655    0.000737023     0.0071100880    0.000726717     0.0073154726    0.000742585        -1.83%      1.01%
         145         150        0.0067458340    0.000927044     0.0067045210    0.000946229     0.0067466911    0.000908114        -0.61%      0.01%
         150         155        0.0045781700    0.000687753     0.0045634663    0.000679996     0.0045781700    0.000687753        -0.32%   0.00000%
         155         160        0.0057135952    0.000532526     0.0056577275    0.000527340     0.0057299212    0.000534029        -0.98%      0.29%
         160         165        0.0043693021    0.000480160     0.0043408392    0.000477870     0.0043702571    0.000479759        -0.65%      0.02%
         165         170        0.0035623465    0.000395903     0.0035496577    0.000389623     0.0035623465    0.000395903        -0.36%   0.00000%
         170         175        0.0032421058    0.000444519     0.0032019771    0.000437051     0.0032689727    0.000451277        -1.24%      0.83%
         175         180        0.0031837950    0.000392402     0.0031664651    0.000397316     0.0031837950    0.000392402        -0.54%   0.00000%
         180         185        0.0023187441    0.000469137     0.0023014114    0.000465519     0.0023241559    0.000470098        -0.75%      0.23%
         185         190        0.0021996989    0.000788952     0.0021860721    0.000781076     0.0021998348    0.000792324        -0.62%     0.006%
         190         195        0.0013423949    0.000628244     0.0013258684    0.000620537     0.0013536609    0.000632265        -1.23%      0.84%
         195         200        0.0024846041    0.000624070     0.0024394502    0.000608096     0.0025205486    0.000638651        -1.82%      1.45%
         200         205       0.00095058020    0.000568499    0.00094151825    0.000551872    0.00095502788    0.000584128        -0.95%      0.47%
         205         210        0.0011556163    0.000289156     0.0011470015    0.000283013     0.0011584781    0.000294720        -0.75%      0.25%
         210         215        0.0017167444    0.000198384     0.0016901429    0.000195348     0.0017359526    0.000200642        -1.55%      1.12%
         215         220        0.0011142321    0.000197550     0.0010929942    0.000194279     0.0011319357    0.000200142        -1.91%      1.59%
         220         225       0.00089427091    0.000280271    0.00088989648    0.000271017    0.00089427091    0.000280271        -0.49%   0.00000%
         225         230       0.00077983827    0.000202805    0.00076427607    0.000200426    0.00079290552    0.000204302        -2.00%      1.68%
         230         235       0.00097471890    0.000352246    0.00095329919    0.000349094    0.00099381075    0.000353708        -2.20%      1.96%
         235         240       0.00059299860    0.000244025    0.00057313352    0.000241314    0.00061273584    0.000245583        -3.35%      3.33%
         240         245       0.00073549583    0.000158129    0.00071765464    0.000155029    0.00075158972    0.000160783        -2.43%      2.19%
         245         250       0.00037228133    0.000191762    0.00036913272    0.000199531    0.00037261993    0.000184266        -0.85%      0.09%
         250         255       0.00040715350    0.000167884    0.00039558087    0.000163425    0.00041825229    0.000172005        -2.84%      2.73%
         255         260       0.00077752918    0.000128204    0.00075510849    0.000124186    0.00079872541    0.000132021        -2.88%      2.73%
         260         265       0.00054584291    0.000151605    0.00053164812    0.000146731    0.00055894835    0.000156274        -2.60%      2.40%
         265         270       0.00065883118    0.000128727    0.00064254920    0.000124320    0.00067371246    0.000133337        -2.47%      2.26%
         270         275       0.00047797720    0.000204123    0.00047070468    0.000192220    0.00048274246    0.000217380        -1.52%       1.0%
         275         280       0.00051421244    0.000144489    0.00049404797    0.000135521    0.00053495854    0.000154584        -3.92%      4.03%
         280         285       6.7049942e-05    0.000209368    6.6566211e-05    0.000203690    6.7371816e-05    0.000214475        -0.72%      0.48%
         285         290       0.00046398896    9.19426e-05    0.00044995362    8.96815e-05    0.00047750614    9.39855e-05        -3.02%      2.91%
         290         295       0.00018133820    0.000114818    0.00017404516    0.000112025    0.00018876371    0.000117363        -4.02%      4.09%
         295         300       0.00044289855    0.000140743    0.00042354828    0.000134498    0.00046315941    0.000147342        -4.37%      4.57%
         300         305       0.00048231393    0.000176537    0.00046171075    0.000167961    0.00050354167    0.000185618        -4.27%      4.40%
         305         310       0.00054104738    0.000284587    0.00051769751    0.000271827    0.00056528170    0.000297843        -4.32%      4.48%
         310         315       0.00032877744    0.000124329    0.00031444898    0.000119796    0.00034366253    0.000128857        -4.36%      4.53%
         315         320       8.1491436e-06    0.000281241    4.9803942e-06    0.000294345    1.0775718e-05    0.000268614       -38.88%     32.23%
         320         325       0.00022671185    7.37113e-05    0.00021442422    6.96450e-05    0.00024009097    7.81878e-05        -5.42%      5.90%
         325         330      -5.5055756e-05    0.000149147   -6.1395311e-05    0.000157102   -4.9450771e-05    0.000141683        11.51%    -10.18%
         330         335       9.4043440e-05    2.79226e-05    8.9589097e-05    2.66062e-05    9.8739757e-05    2.93667e-05        -4.74%      4.99%
         335         340      -0.00015096573    0.000224477   -0.00015096573    0.000224477   -0.00015000748    0.000218057      0.00000%     -0.63%
         340         345       0.00022010985    6.82609e-05    0.00020863727    6.65538e-05    0.00023256814    6.98878e-05        -5.21%      5.66%
         345         350      -0.00017818246    0.000379990   -0.00018276594    0.000374548   -0.00017108649    0.000383590         2.57%     -3.98%
         350         355       0.00020747823    4.00088e-05    0.00019699925    3.75932e-05    0.00021866946    4.26968e-05        -5.05%      5.39%
         355         360       0.00015943646    3.84183e-05    0.00015197377    3.69513e-05    0.00016733780    3.99148e-05        -4.68%      4.96%
         360         365       0.00014317399    2.53694e-05    0.00014304215    3.00388e-05    0.00014400098    2.25226e-05        -0.09%      0.58%
         365         370       1.3399944e-05    7.84762e-05    1.2375781e-05    8.41751e-05    1.4084361e-05    7.33983e-05        -7.64%      5.11%
         370         375       0.00012559666    3.16950e-05    0.00011931673    3.02355e-05    0.00013236430    3.32586e-05        -5.00%      5.39%
         375         380       2.4748784e-05    1.95730e-05    2.3378452e-05    1.85866e-05    2.6195905e-05    2.06539e-05        -5.54%      5.85%
         380         385       6.6158220e-05    3.24465e-05    6.3971468e-05    3.06388e-05    6.8285811e-05    3.44333e-05        -3.31%      3.22%
         385         390       0.00011186670    2.18822e-05    0.00010602694    2.07730e-05    0.00011817126    2.30758e-05        -5.22%      5.64%
         390         395       6.3372975e-05    2.58987e-05    6.1505766e-05    2.40772e-05    6.5578924e-05    2.81170e-05        -2.95%      3.48%
         395         400       1.7258808e-05    8.69107e-06    1.6525034e-05    8.20457e-06    1.8022500e-05    9.21518e-06        -4.25%      4.42%
         400         405       0.00011671534    2.15105e-05    0.00011060398    2.03299e-05    0.00012329557    2.27976e-05        -5.24%      5.64%
