#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.2784960      0.0529301        2.1747883      0.0452219        2.3469737      0.0596957        -4.55%      3.01%
           5          10           3.3916952      0.0580122        3.1853260      0.0499818        3.5003214      0.0656808        -6.08%      3.20%
          10          15           3.0796121      0.0456332        2.8984092      0.0407446        3.2023996      0.0500752        -5.88%      3.99%
          15          20           3.5145412      0.0630121        3.3404021      0.0561216        3.6271877      0.0692392        -4.95%      3.21%
          20          25           3.6800155      0.0630864        3.5184110      0.0559941        3.7780356      0.0695220        -4.39%      2.66%
          25          30           3.3905060       0.108142        3.2421441      0.0944473        3.4825379       0.120784        -4.38%      2.71%
          30          35           2.5306864       0.107252        2.4504533      0.0936929        2.5702328       0.119426        -3.17%      1.56%
          35          40           1.9253309      0.0407786        1.8795937      0.0366385        1.9499592      0.0445885        -2.38%      1.28%
          40          45           1.2192752      0.0279284        1.2027993      0.0256495        1.2342962      0.0300600        -1.35%      1.23%
          45          50          0.70830170      0.0188642       0.68947858      0.0177282       0.73165083      0.0203263        -2.66%      3.30%
          50          55          0.52473700      0.0149263       0.50935662      0.0137910       0.54381560      0.0163626        -2.93%      3.64%
          55          60          0.39647375      0.0153013       0.38324930      0.0141411       0.41287800      0.0167694        -3.34%      4.14%
          60          65          0.28134299      0.0132110       0.27336045      0.0123582       0.29124493      0.0143035        -2.84%      3.52%
          65          70          0.20409392      0.0115774       0.19762633      0.0109921       0.21211664      0.0123387        -3.17%      3.93%
          70          75          0.17867972     0.00905167       0.17291154     0.00849477       0.18583486     0.00976741        -3.23%      4.00%
          75          80          0.12498973      0.0101321       0.12110343     0.00946485       0.12998611      0.0105401        -3.11%      4.00%
          80          85          0.10636725     0.00836093       0.10248013     0.00769317       0.11118902     0.00920231        -3.65%      4.53%
          85          90         0.091262598     0.00666755      0.088157708     0.00614664      0.095114057     0.00732512        -3.40%      4.22%
          90          95         0.066390458     0.00585261      0.064499508     0.00537005      0.068768550     0.00629852        -2.85%      3.58%
          95         100         0.051903359     0.00477956      0.049930286     0.00458087      0.054622207     0.00500945        -3.80%      5.24%
         100         105         0.045530383     0.00515135      0.044054681     0.00485975      0.047565648     0.00548085        -3.24%      4.47%
         105         110         0.049499775     0.00721094      0.047023928     0.00659513      0.052624189     0.00791380        -5.00%      6.31%
         110         115         0.015926729     0.00721962      0.015742778     0.00725422      0.016246551     0.00712406        -1.15%      2.01%
         115         120         0.017184517     0.00495598      0.016903500     0.00505525      0.017728711     0.00535521        -1.64%      3.17%
         120         125         0.029934578     0.00461530      0.028312533     0.00423301      0.032008515     0.00506423        -5.42%      6.93%
         125         130         0.016748557     0.00437758      0.016253605     0.00400705      0.017362519     0.00484209        -2.96%      3.67%
         130         135         0.016151504     0.00378923      0.015391534     0.00346282      0.017216541     0.00417687        -4.71%      6.59%
         135         140         0.015854009     0.00310953      0.014839639     0.00288208      0.017137746     0.00337838        -6.40%      8.10%
         140         145        0.0073491167     0.00321541     0.0072474975     0.00320886     0.0075661175     0.00355771        -1.38%      2.95%
         145         150         0.012018308     0.00239242      0.011448756     0.00218052      0.012763785     0.00264284        -4.74%      6.20%
         150         155        0.0092293804     0.00161922     0.0085890677     0.00147389      0.010073525     0.00179791        -6.94%      9.15%
         155         160        0.0089376239     0.00133012     0.0085312072     0.00120715     0.0094890354     0.00148195        -4.55%      6.17%
         160         165        0.0060555556     0.00116957     0.0058785532     0.00106616     0.0063044717     0.00129503        -2.92%      4.11%
         165         170        0.0068206175     0.00167563     0.0063397486     0.00143259     0.0074852985     0.00200211        -7.05%      9.75%
         170         175        0.0033105837     0.00158562     0.0032449793     0.00134479     0.0034064167     0.00191077        -1.98%      2.89%
         175         180        0.0035065147    0.000875273     0.0034759846    0.000809793     0.0035487755    0.000983809        -0.87%      1.21%
         180         185        0.0047857219     0.00112051     0.0044246584     0.00101238     0.0052675153     0.00125323        -7.54%     10.07%
         185         190        0.0030175947     0.00131172     0.0028801382     0.00121276     0.0032134207     0.00143439        -4.56%      6.49%
         190         195        0.0021791724    0.000895077     0.0020701295    0.000842177     0.0023383805    0.000958068        -5.00%      7.31%
         195         200        0.0038857010    0.000825841     0.0036982358    0.000775438     0.0041252231    0.000885189        -4.82%      6.16%
         200         205        0.0021933027    0.000792896     0.0020298220    0.000738070     0.0024126605    0.000858059        -7.45%     10.00%
         205         210        0.0011264510    0.000577134     0.0011230284    0.000628546     0.0011480425    0.000591292        -0.30%      1.92%
         210         215        0.0026674436    0.000419164     0.0025347883    0.000378944     0.0028420082    0.000469086        -4.97%      6.54%
         215         220        0.0016261627    0.000629023     0.0015372780    0.000566617     0.0017545612    0.000705272        -5.47%      7.90%
         220         225        0.0010030629    0.000666717    0.00099277090    0.000615260     0.0010283679    0.000746180        -1.03%      2.52%
         225         230        0.0028495171    0.000795974     0.0026314114    0.000716603     0.0031178854    0.000892838        -7.65%      9.42%
         230         235       0.00063423634    0.000739968    0.00059381080    0.000812681    0.00067196560    0.000679919        -6.37%      5.95%
         235         240       0.00094659764    0.000595909    0.00087551316    0.000537993     0.0010455582    0.000667364        -7.51%     10.45%
         240         245        0.0012915661    0.000675493     0.0011994003    0.000594127     0.0014162773    0.000777120        -7.14%      9.66%
         245         250       0.00098238876    0.000604959    0.00091913623    0.000525857     0.0010637256    0.000706057        -6.44%      8.28%
         250         255        0.0010841491    0.000544038    0.00099210107    0.000473054     0.0012103061    0.000635351        -8.49%     11.64%
         255         260        0.0010767573    0.000560492     0.0010202087    0.000491264     0.0011495532    0.000646765        -5.25%      6.76%
         260         265       0.00038239304    0.000363267    0.00035080360    0.000418600    0.00041144633    0.000321142        -8.26%      7.60%
         265         270       0.00099757717    0.000268245    0.00093373428    0.000238527     0.0010825210    0.000306118        -6.40%      8.52%
         270         275       0.00076904787    0.000305263    0.00071821752    0.000273650    0.00083755674    0.000345704        -6.61%      8.91%
         275         280       0.00036615394    0.000380097    0.00034877935    0.000418550    0.00038016063    0.000349564        -4.75%      3.83%
         280         285      -0.00019282243    0.000395629   -0.00022451040    0.000441748   -0.00016194592    0.000358382        16.43%    -16.01%
         285         290       0.00098932328    0.000315272    0.00091700497    0.000280085     0.0010778364    0.000359151        -7.31%      8.95%
         290         295       9.4445935e-06    0.000202779   -2.0334765e-05    0.000228543    3.6616046e-05    0.000182644      -315.31%    287.69%
         295         300       0.00056567569    0.000196818    0.00052226510    0.000175409    0.00062029880    0.000225192        -7.67%      9.66%
         300         305        0.0010995517    0.000481613     0.0010076355    0.000420559     0.0012179540    0.000558473        -8.36%     10.77%
         305         310       7.0864522e-05    0.000537947    1.5688786e-05    0.000584096    0.00011534495    0.000501819       -77.86%     62.77%
         310         315        0.0010513742    0.000410869    0.00094612083    0.000363548     0.0011808530    0.000468805       -10.01%     12.32%
         315         320       4.6745656e-05    0.000567032    4.3094333e-05    0.000527092    5.2159273e-05    0.000547815        -7.81%     11.58%
         320         325       0.00011523240    0.000339051    0.00010215034    0.000377053    0.00013465469    0.000348834       -11.35%     16.85%
         325         330      -0.00020207313    0.000197129   -0.00023288511    0.000216595   -0.00017265439    0.000181075        15.25%    -14.56%
         330         335       0.00023584323    0.000100582    0.00021177399    8.67548e-05    0.00026946713    0.000118679       -10.21%     14.26%
         335         340      -0.00038375325    0.000261152   -0.00043233031    0.000280619   -0.00034248566    0.000245584        12.66%    -10.75%
         340         345       0.00068490424    0.000215602    0.00061162520    0.000186355    0.00078201274    0.000253623       -10.70%     14.18%
         345         350      -0.00018129236    0.000393996   -0.00018165730    0.000397399   -0.00017840462    0.000399680         0.20%     -1.59%
         350         355      -7.1737990e-05    0.000302019   -0.00011652150    0.000356630   -3.5256370e-05    0.000259014        62.43%    -50.85%
         355         360       0.00053249657    0.000247724    0.00048487457    0.000213243    0.00059229344    0.000291385        -8.94%     11.23%
         360         365       0.00018128122    7.46712e-05    0.00017743320    8.23920e-05    0.00018601333    6.84534e-05        -2.12%      2.61%
         365         370      -3.6561903e-05    0.000140542   -4.5295471e-05    0.000161037   -2.8437247e-05    0.000124233        23.89%    -22.22%
         370         375       4.6222422e-05    0.000131844    2.0785890e-05    0.000160513    6.8300090e-05    0.000110551       -55.03%     47.76%
         375         380       0.00019739791    0.000171494    0.00018106489    0.000155493    0.00021791078    0.000199755        -8.27%     10.39%
         380         385       6.4877783e-05    5.59076e-05    6.2438611e-05    6.45739e-05    6.6600566e-05    5.24890e-05        -3.76%      2.66%
         385         390       0.00017455036    0.000195182    0.00016862034    0.000176961    0.00018190626    0.000217813        -3.40%      4.21%
         390         395      -5.5581828e-05    0.000150426   -7.7080708e-05    0.000181043   -3.8219817e-05    0.000126896        38.68%    -31.24%
         395         400       0.00012360338    0.000108049    0.00010467557    8.94795e-05    0.00014979566    0.000132833       -15.31%     21.19%
         400         405       0.00030315359    0.000126903    0.00026997478    0.000106150    0.00034588872    0.000154054       -10.94%     14.10%
