#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.31108608      0.0225746       0.27978464      0.0204631       0.34759188      0.0252237       -10.06%     11.73%
         0.1         0.2           1.8048312      0.0789619        1.6340928      0.0714919        2.0166235      0.0882280        -9.46%     11.73%
         0.2         0.3           3.0478314      0.0559737        2.7598830      0.0506796        3.4050170      0.0625409        -9.45%     11.72%
         0.3         0.4           3.7524780      0.0751653        3.3986710      0.0680572        4.1913578      0.0839830        -9.43%     11.70%
         0.4         0.5           4.3463660      0.0786267        3.9380067      0.0711996        4.8529153      0.0878410        -9.40%     11.65%
         0.5         0.6           4.8542886      0.0975670        4.4010876      0.0883503        5.4164617       0.109002        -9.34%     11.58%
         0.6         0.7           5.3741627       0.106170        4.8772676      0.0961472        5.9905361       0.118604        -9.25%     11.47%
         0.7         0.8           5.7923050       0.150006        5.2637304       0.135840        6.4479752       0.167580        -9.13%     11.32%
         0.8         0.9           6.6760855       0.189886        6.0619250       0.169856        7.4232474       0.212135        -9.20%     11.19%
         0.9           1           7.2769983       0.157098        6.5985702       0.144598        8.0771819       0.175472        -9.32%     11.00%
           1         1.1           8.1129436       0.224885        7.3593650       0.205495        8.9869773       0.251214        -9.29%     10.77%
         1.1         1.2           8.4119608       0.246578        7.6360291       0.217358        9.2851811       0.275430        -9.22%     10.38%
         1.2         1.3           9.0608746       0.214783        8.2238327       0.190385        9.9674081       0.239855        -9.24%     10.00%
         1.3         1.4           10.297949       0.685682        9.3270345       0.622423        11.286020       0.766086        -9.43%      9.59%
         1.4         1.5           11.826131       0.602648        10.818496       0.551787        12.917984       0.673271        -8.52%      9.23%
         1.5         1.6           12.608008       0.441232        11.619934       0.376175        13.685488       0.492819        -7.84%      8.55%
         1.6         1.7           15.568326       0.648417        14.196298       0.553596        16.871159       0.724328        -8.81%      8.37%
         1.7         1.8           15.585196       0.626060        14.434755       0.534583        16.720620       0.699277        -7.38%      7.29%
         1.8         1.9           17.223592        1.57741        16.164274        1.26024        18.347013        1.76239        -6.15%      6.52%
         1.9           2           22.760065        1.68852        20.819710        1.37172        24.372101        2.02340        -8.53%      7.08%
           2         2.1           21.810954        1.22648        20.523770        1.05525        22.920164        1.37016        -5.90%      5.09%
         2.1         2.2           27.048846        1.72248        25.362589        1.48088        28.405598        1.92439        -6.23%      5.02%
         2.2         2.3           30.741896        1.71264        29.121922        1.49553        32.035900        1.91172        -5.27%      4.21%
         2.3         2.4           34.887514        1.74820        33.144202        1.51981        36.126911        1.95304        -5.00%      3.55%
         2.4         2.5           47.112377        1.90863        44.208577        1.64425        49.132510        2.16660        -6.16%      4.29%
         2.5         2.6           48.008290        2.32687        46.150100        2.02267        49.174580        2.59940        -3.87%      2.43%
         2.6         2.7           63.833559        2.98961        60.297489        2.54278        66.123434        3.44087        -5.54%      3.59%
         2.7         2.8           80.569761        3.18966        76.522891        2.73100        83.014551        3.64411        -5.02%      3.03%
         2.8         2.9           96.993420        3.16229        92.271197        2.78951        99.811614        3.51081        -4.87%      2.91%
         2.9           3           117.48069        5.33215        112.54172        4.67869        120.10911        5.94262        -4.20%      2.24%
           3         3.1           154.26382        6.18627        147.78712        5.38827        158.60113        6.29044        -4.20%      2.81%
         3.1         3.2           140.40831        4.54787        135.84306        4.39250        145.20114        4.66526        -3.25%      3.41%
         3.2         3.3           85.687217        4.24785        82.639170        4.16292        88.852102        4.29059        -3.56%      3.69%
         3.3         3.4           73.030513        4.39864        70.086785        3.81800        75.215724        4.49197        -4.03%      2.99%
         3.4         3.5           50.752250        3.28607        49.169426        3.15167        52.414602        3.39533        -3.12%      3.28%
         3.5         3.6           37.711520        2.38635        36.350738        2.36420        39.151775        2.38716        -3.61%      3.82%
         3.6         3.7           35.449763        2.30038        34.135640        2.03351        36.600123        2.30801        -3.71%      3.25%
         3.7         3.8           29.542552        2.22161        28.426154        1.96839        30.482640        2.22362        -3.78%      3.18%
         3.8         3.9           25.999314        2.30627        24.754526        2.03419        26.899975        2.31512        -4.79%      3.46%
         3.9           4           15.533862        2.19622        14.929071        2.45370        16.133244        2.21099        -3.89%      3.86%
           4         4.1           15.339028        1.90272        14.894747        1.87553        15.825794        1.91061        -2.90%      3.17%
         4.1         4.2           12.492337        1.67189        12.210949        1.67714        12.829711        1.65920        -2.25%      2.70%
         4.2         4.3           8.5887911        1.27823        8.0738584        1.30553        9.1087319        1.25056        -6.00%      6.05%
         4.3         4.4           10.484554        1.51178        10.081615        1.34627        10.732829        1.50362        -3.84%      2.37%
         4.4         4.5           6.9036996        1.37216        6.5864497        1.36036        7.2380771        1.36973        -4.60%      4.84%
         4.5         4.6           6.5323439       0.978718        6.3473760       0.865813        6.7082080       0.980472        -2.83%      2.69%
         4.6         4.7           3.3076213       0.742479        3.0102553       0.829340        3.5473457       0.672480        -8.99%      7.25%
         4.7         4.8           4.4300982       0.711320        4.2401873       0.699715        4.6228418       0.714584        -4.29%      4.35%
         4.8         4.9           4.3237770       0.757704        4.1241905       0.676198        4.4620192       0.752797        -4.62%      3.20%
         4.9           5           2.4538132       0.778130        2.3504869       0.869323        2.5371107       0.704625        -4.21%      3.39%
           5         5.1          0.87098922       0.996560       0.64083325        1.11342        1.0565316       0.902364       -26.42%     21.30%
         5.1         5.2           3.5973046       0.933720        3.3702254       0.834618        3.7750987        1.02298        -6.31%      4.94%
         5.2         5.3          0.69448876       0.474194       0.55013264       0.529730       0.81086279       0.429433       -20.79%     16.76%
         5.3         5.4           1.4755389       0.663397        1.4077548       0.663166        1.5455729       0.657573        -4.59%      4.75%
         5.4         5.5          0.90378322       0.762099       0.85047170       0.851481       0.95481401       0.760000        -5.90%      5.65%
         5.5         5.6          0.59788048       0.570359       0.53443584       0.637234       0.64902696       0.516453       -10.61%      8.55%
         5.6         5.7          0.38191355       0.443305       0.31446705       0.495266       0.43628616       0.401421       -17.66%     14.24%
         5.7         5.8          0.51120683       0.280835       0.47994022       0.313718       0.53641271       0.254333        -6.12%      4.93%
         5.8         5.9          0.82869854       0.378344       0.77713681       0.349644       0.87019020       0.403087        -6.22%      5.01%
         5.9           6         -0.12187311       0.323061      -0.20597774       0.368443     -0.036658686       0.274355        69.01%    -69.92%
           6         6.1          0.90413494       0.321003       0.80069501       0.271990       0.99546724       0.366659       -11.44%     10.10%
         6.1         6.2          0.16348733       0.226018       0.13925500       0.252482       0.18302245       0.204689       -14.82%     11.95%
         6.2         6.3          0.17927146       0.116813       0.16674808       0.130458       0.18936730       0.105819        -6.99%      5.63%
         6.3         6.4          0.16011443       0.114347       0.14836586       0.127689       0.16958564       0.103597        -7.34%      5.92%
         6.4         6.5          0.21298209       0.101835       0.19609751      0.0945381       0.22733566      0.0983012        -7.93%      6.74%
         6.5         6.6         0.060954890       0.101764      0.049054794       0.113668      0.070548262      0.0921712       -19.52%     15.74%
         6.6         6.7          0.40021528       0.130332       0.37631108       0.118064       0.42986724       0.145559        -5.97%      7.41%
         6.7         6.8       -0.0017057865      0.0944900     -0.014873269       0.105538     0.0089093019      0.0855871       771.93%   -622.30%
         6.8         6.9         0.015979291      0.0460004     0.0080724160      0.0513540      0.022353492      0.0416885       -49.48%     39.89%
         6.9           7          0.12183027      0.0428575       0.11643509      0.0389327       0.12938738      0.0476872        -4.43%      6.20%
           7         7.1         0.013198826      0.0334792     0.0059846838      0.0362774      0.020061175      0.0310881       -54.66%     51.99%
         7.1         7.2          0.18622876       0.150859       0.16585621       0.134051       0.20475270       0.166016       -10.94%      9.95%
         7.2         7.3         0.075729437      0.0299242      0.072158627      0.0271490      0.080158846      0.0333735        -4.72%      5.85%
         7.3         7.4         0.044120023      0.0121742      0.041485093      0.0111376      0.046360457      0.0131697        -5.97%      5.08%
         7.4         7.5         0.027320036      0.0239398      0.026382671      0.0219394      0.028125344      0.0258557        -3.43%      2.95%
         7.5         7.6         0.051452560      0.0331509      0.048497007      0.0300277      0.055118775      0.0370268        -5.74%      7.13%
         7.6         7.7         0.015986170     0.00827807      0.014714368     0.00864372      0.017107559     0.00794656        -7.96%      7.01%
         7.7         7.8        0.0013818667      0.0187032    0.00012033447      0.0208678     0.0023988626      0.0169608       -91.29%     73.60%
         7.8         7.9         0.021979352      0.0174647      0.020541760      0.0165355      0.023204257      0.0194854        -6.54%      5.57%
         7.9           8        0.0086408343      0.0176056     0.0071932346      0.0188420     0.0096923290      0.0182069       -16.75%     12.17%
           8         8.1         0.010277959      0.0139928     0.0091565514      0.0128335      0.011774071      0.0154157       -10.91%     14.56%
         8.1         8.2        0.0055491835      0.0112957     0.0053489514      0.0105651     0.0058605416      0.0120854        -3.61%      5.61%
         8.2         8.3       -0.0016370718     0.00566952    -0.0022454644     0.00632797    -0.0011466104     0.00513932        37.16%    -29.96%
         8.3         8.4        0.0022896267     0.00502306     0.0018939133     0.00510799     0.0026455598     0.00492611       -17.28%     15.55%
         8.4         8.5         0.069341024      0.0565964      0.063206035      0.0512484      0.076951170      0.0632310        -8.85%     10.97%
         8.5         8.6       -0.0090053625     0.00686387     -0.010458309     0.00765219    -0.0078340562     0.00622985        16.13%    -13.01%
         8.6         8.7       -0.0019031312     0.00781465    -0.0024839478     0.00805868    -0.0013730827     0.00754957        30.52%    -27.85%
         8.7         8.8         0.011537698     0.00875513      0.011090169     0.00840083      0.011918595     0.00902255        -3.88%      3.30%
         8.8         8.9       -0.0014657106     0.00227987    -0.0017445469     0.00254366    -0.0012145952     0.00209551        19.02%    -17.13%
