#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.31833013      0.0229239       0.28698163      0.0208492       0.35483594      0.0255368        -9.85%     11.47%
         0.1         0.2           4307.8512        2923.60        3900.3253        2647.02        4813.3666        3266.68        -9.46%     11.73%
         0.2         0.3           232.76723        52.5842        210.77620        47.6110        260.04599        58.7531        -9.45%     11.72%
         0.3         0.4           165.61189        26.5803        149.99697        24.0699        184.98141        29.6943        -9.43%     11.70%
         0.4         0.5           74.324520        9.29348        66.868905        8.39674        82.986706        10.3812       -10.03%     11.65%
         0.5         0.6           47.725522        5.66115        42.577877        5.04346        53.252594        6.31876       -10.79%     11.58%
         0.6         0.7           32.421034        2.84816        28.992101        2.54046        36.139467        3.17642       -10.58%     11.47%
         0.7         0.8           24.621642        2.78941        22.224201        2.51560        27.408732        3.10635        -9.74%     11.32%
         0.8         0.9           24.218274        1.97356        21.547041        1.72024        26.928690        2.19638       -11.03%     11.19%
         0.9           1           18.612789        1.64354        16.664295        1.51491        20.659464        1.82533       -10.47%     11.00%
           1         1.1           18.178645        1.22455        16.449050        1.11972        20.137089        1.35878        -9.51%     10.77%
         1.1         1.2           15.019498        1.25455        13.668866        1.12223        16.578626        1.38702        -8.99%     10.38%
         1.2         1.3           13.290036        1.01382        12.130648       0.913923        14.619693        1.11702        -8.72%     10.00%
         1.3         1.4           14.274601        1.06409        12.891691       0.961178        15.644225        1.18442        -9.69%      9.59%
         1.4         1.5           16.349461        1.50380        14.906818        1.37228        17.858933        1.65428        -8.82%      9.23%
         1.5         1.6           15.258639       0.721236        14.092849       0.643026        16.562641       0.795473        -7.64%      8.55%
         1.6         1.7           17.091754       0.903493        15.598577       0.786248        18.522075       0.997971        -8.74%      8.37%
         1.7         1.8           16.110091       0.942109        15.010324       0.811045        17.283754        1.03056        -6.83%      7.29%
         1.8         1.9           17.560458        1.74538        16.458226        1.46173        18.705851        1.93662        -6.28%      6.52%
         1.9           2           23.462407        1.79453        21.511461        1.47530        25.071240        2.13169        -8.32%      6.86%
           2         2.1           20.808464        1.23549        19.602849        1.07757        21.866692        1.37200        -5.79%      5.09%
         2.1         2.2           25.896570        1.80130        24.377391        1.56396        27.195525        1.99339        -5.87%      5.02%
         2.2         2.3           29.681452        1.69443        28.186331        1.49033        30.930819        1.88556        -5.04%      4.21%
         2.3         2.4           33.110821        1.70040        31.507460        1.48772        34.287100        1.89321        -4.84%      3.55%
         2.4         2.5           44.711170        1.85958        41.986089        1.61203        46.605202        2.10072        -6.09%      4.24%
         2.5         2.6           46.362891        2.27217        44.632685        1.98409        47.489208        2.53385        -3.73%      2.43%
         2.6         2.7           60.720599        2.87500        57.457640        2.45588        62.806913        3.29763        -5.37%      3.44%
         2.7         2.8           75.899089        3.05219        72.152114        2.62658        78.154053        3.47424        -4.94%      2.97%
         2.8         2.9           91.279493        3.01375        86.912861        2.66489        93.866694        3.33915        -4.78%      2.83%
         2.9           3           110.32344        5.03024        105.72736        4.41836        112.76322        5.60176        -4.17%      2.21%
           3         3.1           142.88964        5.74664        136.92490        5.00921        146.89710        5.84387        -4.17%      2.80%
         3.1         3.2           129.58296        4.21424        125.37764        4.07028        134.01925        4.32421        -3.25%      3.42%
         3.2         3.3           79.364505        3.94814        76.523829        3.86724        82.325042        3.99085        -3.58%      3.73%
         3.3         3.4           67.335099        4.06683        64.631365        3.53273        69.349212        4.15341        -4.02%      2.99%
         3.4         3.5           46.479789        3.01856        45.031422        2.89527        48.010212        3.11959        -3.12%      3.29%
         3.5         3.6           34.399250        2.19075        33.168077        2.16950        35.705822        2.19315        -3.58%      3.80%
         3.6         3.7           32.795562        2.13736        31.582796        1.89111        33.861956        2.14519        -3.70%      3.25%
