#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.78804781      0.0572625       0.76638261      0.0476995       0.81740429      0.0705737        -2.75%      3.73%
          10          20           1.2390128      0.0468152        1.2239942      0.0401250        1.2550042      0.0541779        -1.21%      1.29%
          20          30          0.87921086      0.0339173       0.85588725      0.0301201       0.90199389      0.0377669        -2.65%      2.59%
          30          40          0.67989489      0.0185719       0.65968219      0.0163934       0.69338222      0.0207234        -2.97%      1.98%
          40          50          0.80327384      0.0255517       0.77827113      0.0229698       0.82153486      0.0279978        -3.11%      2.27%
          50          60           1.2552701      0.0274418        1.2272710      0.0244853        1.2795766      0.0269640        -2.23%      1.94%
          60          70           1.8621214      0.0386262        1.8427780      0.0348985        1.8814458      0.0377700        -1.04%      1.04%
          70          80           2.0734841      0.0431935        2.0461487      0.0468883        2.0988871      0.0470250        -1.32%      1.23%
          80          90           1.5369393      0.0334934        1.5183299      0.0358132        1.5614175      0.0379288        -1.21%      1.59%
          90         100           1.3718829      0.0476873        1.3420074      0.0505457        1.4118971      0.0508989        -2.18%      2.92%
         100         110          0.21492391      0.0300878       0.21037797      0.0310788       0.22211796      0.0291397        -2.12%      3.35%
         110         120          0.20031153     0.00978284       0.19692674     0.00824610       0.20405723      0.0120670        -1.69%      1.87%
         120         130          0.16913735     0.00984154       0.16382904     0.00783403       0.17581352      0.0129481        -3.14%      3.95%
         130         140          0.14654218     0.00866257       0.14381630     0.00757001       0.15061358      0.0103170        -1.86%      2.78%
         140         150          0.11017108     0.00858020       0.10807252      0.0108945       0.11152863     0.00843276        -1.90%      1.23%
         150         160          0.12722528     0.00718151       0.12371783     0.00612331       0.13124260     0.00876617        -2.76%      3.16%
         160         170         0.086339811     0.00731922      0.084590488     0.00932224      0.087178626     0.00616570        -2.03%      0.97%
         170         180         0.088388460     0.00585747      0.084347495     0.00496122      0.094318182     0.00729907        -4.57%      6.71%
         180         190         0.066355148     0.00551684      0.064304643     0.00702053      0.067611045     0.00459128        -3.09%      1.89%
         190         200         0.069039734     0.00632470      0.067437305     0.00544065      0.070885617     0.00766904        -2.32%      2.67%
         200         210         0.066881678     0.00724648      0.064467440     0.00658599      0.069932574     0.00805954        -3.61%      4.56%
         210         220         0.045464154     0.00653069      0.045067922     0.00599563      0.045752664     0.00723684        -0.87%      0.63%
