#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.0134959       0.141671        1.9751573       0.166112        2.0303795       0.145002        -1.90%      0.84%
           5          10           3.2947631      0.0749788        3.2228860      0.0666271        3.3538166      0.0909301        -2.18%      1.79%
          10          15           2.6309446      0.0581501        2.5688982      0.0524138        2.6637203      0.0638000        -2.36%      1.25%
          15          20           2.7021331      0.0677599        2.6534088      0.0615059        2.7262661      0.0737500        -1.80%      0.89%
          20          25           2.7012429      0.0772876        2.6845543      0.0700571        2.7157171      0.0831095        -0.62%      0.54%
          25          30           2.8312718       0.122761        2.8045029       0.108808        2.8437014       0.140645        -0.95%      0.44%
          30          35           2.5740287       0.125924        2.5426533       0.144421        2.5921998       0.112057        -1.22%      0.71%
          35          40           2.4300417      0.0793994        2.3991397      0.0862029        2.4454811      0.0691984        -1.27%      0.64%
          40          45           1.9666103      0.0888533        1.9264598      0.0948676        2.0081122      0.0922379        -2.04%      2.11%
          45          50           1.3114644      0.0724192        1.2898677      0.0685765        1.3282293      0.0784817        -1.65%      1.28%
          50          55          0.92316258      0.0282948       0.89875807      0.0240470       0.94807680      0.0344931        -2.64%      2.70%
          55          60          0.68715068      0.0278422       0.66346908      0.0240804       0.71448627      0.0323431        -3.45%      3.98%
          60          65          0.47702160      0.0219493       0.46605632      0.0187367       0.48736546      0.0266611        -2.30%      2.17%
          65          70          0.39440577      0.0196284       0.38197733      0.0170351       0.40823147      0.0235480        -3.15%      3.51%
          70          75          0.29937769      0.0183551       0.28944315      0.0158051       0.31081525      0.0217563        -3.32%      3.82%
          75          80          0.26427841      0.0168413       0.25442392      0.0145613       0.27635359      0.0196354        -3.73%      4.57%
          80          85          0.16683404      0.0154989       0.16185735      0.0136020       0.17225804      0.0182663        -2.98%      3.25%
          85          90          0.18190966      0.0134877       0.17480218      0.0115423       0.19001207      0.0159839        -3.91%      4.45%
          90          95          0.13219942      0.0104756       0.12627468     0.00896029       0.14016232      0.0126916        -4.48%      6.02%
          95         100          0.10321868      0.0105917      0.099190132     0.00917082       0.10853760      0.0126223        -3.90%      5.15%
         100         105          0.11084359      0.0111105       0.10486156     0.00966095       0.11820624      0.0129079        -5.40%      6.64%
         105         110         0.070759372     0.00998679      0.068693112     0.00877060      0.073530153      0.0116649        -2.92%      3.92%
         110         115         0.068345245      0.0113836      0.062793531     0.00930217      0.075964523      0.0146600        -8.12%     11.15%
         115         120         0.059321652     0.00776986      0.056583018     0.00668474      0.062466007     0.00931207        -4.62%      5.30%
         120         125         0.035011208     0.00615507      0.034195868     0.00531141      0.036405483     0.00734677        -2.33%      3.98%
         125         130         0.057663124     0.00644323      0.054572881     0.00553359      0.061310031     0.00774178        -5.36%      6.32%
         130         135         0.030783048     0.00560896      0.029470530     0.00469972      0.032756512     0.00693035        -4.26%      6.41%
