#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           23.274207       0.431943        23.046835       0.373855        23.489965       0.410596        -0.98%      0.93%
           6           8           13.202371       0.176901        12.966542       0.156589        13.357021       0.220320        -1.79%      1.17%
           8          10           7.7837133       0.120107        7.6729508       0.108371        7.8323057       0.109942        -1.42%      0.62%
          10          12           5.1510595      0.0896986        5.0628652      0.0798477        5.1931701      0.0997696        -1.71%      0.82%
          12          14           3.6322781      0.0717312        3.5639802      0.0648654        3.6673513      0.0891585        -1.88%      0.97%
          14          16           2.6267436      0.0553337        2.5757379      0.0494760        2.6640882      0.0691368        -1.94%      1.42%
          16          18           2.0105158      0.0492614        1.9655168      0.0445106        2.0473901      0.0611399        -2.24%      1.83%
          18          20           1.6435396      0.0494113        1.5971650      0.0413068        1.7014210      0.0609691        -2.82%      3.52%
          20          22           1.1308180      0.0410736        1.1159994      0.0382299        1.1389611      0.0443738        -1.31%      0.72%
          22          24          0.97839799      0.0561886       0.95810967      0.0461216        1.0021005      0.0702977        -2.07%      2.42%
          24          26          0.74179605      0.0275015       0.72528509      0.0226264       0.76205401      0.0345035        -2.23%      2.73%
          26          28          0.59894439      0.0251689       0.59186405      0.0229234       0.60557508      0.0315711        -1.18%      1.11%
          28          30          0.49725258      0.0205864       0.48757282      0.0168861       0.50850768      0.0259468        -1.95%      2.26%
          30          32          0.39012981      0.0241279       0.38344235      0.0220117       0.39381474      0.0260994        -1.71%      0.94%
          32          34          0.31701631      0.0151586       0.31368665      0.0140456       0.31852188      0.0191120        -1.05%      0.47%
          34          36          0.20255822      0.0669354       0.19053317      0.0835978       0.21045452      0.0548686        -5.94%      3.90%
          36          38          0.20100586      0.0269420       0.19672894      0.0263233       0.20424116      0.0275226        -2.13%      1.61%
          38          40          0.19919915      0.0106872       0.19232336     0.00887559       0.20793910      0.0133247        -3.45%      4.39%
          40          42          0.14687707     0.00987288       0.14244060     0.00987462       0.15052285      0.0102024        -3.02%      2.48%
          42          44          0.12839917     0.00832317       0.12436151     0.00694274       0.13323258      0.0103889        -3.14%      3.76%
          44          46         0.098410853     0.00901493      0.095423029     0.00737342       0.10199514      0.0113430        -3.04%      3.64%
          46          48         0.095769829     0.00832883      0.091968800     0.00717185       0.10045844     0.00995561        -3.97%      4.90%
          48          50         0.091751377      0.0267428      0.082202163      0.0176491       0.10513986      0.0400175       -10.41%     14.59%
          50          52         0.077060850     0.00683959      0.073543891     0.00575258      0.081529195     0.00840150        -4.56%      5.80%
          52          54         0.069048695     0.00623283      0.065994922     0.00491572      0.072940420     0.00815121        -4.42%      5.64%
          54          56         0.059497694     0.00574538      0.058381458     0.00465613      0.061218463     0.00737839        -1.88%      2.89%
          56          58         0.067817643     0.00656972      0.064229099     0.00550390      0.073106855     0.00882879        -5.29%      7.80%
          58          60         0.061913858     0.00472644      0.058501756     0.00379782      0.066370679     0.00607306        -5.51%      7.20%
          60          62         0.052427278     0.00405991      0.050294881     0.00330259      0.055168208     0.00517395        -4.07%      5.23%
          62          64         0.036238355      0.0104671      0.030903430      0.0154698      0.040157108     0.00783769       -14.72%     10.81%
          64          66         0.046597357     0.00513015      0.045969777     0.00441104      0.047619026     0.00619224        -1.35%      2.19%
          66          68         0.039803406     0.00544929      0.038286239     0.00728184      0.040713984     0.00432398        -3.81%      2.29%
          68          70         0.057895143     0.00526056      0.055465520     0.00441873      0.061331512     0.00642351        -4.20%      5.94%
          70          72         0.055088025     0.00399156      0.054167623     0.00323640      0.056623666     0.00493454        -1.67%      2.79%
          72          74         0.061343863     0.00406630      0.060203112     0.00327837      0.062550624     0.00523742        -1.86%      1.97%
          74          76         0.066787953     0.00545836      0.065772585     0.00448763      0.067787113     0.00685228        -1.52%      1.50%
          76          78         0.075860964     0.00497395      0.075084915     0.00406575      0.077041906     0.00608992        -1.02%      1.56%
          78          80          0.11331337     0.00640706       0.10959811     0.00520521       0.11786108     0.00813409        -3.28%      4.01%
          80          82          0.10672080      0.0212992       0.10067688      0.0279253       0.11121571      0.0165936        -5.66%      4.21%
          82          84          0.19735327     0.00891094       0.19574650     0.00718764       0.19857939      0.0111377        -0.81%      0.62%
          84          86          0.32888048      0.0146049       0.32437469      0.0145757       0.33302212      0.0147289        -1.37%      1.26%
          86          88          0.67613226      0.0271544       0.66231420      0.0228122       0.69268202      0.0333899        -2.04%      2.45%
          88          90           1.5104482      0.0510941        1.5009435      0.0415986        1.5176392      0.0517713        -0.63%      0.48%
          90          92           1.7511846      0.0687506        1.7216758      0.0561990        1.7825721      0.0872053        -1.69%      1.79%
          92          94           1.9721277      0.0746204        1.9339818      0.0613724        2.0269463      0.0943013        -1.93%      2.78%
          94          96          0.85433832      0.0428414       0.82651905      0.0347890       0.88901863      0.0546833        -3.26%      4.06%
          96          98          0.36653700      0.0278939       0.36030070      0.0360576       0.36988384      0.0227912        -1.70%      0.91%
          98         100          0.23254006      0.0222895       0.22983928      0.0180455       0.23572024      0.0282882        -1.16%      1.37%
         100         102          0.13386353      0.0164505       0.13069606      0.0211144       0.13627816      0.0131986        -2.37%      1.80%
         102         104         0.093289148      0.0134032      0.085826395      0.0173849      0.097993796      0.0106924        -8.00%      5.04%
         104         106         0.077255400      0.0110631      0.075183018      0.0115086      0.079579059      0.0138152        -2.68%      3.01%
         106         108         0.076271959     0.00894750      0.074303001     0.00700185      0.078554715      0.0118136        -2.58%      2.99%
         108         110         0.060779963     0.00694351      0.058738853     0.00559253      0.063359800     0.00892118        -3.36%      4.24%
         110         112         0.041167536      0.0105645      0.036924125      0.0150195      0.043846508     0.00756044       -10.31%      6.51%
         112         114         0.041459647     0.00645742      0.040046323     0.00634215      0.042631301     0.00659209        -3.41%      2.83%
         114         116         0.046183735     0.00586839      0.043164496     0.00459167      0.050262356     0.00775061        -6.54%      8.83%
         116         118         0.039436328     0.00483392      0.037262609     0.00388650      0.042337567     0.00622602        -5.51%      7.36%
         118         120         0.035234330     0.00561215      0.034410402     0.00462042      0.036115964     0.00707837        -2.34%      2.50%
         120         122         0.029565820     0.00405807      0.028706708     0.00406815      0.030332426     0.00515919        -2.91%      2.59%
         122         124         0.027476298     0.00663848      0.026930705     0.00637687      0.028017343     0.00691316        -1.99%      1.97%
         124         126         0.030987121     0.00474642      0.029542965     0.00376713      0.032798663     0.00617725        -4.66%      5.85%
         126         128         0.024033870     0.00310359      0.023345735     0.00251396      0.024830715     0.00401011        -2.86%      3.32%
         128         130         0.016200972     0.00424463      0.014754780     0.00560714      0.017117381     0.00331952        -8.93%      5.66%
         130         132         0.020907323     0.00500172      0.018989870     0.00356600      0.023533349     0.00714588        -9.17%     12.56%
         132         134         0.019806325     0.00453928      0.019239070     0.00432722      0.020318767     0.00559941        -2.86%      2.59%
         134         136         0.012940058     0.00358954      0.012310571     0.00461254      0.013335611     0.00285389        -4.86%      3.06%
         136         138         0.014575015     0.00361764      0.014122749     0.00374104      0.014891547     0.00350349        -3.10%      2.17%
         138         140         0.022229608     0.00735996      0.020660535     0.00664836      0.024817587     0.00834687        -7.06%     11.64%
         140         142         0.011999976     0.00295502      0.011399349     0.00379590      0.012351797     0.00237718        -5.01%      2.93%
         142         144         0.017601601     0.00340649      0.017232721     0.00287709      0.018232254     0.00419208        -2.10%      3.58%
         144         146        0.0096745956     0.00372000     0.0083107096     0.00489101      0.010556440     0.00310354       -14.10%      9.12%
         146         148         0.016360506     0.00295179      0.015243271     0.00245278      0.017856538     0.00367105        -6.83%      9.14%
         148         150         0.013226842     0.00305020      0.012543291     0.00239996      0.014553372     0.00420283        -5.17%     10.03%
         150         152         0.010498632     0.00465976     0.0091076628     0.00587338      0.011158218     0.00381674       -13.25%      6.28%
         152         154         0.010442175     0.00218393      0.010059105     0.00226978      0.010838424     0.00209973        -3.67%      3.79%
         154         156        0.0098699633     0.00250458     0.0095825067     0.00248675      0.010077833     0.00257954        -2.91%      2.11%
         156         158         0.010671211     0.00489199      0.010305483     0.00354917      0.011131386     0.00683993        -3.43%      4.31%
         158         160         0.019294858     0.00307989      0.017093494     0.00259100      0.020520878     0.00393689       -11.41%      6.35%
         160         162        0.0080624337     0.00317943     0.0070964082     0.00391354     0.0086383339     0.00270994       -11.98%      7.14%
         162         164         0.010846047     0.00236230      0.010297329     0.00189354      0.011576351     0.00302274        -5.06%      6.73%
         164         166        0.0089694256     0.00239713     0.0086313369     0.00286387     0.0091841044     0.00209040        -3.77%      2.39%
         166         168         0.014922145     0.00423251      0.013361410     0.00322587      0.017056527     0.00568571       -10.46%     14.30%
         168         170         0.012651438     0.00247507      0.011747640     0.00203606      0.013850384     0.00311500        -7.14%      9.48%
