#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.6038917       0.143092        2.5277011       0.120353        2.6413143       0.174914        -2.93%      1.44%
           5          10           3.7390718      0.0740692        3.6222750      0.0664382        3.8086690      0.0821824        -3.12%      1.86%
          10          15           3.0108584      0.0658803        2.9506419      0.0593810        3.0423901      0.0720964        -2.00%      1.05%
          15          20           3.4233849      0.0831767        3.3860364      0.0750766        3.4449147      0.0786579        -1.09%      0.63%
          20          25           3.8909728      0.0875593        3.8515713      0.0788537        3.9139443       0.104238        -1.01%      0.59%
          25          30           3.6308820       0.122471        3.5763773       0.108739        3.6557529       0.141302        -1.50%      0.68%
          30          35           2.7311879       0.121458        2.7070091       0.139718        2.7512176       0.119083        -0.89%      0.73%
          35          40           2.1031229      0.0657086        2.0888745      0.0786282        2.1153339      0.0608115        -0.68%      0.58%
          40          45           1.4866101      0.0491660        1.4804510      0.0418102        1.5022920      0.0567061        -0.41%      1.05%
          45          50          0.83815424      0.0303048       0.82370257      0.0255038       0.85414893      0.0360130        -1.72%      1.91%
          50          55          0.60277430      0.0261621       0.59042307      0.0219146       0.61586940      0.0322840        -2.05%      2.17%
          55          60          0.47784458      0.0237701       0.46602984      0.0205625       0.49552110      0.0283427        -2.47%      3.70%
          60          65          0.32912908      0.0190984       0.32551371      0.0161166       0.33183792      0.0234177        -1.10%      0.82%
          65          70          0.26143486      0.0165498       0.25604577      0.0137975       0.26727909      0.0205179        -2.06%      2.24%
          70          75          0.22218450      0.0141778       0.21632895      0.0119453       0.22879574      0.0170710        -2.64%      2.98%
          75          80          0.15581586      0.0134709       0.15292005      0.0115424       0.15975950      0.0164406        -1.86%      2.53%
          80          85          0.12198052      0.0118882       0.12104898      0.0146121       0.12218169      0.0118551        -0.76%      0.16%
          85          90          0.11101028      0.0102748       0.10724993     0.00871301       0.11618960      0.0125172        -3.39%      4.67%
          90          95         0.093512497     0.00885199      0.087573885     0.00755222       0.10215697      0.0107097        -6.35%      9.24%
          95         100         0.071498497     0.00756283      0.069243142     0.00626478      0.074277968     0.00930098        -3.15%      3.89%
