#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10         0.046477067      0.0358914      0.034203294      0.0265040      0.060927933      0.0464129       -26.41%     31.09%
          10          15          0.30616102      0.0861778       0.29673003      0.0680135       0.31982301       0.107078        -3.08%      4.46%
          15          20          0.70976669      0.0531095       0.69398145      0.0629499       0.71476002      0.0448883        -2.22%      0.70%
          20          25          0.88307086      0.0406312       0.85986862      0.0343527       0.89362670      0.0492463        -2.63%      1.20%
          25          30          0.91312654      0.0670741       0.88070310      0.0645236       0.93298607      0.0730987        -3.55%      2.17%
          30          35          0.65320269      0.0597239       0.63125849      0.0586990       0.66491717      0.0605648        -3.36%      1.79%
          35          40          0.56371497      0.0246193       0.54746514      0.0215122       0.57103286      0.0277783        -2.88%      1.30%
          40          45          0.52757270      0.0215616       0.50903430      0.0191047       0.54663190      0.0258562        -3.51%      3.61%
          45          50          0.44304079      0.0206511       0.42913364      0.0184687       0.45797467      0.0246840        -3.14%      3.37%
          50          55          0.38466816      0.0258036       0.37296584      0.0241543       0.39173729      0.0276899        -3.04%      1.84%
          55          60          0.39528067      0.0260939       0.38709303      0.0223182       0.40452944      0.0314571        -2.07%      2.34%
          60          65          0.38290463      0.0283609       0.37703734      0.0248633       0.38910325      0.0334581        -1.53%      1.62%
          65          70          0.43271001      0.0305427       0.42287603      0.0269624       0.44399179      0.0356821        -2.27%      2.61%
          70          75          0.68565356       0.117756       0.66103333       0.104211       0.71596616       0.135518        -3.59%      4.42%
          75          80          0.82506435      0.0471496       0.80045600      0.0404660       0.85571485      0.0567270        -2.98%      3.71%
          80          85           1.3858212      0.0586582        1.3754218      0.0541698        1.3904835      0.0527168        -0.75%      0.34%
          85          90           4.2523630       0.101051        4.2013992       0.111714        4.3111583      0.0936140        -1.20%      1.38%
          90          95           5.4728804      0.0816723        5.4286539      0.0779536        5.5184012      0.0772794        -0.81%      0.83%
          95         100          0.80955739      0.0365372       0.80268303      0.0352236       0.81608853      0.0324451        -0.85%      0.81%
         100         105          0.61073125      0.0256240       0.60511239      0.0242779       0.61437340      0.0304055        -0.92%      0.60%
         105         110          0.52865380      0.0273480       0.52400495      0.0261259       0.53140642      0.0248852        -0.88%      0.52%
         110         115          0.42796409      0.0231831       0.42489040      0.0219104       0.42937828      0.0220424        -0.72%      0.33%
         115         120          0.35420189      0.0210206       0.35207655      0.0202541       0.35518048      0.0230939        -0.60%      0.28%
         120         125          0.33319140      0.0253288       0.32745993      0.0243100       0.33699829      0.0293579        -1.72%      1.14%
         125         130          0.28420805      0.0189193       0.28102613      0.0180736       0.28574258      0.0197369        -1.12%      0.54%
         130         135          0.21254416      0.0164037       0.20716582      0.0190184       0.21579283      0.0152848        -2.53%      1.53%
         135         140          0.22124458      0.0172917       0.21714267      0.0150996       0.22570943      0.0205767        -1.85%      2.02%
         140         145          0.22871841      0.0227674       0.22206532      0.0204570       0.23657898      0.0260492        -2.91%      3.44%
         145         150          0.19039823      0.0197289       0.18707802      0.0178667       0.19407626      0.0216242        -1.74%      1.93%
         150         155          0.15671552      0.0244440       0.15510752      0.0246506       0.15967599      0.0261442        -1.03%      1.89%
         155         160          0.16258598      0.0288211       0.15438824      0.0266676       0.17327062      0.0318699        -5.04%      6.57%
         160         165          0.13572204      0.0153233       0.13515768      0.0137120       0.13706947      0.0183273        -0.42%      0.99%
         165         170          0.15134692      0.0124922       0.14731995      0.0106871       0.15686566      0.0145096        -2.66%      3.65%
         170         175          0.18489456      0.0264499       0.17472393      0.0215755       0.19829600      0.0341142        -5.50%      7.25%
         175         180          0.15385132      0.0145151       0.14893183      0.0123507       0.15992637      0.0177948        -3.20%      3.95%
         180         185          0.18316282      0.0184688       0.18002988      0.0166081       0.18696935      0.0212269        -1.71%      2.08%
         185         190          0.22040659      0.0274572       0.21716765      0.0307722       0.22362950      0.0252753        -1.47%      1.46%
         190         195          0.19118324      0.0273169       0.18550928      0.0270487       0.19550090      0.0301566        -2.97%      2.26%
         195         200          0.20077211      0.0189472       0.19784079      0.0187114       0.20384354      0.0216121        -1.46%      1.53%
         200         205          0.18551983      0.0202038       0.18464642      0.0230818       0.18693923      0.0233258        -0.47%      0.77%
         205         210          0.18381734      0.0188056       0.17876516      0.0173301       0.19004687      0.0210075        -2.75%      3.39%
         210         215          0.21990046      0.0185608       0.21340631      0.0168329       0.22784511      0.0211778        -2.95%      3.61%
         215         220          0.16566676      0.0201104       0.16474250      0.0197202       0.16659831      0.0204614        -0.56%      0.56%
         220         225          0.13242812      0.0170716       0.13086987      0.0161987       0.13382051      0.0184584        -1.18%      1.05%
         225         230          0.23844868      0.0831874       0.23521116      0.0816065       0.24197171      0.0851379        -1.36%      1.48%
         230         235         0.055824487      0.0778733      0.054925720      0.0773324      0.057119922      0.0788300        -1.61%      2.32%
         235         240          0.15486187      0.0134137       0.15047765      0.0119655       0.16010150      0.0156267        -2.83%      3.38%
         240         245          0.11215304      0.0132585       0.10941842      0.0141588       0.11418563      0.0130363        -2.44%      1.81%
         245         250          0.11538738      0.0118679       0.11222934      0.0106709       0.11909302      0.0136923        -2.74%      3.21%
         250         255          0.10574409      0.0112536       0.10416520     0.00992789       0.10832708      0.0130041        -1.49%      2.44%
         255         260         0.099589116      0.0120519      0.097644683      0.0109845       0.10328538      0.0138230        -1.95%      3.71%
         260         265         0.080842515      0.0118569      0.079141741      0.0131449      0.081941038      0.0111482        -2.10%      1.36%
         265         270         0.093158614      0.0147793      0.089564378      0.0134645      0.098345966      0.0167023        -3.86%      5.57%
         270         275         0.081231918      0.0129001      0.078016277      0.0126280      0.084276581      0.0148508        -3.96%      3.75%
         275         280         0.084193755      0.0128512      0.079977214      0.0126957      0.089990295      0.0135715        -5.01%      6.88%
         280         285         0.065837993     0.00996147      0.064080753      0.0115387      0.066814696     0.00901260        -2.67%      1.48%
         285         290         0.083792464      0.0114729      0.080325038      0.0103063      0.088214879      0.0132131        -4.14%      5.28%
         290         295         0.048432689     0.00752918      0.047325013     0.00695479      0.050158252     0.00844261        -2.29%      3.56%
         295         300         0.079624773      0.0173052      0.078240284      0.0164696      0.080977640      0.0185819        -1.74%      1.70%
         300         305         0.040920290      0.0159673      0.040173486      0.0155044      0.041682479      0.0165766        -1.83%      1.86%
         305         310         0.062577807     0.00903425      0.060120925     0.00817984      0.065665898      0.0101998        -3.93%      4.93%
         310         315         0.053342974     0.00904620      0.052348601     0.00839814      0.054304219      0.0101750        -1.86%      1.80%
         315         320         0.059827247     0.00988821      0.058170991     0.00896117      0.062230832      0.0113203        -2.77%      4.02%
         320         325         0.046925733     0.00915758      0.045310345     0.00836066      0.048928941      0.0103814        -3.44%      4.27%
         325         330         0.025310866     0.00496646      0.023243308     0.00567515      0.026627017     0.00455404        -8.17%      5.20%
         330         335         0.034517041     0.00616444      0.033974716     0.00623051      0.034953080     0.00724525        -1.57%      1.26%
         335         340         0.042271886     0.00668205      0.041502227     0.00602759      0.043031744     0.00771046        -1.82%      1.80%
         340         345         0.027106564     0.00649714      0.026285391     0.00715849      0.027688140     0.00641180        -3.03%      2.15%
         345         350         0.037342454     0.00703811      0.036164509     0.00631783      0.039108231     0.00812507        -3.15%      4.73%
         350         355         0.036985377     0.00617049      0.034856540     0.00534177      0.039805930     0.00740389        -5.76%      7.63%
         355         360         0.033321833     0.00845103      0.030417773     0.00998869      0.035315435     0.00857482        -8.72%      5.98%
         360         365         0.025074452     0.00926427      0.023867908     0.00861876      0.026692274      0.0102159        -4.81%      6.45%
         365         370         0.029165845     0.00747095      0.028206699     0.00688652      0.030843565     0.00837745        -3.29%      5.75%
         370         375         0.035148504     0.00611412      0.032871154     0.00516048      0.038746963     0.00756580        -6.48%     10.24%
         375         380         0.032354038     0.00497864      0.030677130     0.00444959      0.034754381     0.00586509        -5.18%      7.42%
         380         385         0.023867493     0.00604680      0.021555881     0.00728697      0.025304402     0.00533902        -9.69%      6.02%
         385         390         0.018303857      0.0220535      0.014874272      0.0232135      0.023876434      0.0203562       -18.74%     30.44%
         390         395        0.0069648710      0.0126580     0.0067691987      0.0124924     0.0072294239      0.0128815        -2.81%      3.80%
         395         400         0.018840485     0.00428357      0.018050434     0.00377355      0.019864531     0.00506420        -4.19%      5.44%
         400         405         0.077589007      0.0609495      0.070307439      0.0589044      0.083002906      0.0635303        -9.38%      6.98%
         405         410        -0.052481206      0.0756003     -0.053940808      0.0773193     -0.050921635      0.0738007         2.78%     -2.97%
         410         415         0.014258892     0.00682817      0.013446552     0.00639910      0.015432150     0.00748440        -5.70%      8.23%
         415         420         0.012202836     0.00366931      0.012006247     0.00430161      0.012358444     0.00368478        -1.61%      1.28%
         420         425         0.018624833     0.00435861      0.017680213     0.00390876      0.019850496     0.00503179        -5.07%      6.58%
         425         430         0.015226983     0.00500830      0.014096087     0.00599976      0.016001491     0.00516358        -7.43%      5.09%
         430         435         0.049418135      0.0297824      0.044243988      0.0259915      0.056406711      0.0348733       -10.47%     14.14%
         435         440         0.016466401     0.00402486      0.016027904     0.00361444      0.016961613     0.00464937        -2.66%      3.01%
         440         445         0.011492696     0.00435014      0.011262887     0.00412725      0.011822418     0.00470874        -2.00%      2.87%
         445         450         0.010694824     0.00342358      0.010603646     0.00310852      0.010762148     0.00342299        -0.85%      0.63%
         450         455        0.0080019719     0.00388589     0.0072316819     0.00440421     0.0084995041     0.00360200        -9.63%      6.22%
         455         460        0.0079697336     0.00346836     0.0069962724     0.00430706     0.0088842621     0.00357955       -12.21%     11.48%
         460         465        0.0046977795      0.0102688     0.0043087582     0.00997598     0.0050310199      0.0104580        -8.28%      7.09%
         465         470        0.0045362495     0.00303091     0.0023652359     0.00408671     0.0060220683     0.00237939       -47.86%     32.75%
         470         475         0.010954815     0.00358043      0.010733675     0.00326119      0.011226562     0.00408616        -2.02%      2.48%
         475         480         0.019010290     0.00733364      0.017911881     0.00658505      0.020455222     0.00842427        -5.78%      7.60%
         480         485        0.0043825497     0.00308282     0.0037470987     0.00321538     0.0047815485     0.00304154       -14.50%      9.10%
         485         490         0.016775463     0.00656193      0.015612021     0.00566512      0.018548211     0.00802319        -6.94%     10.57%
         490         495      -8.7105605e-05     0.00707975   -0.00012256956     0.00704041   -4.3241783e-05     0.00715594        40.71%    -50.36%
         495         500         0.010211512     0.00340777     0.0093431478     0.00287670      0.011659826     0.00427390        -8.50%     14.18%
         500         505         0.010801091     0.00364775     0.0098781185     0.00317096      0.012140104     0.00438898        -8.55%     12.40%
         505         510        0.0050852908     0.00204534     0.0030132377     0.00306454     0.0061199631     0.00196522       -40.75%     20.35%
         510         515        0.0090562627     0.00317771     0.0087735138     0.00280176     0.0093733423     0.00373701        -3.12%      3.50%
         515         520         0.010448274     0.00423880      0.010300806     0.00348012      0.010790542     0.00584666        -1.41%      3.28%
         520         525        0.0029700315     0.00223627     0.0027219772     0.00235432     0.0031268966     0.00218611        -8.35%      5.28%
         525         530         0.010919659     0.00518200     0.0098933323     0.00427233      0.012489280     0.00655375        -9.40%     14.37%
         530         535         0.010646523     0.00320737      0.010160974     0.00263845      0.011249800     0.00410730        -4.56%      5.67%
         535         540        0.0057417933     0.00238321     0.0054683458     0.00235489     0.0060829580     0.00284990        -4.76%      5.94%
         540         545        0.0015944228     0.00322030     0.0015166541     0.00319491     0.0016676329     0.00324511        -4.88%      4.59%
         545         550        0.0077152539     0.00266287     0.0074500866     0.00257631     0.0079131037     0.00276569        -3.44%      2.56%
         550         555        0.0044244062     0.00176358     0.0042523042     0.00212582     0.0045117625     0.00154129        -3.89%      1.97%
         555         560        0.0083228841     0.00273482     0.0072509855     0.00195981     0.0098747934     0.00396260       -12.88%     18.65%
         560         565        0.0065392327     0.00228441     0.0059282546     0.00179789     0.0073732810     0.00299496        -9.34%     12.75%
         565         570        0.0073390914     0.00237912     0.0071153429     0.00215809     0.0075752345     0.00269377        -3.05%      3.22%
         570         575        0.0064738351     0.00269541     0.0059249861     0.00215449     0.0072046431     0.00349330        -8.48%     11.29%
         575         580        0.0042876567     0.00206211     0.0039515117     0.00264433     0.0044989086     0.00167188        -7.84%      4.93%
         580         585         0.010373085     0.00372418     0.0092791062     0.00309471      0.011875448     0.00462989       -10.55%     14.48%
         585         590        0.0045586700     0.00245265     0.0043912285     0.00204849     0.0047410013     0.00307842        -3.67%      4.00%
         590         595        0.0072883188     0.00341930     0.0063758530     0.00282042     0.0085821695     0.00434384       -12.52%     17.75%
         595         600        0.0045461594     0.00254036     0.0044749290     0.00295281     0.0046461130     0.00260697        -1.57%      2.20%
         600         605        0.0056283826     0.00239615     0.0047791988     0.00200058     0.0068470423     0.00300598       -15.09%     21.65%
         605         610        0.0057064763     0.00238187     0.0053269899     0.00203836     0.0063254367     0.00296932        -6.65%     10.85%
         610         615        0.0028990583     0.00144793     0.0027790313     0.00117902     0.0030144914     0.00185529        -4.14%      3.98%
         615         620        0.0095264748     0.00263541     0.0088611470     0.00223184      0.010333407     0.00321843        -6.98%      8.47%
         620         625       0.00043324268     0.00145440   -0.00017654164     0.00201629    0.00085337136     0.00112299      -140.75%     96.97%
         625         630        0.0029650111     0.00168511     0.0025529400     0.00138903     0.0035376062     0.00212874       -13.90%     19.31%
         630         635       0.00035313551     0.00202985    -0.0012089481     0.00300242     0.0013317858     0.00148820      -442.35%    277.13%
         635         640        0.0034062233     0.00147004     0.0028368973     0.00162784     0.0037720333     0.00141253       -16.71%     10.74%
         640         645        0.0037055971     0.00178969     0.0036198343     0.00152924     0.0038337939     0.00218344        -2.31%      3.46%
         645         650        0.0065745000     0.00180312     0.0059605534     0.00148292     0.0073883356     0.00227654        -9.34%     12.38%
         650         655        0.0030939474     0.00169340     0.0021054084     0.00184841     0.0045711259     0.00187083       -31.95%     47.74%
         655         660        0.0098624252     0.00730205     0.0087666109     0.00613701      0.011415070     0.00902311       -11.11%     15.74%
         660         665       -0.0014372709      0.0105234    -0.0017816933      0.0127010    -0.0011892631     0.00896816        23.96%    -17.26%
         665         670       0.00067915028     0.00110979    0.00018254094     0.00149497     0.0010142332    0.000892240       -73.12%     49.34%
         670         675        0.0011544213    0.000838498     0.0010775391    0.000822444     0.0012625344     0.00103909        -6.66%      9.37%
         675         680        0.0037462854     0.00167330     0.0036663839     0.00150554     0.0038121285     0.00190816        -2.13%      1.76%
         680         685        0.0019512200     0.00215547     0.0016551695     0.00157305     0.0024269029     0.00299978       -15.17%     24.38%
         685         690        0.0077718035     0.00428070     0.0066315556     0.00343997     0.0093640451     0.00555362       -14.67%     20.49%
         690         695       0.00021854820     0.00141453   -0.00039625262     0.00192912    0.00064068409     0.00109630      -281.31%    193.15%
         695         700        0.0056732313     0.00257996     0.0048783465     0.00199478     0.0066906248     0.00343096       -14.01%     17.93%
         700         705        0.0034615018     0.00173319     0.0032816691     0.00133099     0.0037222234     0.00236337        -5.20%      7.53%
         705         710        0.0019213197     0.00259666     0.0016766855     0.00221804     0.0022559874     0.00312954       -12.73%     17.42%
         710         715        0.0023572639     0.00127572     0.0022595683     0.00113278     0.0024591309     0.00131746        -4.14%      4.32%
         715         720        0.0011469210     0.00109112    0.00050554107     0.00140623     0.0015867953    0.000908155       -55.92%     38.35%
         720         725        0.0011410510     0.00135629    0.00041794820     0.00157841     0.0016368158     0.00132975       -63.37%     43.45%
         725         730        0.0050417860     0.00268093     0.0045482905     0.00225823     0.0056720236     0.00327357        -9.79%     12.50%
         730         735        0.0021152316     0.00162065     0.0016363996     0.00208340     0.0024086390     0.00138884       -22.64%     13.87%
         735         740        0.0012444605     0.00127920    0.00082958806     0.00158326     0.0015229309     0.00109606       -33.34%     22.38%
         740         745        0.0024374502    0.000947223     0.0023120127    0.000794182     0.0026016150     0.00117949        -5.15%      6.74%
         745         750        0.0020892291     0.00162231     0.0012768199     0.00177716     0.0026153894     0.00159396       -38.89%     25.18%
         750         755       0.00071139265    0.000677023    0.00056089336    0.000708983    0.00081756022    0.000697282       -21.16%     14.92%
         755         760        0.0020170259     0.00174098     0.0019630919     0.00165991     0.0020655849     0.00183627        -2.67%      2.41%
         760         765         0.010687472      0.0101561     0.0096599112     0.00903295      0.012123333      0.0117756        -9.61%     13.43%
         765         770       -0.0083156092      0.0105716    -0.0096706520      0.0128644    -0.0073420026     0.00909799        16.30%    -11.71%
         770         775        0.0019114585     0.00167499     0.0011122496     0.00257312     0.0023969824     0.00134062       -41.81%     25.40%
         775         780        0.0021166180     0.00133847     0.0019552609     0.00120182     0.0023346856     0.00154563        -7.62%     10.30%
         780         785      -6.8843008e-05     0.00153828   -0.00072384827     0.00207314    0.00038330408     0.00121965       951.45%   -656.78%
         785         790       0.00045621324    0.000856297   -0.00015529331     0.00103794    0.00085606106    0.000886434      -134.04%     87.64%
         790         795        0.0018724851     0.00109427     0.0017678440     0.00139140     0.0019456245     0.00106338        -5.59%      3.91%
         795         800        0.0011915458     0.00104126    0.00088620668     0.00130010     0.0013811040    0.000879020       -25.63%     15.91%
         800         805        0.0026416943     0.00283786     0.0024311729     0.00231708     0.0029963064     0.00368132        -7.97%     13.42%
         805         810       0.00044583926     0.00117305    0.00036414641     0.00101605    0.00057021122     0.00140832       -18.32%     27.90%
         810         815        0.0014624927    0.000958529     0.0011274941    0.000585025     0.0022140891     0.00182870       -22.91%     51.39%
         815         820        0.0036879242     0.00160911     0.0031960229     0.00134808     0.0043501980     0.00197651       -13.34%     17.96%
         820         825       0.00058452748    0.000681442    0.00051300289    0.000854924    0.00064165575    0.000533638       -12.24%      9.77%
         825         830      -0.00050585638     0.00132322    -0.0011075807     0.00198433   -0.00010587739    0.000917629       118.95%    -79.07%
         830         835        0.0011206852     0.00166585    0.00092087483     0.00139824     0.0014059667     0.00204330       -17.83%     25.46%
         835         840       0.00061200925     0.00181538    0.00052061369     0.00153693    0.00074563864     0.00221680       -14.93%     21.83%
         840         845       0.00081951229     0.00108159    0.00074461115    0.000904300    0.00092842006     0.00135092        -9.14%     13.29%
         845         850      -0.00088621947     0.00337636    -0.0015999202     0.00473848   -0.00040484923     0.00249271        80.53%    -54.32%
         850         855        0.0036035944     0.00339811     0.0034083399     0.00308474     0.0041318055     0.00462114        -5.42%     14.66%
         855         860        0.0047135134     0.00377855     0.0040215490     0.00381466     0.0050800309     0.00381733       -14.68%      7.78%
         860         865       0.00049006674    0.000833106    0.00042029207    0.000817296    0.00057295319    0.000876460       -14.24%     16.91%
         865         870       0.00094422411    0.000914570    0.00078873284    0.000649833     0.0011701314     0.00131550       -16.47%     23.93%
         870         875       6.2143555e-05    0.000301051   -5.6890623e-05    0.000390328    0.00018276512    0.000600962      -191.55%    194.10%
         875         880        0.0014254252    0.000647885     0.0013667696    0.000647831     0.0014947627    0.000654562        -4.11%      4.86%
         880         885       0.00011157675     0.00105817   -0.00017868111     0.00142447    0.00030371399    0.000823655      -260.14%    172.20%
         885         890        0.0026850190     0.00128123     0.0023076891     0.00107374     0.0032010810     0.00157617       -14.05%     19.22%
         890         895        0.0023905050    0.000870366     0.0020602450    0.000683250     0.0028403367     0.00115982       -13.82%     18.82%
         895         900       0.00042225916    0.000584428    0.00039163534    0.000601109    0.00044302870    0.000575821        -7.25%      4.92%
         900         905       0.00023732080    0.000427175    0.00018741269    0.000562924    0.00028920636    0.000385943       -21.03%     21.86%
         905         910       0.00041775380    0.000402063    0.00031818282    0.000494130    0.00047341246    0.000353153       -23.83%     13.32%
         910         915       0.00053635642    0.000436207    0.00035532548    0.000522936    0.00065386238    0.000389588       -33.75%     21.91%
         915         920      -0.00088184191    0.000766295    -0.0017940372     0.00114475   -0.00030278751    0.000538597       103.44%    -65.66%
         920         925        0.0019531309    0.000660228     0.0015938486    0.000524349     0.0024796952    0.000864869       -18.40%     26.96%
         925         930        0.0011297985     0.00135042     0.0010053642     0.00119191     0.0012994306     0.00157189       -11.01%     15.01%
         930         935       0.00081701293    0.000808614    0.00065070448    0.000600452     0.0010313162     0.00105803       -20.36%     26.23%
         935         940      -3.7799727e-05     0.00107127   -0.00044701139     0.00140532    0.00043019374     0.00146315      1082.58%  -1238.09%
         940         945        0.0030577347     0.00238564     0.0021499314     0.00147585     0.0045214423     0.00388461       -29.69%     47.87%
         945         950        0.0011673985    0.000592827     0.0010803996    0.000511339     0.0012809468    0.000710962        -7.45%      9.73%
         950         955       0.00045173485     0.00113538    0.00023339821     0.00139013    0.00059893622    0.000958329       -48.33%     32.59%
         955         960      -0.00019252286    0.000454321   -0.00030825881    0.000693509    3.8591518e-06    0.000222660        60.12%   -102.00%
         960         965       6.2112440e-05     0.00143956    4.1349085e-05    0.000925082    9.1456208e-05     0.00220601       -33.43%     47.24%
         965         970      -2.7893851e-05    0.000186676   -6.3440265e-05    0.000199751    2.2809635e-05    0.000243741       127.43%   -181.77%
         970         975       0.00050753480    0.000693859   -0.00030370043    0.000486552     0.0010261222     0.00117888      -159.84%    102.18%
