#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5          0.84468992       0.111863       0.82984047       0.133635       0.86110305      0.0934337        -1.76%      1.94%
           5          10           2.4503953      0.0928879        2.3903099      0.0815929        2.4784515      0.0906641        -2.45%      1.14%
          10          15           2.0489678      0.0799089        1.9792431      0.0709025        2.0929369      0.0884620        -3.40%      2.15%
          15          20           1.8847226      0.0529925        1.8420087      0.0485012        1.9058552      0.0574066        -2.27%      1.12%
          20          25           2.0797504      0.0675472        2.0518063      0.0617783        2.1040965      0.0633780        -1.34%      1.17%
          25          30           2.3517420      0.0748153        2.3317500      0.0679384        2.3705710      0.0709560        -0.85%      0.80%
          30          35           2.8388477      0.0862739        2.8117490      0.0793456        2.8694041      0.0820478        -0.95%      1.08%
          35          40           2.9036251      0.0871367        2.8752350       0.101483        2.9323329      0.0828769        -0.98%      0.99%
          40          45           2.4562584      0.0925851        2.4068156       0.104541        2.4921856      0.0868341        -2.01%      1.46%
          45          50           1.9645334       0.116425        1.9210138       0.116206        1.9962447       0.116501        -2.22%      1.61%
          50          55           1.3958524      0.0364227        1.3570364      0.0320112        1.4357615      0.0428993        -2.78%      2.86%
          55          60          0.98919172      0.0315100       0.96042519      0.0277382        1.0195891      0.0369920        -2.91%      3.07%
          60          65          0.72839418      0.0272847       0.70822116      0.0240063       0.74932998      0.0320971        -2.77%      2.87%
          65          70          0.63186197      0.0307349       0.60884605      0.0276071       0.65815105      0.0353133        -3.64%      4.16%
          70          75          0.46531343      0.0269285       0.44792126      0.0241835       0.48525405      0.0309315        -3.74%      4.29%
          75          80          0.38160947      0.0206713       0.36800303      0.0183425       0.39669113      0.0240546        -3.57%      3.95%
          80          85          0.24884223      0.0196151       0.24187946      0.0176915       0.25790991      0.0222732        -2.80%      3.64%
          85          90          0.27647832      0.0168031       0.26524686      0.0146742       0.28936855      0.0198745        -4.06%      4.66%
          90          95          0.18356389      0.0130576       0.17846474      0.0114700       0.18891285      0.0152877        -2.78%      2.91%
          95         100          0.17642672      0.0130466       0.16955471      0.0112187       0.18518216      0.0155482        -3.90%      4.96%
         100         105          0.13999419      0.0121991       0.13433230      0.0107045       0.14647845      0.0143286        -4.04%      4.63%
         105         110          0.10379570      0.0100416       0.10035942     0.00869010       0.10869934      0.0119979        -3.31%      4.72%
         110         115          0.10464078      0.0111291      0.098555911     0.00921218       0.11223646      0.0139407        -5.82%      7.26%
         115         120         0.095427222      0.0114897      0.090777539      0.0101642       0.10087655      0.0133182        -4.87%      5.71%
         120         125         0.060230849      0.0108482      0.058802033     0.00963609      0.062328127      0.0124996        -2.37%      3.48%
         125         130         0.074200583     0.00887832      0.070764591     0.00762827      0.078579592      0.0106698        -4.63%      5.90%
         130         135         0.050541593     0.00723875      0.049073129     0.00625401      0.052356772     0.00865913        -2.91%      3.59%
         135         140         0.050852474     0.00691704      0.048845446     0.00602917      0.053233117     0.00820632        -3.95%      4.68%
         140         145         0.027763588     0.00484246      0.027084551     0.00589229      0.028397279     0.00485190        -2.45%      2.28%
         145         150         0.034782102     0.00512000      0.033139553     0.00435262      0.036596353     0.00648013        -4.72%      5.22%
         150         155         0.034026021     0.00548657      0.032132558     0.00485385      0.036460335     0.00641165        -5.56%      7.15%
         155         160         0.034899277     0.00432160      0.031807091     0.00363793      0.038972047     0.00532176        -8.86%     11.67%
         160         165         0.025744477     0.00477723      0.024101629     0.00409201      0.027847987     0.00578552        -6.38%      8.17%
         165         170         0.016904415     0.00362151      0.016416874     0.00417942      0.017585277     0.00366534        -2.88%      4.03%
         170         175         0.018589436     0.00411980      0.017735273     0.00343516      0.019705674     0.00514909        -4.59%      6.00%
         175         180         0.021516184     0.00424740      0.020337570     0.00359366      0.023014117     0.00521495        -5.48%      6.96%
         180         185         0.014496614     0.00473077      0.013277972     0.00421801      0.016119914     0.00544679        -8.41%     11.20%
         185         190         0.012022824     0.00253360      0.011405203     0.00222784      0.012726414     0.00303170        -5.14%      5.85%
         190         195         0.018796508     0.00439182      0.017445881     0.00371759      0.020667038     0.00534590        -7.19%      9.95%
         195         200        0.0040748936     0.00316460     0.0030108759     0.00382269     0.0047605449     0.00270072       -26.11%     16.83%
         200         205         0.010927799     0.00450748      0.010114318     0.00411009      0.011918573     0.00503396        -7.44%      9.07%
         205         210         0.010367099     0.00274127     0.0098277267     0.00245571      0.010996189     0.00315063        -5.20%      6.07%
         210         215        0.0034157927     0.00196437     0.0029919285     0.00167099     0.0041860322     0.00254088       -12.41%     22.55%
         215         220        0.0051107442     0.00211032     0.0048812374     0.00178458     0.0054230020     0.00279919        -4.49%      6.11%
         220         225        0.0080623926     0.00264419     0.0076290976     0.00215891     0.0085693232     0.00333473        -5.37%      6.29%
         225         230        0.0067037833     0.00185989     0.0063984541     0.00156773     0.0070957911     0.00228737        -4.55%      5.85%
         230         235        0.0052495603     0.00171276     0.0049736113     0.00144404     0.0055441291     0.00205410        -5.26%      5.61%
         235         240        0.0030657820     0.00160556     0.0016681218     0.00185505     0.0039469930     0.00175261       -45.59%     28.74%
         240         245        0.0011199331     0.00233299    0.00076351455     0.00280421     0.0013734408     0.00196372       -31.82%     22.64%
         245         250         0.010009331     0.00288312     0.0086455063     0.00250396      0.011889834     0.00339517       -13.63%     18.79%
         250         255        0.0045502803     0.00128404     0.0044304344     0.00107897     0.0046111252     0.00160884        -2.63%      1.34%
         255         260        0.0042583260     0.00119416     0.0041594422    0.000975056     0.0043294281     0.00152287        -2.32%      1.67%
         260         265        0.0024416256     0.00140470     0.0023171992     0.00111736     0.0026466439     0.00153669        -5.10%      8.40%
         265         270        0.0018318891     0.00119962     0.0017806717     0.00109012     0.0018593763     0.00125918        -2.80%      1.50%
         270         275         0.014264388      0.0118788      0.012526382      0.0103620      0.016550540      0.0139154       -12.18%     16.03%
         275         280       -0.0030186132     0.00489101    -0.0032955819     0.00511661    -0.0025588200     0.00459331         9.18%    -15.23%
         280         285        0.0028307896    0.000837755     0.0026885987    0.000725268     0.0029960499     0.00100073        -5.02%      5.84%
         285         290        0.0028175872    0.000833031     0.0026112309    0.000667744     0.0030689102     0.00107965        -7.32%      8.92%
         290         295        0.0020613111    0.000739111     0.0019831733    0.000592410     0.0021449038    0.000963249        -3.79%      4.06%
         295         300        0.0012502651     0.00103506     0.0011563401    0.000988988     0.0013724550     0.00110231        -7.51%      9.77%
         300         305        0.0018538099     0.00180677     0.0016493227     0.00154993     0.0021218456     0.00215642       -11.03%     14.46%
         305         310      -0.00035099647     0.00157734   -0.00078037963     0.00218218   -7.7331236e-05     0.00118478       122.33%    -77.97%
         310         315        0.0023468072    0.000811379     0.0021198701    0.000687636     0.0026277278    0.000983223        -9.67%     11.97%
         315         320       8.5870187e-05    0.000791697   -5.1382063e-05    0.000945551    0.00018387135    0.000682768      -159.84%    114.13%
         320         325        0.0027569336     0.00142980     0.0020674025     0.00112231     0.0037831633     0.00192313       -25.01%     37.22%
         325         330        0.0011672942    0.000892345    0.00099239002     0.00112229     0.0012703354    0.000735305       -14.98%      8.83%
         330         335       0.00055774597    0.000414938    0.00051981003    0.000391717    0.00060605591    0.000536606        -6.80%      8.66%
         335         340       0.00098030926    0.000542119    0.00067667068    0.000700809     0.0011428719    0.000575180       -30.97%     16.58%
         340         345        0.0015374120    0.000626199     0.0013728437    0.000481729     0.0017689222    0.000853125       -10.70%     15.06%
         345         350       0.00027619214    0.000495685    0.00023940591    0.000457660    0.00032210431    0.000542142       -13.32%     16.62%
         350         355       0.00013734214    0.000703691    0.00011749106    0.000656800    0.00016328891    0.000758725       -14.45%     18.89%
         355         360        0.0014606663    0.000983552     0.0012738493    0.000781228     0.0017103411     0.00121515       -12.79%     17.09%
         360         365       0.00043995354    0.000340565    0.00039291144    0.000419606    0.00049122610    0.000341247       -10.69%     11.65%
         365         370       0.00055266224    0.000587715    0.00051153130    0.000703229    0.00058802312    0.000617275        -7.44%      6.40%
         370         375      -0.00027016387     0.00166942   -0.00030042466     0.00185718   -0.00023321347     0.00171967        11.20%    -13.68%
         375         380       -0.0012751040     0.00170747    -0.0026448584     0.00292513   -0.00043583922    0.000969870       107.42%    -65.82%
         380         385      -0.00034916842     0.00150979   -0.00046149060     0.00191398   -0.00027249925     0.00122611        32.17%    -21.96%
         385         390       0.00059608760    0.000285752    0.00055680682    0.000238277    0.00064244680    0.000358805        -6.59%      7.78%
         390         395       0.00061186086    0.000327855    0.00057001812    0.000426092    0.00065943284    0.000352589        -6.84%      7.77%
         395         400       0.00033161151    0.000269174    0.00026572823    0.000359328    0.00037381873    0.000258223       -19.87%     12.73%
         400         405       0.00053203743    0.000286996    0.00047274830    0.000292703    0.00058804950    0.000337968       -11.14%     10.53%
         405         410       0.00024546029    0.000224729    0.00013284005    0.000337153    0.00029049974    0.000171356       -45.88%     18.35%
         410         415       0.00024135424    0.000240782    0.00020698858    0.000258970    0.00028893330    0.000294314       -14.24%     19.71%
         415         420       0.00016370803    0.000198534    0.00015971842    0.000258229    0.00016835925    0.000196559        -2.44%      2.84%
         420         425       0.00011311283    0.000456125   -8.8140713e-05    0.000576250    0.00022325450    0.000380653      -177.92%     97.37%
         425         430       0.00033929329    0.000422083    0.00029850313    0.000537576    0.00036590927    0.000444017       -12.02%      7.84%
         430         435      -0.00044510167    0.000498692   -0.00064479980    0.000648769   -0.00030414559    0.000395360        44.87%    -31.67%
         435         440       0.00046816248    0.000245474    0.00043675186    0.000209765    0.00050668643    0.000294921        -6.71%      8.23%
         440         445       0.00057845022    0.000461157    0.00055908251    0.000642600    0.00058595038    0.000497441        -3.35%      1.30%
         445         450       5.7441664e-05    0.000202729    4.6087971e-05    0.000172452    6.4047174e-05    0.000235573       -19.77%     11.50%
         450         455      -7.5327412e-05    0.000473623   -0.00014389877    0.000659462   -3.1717203e-05    0.000350762        91.03%    -57.89%
         455         460      -8.0021685e-05    0.000342783   -0.00028353654    0.000492044    4.6410428e-05    0.000252997       254.32%   -158.00%
         460         465       8.8661534e-05    0.000221852    3.1070668e-05    0.000287536    0.00011974882    0.000182212       -64.96%     35.06%
         465         470       0.00016709110    0.000219218    9.5829993e-05    0.000297505    0.00020336096    0.000168167       -42.65%     21.71%
         470         475        0.0015574754     0.00132579     0.0014411805     0.00120792     0.0016725756     0.00141557        -7.47%      7.39%
         475         480       0.00012778905    0.000257788    9.1227076e-05    0.000204013    0.00018996342    0.000337984       -28.61%     48.65%
         480         485      -0.00050091677    0.000337499   -0.00077286127    0.000485539   -0.00032476711    0.000241197        54.29%    -35.17%
         485         490       0.00020164265    0.000272213    0.00016373948    0.000229111    0.00025504103    0.000333902       -18.80%     26.48%
         490         495       0.00055337150    0.000216667    0.00046508689    0.000174627    0.00067715814    0.000279888       -15.95%     22.37%
         495         500       0.00038969489    0.000341825    0.00031440536    0.000243789    0.00050160528    0.000493093       -19.32%     28.72%
         500         505       2.7390945e-05    0.000219538   -6.0277498e-05    0.000314307    7.7543990e-05    0.000161362      -320.06%    183.10%
         505         510      -0.00072712470    0.000950747    -0.0014850922     0.00172637   -0.00029101989    0.000517586       104.24%    -59.98%
