#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.4612814      0.0370446        2.0239909      0.0302143        2.9007880      0.0440439       -17.77%     17.86%
           5          10           2.8403720      0.0318818        2.3810643      0.0266796        3.2922005      0.0370871       -16.17%     15.91%
          10          15           2.0490127      0.0247408        1.7728263      0.0215805        2.3100684      0.0277483       -13.48%     12.74%
          15          20           2.0033049      0.0242386        1.7612821      0.0214686        2.2263436      0.0267932       -12.08%     11.13%
          20          25           2.3063597      0.0264398        2.0377190      0.0236115        2.5518304      0.0290310       -11.65%     10.64%
          25          30           2.7276971      0.0279865        2.4122752      0.0248991        3.0151986      0.0307984       -11.56%     10.54%
          30          35           2.9491130      0.0297632        2.6116564      0.0265770        3.2561506      0.0326550       -11.44%     10.41%
          35          40           2.6681115      0.0291196        2.3678584      0.0260474        2.9405841      0.0318989       -11.25%     10.21%
          40          45           1.6726579      0.0210947        1.4953649      0.0190022        1.8321065      0.0229780       -10.60%      9.53%
          45          50          0.68102922      0.0134731       0.62067246      0.0123067       0.73379556      0.0145039        -8.86%      7.75%
          50          55          0.37812505      0.0101236       0.35013177     0.00943443       0.40187087      0.0107129        -7.40%      6.28%
          55          60          0.25958714     0.00764549       0.24262710     0.00718337       0.27363685     0.00802842        -6.53%      5.41%
          60          65          0.20687590     0.00737576       0.19440200     0.00696525       0.21704262     0.00771045        -6.03%      4.91%
          65          70          0.18911127     0.00741558       0.17828847     0.00703262       0.19782775     0.00772182        -5.72%      4.61%
          70          75          0.16567451     0.00659745       0.15614443     0.00625570       0.17334853     0.00687187        -5.75%      4.63%
          75          80          0.15502862     0.00673545       0.14621240     0.00636564       0.16211042     0.00703370        -5.69%      4.57%
          80          85          0.14879451     0.00665637       0.14080581     0.00632576       0.15514842     0.00692085        -5.37%      4.27%
          85          90          0.10502565     0.00533755      0.099416372     0.00505164       0.10947414     0.00556710        -5.34%      4.24%
          90          95         0.065120273     0.00383565      0.061980805     0.00365686      0.067569504     0.00397703        -4.82%      3.76%
          95         100         0.041741011     0.00323394      0.040061586     0.00312293      0.042998220     0.00331654        -4.02%      3.01%
         100         105         0.028996136     0.00230418      0.028022394     0.00225157      0.029696316     0.00234056        -3.36%      2.41%
         105         110         0.018743673     0.00171599      0.018039624     0.00165099      0.019259540     0.00176449        -3.76%      2.75%
         110         115         0.018389625     0.00199933      0.017892345     0.00196051      0.018720199     0.00202230        -2.70%      1.80%
         115         120         0.016915092     0.00221758      0.016324016     0.00212043      0.017340702     0.00229285        -3.49%      2.52%
         120         125        0.0087286939     0.00106321     0.0084777415     0.00104053     0.0088980337     0.00107728        -2.88%      1.94%
         125         130        0.0097946100     0.00141364     0.0095760238     0.00136989     0.0099309052     0.00144610        -2.23%      1.39%
         130         135        0.0084373817     0.00153364     0.0082250973     0.00149768     0.0085758264     0.00155641        -2.52%      1.64%
         135         140        0.0057428506    0.000964369     0.0056336361    0.000943542     0.0058034701    0.000976735        -1.90%      1.06%
         140         145        0.0053324872    0.000906618     0.0052636596    0.000891624     0.0053611859    0.000915192        -1.29%      0.54%
         145         150        0.0030454790    0.000519026     0.0030310568    0.000521409     0.0030454790    0.000519026        -0.47%   0.00000%
         150         155        0.0038296688    0.000830936     0.0038030210    0.000814724     0.0038344444    0.000844574        -0.70%      0.12%
         155         160        0.0027223271    0.000500846     0.0026946550    0.000496500     0.0027299854    0.000501680        -1.02%      0.28%
         160         165        0.0030525670    0.000586325     0.0030173009    0.000577113     0.0030646874    0.000590905        -1.16%      0.40%
         165         170        0.0022527943    0.000632909     0.0021967922    0.000597036     0.0023052677    0.000672897        -2.49%      2.33%
         170         175        0.0032509287     0.00115619     0.0032340790     0.00114912     0.0032509287     0.00115619        -0.52%   0.00000%
         175         180        0.0011439119    0.000370586     0.0011226642    0.000355729     0.0011615068    0.000385821        -1.86%      1.54%
         180         185        0.0020988705    0.000506292     0.0020733097    0.000495123     0.0021085090    0.000513145        -1.22%      0.46%
         185         190        0.0011327801    0.000357094     0.0011261399    0.000348771     0.0011328364    0.000364679        -0.59%     0.005%
         190         195        0.0014952851    0.000348052     0.0014772014    0.000342435     0.0015059054    0.000352274        -1.21%      0.71%
         195         200       0.00088822614    0.000253675    0.00087634240    0.000247355    0.00089587793    0.000259401        -1.34%      0.86%
         200         205        0.0011221476    0.000506059     0.0011146240    0.000495015     0.0011221476    0.000506059        -0.67%   0.00000%
         205         210       0.00075856489    0.000202248    0.00074421666    0.000198578    0.00077031139    0.000205207        -1.89%      1.55%
         210         215       0.00076028669    0.000222472    0.00074448404    0.000217700    0.00077312616    0.000226411        -2.08%      1.69%
         215         220       0.00093103868    0.000285404    0.00091787587    0.000281702    0.00093949404    0.000287669        -1.41%      0.91%
         220         225       0.00038049547    0.000116148    0.00037417806    0.000114866    0.00038512820    0.000116839        -1.66%      1.22%
         225         230       0.00052263791    0.000215462    0.00051155129    0.000211485    0.00053194485    0.000218589        -2.12%      1.78%
         230         235       0.00048511882    0.000141876    0.00047118745    0.000136312    0.00049863789    0.000147863        -2.87%      2.79%
         235         240       0.00063776577    0.000324004    0.00063250664    0.000321479    0.00063936666    0.000324635        -0.82%      0.25%
         240         245       0.00060349030    0.000260102    0.00057496671    0.000245108    0.00063374336    0.000276538        -4.73%      5.01%
         245         250       0.00011399396    4.89276e-05    0.00011293001    4.87634e-05    0.00011439926    4.87595e-05        -0.93%      0.36%
         250         255       0.00027057643    0.000102306    0.00026168028    9.98648e-05    0.00027932602    0.000104644        -3.29%      3.23%
         255         260       0.00010930406    4.34404e-05    0.00010639819    4.20386e-05    0.00011201570    4.48282e-05        -2.66%      2.48%
         260         265       0.00011346986    4.40022e-05    0.00011081363    4.27366e-05    0.00011575862    4.52393e-05        -2.34%      2.02%
         265         270        0.0033461706     0.00188522     0.0032601905     0.00183342     0.0034241752     0.00193358        -2.57%      2.33%
         270         275       0.00020094326    7.68318e-05    0.00019636848    7.57448e-05    0.00020494255    7.76086e-05        -2.28%      1.99%
         275         280       5.0818585e-05    1.78853e-05    4.8762212e-05    1.71031e-05    5.2933740e-05    1.87194e-05        -4.05%      4.16%
         280         285       9.6197051e-05    5.19297e-05    9.2974191e-05    4.97864e-05    9.9344319e-05    5.41251e-05        -3.35%      3.27%
         285         290       0.00010256560    4.23811e-05    9.8063108e-05    4.06172e-05    0.00010721883    4.41837e-05        -4.39%      4.54%
         290         295       7.9268181e-05    3.05838e-05    7.7135751e-05    2.97384e-05    8.1220518e-05    3.13761e-05        -2.69%      2.46%
         295         300       0.00054939251    0.000388999    0.00052751167    0.000373166    0.00057176986    0.000405299        -3.98%      4.07%
         300         305       1.8194607e-05    1.09334e-05    1.7345058e-05    1.04461e-05    1.9078552e-05    1.14424e-05        -4.67%      4.86%
         305         310       8.6991226e-05    4.31519e-05    8.3008924e-05    4.09869e-05    9.1219039e-05    4.54997e-05        -4.58%      4.86%
         310         315       5.9763589e-06    3.93991e-06    5.3732329e-06    3.29435e-06    6.4830512e-06    4.51584e-06       -10.09%      8.48%
         315         320       0.00011436116    4.13142e-05    0.00010877137    3.93609e-05    0.00012041395    4.34951e-05        -4.89%      5.29%
         320         325       7.4350276e-05    5.42133e-05    7.0983154e-05    5.17333e-05    7.7781894e-05    5.67252e-05        -4.53%      4.62%
         325         330       0.00015622641    9.52604e-05    0.00014580496    8.90666e-05    0.00016777862    0.000102082        -6.67%      7.39%
         330         335       0.00013110250    8.57646e-05    0.00012457719    8.14799e-05    0.00013794615    9.02600e-05        -4.98%      5.22%
         335         340       4.1702779e-06    2.37661e-06    3.9320023e-06    2.28311e-06    4.4490557e-06    2.47729e-06        -5.71%      6.68%
         340         345       0.00017538435    7.84241e-05    0.00016594558    7.33098e-05    0.00018567338    8.42056e-05        -5.38%      5.87%
         345         350       5.1418192e-05    2.72999e-05    4.9200392e-05    2.61746e-05    5.3703983e-05    2.84556e-05        -4.31%      4.45%
         350         355       6.4055067e-05    3.63562e-05    6.2190185e-05    3.54245e-05    6.5785062e-05    3.72027e-05        -2.91%      2.70%
         355         360       5.8894224e-05    3.38495e-05    5.6104357e-05    3.21398e-05    6.1836512e-05    3.56634e-05        -4.74%      5.00%
