#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10        0.0051054509     0.00696585     0.0041017283     0.00533817     0.0061880409     0.00869408       -19.66%     21.20%
          10          15          0.29404758      0.0242379       0.27453967      0.0184497       0.31088507      0.0305507        -6.63%      5.73%
          15          20          0.82063604      0.0267597       0.76710192      0.0202913       0.86715592      0.0331440        -6.52%      5.67%
          20          25          0.91233828      0.0233881       0.85424164      0.0181459       0.95406117      0.0286119        -6.37%      4.57%
          25          30          0.84241772      0.0200516       0.78054986      0.0159108       0.88600946      0.0241315        -7.34%      5.17%
          30          35          0.70261328      0.0177109       0.64968446      0.0141430       0.73567443      0.0211751        -7.53%      4.71%
          35          40          0.55346829      0.0149052       0.51368046      0.0120695       0.57828287      0.0182546        -7.19%      4.48%
          40          45          0.46837982      0.0178956       0.42957738      0.0152032       0.49731719      0.0211730        -8.28%      6.18%
          45          50          0.39665615      0.0122623       0.36278199      0.0102346       0.42239677      0.0145884        -8.54%      6.49%
          50          55          0.29532883     0.00997385       0.27380197     0.00841710       0.31030695      0.0118144        -7.29%      5.07%
          55          60          0.24736470     0.00858109       0.23023016     0.00758133       0.25961160     0.00986930        -6.93%      4.95%
          60          65          0.22808733     0.00885605       0.21489193     0.00797590       0.23602134      0.0105304        -5.79%      3.48%
          65          70          0.21916185      0.0104401       0.20586584      0.0108541       0.22884837      0.0104923        -6.07%      4.42%
          70          75          0.19602649     0.00777141       0.18507980     0.00677432       0.20304389     0.00902271        -5.58%      3.58%
          75          80          0.24873273     0.00897327       0.23325550     0.00736136       0.25986083      0.0113314        -6.22%      4.47%
          80          85          0.45255907      0.0105439       0.43026944     0.00929548       0.46663825      0.0121731        -4.93%      3.11%
          85          90           2.6844545      0.0259486        2.5548034      0.0240762        2.7672137      0.0289305        -4.83%      3.08%
          90          95           8.9925857      0.0510548        8.5709915      0.0458591        9.2628775      0.0584185        -4.69%      3.01%
          95         100           1.0676829      0.0173529        1.0189146      0.0158966        1.0988312      0.0195573        -4.57%      2.92%
         100         105          0.66870871      0.0154456       0.63966755      0.0152333       0.68742532      0.0165797        -4.34%      2.80%
         105         110          0.55575616      0.0135659       0.53670819      0.0129944       0.56595535      0.0148509        -3.43%      1.84%
         110         115          0.44898242      0.0121638       0.43040609      0.0114306       0.46147401      0.0132556        -4.14%      2.78%
         115         120          0.43319379      0.0153335       0.41416295      0.0145894       0.44637608      0.0167855        -4.39%      3.04%
         120         125          0.33847801      0.0103538       0.32453896      0.0100936       0.34760058      0.0109989        -4.12%      2.70%
         125         130          0.31161232      0.0112257       0.29977747      0.0105807       0.31942879      0.0120611        -3.80%      2.51%
         130         135          0.23606997     0.00899939       0.22239996      0.0109296       0.24795198     0.00992788        -5.79%      5.03%
         135         140          0.23729606      0.0150161       0.22613043      0.0138613       0.24610982      0.0161383        -4.71%      3.71%
         140         145          0.17830363     0.00714541       0.17023618     0.00675521       0.18435642     0.00775895        -4.52%      3.39%
         145         150          0.17564521      0.0117250       0.16607637      0.0111709       0.18384854      0.0121348        -5.45%      4.67%
         150         155          0.14915281     0.00802984       0.14222355     0.00781441       0.15473043     0.00845060        -4.65%      3.74%
         155         160          0.11844518     0.00912341       0.11518411     0.00913440       0.12133516     0.00979623        -2.75%      2.44%
         160         165          0.10366158     0.00507436       0.10041152     0.00542230       0.10702718     0.00533892        -3.14%      3.25%
         165         170         0.099393076     0.00509858      0.095598882     0.00495279       0.10249274     0.00526700        -3.82%      3.12%
         170         175         0.093526794     0.00479203      0.089606382     0.00457908      0.096599493     0.00498619        -4.19%      3.29%
         175         180         0.093038933     0.00479826      0.089688635     0.00452563      0.095742959     0.00493592        -3.60%      2.91%
         180         185          0.12549024     0.00702985       0.12231035     0.00790255       0.12920513     0.00743185        -2.53%      2.96%
         185         190          0.17068825     0.00762391       0.16607241     0.00743723       0.17554353     0.00799891        -2.70%      2.84%
         190         195          0.19855432     0.00709232       0.19193336     0.00682126       0.20369637     0.00732074        -3.33%      2.59%
         195         200          0.19327060     0.00665171       0.18685361     0.00652819       0.19840998     0.00686936        -3.32%      2.66%
         200         205          0.18512955     0.00678765       0.17985875     0.00678996       0.19044503     0.00698751        -2.85%      2.87%
         205         210          0.19077737     0.00762287       0.18558615     0.00756554       0.19566731     0.00775884        -2.72%      2.56%
         210         215          0.18228259     0.00713510       0.17748815     0.00726300       0.18706807     0.00734182        -2.63%      2.63%
         215         220          0.18460703     0.00721328       0.18011841     0.00702605       0.18973915     0.00733506        -2.43%      2.78%
         220         225          0.15322746     0.00637199       0.14837615     0.00620668       0.15753017     0.00652010        -3.17%      2.81%
         225         230          0.15598902     0.00817586       0.15073920     0.00888424       0.15997219     0.00769597        -3.37%      2.55%
         230         235          0.14751938     0.00623456       0.14366068     0.00602492       0.15230589     0.00651249        -2.62%      3.24%
         235         240          0.12440884     0.00531071       0.12107006     0.00516154       0.12778123     0.00540388        -2.68%      2.71%
         240         245          0.12292397     0.00568862       0.11944309     0.00611377       0.12682204     0.00586405        -2.83%      3.17%
         245         250          0.11455135     0.00530355       0.11014229     0.00576402       0.11815259     0.00547260        -3.85%      3.14%
         250         255          0.10711773     0.00556739       0.10446712     0.00544142       0.11040568     0.00573649        -2.47%      3.07%
         255         260         0.097459821     0.00543645      0.094164553     0.00535839       0.10035857     0.00565472        -3.38%      2.97%
         260         265         0.091633444     0.00490934      0.089077364     0.00479730      0.094804133     0.00505971        -2.79%      3.46%
         265         270         0.085465228     0.00475733      0.083192935     0.00459804      0.088463069     0.00511328        -2.66%      3.51%
         270         275         0.090711483     0.00479571      0.088137739     0.00467960      0.093904084     0.00495130        -2.84%      3.52%
         275         280         0.070959225     0.00417262      0.068971029     0.00402856      0.073425482     0.00436341        -2.80%      3.48%
         280         285         0.072083485     0.00472914      0.070413997     0.00462249      0.074154401     0.00487233        -2.32%      2.87%
         285         290         0.068536941     0.00442107      0.066706815     0.00431314      0.070807119     0.00456565        -2.67%      3.31%
         290         295         0.066550053     0.00438863      0.064884154     0.00430229      0.068616518     0.00450492        -2.50%      3.11%
         295         300         0.063319232     0.00407216      0.061778113     0.00397215      0.065230913     0.00420612        -2.43%      3.02%
         300         305         0.059120587     0.00455847      0.056811892     0.00420016      0.062025890     0.00512919        -3.91%      4.91%
         305         310         0.057643510     0.00394023      0.056048008     0.00395573      0.059464668     0.00407610        -2.77%      3.16%
         310         315         0.050062893     0.00380605      0.048256595     0.00371237      0.052478930     0.00405808        -3.61%      4.83%
         315         320         0.054444744     0.00409285      0.053209236     0.00402840      0.055977330     0.00418006        -2.27%      2.81%
         320         325         0.041885158     0.00347131      0.040423810     0.00309301      0.043901972     0.00419373        -3.49%      4.82%
         325         330         0.042930704     0.00319607      0.041730712     0.00312653      0.044419235     0.00328952        -2.80%      3.47%
         330         335         0.039671215     0.00286093      0.038231419     0.00276036      0.041505022     0.00308830        -3.63%      4.62%
         335         340         0.043499348     0.00372028      0.042235606     0.00361670      0.045096556     0.00404363        -2.91%      3.67%
         340         345         0.043957385     0.00474000      0.041850458     0.00447889      0.046753847     0.00529167        -4.79%      6.36%
         345         350         0.036095035     0.00289031      0.034963050     0.00279665      0.037499206     0.00301466        -3.14%      3.89%
         350         355         0.027501686     0.00270877      0.026926689     0.00259854      0.028214941     0.00285375        -2.09%      2.59%
         355         360         0.039180512     0.00441368      0.037973764     0.00442152      0.040344269     0.00438794        -3.08%      2.97%
         360         365         0.030523759     0.00285334      0.029498820     0.00291455      0.031575702     0.00295883        -3.36%      3.45%
         365         370         0.032897655     0.00323451      0.031009230     0.00300712      0.035243813     0.00359708        -5.74%      7.13%
         370         375         0.028583519     0.00250998      0.027460544     0.00243638      0.030042272     0.00264596        -3.93%      5.10%
         375         380         0.021498508     0.00378890      0.021037468     0.00353949      0.022070405     0.00410795        -2.14%      2.66%
         380         385         0.025677718     0.00400189      0.024367616     0.00339159      0.027513700     0.00495989        -5.10%      7.15%
         385         390         0.021446363     0.00210212      0.020835032     0.00206040      0.022204689     0.00215831        -2.85%      3.54%
         390         395         0.019093741     0.00209224      0.018334595     0.00203902      0.020135578     0.00219573        -3.98%      5.46%
         395         400         0.017830743     0.00214578      0.017249727     0.00196200      0.018785925     0.00254920        -3.26%      5.36%
         400         405         0.020352722     0.00266009      0.019312492     0.00224722      0.021557258     0.00331101        -5.11%      5.92%
         405         410         0.023597511     0.00253923      0.022853582     0.00246026      0.024538642     0.00269512        -3.15%      3.99%
         410         415         0.020162447     0.00225182      0.019572293     0.00221231      0.020894503     0.00230517        -2.93%      3.63%
         415         420         0.015288392     0.00208235      0.014415891     0.00172556      0.016371155     0.00261908        -5.71%      7.08%
         420         425         0.020544277     0.00234796      0.019977915     0.00230625      0.021246821     0.00240426        -2.76%      3.42%
         425         430         0.018659206     0.00218096      0.018104725     0.00212643      0.019347012     0.00225395        -2.97%      3.69%
         430         435         0.016571184     0.00249602      0.015847223     0.00231168      0.017615452     0.00282608        -4.37%      6.30%
         435         440         0.013485369     0.00189388      0.013013593     0.00188980      0.014036443     0.00190543        -3.50%      4.09%
         440         445         0.015923018     0.00187379      0.015403275     0.00180800      0.016567732     0.00196087        -3.26%      4.05%
         445         450         0.012534193     0.00137709      0.012151130     0.00134815      0.013009362     0.00141602        -3.06%      3.79%
         450         455        0.0083678106     0.00197791     0.0068021539     0.00359449      0.010258829     0.00157554       -18.71%     22.60%
         455         460         0.014089733     0.00198641      0.013561426     0.00193462      0.014728640     0.00206760        -3.75%      4.53%
