#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.1101459      0.0691437        1.9796827      0.0600370        2.2223662      0.0771880        -6.18%      5.32%
           5          10           2.9962801      0.0960929        2.8096805      0.0866521        3.1198972       0.102479        -6.23%      4.13%
          10          15           2.5263684       0.120844        2.3854591       0.110099        2.6192171       0.130016        -5.58%      3.68%
          15          20           2.4363990      0.0953301        2.3255622      0.0876207        2.5064536       0.102359        -4.55%      2.88%
          20          25           2.5919349       0.117531        2.4663659       0.107496        2.6749285       0.126809        -4.84%      3.20%
          25          30           2.7414244       0.124812        2.6293370       0.113544        2.8101015       0.135135        -4.09%      2.51%
          30          35           2.4276953       0.102140        2.3226873      0.0947145        2.4973111       0.108948        -4.33%      2.87%
          35          40           2.1579521      0.0935698        2.0757603      0.0860862        2.2156796      0.0935207        -3.81%      2.68%
          40          45           2.0524616      0.0900749        1.9770888      0.0863799        2.1021422      0.0942240        -3.67%      2.42%
          45          50           1.1601247      0.0587891        1.1043319      0.0550194        1.2114239      0.0633277        -4.81%      4.42%
          50          55          0.73200543      0.0373200       0.70109247      0.0363435       0.76913477      0.0404684        -4.22%      5.07%
          55          60          0.51816620      0.0351832       0.49935779      0.0346185       0.54145106      0.0383368        -3.63%      4.49%
          60          65          0.39524939      0.0263474       0.37994747      0.0259177       0.41401956      0.0283591        -3.87%      4.75%
          65          70          0.29769355      0.0185370       0.28709207      0.0173475       0.31084415      0.0200476        -3.56%      4.42%
          70          75          0.24615427      0.0239731       0.23625132      0.0227150       0.25843838      0.0255627        -4.02%      4.99%
          75          80          0.21387090      0.0162594       0.20460289      0.0151826       0.22536740      0.0176206        -4.33%      5.38%
          80          85          0.16614634      0.0228903       0.15950541      0.0223125       0.17377199      0.0243423        -4.00%      4.59%
          85          90         0.098120685      0.0235796      0.093705879      0.0225639       0.10349913      0.0248131        -4.50%      5.48%
          90          95         0.074082828      0.0398450      0.071969104      0.0361511      0.076945893      0.0417155        -2.85%      3.86%
          95         100         0.092955631      0.0482876      0.087996147      0.0438101      0.099107620      0.0538476        -5.34%      6.62%
         100         105         0.080974154      0.0251773      0.077011553      0.0229169      0.085889562      0.0279902        -4.89%      6.07%
         105         110         0.063426374     0.00840808      0.060660947     0.00791247      0.066856746     0.00903713        -4.36%      5.41%
         110         115         0.051792851     0.00845242      0.049588632     0.00785501      0.054527075     0.00920513        -4.26%      5.28%
         115         120         0.044503356     0.00828037      0.041948403     0.00768898      0.047629636     0.00900260        -5.74%      7.02%
         120         125         0.035003608     0.00793124      0.033136670     0.00738857      0.037317705     0.00857081        -5.33%      6.61%
         125         130         0.025562938     0.00691975      0.024794760     0.00640786      0.026605105     0.00755556        -3.01%      4.08%
         130         135         0.021233813     0.00599079      0.020229599     0.00562555      0.022479490     0.00644918        -4.73%      5.87%
         135         140         0.063211003      0.0383437      0.058574165      0.0348442      0.068962768      0.0426888        -7.34%      9.10%
         140         145      -0.00097065140      0.0274177    -0.0023241895      0.0306297    0.00012051590      0.0248314       139.45%   -112.42%
         145         150         0.013588825     0.00349454      0.012680059     0.00312113      0.014698962     0.00397716        -6.69%      8.17%
         150         155         0.012077875     0.00344032      0.011549156     0.00320264      0.012712112     0.00366649        -4.38%      5.25%
         155         160         0.011823780     0.00420006      0.011016915     0.00388984      0.012855331     0.00456739        -6.82%      8.72%
         160         165        0.0037377617     0.00600653     0.0034616245     0.00566112     0.0040797089     0.00642175        -7.39%      9.15%
         165         170         0.012687297     0.00411617      0.011990030     0.00379286      0.013552221     0.00452079        -5.50%      6.82%
         170         175        0.0062026348     0.00213649     0.0057636495     0.00199279     0.0067553589     0.00231422        -7.08%      8.91%
         175         180        0.0097406982     0.00414476     0.0087330191     0.00365796      0.011019285     0.00475958       -10.35%     13.13%
         180         185        0.0023807775     0.00922660     0.0019836399      0.0109108     0.0026640465     0.00792811       -16.68%     11.90%
         185         190        0.0023663630     0.00166676     0.0022199915     0.00156581     0.0025479296     0.00179222        -6.19%      7.67%
         190         195        0.0049351713     0.00135487     0.0046087664     0.00127858     0.0053553790     0.00145676        -6.61%      8.51%
         195         200        0.0060394660     0.00146394     0.0055374510     0.00135655     0.0066585378     0.00159836        -8.31%     10.25%
         200         205        0.0039008127     0.00173958     0.0036102949     0.00158647     0.0042545946     0.00192731        -7.45%      9.07%
         205         210        0.0041414881     0.00239908     0.0039245810     0.00221555     0.0044569030     0.00265734        -5.24%      7.62%
         210         215        0.0093564931     0.00474983     0.0083870318     0.00417785      0.010566659     0.00547265       -10.36%     12.93%
         215         220       -0.0048983541     0.00837322    -0.0055525544     0.00951597    -0.0043590675     0.00743899        13.36%    -11.01%
