#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           43.544140        5.91122        43.235921        7.51794        43.719711        5.39693        -0.71%      0.40%
        0.15         0.3           40.354097        7.82193        40.078208        9.84283        40.562539        6.89643        -0.68%      0.52%
         0.3        0.45           36.202538        6.06322        33.751680        7.66996        37.972391        5.52226        -6.77%      4.89%
        0.45         0.6           37.397859        6.93431        35.800779        7.78066        38.831520        6.25208        -4.27%      3.83%
         0.6        0.75           42.282655        6.80360        40.643541        5.93895        43.547127        7.67068        -3.88%      2.99%
        0.75         0.9           33.381180        7.45410        31.842974        9.39784        34.428971        6.06492        -4.61%      3.14%
         0.9        1.05           46.050474        7.52458        45.380462        6.74754        46.324954        8.29435        -1.45%      0.60%
        1.05         1.2           24.725606        7.05996        20.582470        8.90779        27.611279        5.74233       -16.76%     11.67%
         1.2        1.35           43.594949        6.17171        43.023247        5.00282        44.399564        6.83668        -1.31%      1.85%
        1.35         1.5           34.893792        8.00757        33.484097        10.1074        35.802053        6.50639        -4.04%      2.60%
         1.5        1.65           24.916299        5.55989        20.100259        7.06223        28.209495        4.49534       -19.33%     13.22%
        1.65         1.8           57.047957        6.14423        52.637427        4.95126        63.113193        7.82893        -7.73%     10.63%
         1.8        1.95           42.717817        6.08464        41.706620        4.92543        43.955914        7.71795        -2.37%      2.90%
        1.95         2.1           30.611172        5.97605        29.130708        7.58359        31.604998        5.37116        -4.84%      3.25%
         2.1        2.25           48.525541        5.78878        45.712804        4.63467        52.324331        7.43350        -5.80%      7.83%
        2.25         2.4           35.908345        5.99824        34.292668        5.40724        37.281436        6.63111        -4.50%      3.82%
         2.4        2.55           28.902424        5.34552        27.218078        6.78733        29.988533        4.32324        -5.83%      3.76%
        2.55         2.7           35.060090        6.07550        33.834603        5.46812        36.053005        6.70051        -3.50%      2.83%
         2.7        2.85           40.969636        5.82371        39.108369        4.72917        43.421398        7.36233        -4.54%      5.98%
        2.85           3           16.721863        6.09104        13.808995        7.65815        18.767435        4.97322       -17.42%     12.23%
           3        3.15           23.519699        5.37031        22.197244        6.76675        24.387625        4.37861        -5.62%      3.69%
        3.15         3.3           20.557266        5.01832        19.110912        6.37182        21.526635        4.05808        -7.04%      4.72%
         3.3        3.45           26.307390        4.61983        25.271264        3.73872        27.682868        5.86321        -3.94%      5.23%
        3.45         3.6           15.689136        5.63791        14.038918        6.88336        16.791642        4.80678       -10.52%      7.03%
         3.6        3.75           19.977478        4.42978        19.493775        3.90919        20.357486        4.96767        -2.42%      1.90%
        3.75         3.9           15.554173        6.22652        14.078964        6.28326        16.937475        6.29331        -9.48%      8.89%
         3.9        4.05           15.765161        3.43014        15.234248        2.80526        16.453527        4.31219        -3.37%      4.37%
        4.05         4.2           9.9179354        3.46395        9.0374611        3.72560        10.726001        3.26826        -8.88%      8.15%
         4.2        4.35           7.5452959        2.76412        7.1026926        2.34929        8.0401358        3.21132        -5.87%      6.56%
        4.35         4.5           8.0885452        3.97604        7.3663777        3.43495        8.7091149        4.50479        -8.93%      7.67%
         4.5        4.65           7.8864364        2.50943        7.4098296        2.12343        8.4216054        3.17069        -6.04%      6.79%
        4.65         4.8           4.7413846        2.34528        4.3455402        1.94250        5.1670363        2.77118        -8.35%      8.98%
         4.8        4.95           2.8073474        2.24440        2.5232095        2.41915        2.9745331        2.11076       -10.12%      5.96%
        4.95         5.1           5.5760857        2.47492        4.7330207        2.04171        6.4616660        2.92078       -15.12%     15.88%
         5.1        5.25           5.3898088        2.40103        4.7460373        2.03196        6.2567781        3.01428       -11.94%     16.09%
        5.25         5.4          -1.5621883        1.97527       -2.2528902        2.47528       -1.0003276        1.62755        44.21%    -35.97%
         5.4        5.55           3.9434027        1.89226        3.4045676        1.56484        4.6447435        2.39694       -13.66%     17.79%
        5.55         5.7           2.1326039        1.30370        1.8294757        1.06574        2.5002374        1.66824       -14.21%     17.24%
         5.7        5.85          -2.1836256        1.45056       -3.0447278        1.80518       -1.5703434        1.19497        39.43%    -28.09%
        5.85           6          -1.0832444        1.36358       -1.5254861        1.69274      -0.76965844        1.12715        40.83%    -28.95%
           6        6.15         -0.21603750       0.671542      -0.31890860       0.823160      -0.10962687       0.528295        47.62%    -49.26%
        6.15         6.3          0.53788590       0.286877       0.47490820       0.238848       0.62018657       0.356732       -11.71%     15.30%
         6.3        6.45          0.87907695       0.583112       0.79388322       0.525912       0.98641762       0.658686        -9.69%     12.21%
        6.45         6.6         -0.35150185       0.316254      -0.44344096       0.394670      -0.28484263       0.259409        26.16%    -18.96%
         6.6        6.75        -0.040647171      0.0398779     -0.054275255      0.0482900     -0.029960623      0.0332149        33.53%    -26.29%
        6.75         6.9         0.015479687     0.00816721      0.012851555     0.00716906      0.018295492     0.00954897       -16.98%     18.19%
         6.9        7.05      -2.5263409e-05    2.49432e-05   -2.8273546e-05    2.78776e-05   -2.2843715e-05    2.25792e-05        11.92%     -9.58%
        7.05         7.2                   0              0                0              0                0              0            0%         0%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
        7.35         7.5                   0              0                0              0                0              0            0%         0%
         7.5        7.65                   0              0                0              0                0              0            0%         0%
        7.65         7.8                   0              0                0              0                0              0            0%         0%
         7.8        7.95                   0              0                0              0                0              0            0%         0%
        7.95         8.1                   0              0                0              0                0              0            0%         0%
         8.1        8.25                   0              0                0              0                0              0            0%         0%
        8.25         8.4                   0              0                0              0                0              0            0%         0%
         8.4        8.55                   0              0                0              0                0              0            0%         0%
        8.55         8.7                   0              0                0              0                0              0            0%         0%
         8.7        8.85                   0              0                0              0                0              0            0%         0%
        8.85           9                   0              0                0              0                0              0            0%         0%
