#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1        0.0034145101    0.000873706     0.0033967670    0.000865351     0.0034145101    0.000873706        -0.52%   0.00000%
         0.1         0.2         0.064300009      0.0143881      0.059900327      0.0132487      0.067990374      0.0153675        -6.84%      5.74%
         0.2         0.3          0.28231619      0.0505094       0.25340067      0.0446839       0.30815477      0.0557695       -10.24%      9.15%
         0.3         0.4          0.45710109      0.0491766       0.40724429      0.0445288       0.50218125      0.0532984       -10.91%      9.86%
         0.4         0.5          0.59922498      0.0608029       0.52174498      0.0490650       0.67120601      0.0730791       -12.93%     12.01%
         0.5         0.6          0.49724184      0.0360176       0.44236536      0.0320589       0.54713981      0.0396304       -11.04%     10.03%
         0.6         0.7          0.70723630      0.0694834       0.63148448      0.0624995       0.77580420      0.0757467       -10.71%      9.70%
         0.7         0.8          0.80914856      0.0545570       0.71871679      0.0482111       0.89191395      0.0604811       -11.18%     10.23%
         0.8         0.9          0.89884723      0.0550682       0.79481420      0.0479933       0.99499779      0.0619771       -11.57%     10.70%
         0.9           1           1.3782641       0.325913        1.2402600       0.301284        1.5026419       0.346539       -10.01%      9.02%
           1         1.1           1.1426172      0.0818598        1.0188564      0.0741109        1.2568793      0.0890907       -10.83%     10.00%
         1.1         1.2           1.6283969      0.0865094        1.4395535      0.0773516        1.8044953      0.0950402       -11.60%     10.81%
         1.2         1.3           1.7811838       0.130419        1.5794091       0.111010        1.9698006       0.149942       -11.33%     10.59%
         1.3         1.4           2.3428657       0.156563        2.0607520       0.142367        2.6095141       0.169414       -12.04%     11.38%
         1.4         1.5           3.2233028       0.106415        2.8267117      0.0911767        3.5998486       0.122952       -12.30%     11.68%
         1.5         1.6           3.7271590       0.107348        3.2734844      0.0976405        4.1587909       0.116914       -12.17%     11.58%
         1.6         1.7           4.9091250       0.159385        4.2746626       0.139483        5.5186563       0.179595       -12.92%     12.42%
         1.7         1.8           5.2038442       0.928540        4.4965765       0.863173        5.8893684       0.983057       -13.59%     13.17%
         1.8         1.9           7.1205032       0.364826        6.2224062       0.293285        7.9790618       0.440714       -12.61%     12.06%
         1.9           2           9.6994347       0.231751        8.4338847       0.196249        10.915338       0.268121       -13.05%     12.54%
           2         2.1           12.086777       0.184359        10.551692       0.165404        13.555733       0.202876       -12.70%     12.15%
         2.1         2.2           14.469903       0.232223        12.582351       0.196780        16.281652       0.269145       -13.04%     12.52%
         2.2         2.3           17.979019       0.282060        15.658785       0.238373        20.201814       0.325488       -12.91%     12.36%
         2.3         2.4           23.168351       0.518521        20.224813       0.471271        25.976938       0.566704       -12.70%     12.12%
         2.4         2.5           28.120290       0.226978        24.516434       0.202100        31.556051       0.252086       -12.82%     12.22%
         2.5         2.6           34.786767       0.284122        30.343012       0.251970        39.012206       0.315430       -12.77%     12.15%
         2.6         2.7           43.524783       0.296831        38.008718       0.261299        48.755333       0.331577       -12.67%     12.02%
         2.7         2.8           54.455534       0.335016        47.602793       0.292921        60.924114       0.377147       -12.58%     11.88%
         2.8         2.9           72.476005       0.972904        63.455979       0.901259        80.961613        1.03401       -12.45%     11.71%
         2.9           3           94.238109       0.448582        82.563397       0.388796        105.17435       0.507797       -12.39%     11.60%
           3         3.1           131.27775       0.549204        115.17138       0.497453        146.28702       0.602990       -12.27%     11.43%
         3.1         3.2           140.74139       0.439713        123.60731       0.388177        156.67017       0.489385       -12.17%     11.32%
         3.2         3.3           85.751022       0.449100        75.287465       0.394784        95.482891       0.502027       -12.20%     11.35%
         3.3         3.4           62.914964       0.551572        55.302549       0.483855        69.980654       0.616052       -12.10%     11.23%
         3.4         3.5           49.888160       0.277157        43.898324       0.241631        55.436324       0.311788       -12.01%     11.12%
         3.5         3.6           39.865100       0.249628        35.092277       0.216698        44.285870       0.281916       -11.97%     11.09%
         3.6         3.7           32.763203       0.337097        28.865674       0.310563        36.366838       0.360833       -11.90%     11.00%
         3.7         3.8           25.720791       0.486990        22.650128       0.441418        28.561514       0.527940       -11.94%     11.04%
         3.8         3.9           21.744285       0.200540        19.160660       0.179039        24.133287       0.220525       -11.88%     10.99%
