#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10        0.0046411847     0.00109728     0.0035727692    0.000846994     0.0057797343     0.00136546       -23.02%     24.53%
          10          15          0.36019979     0.00978312       0.28467726     0.00769019       0.43895679      0.0120030       -20.97%     21.86%
          15          20          0.84047569     0.00878923       0.67313958     0.00701779        1.0124605      0.0106201       -19.91%     20.46%
          20          25          0.88910493      0.0168761       0.72128327      0.0135693        1.0590550      0.0202322       -18.88%     19.11%
          25          30          0.71867525      0.0173445       0.58985297      0.0140087       0.84746241      0.0207199       -17.92%     17.92%
          30          35          0.57467509     0.00807060       0.47652622     0.00669086       0.67166966     0.00943917       -17.08%     16.88%
          35          40          0.47689513     0.00983342       0.39869601     0.00811395       0.55342091      0.0115261       -16.40%     16.05%
          40          45          0.36821374      0.0100430       0.31078117     0.00831848       0.42383246      0.0117355       -15.60%     15.11%
          45          50          0.32436412     0.00668483       0.27603770     0.00577779       0.37070923     0.00754363       -14.90%     14.29%
          50          55          0.25684244      0.0105753       0.21975193     0.00930768       0.29215196      0.0117470       -14.44%     13.75%
          55          60          0.25087212     0.00534296       0.21599885     0.00458527       0.28379655     0.00606928       -13.90%     13.12%
          60          65          0.26968180     0.00589789       0.23411714     0.00516361       0.30290439     0.00658091       -13.19%     12.32%
          65          70          0.29665107     0.00723127       0.25856094     0.00629917       0.33200369     0.00809737       -12.84%     11.92%
          70          75          0.36768250     0.00731162       0.32170010     0.00642159       0.41013048     0.00813102       -12.51%     11.54%
          75          80          0.62080554      0.0546987       0.54500851      0.0492473       0.69047686      0.0595512       -12.21%     11.22%
          80          85           1.0136015      0.0570803       0.88756629      0.0513113        1.1296634      0.0622289       -12.43%     11.45%
          85          90           3.7005486      0.0504567        3.2494701      0.0449567        4.1148145      0.0554534       -12.19%     11.19%
          90          95           4.6081773      0.0541449        4.0460477      0.0482098        5.1250774      0.0595382       -12.20%     11.22%
          95         100          0.72371680      0.0142177       0.63961399      0.0125935       0.80042890      0.0156937       -11.62%     10.60%
         100         105          0.50182597      0.0102213       0.44540300     0.00911116       0.55298450      0.0112234       -11.24%     10.19%
         105         110          0.42221348     0.00955197       0.37522436     0.00852981       0.46472290      0.0104772       -11.13%     10.07%
         110         115          0.33823247     0.00842879       0.30250041     0.00757186       0.37030090     0.00920303       -10.56%      9.48%
         115         120          0.28962271     0.00772798       0.25913237     0.00692970       0.31695279     0.00844208       -10.53%      9.44%
         120         125          0.26178644     0.00993002       0.23593689     0.00937227       0.28474369      0.0104092        -9.87%      8.77%
         125         130          0.20636969     0.00602508       0.18582721     0.00543862       0.22458713     0.00654540        -9.95%      8.83%
         130         135          0.19244680     0.00793684       0.17366096     0.00715847       0.20905989     0.00863238        -9.76%      8.63%
         135         140          0.13570555     0.00929541       0.12239961     0.00878539       0.14743749     0.00974403        -9.81%      8.65%
         140         145          0.13698819     0.00503231       0.12443049     0.00458204       0.14796504     0.00542490        -9.17%      8.01%
         145         150          0.11258680     0.00642312       0.10202128     0.00587560       0.12186335     0.00689764        -9.38%      8.24%
         150         155          0.10686390     0.00395369      0.097637891     0.00358312       0.11484981     0.00427797        -8.63%      7.47%
         155         160          0.10463884     0.00361718      0.095788502     0.00333272       0.11227211     0.00386045        -8.46%      7.29%
         160         165         0.098613107     0.00641234      0.090577407     0.00604776       0.10549882     0.00670702        -8.15%      6.98%
         165         170         0.087954853     0.00411739      0.080842582     0.00377230      0.094036798     0.00441528        -8.09%      6.91%
         170         175         0.097691917     0.00416322      0.089858612     0.00384671       0.10437824     0.00443263        -8.02%      6.84%
         175         180         0.095951736     0.00687505      0.088273456     0.00645068       0.10249065     0.00722215        -8.00%      6.81%
         180         185          0.14257040      0.0159367       0.13184757      0.0150217       0.15166752      0.0166701        -7.52%      6.38%
         185         190          0.14308741      0.0162826       0.13175102      0.0153614       0.15272214      0.0170268        -7.92%      6.73%
         190         195          0.16861151      0.0135885       0.15603607      0.0126474       0.17918908      0.0143673        -7.46%      6.27%
         195         200          0.13339938      0.0138973       0.12381525      0.0128695       0.14141529      0.0147633        -7.18%      6.01%
         200         205          0.14320216      0.0148170       0.13305788      0.0137703       0.15166101      0.0156851        -7.08%      5.91%
         205         210          0.15077057      0.0166320       0.14027539      0.0157614       0.15948951      0.0173188        -6.96%      5.78%
         210         215          0.10813662      0.0126462       0.10088000      0.0117421       0.11414527      0.0133961        -6.71%      5.56%
         215         220          0.12688845      0.0204573       0.11829722      0.0190602       0.13398432      0.0216069        -6.77%      5.59%
         220         225         0.093798022      0.0199814      0.087648423      0.0186239      0.098866565      0.0210990        -6.56%      5.40%
         225         230         0.094863619     0.00626708      0.088604086     0.00587291       0.10000823     0.00658751        -6.60%      5.42%
         230         235         0.098274407     0.00527017      0.092116021     0.00495248       0.10330651     0.00552866        -6.27%      5.12%
         235         240         0.091715309     0.00640756      0.086297305     0.00604196      0.096082935     0.00672629        -5.91%      4.76%
         240         245         0.095577007     0.00984798      0.089732656     0.00926835       0.10030962      0.0103130        -6.11%      4.95%
         245         250         0.053304978      0.0108494      0.049997642      0.0102392      0.055998833      0.0113408        -6.20%      5.05%
         250         255         0.070636385     0.00635488      0.066968824     0.00596629      0.073507374     0.00670016        -5.19%      4.06%
         255         260         0.058450088     0.00459920      0.055276344     0.00438539      0.060965250     0.00476421        -5.43%      4.30%
         260         265         0.057327326     0.00381023      0.054089997     0.00362572      0.059905801     0.00396689        -5.65%      4.50%
         265         270         0.057409195     0.00561771      0.054279176     0.00540057      0.059894109     0.00577839        -5.45%      4.33%
         270         275         0.042406186      0.0133407      0.040089327      0.0127945      0.044250735      0.0137432        -5.46%      4.35%
         275         280         0.051405865     0.00583676      0.048757673     0.00555417      0.053475437     0.00605449        -5.15%      4.03%
         280         285         0.043866901     0.00596786      0.041700575     0.00567175      0.045548317     0.00619771        -4.94%      3.83%
         285         290         0.047658950     0.00525793      0.045137400     0.00497399      0.049648662     0.00548654        -5.29%      4.17%
         290         295         0.034928611     0.00538442      0.033106621     0.00504788      0.036377185     0.00567550        -5.22%      4.15%
         295         300         0.038045923     0.00324018      0.036578428     0.00298754      0.039115605     0.00347334        -3.86%      2.81%
         300         305         0.041255469     0.00329321      0.039487246     0.00319843      0.042587227     0.00335916        -4.29%      3.23%
         305         310         0.031295031     0.00250836      0.029839985     0.00245839      0.032411938     0.00253867        -4.65%      3.57%
         310         315         0.031450928     0.00284958      0.030036366     0.00272166      0.032526843     0.00294758        -4.50%      3.42%
