#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.62235227     0.00665116       0.50204348     0.00530767       0.74542960     0.00805638       -19.33%     19.78%
          10          20           1.1113152     0.00577385       0.91376239     0.00476469        1.3090740     0.00679003       -17.78%     17.80%
          20          30          0.65726477     0.00506552       0.55516544     0.00446462       0.75634819     0.00563681       -15.53%     15.08%
          30          40          0.51844310     0.00825682       0.44798008     0.00721358       0.58485455     0.00921920       -13.59%     12.81%
          40          50          0.63096837     0.00693738       0.55238931     0.00611963       0.70359921     0.00769188       -12.45%     11.51%
          50          60           1.0788474      0.0120498       0.94704993      0.0106091        1.2000331      0.0133715       -12.22%     11.23%
          60          70           1.5974046      0.0137388        1.4040944      0.0121253        1.7748371      0.0152194       -12.10%     11.11%
          70          80           1.7407143      0.0129074        1.5330352      0.0113832        1.9309595      0.0143081       -11.93%     10.93%
          80          90           1.2615767      0.0114672        1.1245263      0.0101503        1.3854613      0.0127057       -10.86%      9.82%
          90         100          0.96294233      0.0114407       0.87468649      0.0102697        1.0406785      0.0125333        -9.17%      8.07%
         100         110          0.17724233     0.00351209       0.16302279     0.00324723       0.18942777     0.00373775        -8.02%      6.88%
         110         120          0.13944489     0.00463140       0.12890027     0.00424216       0.14838358     0.00496734        -7.56%      6.41%
         120         130          0.11529860     0.00636080       0.10732213     0.00588497       0.12193617     0.00676275        -6.92%      5.76%
         130         140          0.10641441     0.00707681      0.099426938     0.00676443       0.11217983     0.00731260        -6.57%      5.42%
         140         150         0.075353710     0.00562863      0.070477602     0.00523905      0.079368945     0.00595185        -6.47%      5.33%
         150         160         0.075727822     0.00270289      0.071253634     0.00257235      0.079346231     0.00280668        -5.91%      4.78%
         160         170         0.065635521     0.00388046      0.061815563     0.00367370      0.068718912     0.00404466        -5.82%      4.70%
         170         180         0.051016715     0.00247968      0.048260132     0.00233795      0.053210343     0.00259382        -5.40%      4.30%
         180         190         0.048406066     0.00178712      0.045696848     0.00161772      0.050575266     0.00194844        -5.60%      4.48%
         190         200         0.034101472     0.00728407      0.032590247     0.00695293      0.035251911     0.00754098        -4.43%      3.37%
         200         210         0.031231960     0.00241582      0.029761042     0.00231178      0.032369731     0.00249350        -4.71%      3.64%
         210         220         0.031457689     0.00134964      0.030021891     0.00129266      0.032558285     0.00139302        -4.56%      3.50%
         220         230         0.025965711     0.00117786      0.024902489     0.00112968      0.026762199     0.00121422        -4.09%      3.07%
         230         240         0.025129048     0.00109965      0.024081790     0.00105590      0.025915030     0.00113302        -4.17%      3.13%
         240         250         0.023223279     0.00212819      0.022465831     0.00209490      0.023757887     0.00214433        -3.26%      2.30%
         250         260         0.018348724     0.00102479      0.017752938    0.000995156      0.018764450     0.00104582        -3.25%      2.27%
         260         270         0.013546834     0.00218767      0.013043137     0.00216455      0.013918309     0.00219401        -3.72%      2.74%
         270         280         0.015412631    0.000762067      0.014949433    0.000744177      0.015729617    0.000773195        -3.01%      2.06%
         280         290         0.012295094    0.000754295      0.011961052    0.000738567      0.012517377    0.000763721        -2.72%      1.81%
         290         300         0.012900908     0.00217147      0.012518290     0.00208198      0.013161738     0.00223870        -2.97%      2.02%
