#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.2964495      0.0149286        1.8953788      0.0122497        2.6987815      0.0177320       -17.46%     17.52%
           5          10           2.6522558      0.0133510        2.2310699      0.0114460        3.0658048      0.0152433       -15.88%     15.59%
          10          15           2.0511950      0.0165687        1.7778278      0.0145365        2.3093329      0.0184725       -13.33%     12.58%
          15          20           2.0069381      0.0217906        1.7651301      0.0195784        2.2300814      0.0238203       -12.05%     11.12%
          20          25           2.3142047      0.0191882        2.0432445      0.0171963        2.5623023      0.0210315       -11.71%     10.72%
          25          30           2.6584630      0.0220214        2.3523148      0.0194871        2.9378816      0.0243432       -11.52%     10.51%
          30          35           2.6979150      0.0257575        2.3896011      0.0228708        2.9789132      0.0283848       -11.43%     10.42%
          35          40           2.3663481      0.0245801        2.1012055      0.0218544        2.6073943      0.0270500       -11.20%     10.19%
          40          45           1.4247867      0.0204224        1.2781498      0.0194487        1.5568544      0.0214724       -10.29%      9.27%
          45          50          0.62355360      0.0128139       0.56749128      0.0134324       0.67251780      0.0123511        -8.99%      7.85%
          50          55          0.34292680     0.00708598       0.31764263     0.00675477       0.36444842     0.00735626        -7.37%      6.28%
          55          60          0.24032304     0.00540259       0.22451183     0.00512402       0.25347762     0.00563389        -6.58%      5.47%
          60          65          0.21418665     0.00732520       0.20069247     0.00679737       0.22532732     0.00778254        -6.30%      5.20%
          65          70          0.17477077     0.00697145       0.16489046     0.00648759       0.18273144     0.00739081        -5.65%      4.55%
          70          75          0.15865109     0.00589008       0.14932049     0.00566265       0.16621873     0.00606241        -5.88%      4.77%
          75          80          0.13468440     0.00550432       0.12752742     0.00532272       0.14041029     0.00563888        -5.31%      4.25%
          80          85          0.11310823     0.00526697       0.10664081     0.00510593       0.11833581     0.00538270        -5.72%      4.62%
          85          90         0.090376841     0.00295086      0.085604642     0.00279401      0.094178459     0.00307820        -5.28%      4.21%
          90          95         0.057386713     0.00259267      0.054638552     0.00245513      0.059539337     0.00270304        -4.79%      3.75%
          95         100         0.036266606     0.00169425      0.034659009     0.00160971      0.037501550     0.00176129        -4.43%      3.41%
         100         105         0.027774517     0.00167389      0.026596075     0.00159825      0.028670555     0.00173194        -4.24%      3.23%
         105         110         0.019851459     0.00124546      0.019153131     0.00119892      0.020360838     0.00128009        -3.52%      2.57%
         110         115         0.013887787     0.00138672      0.013446041     0.00134561      0.014202514     0.00141541        -3.18%      2.27%
