#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           39.488359       0.507998        38.113268       0.445452        40.166458       0.538820        -3.48%      1.72%
        0.15         0.3           40.751611       0.646366        39.227814       0.565687        41.479565       0.695235        -3.74%      1.79%
         0.3        0.45           40.634865       0.793903        38.963642       0.691782        41.528352       0.892690        -4.11%      2.20%
        0.45         0.6           38.678853       0.805013        37.365049       0.701996        39.332304       0.882208        -3.40%      1.69%
         0.6        0.75           40.292690       0.711526        38.759741       0.615877        41.063772       0.762780        -3.80%      1.91%
        0.75         0.9           39.453915       0.656903        37.926077       0.566310        40.228423       0.746798        -3.87%      1.96%
         0.9        1.05           37.924214       0.671398        36.694360       0.592990        38.483417       0.732748        -3.24%      1.47%
        1.05         1.2           39.458520       0.767413        37.897209       0.665306        40.283575       0.868549        -3.96%      2.09%
         1.2        1.35           37.084139       0.911671        35.776831       0.791761        37.677990        1.02770        -3.53%      1.60%
        1.35         1.5           39.089302       0.902014        37.488827       0.795537        39.970052        1.00171        -4.09%      2.25%
         1.5        1.65           37.073855       0.621639        35.620388       0.551854        37.853227       0.688539        -3.92%      2.10%
        1.65         1.8           35.956902       0.708721        34.735015       0.614535        36.506070       0.804648        -3.40%      1.53%
         1.8        1.95           36.216426       0.718065        34.754228       0.620619        37.022219       0.817123        -4.04%      2.22%
        1.95         2.1           34.628090       0.595791        33.272888       0.522439        35.370648       0.667939        -3.91%      2.14%
         2.1        2.25           32.738026       0.852460        31.561353       0.746991        33.341575       0.931980        -3.59%      1.84%
        2.25         2.4           33.394047       0.821818        32.002327       0.728130        34.190605       0.909299        -4.17%      2.39%
         2.4        2.55           31.085004       0.628934        29.824574       0.562367        31.790961       0.691646        -4.05%      2.27%
        2.55         2.7           30.235357       0.616527        28.997367       0.553303        30.945406       0.675839        -4.09%      2.35%
         2.7        2.85           29.470247       0.795953        28.106002       0.707187        30.338262       0.880908        -4.63%      2.95%
        2.85           3           25.924792       0.787219        24.853418       0.700528        26.543833       0.868844        -4.13%      2.39%
           3        3.15           26.523376       0.467570        25.317318       0.422181        27.283069       0.511219        -4.55%      2.86%
        3.15         3.3           24.288847       0.419859        23.116363       0.380394        25.053305       0.458272        -4.83%      3.15%
         3.3        3.45           20.096583       0.484977        19.214932       0.433553        20.631446       0.534097        -4.39%      2.66%
        3.45         3.6           19.119337       0.473392        18.212751       0.423732        19.703972       0.520982        -4.74%      3.06%
         3.6        3.75           16.711781       0.359785        15.848596       0.326172        17.295460       0.391679        -5.17%      3.49%
        3.75         3.9           13.589296       0.368869        12.939683       0.337474        14.005555       0.397990        -4.78%      3.06%
         3.9        4.05           11.709665       0.389580        11.104854       0.357397        12.110636       0.419126        -5.17%      3.42%
        4.05         4.2           9.2907113       0.324358        8.8409745       0.294180        9.5647102       0.353051        -4.84%      2.95%
         4.2        4.35           6.5508674       0.368649        6.2145208       0.324253        6.7495312       0.411345        -5.13%      3.03%
        4.35         4.5           5.4073953       0.291803        5.1063273       0.246847        5.5884468       0.337545        -5.57%      3.35%
         4.5        4.65           3.9800335       0.259730        3.7695849       0.220604        4.0895094       0.299941        -5.29%      2.75%
        4.65         4.8           3.4797929       0.212820        3.2481380       0.177612        3.6392229       0.238437        -6.66%      4.58%
         4.8        4.95           2.9976535       0.151025        2.8176379       0.126170        3.0994826       0.178020        -6.01%      3.40%
        4.95         5.1           2.0942213       0.180523        1.9914231       0.155498        2.1632078       0.187706        -4.91%      3.29%
         5.1        5.25           1.8826232       0.227350        1.7766392       0.194186        1.9560982       0.239532        -5.63%      3.90%
