#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           7.1758101      0.0213339        6.7199161      0.0215437        7.6460438      0.0214618        -6.35%      6.55%
          10          20           3.3863521      0.0210297        3.0783434      0.0197774        3.7181092      0.0222178        -9.10%      9.80%
          20          30           1.3270790     0.00704330        1.2194719     0.00654799        1.4605602     0.00767382        -8.11%     10.06%
          30          40          0.67986148     0.00415278       0.62261509     0.00384977       0.75087274     0.00453741        -8.42%     10.44%
          40          50          0.39357514     0.00298841       0.35890538     0.00280810       0.43658123     0.00322044        -8.81%     10.93%
          50          60          0.25263676     0.00677401       0.23041564     0.00672957       0.28020093     0.00683480        -8.80%     10.91%
          60          70          0.16736121     0.00149168       0.15214620     0.00136538       0.18623468     0.00165001        -9.09%     11.28%
          70          80          0.11798342     0.00124467       0.10711311     0.00113023       0.13146749     0.00138702        -9.21%     11.43%
          80          90         0.083313899    0.000947278      0.075594682    0.000861009      0.092889199     0.00105469        -9.27%     11.49%
          90         100         0.063657842    0.000997592      0.057801263    0.000913203      0.070922635     0.00110339        -9.20%     11.41%
         100         110         0.047163073    0.000725228      0.042811145    0.000665574      0.052561419    0.000800200        -9.23%     11.45%
         110         120         0.036252165    0.000558049      0.032880198    0.000506444      0.040434920    0.000622205        -9.30%     11.54%
         120         130         0.027922848    0.000524131      0.025262093    0.000475764      0.031123059    0.000580919        -9.53%     11.46%
         130         140         0.023491040    0.000785838      0.021148024    0.000704930      0.026192579    0.000875937        -9.97%     11.50%
         140         150         0.017813566    0.000376589      0.015957332    0.000335920      0.019954273    0.000424445       -10.42%     12.02%
         150         160         0.014312453    0.000310982      0.012774533    0.000277292      0.016101292    0.000351137       -10.75%     12.50%
         160         170         0.011788773    0.000302261      0.010485602    0.000268726      0.013315429    0.000342029       -11.05%     12.95%
         170         180        0.0097573897    0.000476539     0.0086135742    0.000404124      0.011118993    0.000567475       -11.72%     13.95%
         180         190        0.0080635198    0.000232214     0.0071145924    0.000204274     0.0091933228    0.000265844       -11.77%     14.01%
         190         200        0.0067824368    0.000263653     0.0059735151    0.000233262     0.0077534402    0.000300872       -11.93%     14.32%
         200         210        0.0056140017    0.000177038     0.0049206132    0.000154761     0.0064503923    0.000204305       -12.35%     14.90%
         210         220        0.0044895479    0.000156163     0.0039250407    0.000135890     0.0051731290    0.000181201       -12.57%     15.23%
         220         230        0.0039364934    0.000159436     0.0034321592    0.000139340     0.0045511112    0.000184174       -12.81%     15.61%
         230         240        0.0035464870    0.000204677     0.0030729073    0.000174555     0.0041293660    0.000242901       -13.35%     16.44%
         240         250        0.0029423068    0.000133478     0.0025442306    0.000115286     0.0034340357    0.000156267       -13.53%     16.71%
         250         260        0.0026722682    0.000159964     0.0023033178    0.000139741     0.0031303960    0.000184577       -13.81%     17.14%
         260         270        0.0020708654    0.000102398     0.0017889016    8.84270e-05     0.0024197733    0.000119853       -13.62%     16.85%
         270         280        0.0018762179    0.000106089     0.0016035000    8.91144e-05     0.0022206798    0.000128435       -14.54%     18.36%
         280         290        0.0014547770    7.72626e-05     0.0012488489    6.63315e-05     0.0017130205    9.11488e-05       -14.16%     17.75%
         290         300        0.0013321697    8.18974e-05     0.0011366222    6.97615e-05     0.0015793240    9.73474e-05       -14.68%     18.55%
         300         310        0.0011673930    7.36501e-05     0.0010001699    6.32090e-05     0.0013775539    8.68936e-05       -14.32%     18.00%
         310         320        0.0010910922    6.91747e-05    0.00092836600    5.83689e-05     0.0012976522    8.32084e-05       -14.91%     18.93%
         320         330       0.00094611397    6.75518e-05    0.00080423183    5.73421e-05     0.0011267825    8.06624e-05       -15.00%     19.10%
         330         340       0.00097759832    7.22949e-05    0.00083036784    6.12210e-05     0.0011657343    8.66949e-05       -15.06%     19.24%
         340         350       0.00076128803    7.10788e-05    0.00064649890    6.13689e-05    0.00090803869    8.33927e-05       -15.08%     19.28%
         350         360       0.00061264573    6.04958e-05    0.00051984682    5.16103e-05    0.00073104429    7.17302e-05       -15.15%     19.33%
         360         370       0.00047592143    3.33932e-05    0.00040050199    2.80370e-05    0.00057337196    4.03730e-05       -15.85%     20.48%
         370         380       0.00049758486    4.34112e-05    0.00041779611    3.60145e-05    0.00060120101    5.32615e-05       -16.04%     20.82%
         380         390       0.00047056241    5.74807e-05    0.00039371281    4.84750e-05    0.00057114054    6.92438e-05       -16.33%     21.37%
         390         400       0.00043324508    4.27338e-05    0.00036298786    3.54689e-05    0.00052451640    5.23166e-05       -16.22%     21.07%
         400         410       0.00031710373    3.47370e-05    0.00026666876    2.98353e-05    0.00038256527    4.11943e-05       -15.90%     20.64%
         410         420       0.00026794191    3.43668e-05    0.00022358919    2.83837e-05    0.00032598639    4.23184e-05       -16.55%     21.66%
         420         430       0.00032088893    3.35620e-05    0.00026868993    2.80881e-05    0.00038909745    4.07834e-05       -16.27%     21.26%
         430         440       0.00025491303    3.52618e-05    0.00021221798    2.93914e-05    0.00031087208    4.29221e-05       -16.75%     21.95%
         440         450       0.00027578293    3.12449e-05    0.00022938902    2.59291e-05    0.00033707211    3.83472e-05       -16.82%     22.22%
         450         460       0.00024413058    3.65148e-05    0.00020231863    3.02949e-05    0.00029948517    4.47775e-05       -17.13%     22.67%
         460         470       0.00029311389    7.54554e-05    0.00024550916    6.41211e-05    0.00035545273    9.00965e-05       -16.24%     21.27%
         470         480       0.00017593745    2.50530e-05    0.00014464598    2.06466e-05    0.00021769134    3.09218e-05       -17.79%     23.73%
         480         490       0.00014299609    2.19259e-05    0.00011785254    1.79858e-05    0.00017654776    2.72529e-05       -17.58%     23.46%
         490         500       0.00010611033    1.58315e-05    8.7037374e-05    1.28771e-05    0.00013167899    1.98435e-05       -17.97%     24.10%
