#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0         0.1          0.31771763      0.0704606       0.29430475       0.120492       0.32797436      0.0697565        -7.37%      3.23%
         0.1         0.2           2.5256447       0.199886        2.3366626       0.175891        2.7466515       0.232255        -7.48%      8.75%
         0.2         0.3           4.5196381       0.147397        4.1675996       0.123317        4.9362442       0.181395        -7.79%      9.22%
         0.3         0.4           5.4951406       0.147327        5.1073922       0.125141        5.9403625       0.179135        -7.06%      8.10%
         0.4         0.5           6.6615647       0.227777        6.1527970       0.191484        7.2608675       0.278742        -7.64%      9.00%
         0.5         0.6           7.4590807       0.310506        6.8883130       0.258936        8.1325227       0.382467        -7.65%      9.03%
         0.6         0.7           7.9620621       0.308054        7.4026686       0.266791        8.6059187       0.364451        -7.03%      8.09%
         0.7         0.8           8.3919909       0.343257        7.8063322       0.299408        9.0665410       0.403169        -6.98%      8.04%
         0.8         0.9           9.4869687       0.368504        8.8607285       0.317314        10.197110       0.439394        -6.60%      7.49%
         0.9           1           9.6976479       0.367954        9.1038789       0.312735        10.356190       0.444910        -6.12%      6.79%
           1         1.1           10.836616       0.429164        10.168382       0.366016        11.584453       0.516913        -6.17%      6.90%
         1.1         1.2           10.948090       0.536401        10.302074       0.460433        11.666009       0.641389        -5.90%      6.56%
         1.2         1.3           11.837759       0.560653        11.255424       0.481966        12.443988       0.670201        -4.92%      5.12%
         1.3         1.4           12.594049       0.519944        11.957260       0.442286        13.276713       0.629068        -5.06%      5.42%
         1.4         1.5           15.206495       0.633215        14.393918       0.539848        16.104555       0.764064        -5.34%      5.91%
         1.5         1.6           14.476450       0.789807        13.877725       0.666422        15.089619       0.962969        -4.14%      4.24%
         1.6         1.7           17.650663        1.06543        16.860074       0.917882        18.500423        1.27043        -4.48%      4.81%
         1.7         1.8           19.100456        1.24617        18.278145        1.07770        19.996256        1.47800        -4.31%      4.69%
         1.8         1.9           20.402682        1.23762        19.587729        1.05767        21.296023        1.48798        -3.99%      4.38%
         1.9           2           22.240137        1.33180        21.450297        1.14035        23.102463        1.59811        -3.55%      3.88%
           2         2.1           26.706932        1.58327        25.706627        1.37813        27.728825        1.87543        -3.75%      3.83%
         2.1         2.2           33.492665        2.32707        31.956395        2.04402        35.337021        2.70724        -4.59%      5.51%
         2.2         2.3           32.645903        2.87618        31.915494        2.47501        33.705939        3.01915        -2.24%      3.25%
         2.3         2.4           39.662906        2.48178        38.642024        2.16470        40.787379        2.91336        -2.57%      2.84%
         2.4         2.5           43.562209        2.53492        42.912739        2.17463        44.028177        2.99732        -1.49%      1.07%
         2.5         2.6           55.934345        3.50844        54.403948        2.97181        57.745525        4.26685        -2.74%      3.24%
         2.6         2.7           65.279376        3.45369        64.039132        3.00702        66.386524        4.04062        -1.90%      1.70%
         2.7         2.8           71.561882        4.43626        70.957995        3.94531        71.996316        5.10053        -0.84%      0.61%
         2.8         2.9           101.02876        5.39738        99.149206        4.81078        102.22097        6.18628        -1.86%      1.18%
         2.9           3           113.64013        5.90864        111.45594        5.31451        115.50097        5.65742        -1.92%      1.64%
           3         3.1           126.46076        6.32229        122.35271        7.29072        129.42241        5.59795        -3.25%      2.34%
