#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           1.9851505       0.118624        1.9492724      0.0967656        2.0018963       0.118447        -1.81%      0.84%
           5          10           3.0319443      0.0836832        2.9646107      0.0749390        3.0602201      0.0974666        -2.22%      0.93%
          10          15           2.6664450      0.0715742        2.6080201      0.0660299        2.7113256      0.0854603        -2.19%      1.68%
          15          20           2.6043061      0.0748097        2.5563281      0.0698559        2.6303348      0.0795616        -1.84%       1.0%
          20          25           2.6044547      0.0903482        2.5708591      0.0827639        2.6278124       0.104111        -1.29%      0.90%
          25          30           2.7850720      0.0893863        2.7462428      0.0812399        2.8050738      0.0969352        -1.39%      0.72%
          30          35           2.4041218      0.0733269        2.3700628      0.0867286        2.4318882      0.0686090        -1.42%      1.15%
          35          40           2.4121738      0.0818033        2.3847879      0.0795278        2.4278222      0.0732708        -1.14%      0.65%
          40          45           1.9137814      0.0626252        1.8968300      0.0581596        1.9220325      0.0580268        -0.89%      0.43%
          45          50           1.2097219      0.0522547        1.1887953      0.0505289        1.2229119      0.0538704        -1.73%      1.09%
          50          55          0.80650791      0.0467440       0.78592063      0.0439745       0.82723651      0.0506277        -2.55%      2.57%
          55          60          0.58952910      0.0241773       0.57492241      0.0209794       0.60426621      0.0288782        -2.48%      2.50%
          60          65          0.43982451      0.0227994       0.43137067      0.0202642       0.44896624      0.0260769        -1.92%      2.08%
          65          70          0.32529651      0.0194824       0.31835735      0.0173792       0.33174911      0.0225634        -2.13%      1.98%
          70          75          0.28780542      0.0177842       0.27703119      0.0153325       0.30022769      0.0212781        -3.74%      4.32%
          75          80          0.18978188      0.0138332       0.18545672      0.0166032       0.19302484      0.0119235        -2.28%      1.71%
          80          85          0.18464292      0.0141935       0.17815878      0.0121525       0.19190457      0.0170861        -3.51%      3.93%
          85          90          0.15539886      0.0141579       0.14920434      0.0120687       0.16320205      0.0167384        -3.99%      5.02%
          90          95          0.11911616      0.0135533       0.11438634      0.0119946       0.12468136      0.0157514        -3.97%      4.67%
          95         100         0.095797119      0.0127663      0.091851650      0.0115471       0.10034402      0.0144550        -4.12%      4.75%
         100         105         0.075206318     0.00933898      0.071889949     0.00809142      0.079893456      0.0110571        -4.41%      6.23%
         105         110         0.088595628      0.0107904      0.082884828     0.00939391      0.096484383      0.0127807        -6.45%      8.90%
         110         115         0.039116683     0.00628936      0.038095695     0.00718394      0.039622230     0.00574807        -2.61%      1.29%
         115         120         0.045437241     0.00643260      0.044273659     0.00554967      0.046550439     0.00767799        -2.56%      2.45%
         120         125         0.051756986     0.00629160      0.047959735     0.00548592      0.056671499     0.00741702        -7.34%      9.50%
         125         130         0.027512209     0.00515195      0.026701041     0.00634028      0.028099688     0.00516725        -2.95%      2.14%
         130         135         0.027517615     0.00504228      0.026587785     0.00436858      0.028738970     0.00598527        -3.38%      4.44%
         135         140         0.040390158      0.0109940      0.038094257     0.00986232      0.043176619      0.0122938        -5.68%      6.90%
         140         145        0.0084704675      0.0112785     0.0080109309      0.0113774     0.0092862374      0.0111007        -5.43%      9.63%
         145         150         0.023154374     0.00565173      0.021868543     0.00493023      0.024720405     0.00664791        -5.55%      6.76%
