#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.6380294     0.00421417        2.1482037     0.00339173        3.1339950     0.00506995       -18.57%     18.80%
           5          10           3.0038594     0.00236595        2.5139356     0.00198094        3.4853399     0.00275063       -16.31%     16.03%
          10          15           2.1748216     0.00190104        1.8780062     0.00164980        2.4548723     0.00214105       -13.65%     12.88%
          15          20           2.2192859     0.00198723        1.9416275     0.00174943        2.4760698     0.00220934       -12.51%     11.57%
          20          25           2.4146928     0.00207557        2.1228060     0.00183357        2.6827156     0.00230067       -12.09%     11.10%
          25          30           2.5238014     0.00215895        2.2254039     0.00192265        2.7968050     0.00237854       -11.82%     10.82%
          30          35           2.6010557     0.00213199        2.3002154     0.00189666        2.8753785     0.00235010       -11.57%     10.55%
          35          40           2.5933547     0.00205727        2.2999030     0.00183476        2.8600990     0.00226231       -11.32%     10.29%
          40          45           2.1638927     0.00201702        1.9282281     0.00180480        2.3768730     0.00221225       -10.89%      9.84%
          45          50          0.88142631     0.00137024       0.80209382     0.00125020       0.95095090     0.00147776        -9.00%      7.89%
          50          55          0.50317408     0.00108420       0.46477363     0.00101038       0.53584583     0.00114855        -7.63%      6.49%
          55          60          0.35431165    0.000821576       0.32955972    0.000765573       0.37501722    0.000869782        -6.99%      5.84%
          60          65          0.26875656    0.000718550       0.25116236    0.000671661       0.28328613    0.000758569        -6.55%      5.41%
          65          70          0.20481991    0.000628599       0.19213950    0.000590670       0.21517784    0.000660501        -6.19%      5.06%
          70          75          0.16142577    0.000546774       0.15190462    0.000515660       0.16912673    0.000572624        -5.90%      4.77%
          75          80          0.12742224    0.000492441       0.12030147    0.000465554       0.13312197    0.000514582        -5.59%      4.47%
          80          85          0.10204757    0.000432409      0.096636912    0.000410676       0.10633332    0.000450101        -5.30%      4.20%
          85          90         0.082397631    0.000391865      0.078236555    0.000375371      0.085662530    0.000405402        -5.05%      3.96%
          90          95         0.066309620    0.000355033      0.063129020    0.000338995      0.068776417    0.000367802        -4.80%      3.72%
