#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           1.6629147     0.00394165        1.3426059     0.00315959        1.9899754     0.00475792       -19.26%     19.67%
           5          10           2.8519789     0.00246010        2.3511249     0.00203130        3.3517456     0.00289307       -17.56%     17.52%
          10          15           1.7587278     0.00170623        1.4984057     0.00145989        2.0086547     0.00194554       -14.80%     14.21%
          15          20           1.6406403     0.00169782        1.4264153     0.00148795        1.8405281     0.00189520       -13.06%     12.18%
          20          25           1.8892974     0.00181759        1.6547808     0.00160289        2.1055750     0.00201764       -12.41%     11.45%
          25          30           2.2794330     0.00200244        2.0014577     0.00177561        2.5348098     0.00221374       -12.19%     11.20%
          30          35           2.7203848     0.00215147        2.3917684     0.00190489        3.0217570     0.00238010       -12.08%     11.08%
          35          40           3.1340134     0.00230348        2.7582301     0.00203474        3.4782282     0.00255315       -11.99%     10.98%
          40          45           2.9594634     0.00235841        2.6141950     0.00209237        3.2744592     0.00260451       -11.67%     10.64%
          45          50           1.2532910     0.00158059        1.1320996     0.00143113        1.3606348     0.00171596        -9.67%      8.56%
          50          55          0.72458016     0.00124045       0.66553292     0.00114967       0.77535811     0.00131971        -8.15%      7.01%
          55          60          0.51245476     0.00101617       0.47460784    0.000943142       0.54440240     0.00107975        -7.39%      6.23%
          60          65          0.39192390    0.000867050       0.36486074    0.000809400       0.41446912    0.000916392        -6.91%      5.75%
          65          70          0.30332728    0.000758312       0.28356314    0.000710578       0.31960887    0.000798645        -6.52%      5.37%
          70          75          0.24096699    0.000668763       0.22602865    0.000628940       0.25315354    0.000702071        -6.20%      5.06%
          75          80          0.19122936    0.000611439       0.17995024    0.000577139       0.20034048    0.000639735        -5.90%      4.76%
          80          85          0.15367473    0.000541158       0.14505268    0.000512562       0.16057145    0.000564513        -5.61%      4.49%
          85          90          0.12354877    0.000473639       0.11691493    0.000451264       0.12880928    0.000492068        -5.37%      4.26%
          90          95          0.10017972    0.000426071      0.095065227    0.000405175       0.10419210    0.000442908        -5.11%      4.01%
          95         100         0.081280102    0.000385960      0.077354997    0.000368598      0.084323840    0.000399762        -4.83%      3.74%
         100         105         0.067878862    0.000350684      0.064775332    0.000335548      0.070256555    0.000362665        -4.57%      3.50%
         105         110         0.056785842    0.000317139      0.054320940    0.000304149      0.058651101    0.000327233        -4.34%      3.28%
         110         115         0.046464077    0.000283020      0.044540218    0.000271444      0.047903686    0.000292014        -4.14%      3.10%
         115         120         0.039521424    0.000263402      0.038013493    0.000253807      0.040628241    0.000270713        -3.82%      2.80%
         120         125         0.033430828    0.000234312      0.032210895    0.000226080      0.034315076    0.000240555        -3.65%      2.65%
         125         130         0.028159780    0.000213697      0.027186683    0.000206476      0.028854313    0.000219104        -3.46%      2.47%
         130         135         0.024259027    0.000192141      0.023488857    0.000186284      0.024795074    0.000196413        -3.17%      2.21%
         135         140         0.021051992    0.000186291      0.020434728    0.000181522      0.021470755    0.000189632        -2.93%      1.99%
         140         145         0.017967666    0.000166091      0.017493300    0.000161803      0.018277252    0.000169031        -2.64%      1.72%
         145         150         0.016106005    0.000166367      0.015714749    0.000162986      0.016353255    0.000168552        -2.43%      1.54%
         150         155         0.014189234    0.000341881      0.013905630    0.000356661      0.014354770    0.000328038        -2.00%      1.17%
         155         160         0.012051765    0.000147481      0.011815284    0.000145478      0.012186949    0.000148657        -1.96%      1.12%
         160         165         0.010235254    0.000126043      0.010037307    0.000123669      0.010346472    0.000127496        -1.93%      1.09%
         165         170        0.0093936015    0.000126045     0.0092395658    0.000124521     0.0094715419    0.000126792        -1.64%      0.83%
         170         175        0.0084351967    0.000115514     0.0083057495    0.000113912     0.0084974134    0.000116352        -1.53%      0.74%
         175         180        0.0072140480    0.000107110     0.0071231125    0.000105641     0.0072493829    0.000107829        -1.26%      0.49%
         180         185        0.0064674208    9.61340e-05     0.0063992980    9.51521e-05     0.0064871507    9.64527e-05        -1.05%      0.31%
         185         190        0.0059635421    0.000101198     0.0059071585    0.000100658     0.0059764434    0.000101175        -0.95%      0.22%
         190         195        0.0049908847    8.45961e-05     0.0049485144    8.36203e-05     0.0049974371    8.50335e-05        -0.85%      0.13%
         195         200        0.0042917865    7.46297e-05     0.0042698943    7.44860e-05     0.0042917865    7.46297e-05        -0.51%   0.00000%
         200         205        0.0041590222    8.32051e-05     0.0041398775    8.28212e-05     0.0041590222    8.32051e-05        -0.46%   0.00000%
         205         210        0.0036263826    7.25699e-05     0.0036123034    7.20658e-05     0.0036263826    7.25699e-05        -0.39%   0.00000%
         210         215        0.0030576262    6.30794e-05     0.0030415613    6.28549e-05     0.0030576262    6.30794e-05        -0.53%   0.00000%
         215         220        0.0030787150    6.96418e-05     0.0030621879    6.95542e-05     0.0030787150    6.96418e-05        -0.54%   0.00000%
         220         225        0.0028130796    5.98870e-05     0.0027919328    5.94473e-05     0.0028176979    6.00412e-05        -0.75%      0.16%
         225         230        0.0026050841    6.02196e-05     0.0025824921    5.97939e-05     0.0026128948    6.03479e-05        -0.87%      0.30%
         230         235        0.0023796624    5.79292e-05     0.0023575306    5.74591e-05     0.0023888088    5.81372e-05        -0.93%      0.38%
         235         240        0.0020867081    5.98923e-05     0.0020592160    5.84907e-05     0.0021040128    6.12088e-05        -1.32%      0.83%
