#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           6.2537485      0.0110412        5.3544569     0.00963256        7.1184498      0.0124138       -14.38%     13.83%
          10          20           3.4921008      0.0316861        3.0839642      0.0273864        3.8660387      0.0356881       -11.69%     10.71%
          20          30           1.1440073      0.0307538        1.0265296      0.0265546        1.2496200      0.0346613       -10.27%      9.23%
          30          40          0.42617382     0.00466997       0.39344232     0.00427204       0.45421520     0.00503116        -7.68%      6.58%
          40          50          0.24006187     0.00235778       0.22516099     0.00220207       0.25233818     0.00249585        -6.21%      5.11%
          50          60          0.16618896     0.00216105       0.15670504     0.00203999       0.17386049     0.00226060        -5.71%      4.62%
          60          70          0.11965107     0.00206169       0.11317437     0.00195958       0.12482649     0.00214541        -5.41%      4.33%
          70          80         0.073640548     0.00173210      0.069632427     0.00163766      0.076852529     0.00180927        -5.44%      4.36%
          80          90         0.032972779     0.00153092      0.031274287     0.00145516      0.034326912     0.00159128        -5.15%      4.11%
          90         100        0.0098535310    0.000464535     0.0095268860    0.000453256      0.010091247    0.000472829        -3.32%      2.41%
         100         110        0.0050147245    0.000232766     0.0049015904    0.000225468     0.0050855247    0.000238213        -2.26%      1.41%
         110         120        0.0029704307    0.000204299     0.0029037395    0.000201558     0.0030122183    0.000205762        -2.25%      1.41%
         120         130        0.0017146254    9.23511e-05     0.0017081072    9.06776e-05     0.0017146254    9.23511e-05        -0.38%   0.00000%
         130         140        0.0013344090    8.57632e-05     0.0013226976    8.53828e-05     0.0013397728    8.58536e-05        -0.88%      0.40%
         140         150        0.0011089173    9.10176e-05     0.0011041352    8.95181e-05     0.0011089173    9.10176e-05        -0.43%   0.00000%
         150         160       0.00067786507    8.02659e-05    0.00067288940    7.93383e-05    0.00067913977    8.08061e-05        -0.73%      0.19%
         160         170       0.00059530563    7.20199e-05    0.00059056547    7.21763e-05    0.00059712176    7.14099e-05        -0.80%      0.31%
