#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           23.986612      0.0235086        22.805397      0.0205549        24.655690      0.0260441        -4.92%      2.79%
           6           8           12.699628      0.0112318        12.050492     0.00978523        13.075361      0.0132072        -5.11%      2.96%
           8          10           7.6436946     0.00824930        7.2517913     0.00723471        7.8821343     0.00959596        -5.13%      3.12%
          10          12           5.0207590     0.00654217        4.7605618     0.00572911        5.1860057     0.00757225        -5.18%      3.29%
          12          14           3.4882752     0.00530063        3.3065985     0.00468151        3.6068014     0.00608315        -5.21%      3.40%
          14          16           2.5143226     0.00516919        2.3846593     0.00458382        2.6002115     0.00585453        -5.16%      3.42%
          16          18           1.8769218     0.00365860        1.7809789     0.00323367        1.9408216     0.00418167        -5.11%      3.40%
          18          20           1.4353810     0.00337639        1.3633910     0.00303006        1.4837689     0.00380051        -5.02%      3.37%
          20          22           1.1039169     0.00267684        1.0500036     0.00240264        1.1398413     0.00303216        -4.88%      3.25%
          22          24          0.87807904     0.00245302       0.83574066     0.00218900       0.90621183     0.00277124        -4.82%      3.20%
          24          26          0.70077918     0.00241795       0.66720653     0.00215989       0.72339189     0.00271162        -4.79%      3.23%
          26          28          0.56931441     0.00187969       0.54304793     0.00172997       0.58678512     0.00207298        -4.61%      3.07%
          28          30          0.46496547     0.00215396       0.44375658     0.00194729       0.47911496     0.00238746        -4.56%      3.04%
          30          32          0.38293271     0.00156895       0.36580578     0.00147132       0.39448591     0.00169754        -4.47%      3.02%
          32          34          0.31414404     0.00129251       0.30039447     0.00122014       0.32336075     0.00141773        -4.38%      2.93%
          34          36          0.26127603     0.00130763       0.25008582     0.00121253       0.26873267     0.00142123        -4.28%      2.85%
          36          38          0.21397171    0.000982009       0.20498269    0.000932291       0.22005381     0.00105135        -4.20%      2.84%
          38          40          0.17600948     0.00110044       0.16876609     0.00102138       0.18101139     0.00119239        -4.12%      2.84%
          40          42          0.13936488    0.000818954       0.13390836    0.000782300       0.14342407    0.000887269        -3.92%      2.91%
          42          44          0.10793013    0.000789501       0.10386282    0.000748964       0.11136258    0.000853586        -3.77%      3.18%
          44          46         0.085858154    0.000847005      0.082934867    0.000799844      0.088661374    0.000932383        -3.40%      3.26%
          46          48         0.075230371    0.000656390      0.072691826    0.000631566      0.077709489    0.000716189        -3.37%      3.30%
          48          50         0.068881112    0.000751201      0.066558062    0.000722475      0.071333016    0.000828026        -3.37%      3.56%
          50          52         0.062029649    0.000596122      0.060076395    0.000567185      0.064206232    0.000653020        -3.15%      3.51%
          52          54         0.056756173    0.000676481      0.054993969    0.000634297      0.058683624    0.000745395        -3.10%      3.40%
          54          56         0.051995315    0.000526823      0.050328270    0.000516689      0.053649084    0.000573491        -3.21%      3.18%
          56          58         0.051649964    0.000614232      0.050118762    0.000589393      0.053469866    0.000667386        -2.96%      3.52%
          58          60         0.046981930    0.000497253      0.045636151    0.000491182      0.048523032    0.000543043        -2.86%      3.28%
          60          62         0.046383559    0.000572266      0.044955226    0.000531151      0.047918113    0.000626933        -3.08%      3.31%
          62          64         0.043858687    0.000795797      0.042614715    0.000736990      0.045268243    0.000878308        -2.84%      3.21%
          64          66         0.043232408    0.000518838      0.042124046    0.000504367      0.044538447    0.000561067        -2.56%      3.02%
          66          68         0.044562491    0.000451333      0.043413524    0.000437495      0.045919577    0.000491218        -2.58%      3.05%
          68          70         0.047074106    0.000653163      0.045874677    0.000604132      0.048561937    0.000715259        -2.55%      3.16%
          70          72         0.051302183    0.000591950      0.049912684    0.000545597      0.053025786    0.000650453        -2.71%      3.36%
          72          74         0.056624733    0.000767032      0.055182802    0.000731562      0.058413376    0.000813393        -2.55%      3.16%
          74          76         0.062725319    0.000488596      0.061166515    0.000453536      0.064658936    0.000533159        -2.49%      3.08%
          76          78         0.075847814    0.000639097      0.073918187    0.000590069      0.078241421    0.000701081        -2.54%      3.16%
          78          80         0.098569976    0.000785145      0.096000943    0.000722960       0.10175673    0.000863554        -2.61%      3.23%
          80          82          0.12629150    0.000616098       0.12326114    0.000577400       0.13005051    0.000665763        -2.40%      2.98%
          82          84          0.18854008    0.000915778       0.18394814    0.000851210       0.19423616    0.000997956        -2.44%      3.02%
          84          86          0.30713689     0.00111296       0.29992536     0.00104294       0.31608243     0.00120282        -2.35%      2.91%
          86          88          0.60305255     0.00175771       0.58899651     0.00165088       0.62048836     0.00189512        -2.33%      2.89%
          88          90           1.5158025     0.00349384        1.4800683     0.00327958        1.5601289     0.00376928        -2.36%      2.92%
          90          92           1.6659650     0.00478091        1.6258030     0.00448473        1.7157839     0.00516140        -2.41%      2.99%
          92          94           1.8294431     0.00519722        1.7864555     0.00488829        1.8827670     0.00559518        -2.35%      2.91%
          94          96          0.75081225     0.00388157       0.73314894     0.00360930       0.77272270     0.00422823        -2.35%      2.92%
          96          98          0.37129698     0.00230631       0.36244722     0.00215990       0.38227465     0.00249408        -2.38%      2.96%
          98         100          0.21891164     0.00167635       0.21393209     0.00156670       0.22508853     0.00181667        -2.27%      2.82%
         100         102          0.14505285     0.00118311       0.14186293     0.00111215       0.14900979     0.00127446        -2.20%      2.73%
         102         104          0.11002642     0.00115262       0.10742935     0.00106995       0.11324796     0.00125769        -2.36%      2.93%
         104         106         0.082700449    0.000890754      0.080808664    0.000831327      0.085047112    0.000966700        -2.29%      2.84%
         106         108         0.067304514    0.000838800      0.065598486    0.000776684      0.069420757    0.000917556        -2.53%      3.14%
         108         110         0.055834071    0.000605223      0.054420064    0.000565781      0.057588076    0.000655712        -2.53%      3.14%
         110         112         0.047504004    0.000819934      0.046343999    0.000763836      0.048942932    0.000891493        -2.44%      3.03%
         112         114         0.041250472    0.000530682      0.040251130    0.000495137      0.042490107    0.000576096        -2.42%      3.01%
         114         116         0.037331892    0.000559560      0.036309926    0.000516964      0.038599590    0.000613447        -2.74%      3.40%
         116         118         0.033477769    0.000714635      0.032577794    0.000655093      0.034594142    0.000789381        -2.69%      3.33%
         118         120         0.029015924    0.000656328      0.028269755    0.000600223      0.029941511    0.000726597        -2.57%      3.19%
         120         122         0.026619242    0.000412014      0.025915970    0.000381627      0.027491616    0.000450554        -2.64%      3.28%
         122         124         0.028353427     0.00309900      0.027331555     0.00280739      0.029621009     0.00346092        -3.60%      4.47%
         124         126         0.022736665    0.000386704      0.022125173    0.000359636      0.023495190    0.000421173        -2.69%      3.34%
         126         128         0.020014246    0.000376588      0.019496519    0.000348116      0.020656460    0.000412628        -2.59%      3.21%
         128         130         0.020453751    0.000753250      0.019882300    0.000688750      0.021162606    0.000834023        -2.79%      3.47%
         130         132         0.017298749    0.000333465      0.016858880    0.000309790      0.017844385    0.000363580        -2.54%      3.15%
         132         134         0.015381206    0.000447735      0.015058444    0.000410203      0.015781577    0.000494825        -2.10%      2.60%
         134         136         0.016135090    0.000390814      0.015682576    0.000358243      0.016696411    0.000431702        -2.80%      3.48%
         136         138         0.014300291    0.000275017      0.013980194    0.000258597      0.014697355    0.000296163        -2.24%      2.78%
         138         140         0.014663968    0.000381449      0.014240067    0.000349603      0.015189795    0.000421420        -2.89%      3.59%
         140         142         0.013094443    0.000250021      0.012764654    0.000231431      0.013503529    0.000273582        -2.52%      3.12%
         142         144         0.012657245    0.000253387      0.012333542    0.000241964      0.013058783    0.000268337        -2.56%      3.17%
         144         146         0.012379338    0.000332303      0.012057083    0.000310830      0.012779080    0.000359808        -2.60%      3.23%
         146         148         0.012846250    0.000644110      0.012443678    0.000585920      0.013345620    0.000716618        -3.13%      3.89%
         148         150         0.011932247    0.000413036      0.011583748    0.000377341      0.012364541    0.000457698        -2.92%      3.62%
         150         152         0.011177854    0.000458313      0.010885416    0.000424664      0.011540608    0.000501005        -2.62%      3.25%
         152         154         0.011022604    0.000334360      0.010691828    0.000306782      0.011432914    0.000369012        -3.00%      3.72%
         154         156         0.010156074    0.000360025     0.0099035791    0.000342205      0.010469282    0.000383233        -2.49%      3.08%
         156         158         0.010080542    0.000244573     0.0097923791    0.000227465      0.010437994    0.000266359        -2.86%      3.55%
         158         160         0.010723305    0.000789204      0.010336229    0.000715857      0.011203453    0.000880347        -3.61%      4.48%
         160         162        0.0088992747    0.000267387     0.0086630347    0.000246324     0.0091923184    0.000293958        -2.65%      3.29%
         162         164        0.0083115941    0.000159490     0.0081091969    0.000149287     0.0085626576    0.000172567        -2.44%      3.02%
         164         166        0.0089583070    0.000306563     0.0086839197    0.000283283     0.0092986707    0.000336019        -3.06%      3.80%
         166         168        0.0095825013    0.000719235     0.0092170586    0.000652321      0.010035815    0.000802376        -3.81%      4.73%
