#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.2278510      0.0137978        2.1146879      0.0126039        2.3253154      0.0149708        -5.08%      4.37%
           5          10           3.2013364      0.0175167        2.9990675      0.0150874        3.3265731      0.0180759        -6.32%      3.91%
          10          15           2.5194560      0.0208049        2.3726861      0.0184226        2.6144423      0.0230141        -5.83%      3.77%
          15          20           2.6449720      0.0311694        2.5065486      0.0276822        2.7361412      0.0343378        -5.23%      3.45%
          20          25           2.7489676      0.0366393        2.6208236      0.0326363        2.8298450      0.0402533        -4.66%      2.94%
          25          30           2.9255514      0.0764562        2.7887873      0.0667541        3.0144714      0.0854108        -4.67%      3.04%
          30          35           2.8465109      0.0769449        2.7271470      0.0672180        2.9199742      0.0859254        -4.19%      2.58%
          35          40           2.8063764      0.0345340        2.6951657      0.0308999        2.8738966      0.0378176        -3.96%      2.41%
          40          45           2.2926171      0.0255602        2.2093658      0.0229515        2.3459554      0.0252898        -3.63%      2.33%
          45          50           1.3963408      0.0153471        1.3274971      0.0140220        1.4570503      0.0171351        -4.93%      4.35%
          50          55          0.87538610     0.00963093       0.83651378     0.00908713       0.91932255      0.0107495        -4.44%      5.02%
          55          60          0.61665904      0.0101257       0.59176504     0.00917516       0.64753880      0.0113058        -4.04%      5.01%
          60          65          0.45152681     0.00909081       0.43419793     0.00823653       0.47302241      0.0101512        -3.84%      4.76%
          65          70          0.34577008     0.00619356       0.33260174     0.00561383       0.36210476     0.00691343        -3.81%      4.72%
          70          75          0.27650498     0.00643121       0.26578049     0.00582769       0.28980817     0.00718043        -3.88%      4.81%
          75          80          0.24253728     0.00771656       0.23175021     0.00698978       0.25591808     0.00861848        -4.45%      5.52%
          80          85          0.15071295     0.00712669       0.14614733     0.00645526       0.15637638     0.00795990        -3.03%      3.76%
          85          90          0.15639457     0.00546282       0.14932775     0.00494878       0.16516060     0.00610080        -4.52%      5.61%
          90          95          0.11570073     0.00440914       0.11098831     0.00399462       0.12154624     0.00492366        -4.07%      5.05%
          95         100         0.094152225     0.00449952      0.090335851     0.00407603      0.098886244     0.00502511        -4.05%      5.03%
         100         105         0.097063110     0.00566040      0.092128804     0.00512636       0.10318387     0.00632302        -5.08%      6.31%
         105         110         0.066932055     0.00571501      0.064150260     0.00517556      0.070382732     0.00638431        -4.16%      5.16%
         110         115         0.045724539     0.00511481      0.044351183     0.00463199      0.047533837     0.00554303        -3.00%      3.96%
         115         120         0.056237342     0.00396819      0.053372960     0.00359388      0.059790464     0.00443264        -5.09%      6.32%
         120         125         0.034979553     0.00300260      0.033743623     0.00271977      0.036512661     0.00335359        -3.53%      4.38%
         125         130         0.043878303     0.00270533      0.041472970     0.00245052      0.046861998     0.00302155        -5.48%      6.80%
         130         135         0.028273483     0.00208395      0.026988572     0.00190045      0.029910775     0.00229716        -4.54%      5.79%
         135         140         0.032942286     0.00249857      0.031031771     0.00225578      0.035223368     0.00278227        -5.80%      6.92%
         140         145         0.018875428     0.00226346      0.018172165     0.00204340      0.019754878     0.00252075        -3.73%      4.66%
         145         150         0.022829521     0.00170524      0.021572820     0.00154323      0.024374479     0.00189332        -5.50%      6.77%
         150         155         0.020072218     0.00206784      0.018890440     0.00187424      0.021511973     0.00229336        -5.89%      7.17%
         155         160         0.017477578     0.00133037      0.016417764     0.00120941      0.018769174     0.00147135        -6.06%      7.39%
