#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5          0.91489050      0.0126168       0.85031031      0.0134459       0.96695241      0.0120083        -7.06%      5.69%
           5          10           2.4036554      0.0460152        2.2561573      0.0403427        2.5216931      0.0466088        -6.14%      4.91%
          10          15           1.9816094      0.0490176        1.8454812      0.0431042        2.0727741      0.0544443        -6.87%      4.60%
          15          20           1.8142952      0.0228872        1.7131637      0.0205751        1.8803392      0.0249686        -5.57%      3.64%
          20          25           2.1567132      0.0330126        2.0471283      0.0299138        2.2282427      0.0357651        -5.08%      3.32%
          25          30           2.3538490      0.0395500        2.2490993      0.0356925        2.4302651      0.0395631        -4.45%      3.25%
          30          35           2.9940367      0.0488204        2.8520449      0.0444672        3.0859455      0.0526186        -4.74%      3.07%
          35          40           3.0318300      0.0469884        2.9034227      0.0429346        3.1176357      0.0472936        -4.24%      2.83%
          40          45           2.6591092      0.0578511        2.5614566      0.0566626        2.7307711      0.0570417        -3.67%      2.69%
          45          50           1.8221442      0.0829644        1.7166373      0.0805547        1.9124515      0.0873865        -5.79%      4.96%
          50          55           1.2281052      0.0166020        1.1666413      0.0157530        1.2931520      0.0181969        -5.00%      5.30%
          55          60          0.88544908      0.0152759       0.84758234      0.0145055       0.93187852      0.0165242        -4.28%      5.24%
          60          65          0.63119292      0.0135495       0.60511269      0.0126428       0.66354413      0.0146877        -4.13%      5.13%
          65          70          0.53960942      0.0158736       0.51737318      0.0149906       0.56719235      0.0169816        -4.12%      5.11%
          70          75          0.37427418      0.0141495       0.35910219      0.0134143       0.39309428      0.0150713        -4.05%      5.03%
          75          80          0.33553688      0.0110156       0.31979438      0.0102788       0.35506466      0.0119382        -4.69%      5.82%
          80          85          0.20315603      0.0100311       0.19635477     0.00941237       0.21159265      0.0108116        -3.35%      4.15%
          85          90          0.22729275     0.00793436       0.21690094     0.00735737       0.24018326     0.00865666        -4.57%      5.67%
          90          95          0.15891502     0.00658417       0.15194647     0.00610261       0.16755915     0.00718730        -4.39%      5.44%
          95         100          0.14929933     0.00620993       0.14226068     0.00567563       0.15803043     0.00687563        -4.71%      5.85%
         100         105          0.12189400     0.00622487       0.11607540     0.00570534       0.12911168     0.00687279        -4.77%      5.92%
         105         110         0.090410320     0.00504638      0.086558907     0.00462067      0.095187803     0.00557746        -4.26%      5.28%
         110         115         0.078240463     0.00484850      0.074832647     0.00444052      0.082467687     0.00535744        -4.36%      5.40%
         115         120         0.078043362     0.00703464      0.073868744     0.00640755      0.083221765     0.00781443        -5.35%      6.64%
         120         125         0.048513594     0.00634937      0.046698779     0.00577696      0.050764782     0.00706144        -3.74%      4.64%
         125         130         0.057074991     0.00354064      0.053944056     0.00327144      0.060958758     0.00387656        -5.49%      6.80%
         130         135         0.042922291     0.00344949      0.040890499     0.00320727      0.045423196     0.00372908        -4.73%      5.83%
         135         140         0.049075795     0.00341502      0.046327888     0.00311485      0.052484436     0.00378843        -5.60%      6.95%
         140         145         0.024922207     0.00214469      0.023917086     0.00196483      0.026157763     0.00235797        -4.03%      4.96%
         145         150         0.029667869     0.00224190      0.028171608     0.00206342      0.031522711     0.00246238        -5.04%      6.25%
         150         155         0.028171681     0.00307387      0.026509206     0.00286864      0.030186196     0.00331471        -5.90%      7.15%
         155         160         0.024242076     0.00188858      0.022756909     0.00175331      0.026035502     0.00204472        -6.13%      7.40%
         160         165         0.018829633     0.00218813      0.017797291     0.00204317      0.020095549     0.00236219        -5.48%      6.72%
         165         170         0.016169874     0.00209296      0.015190773     0.00195823      0.017378873     0.00225226        -6.06%      7.48%
         170         175         0.014246490     0.00187206      0.013494472     0.00170426      0.015190165     0.00207336        -5.28%      6.62%
         175         180         0.018898939     0.00220588      0.017521960     0.00198693      0.020617004     0.00248268        -7.29%      9.09%
         180         185         0.011218469     0.00283040      0.010487069     0.00261072      0.012103623     0.00309800        -6.52%      7.89%
         185         190        0.0090354063     0.00134653     0.0084617740     0.00121231     0.0097377933     0.00151508        -6.35%      7.77%
         190         195         0.013902651     0.00223419      0.012991042     0.00195910      0.014992537     0.00258522        -6.56%      7.84%
         195         200        0.0070857840     0.00157947     0.0065172088     0.00138773     0.0078408086     0.00182569        -8.02%     10.66%
         200         205        0.0078187726     0.00264468     0.0072468654     0.00245511     0.0085215589     0.00287265        -7.31%      8.99%
         205         210        0.0083695776     0.00148548     0.0077289196     0.00136410     0.0091697866     0.00163430        -7.65%      9.56%
         210         215        0.0022075220    0.000966353     0.0020443297    0.000916448     0.0024200803     0.00103068        -7.39%      9.63%
         215         220        0.0042193793    0.000893830     0.0038924517    0.000815458     0.0046341519    0.000991556        -7.75%      9.83%
         220         225        0.0070049369    0.000754547     0.0064263077    0.000670081     0.0077322920    0.000858998        -8.26%     10.38%
         225         230        0.0071365149    0.000953437     0.0065810211    0.000863886     0.0078255767     0.00106004        -7.78%      9.66%
         230         235        0.0042356147    0.000850487     0.0039040789    0.000773478     0.0046598095    0.000941056        -7.83%     10.01%
         235         240        0.0036632581    0.000512979     0.0033925095    0.000464989     0.0040107732    0.000572406        -7.39%      9.49%
         240         245       0.00098483727     0.00133656    0.00089026116     0.00149235     0.0010610807     0.00121113        -9.60%      7.74%
         245         250        0.0059856679     0.00185020     0.0054912185     0.00165310     0.0065984387     0.00208714        -8.26%     10.24%
         250         255        0.0051133830    0.000707317     0.0046294887    0.000635686     0.0057090246    0.000795652        -9.46%     11.65%
         255         260        0.0038394694    0.000433269     0.0035422170    0.000390736     0.0042107578    0.000485251        -7.74%      9.67%
         260         265        0.0014410009    0.000509952     0.0013798065    0.000447078     0.0015257735    0.000589207        -4.25%      5.88%
         265         270        0.0016276917    0.000767816     0.0014923155    0.000687601     0.0017993883    0.000869890        -8.32%     10.55%
         270         275        0.0013487425    0.000491196     0.0012262686    0.000443071     0.0015089640    0.000551828        -9.08%     11.88%
         275         280        0.0016432038    0.000415069     0.0015321212    0.000377061     0.0017826430    0.000462250        -6.76%      8.49%
         280         285        0.0021217099    0.000370679     0.0019600949    0.000335052     0.0023281057    0.000415526        -7.62%      9.73%
         285         290        0.0022022310    0.000302563     0.0020240227    0.000269726     0.0024345097    0.000345225        -8.09%     10.55%
         290         295        0.0018106310    0.000305586     0.0016466959    0.000272304     0.0020150128    0.000347650        -9.05%     11.29%
         295         300        0.0023309995    0.000348028     0.0021030387    0.000303755     0.0026203428    0.000403936        -9.78%     12.41%
         300         305        0.0010490252    0.000706702    0.00096889687    0.000639457     0.0011490233    0.000792078        -7.64%      9.53%
         305         310        0.0010045533    0.000608443    0.00092270388    0.000552198     0.0011074132    0.000681881        -8.15%     10.24%
         310         315        0.0016881579    0.000459083     0.0015087639    0.000398346     0.0019108107    0.000536302       -10.63%     13.19%
         315         320       0.00049194341    0.000469652    0.00046845228    0.000444895    0.00052310274    0.000496657        -4.78%      6.33%
         320         325       0.00084051625    0.000486211    0.00076616445    0.000424084    0.00094416292    0.000564993        -8.85%     12.33%
         325         330        0.0018470812    0.000400790     0.0016514875    0.000354661     0.0020933718    0.000457085       -10.59%     13.33%
         330         335       0.00055949474    0.000198075    0.00052572789    0.000180598    0.00059965755    0.000220847        -6.04%      7.18%
         335         340       0.00090988227    0.000173166    0.00082700103    0.000154792     0.0010145999    0.000196510        -9.11%     11.51%
         340         345        0.0011596063    0.000148985     0.0010480909    0.000130845     0.0013039307    0.000172445        -9.62%     12.45%
         345         350       0.00020400856    0.000284946    0.00018431627    0.000269440    0.00023441668    0.000328668        -9.65%     14.91%
         350         355       0.00018528986    0.000468608    0.00016125904    0.000416766    0.00021745787    0.000533435       -12.97%     17.36%
         355         360       0.00085045331    0.000314170    0.00075805809    0.000275670    0.00097008157    0.000364205       -10.86%     14.07%
         360         365       0.00053371804    0.000170939    0.00050127487    0.000152371    0.00058116569    0.000196071        -6.08%      8.89%
         365         370       0.00070419041    0.000310830    0.00062138065    0.000271400    0.00081354263    0.000360745       -11.76%     15.53%
         370         375      -0.00017654041    0.000854476   -0.00020187717    0.000848011   -0.00014500804    0.000859332        14.35%    -17.86%
         375         380       0.00061332424    0.000273400    0.00056426793    0.000238012    0.00067900824    0.000319683        -8.00%     10.71%
         380         385      -0.00018438116    0.000464729   -0.00022055395    0.000536774   -0.00015771926    0.000410917        19.62%    -14.46%
         385         390       0.00054174222    0.000156212    0.00048149918    0.000135616    0.00062231513    0.000183715       -11.12%     14.87%
         390         395       0.00074094115    0.000102853    0.00065294568    8.90446e-05    0.00085562973    0.000120885       -11.88%     15.48%
         395         400       0.00033183420    9.82914e-05    0.00030252022    8.34752e-05    0.00036922353    0.000118117        -8.83%     11.27%
         400         405       0.00041867727    0.000149192    0.00036720662    0.000130123    0.00048494587    0.000174020       -12.29%     15.83%
         405         410       0.00039836713    0.000108201    0.00034996958    9.35464e-05    0.00046148516    0.000127277       -12.15%     15.84%
         410         415       0.00012916020    9.15675e-05    0.00010901989    0.000101230    0.00014940219    9.39882e-05       -15.59%     15.67%
         415         420       0.00031101281    7.78442e-05    0.00028405023    6.70814e-05    0.00034528321    9.20919e-05        -8.67%     11.02%
         420         425       0.00042699117    0.000116140    0.00038322665    9.95002e-05    0.00048457950    0.000138400       -10.25%     13.49%
         425         430       0.00047973889    0.000201284    0.00042549056    0.000172452    0.00054920740    0.000238476       -11.31%     14.48%
