#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.1715385      0.0736693        2.0514410      0.0571540        2.2682993      0.0826518        -5.53%      4.46%
           5          10           2.6584695      0.0791476        2.5346415      0.0622670        2.7455641      0.0879347        -4.66%      3.28%
          10          15           2.5746044      0.0469597        2.4261514      0.0421894        2.6702983      0.0512811        -5.77%      3.72%
          15          20           2.5473341      0.0456484        2.4117985      0.0409408        2.6388637      0.0498901        -5.32%      3.59%
          20          25           2.8007027      0.0395453        2.6661647      0.0355366        2.8892134      0.0431734        -4.80%      3.16%
          25          30           3.0152593      0.0440106        2.8871157      0.0396537        3.0958254      0.0438447        -4.25%      2.67%
          30          35           3.0786031      0.0433638        2.9471538      0.0394182        3.1606144      0.0430822        -4.27%      2.66%
          35          40           2.5811799      0.0395956        2.4822057      0.0360858        2.6496476      0.0393334        -3.83%      2.65%
          40          45           1.7827037      0.0304871        1.7097970      0.0281487        1.8302818      0.0325446        -4.09%      2.67%
          45          50           1.1268290      0.0226883        1.0687308      0.0215266        1.1849488      0.0245006        -5.16%      5.16%
          50          55          0.69549278      0.0136479       0.66300467      0.0131462       0.73514997      0.0148619        -4.67%      5.70%
          55          60          0.52778442      0.0148567       0.50226245      0.0140874       0.55898919      0.0160311        -4.84%      5.91%
          60          65          0.39912398      0.0177422       0.38307341      0.0163135       0.41903391      0.0195282        -4.02%      4.99%
          65          70          0.35339497      0.0177698       0.33775819      0.0164296       0.37279160      0.0194469        -4.42%      5.49%
          70          75          0.27575945      0.0114683       0.26534529      0.0106728       0.28867770      0.0124677        -3.78%      4.68%
          75          80          0.21319936     0.00931249       0.20630700     0.00861378       0.22174899      0.0101899        -3.23%      4.01%
          80          85          0.15448389     0.00844308       0.15003322     0.00779837       0.16000471     0.00925280        -2.88%      3.57%
          85          90          0.16981858     0.00887333       0.16288289     0.00810792       0.17842196     0.00982742        -4.08%      5.07%
          90          95          0.11738209     0.00897639       0.11200703     0.00818527       0.12404957     0.00996112        -4.58%      5.68%
          95         100         0.091924117     0.00766680      0.086918493     0.00700426      0.098133342     0.00849144        -5.45%      6.75%
         100         105         0.066357520     0.00436873      0.062633811     0.00404644      0.070976594     0.00477079        -5.61%      6.96%
         105         110         0.057188169     0.00337782      0.053879540     0.00310509      0.061292357     0.00371769        -5.79%      7.18%
         110         115         0.045691829     0.00566349      0.042842518     0.00529031      0.049226256     0.00612724        -6.24%      7.74%
         115         120         0.028270061     0.00357316      0.026533307     0.00335859      0.030355057     0.00382272        -6.14%      7.38%
         120         125         0.032016969     0.00416310      0.030086600     0.00385658      0.034411496     0.00454496        -6.03%      7.48%
         125         130         0.029159768     0.00325535      0.027070529     0.00296724      0.031653492     0.00360769        -7.16%      8.55%
         130         135         0.019383502     0.00224131      0.018109184     0.00208244      0.020964230     0.00243879        -6.57%      8.16%
         135         140         0.015867667     0.00159252      0.014732478     0.00146839      0.017236833     0.00174176        -7.15%      8.63%
         140         145         0.013259131     0.00350184      0.012352904     0.00321487      0.014371937     0.00379961        -6.83%      8.39%
         145         150         0.012626377     0.00148777      0.011635150     0.00136062      0.013830878     0.00164219        -7.85%      9.54%
         150         155         0.010862120     0.00143296      0.010015683     0.00130398      0.011864604     0.00158987        -7.79%      9.23%
         155         160         0.012850909    0.000944184      0.011776211    0.000842026      0.014147109     0.00107273        -8.36%     10.09%
         160         165         0.010904420     0.00101498      0.010116266    0.000936571      0.011849579     0.00110923        -7.23%      8.67%
         165         170        0.0081788465     0.00126166     0.0075817484     0.00117263     0.0088982428     0.00136845        -7.30%      8.80%
         170         175        0.0056849560    0.000891669     0.0052415902    0.000818314     0.0062189665    0.000980842        -7.80%      9.39%
         175         180        0.0077099707    0.000662290     0.0070660930    0.000586227     0.0084989676    0.000759056        -8.35%     10.23%
         180         185        0.0044479157    0.000658156     0.0041055251    0.000588888     0.0048598506    0.000745376        -7.70%      9.26%
         185         190        0.0049818077    0.000529131     0.0044991444    0.000474158     0.0055737290    0.000597284        -9.69%     11.88%
         190         195        0.0043541797     0.00109081     0.0039532944    0.000988706     0.0048417168     0.00121423        -9.21%     11.20%
         195         200        0.0035666292     0.00110763     0.0032072274    0.000994458     0.0040173526     0.00124325       -10.08%     12.64%
         200         205        0.0028121928    0.000817160     0.0025966154    0.000713820     0.0030733541    0.000945094        -7.67%      9.29%
         205         210        0.0042545370     0.00112969     0.0038183776    0.000996555     0.0047957313     0.00129407       -10.25%     12.72%
         210         215       0.00091758161    0.000623478    0.00083085236    0.000559665     0.0010284876    0.000704196        -9.45%     12.09%
         215         220        0.0030193871    0.000488030     0.0027614164    0.000434687     0.0033295106    0.000555287        -8.54%     10.27%
         220         225        0.0019702168    0.000450181     0.0017894278    0.000405307     0.0021956073    0.000505685        -9.18%     11.44%
         225         230        0.0025793405    0.000427021     0.0023291592    0.000375233     0.0028864815    0.000492366        -9.70%     11.91%
         230         235       0.00068011657    0.000347302    0.00062468497    0.000313494    0.00074899712    0.000389973        -8.15%     10.13%
         235         240        0.0020245767    0.000412272     0.0018153302    0.000370033     0.0022852278    0.000464337       -10.34%     12.87%
         240         245       0.00049773996    0.000335077    0.00045991641    0.000294786    0.00054367005    0.000386631        -7.60%      9.23%
         245         250        0.0020380467    0.000547017     0.0017875360    0.000477644     0.0023518349    0.000633558       -12.29%     15.40%
         250         255        0.0023342558    0.000404860     0.0020811196    0.000361017     0.0026525375    0.000460397       -10.84%     13.64%
         255         260        0.0011352177    0.000258130     0.0010229693    0.000230135     0.0012767365    0.000294017        -9.89%     12.47%
         260         265        0.0010781541    0.000195815    0.00097449197    0.000173727     0.0012086013    0.000224097        -9.61%     12.10%
         265         270       0.00047212352    0.000432180    0.00042148446    0.000384289    0.00053772866    0.000493892       -10.73%     13.90%
