#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.2669000       0.100952        2.2081078      0.0847873        2.2872811      0.0991704        -2.59%      0.90%
           5          10           3.4137780      0.0522957        3.3154154      0.0466349        3.4746833      0.0637702        -2.88%      1.78%
          10          15           2.6018097      0.0399366        2.5383238      0.0360769        2.6365024      0.0437568        -2.44%      1.33%
          15          20           2.6775362      0.0475249        2.6312283      0.0431853        2.6987176      0.0570394        -1.73%      0.79%
          20          25           2.7519173      0.0537366        2.7258092      0.0487221        2.7618099      0.0504726        -0.95%      0.36%
          25          30           2.9323553      0.0860216        2.8945547      0.0761991        2.9473530      0.0952736        -1.29%      0.51%
          30          35           2.7613369      0.0881812        2.7351473       0.101414        2.7862935      0.0865031        -0.95%      0.90%
          35          40           2.6803690      0.0542311        2.6587716      0.0647020        2.7020205      0.0507605        -0.81%      0.81%
          40          45           2.2357494      0.0466383        2.2222290      0.0563785        2.2451574      0.0427388        -0.60%      0.42%
          45          50           1.4756155      0.0312495        1.4482528      0.0297194        1.4956619      0.0328910        -1.85%      1.36%
          50          55          0.95333992      0.0193526       0.93005050      0.0162320       0.97677051      0.0238558        -2.44%      2.46%
          55          60          0.72424354      0.0188650       0.69914870      0.0160798       0.75262567      0.0228276        -3.46%      3.92%
          60          65          0.51066218      0.0150838       0.49890339      0.0148278       0.52205937      0.0185480        -2.30%      2.23%
          65          70          0.39778310      0.0123730       0.38565415      0.0102753       0.41117939      0.0154200        -3.05%      3.37%
          70          75          0.31840807      0.0120251       0.30981549      0.0100218       0.32737244      0.0149179        -2.70%      2.82%
          75          80          0.28021267      0.0116870       0.27036422      0.0100163       0.29142714      0.0137401        -3.51%      4.00%
          80          85          0.18351726      0.0102597       0.17864174     0.00881189       0.18879783      0.0123210        -2.66%      2.88%
          85          90          0.18898339     0.00937254       0.18152415     0.00795789       0.19749786      0.0113999        -3.95%      4.51%
          90          95          0.13764041     0.00727212       0.13240376     0.00611915       0.14416912     0.00884435        -3.80%      4.74%
