#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6           19.753041      0.0465750        17.002552      0.0400335        22.379792      0.0531148       -13.92%     13.30%
           6           8           10.137183      0.0323704        8.7793207      0.0281292        11.421092      0.0364328       -13.39%     12.67%
           8          10           5.9446350      0.0267637        5.1724931      0.0235256        6.6687484      0.0297914       -12.99%     12.18%
          10          12           3.8496126      0.0216526        3.3624270      0.0192626        4.3036236      0.0238548       -12.66%     11.79%
          12          14           2.6042810      0.0159496        2.2829931      0.0140380        2.9019516      0.0177336       -12.34%     11.43%
          14          16           1.9023611      0.0149237        1.6726010      0.0132653        2.1143183      0.0164477       -12.08%     11.14%
          16          18           1.3810699      0.0134875        1.2167303      0.0120509        1.5321441      0.0147962       -11.90%     10.94%
          18          20           1.0575273      0.0128793       0.93391818      0.0114674        1.1708055      0.0141759       -11.69%     10.71%
          20          22          0.79542154      0.0133334       0.70348418      0.0117590       0.87953256      0.0147829       -11.56%     10.57%
          22          24          0.63989865     0.00791794       0.56832223     0.00694259       0.70503107     0.00884562       -11.19%     10.18%
          24          26          0.50341078     0.00722627       0.44708169     0.00641090       0.55463031     0.00797593       -11.19%     10.17%
          26          28          0.41462680     0.00803112       0.36979947     0.00722016       0.45519317     0.00876571       -10.81%      9.78%
          28          30          0.33466072     0.00683852       0.29910517     0.00620083       0.36676805     0.00741193       -10.62%      9.59%
          30          32          0.27780616     0.00518593       0.24889790     0.00468690       0.30382653     0.00563653       -10.41%      9.37%
          32          34          0.22491665     0.00618612       0.20234989     0.00554346       0.24511571     0.00676822       -10.03%      8.98%
          34          36          0.18897004     0.00413334       0.17015457     0.00373319       0.20579369     0.00449306        -9.96%      8.90%
          36          38          0.17000152     0.00593275       0.15397636     0.00544629       0.18419747     0.00635135        -9.43%      8.35%
          38          40          0.12930123     0.00303134       0.11761078     0.00278785       0.13960328     0.00324464        -9.04%      7.97%
          40          42          0.10576301     0.00339867      0.096715973     0.00309262       0.11365086     0.00366973        -8.55%      7.46%
          42          44         0.088925642     0.00274218      0.081989439     0.00253814      0.094886460     0.00291911        -7.80%      6.70%
          44          46         0.078096025     0.00365318      0.072371761     0.00339574      0.082949302     0.00387081        -7.33%      6.21%
          46          48         0.073094389     0.00280281      0.068000530     0.00263278      0.077372218     0.00294296        -6.97%      5.85%
          48          50         0.070610910     0.00370499      0.065586721     0.00345775      0.074833452     0.00391336        -7.12%      5.98%
          50          52         0.070180100     0.00307107      0.065082030     0.00280739      0.074465299     0.00330979        -7.26%      6.11%
          52          54         0.066615582     0.00331308      0.062252001     0.00309828      0.070241873     0.00349229        -6.55%      5.44%
          54          56         0.067932960     0.00429462      0.063851627     0.00400905      0.071261233     0.00453088        -6.01%      4.90%
          56          58         0.072853028     0.00432952      0.067547728     0.00385186      0.077331315     0.00481399        -7.28%      6.15%
          58          60         0.070434088     0.00293740      0.065975752     0.00279461      0.074100166     0.00305323        -6.33%      5.20%
          60          62         0.085391654     0.00542926      0.080521655     0.00514632      0.089330600     0.00565525        -5.70%      4.61%
          62          64          0.11492647      0.0276241       0.10871121      0.0264960       0.11986923      0.0284543        -5.41%      4.30%
          64          66          0.10089329      0.0124993      0.094747822      0.0115621       0.10589428      0.0132807        -6.09%      4.96%
          66          68         0.083873559     0.00492575      0.079199790     0.00466482      0.087647985     0.00513791        -5.57%      4.50%
          68          70         0.099551870     0.00505068      0.093981814     0.00484655       0.10405284     0.00522063        -5.60%      4.52%
          70          72          0.10068305     0.00898210      0.095522384     0.00874952       0.10476772     0.00913501        -5.13%      4.06%
          72          74          0.12708984     0.00611923       0.11972289     0.00579023       0.13304571     0.00638588        -5.80%      4.69%
          74          76          0.12944523     0.00696185       0.12186761     0.00645464       0.13558238     0.00738973        -5.85%      4.74%
          76          78          0.15755837     0.00781833       0.14840793     0.00728902       0.16493887     0.00825527        -5.81%      4.68%
          78          80          0.20990412      0.0128577       0.19861824      0.0122181       0.21889836      0.0133682        -5.38%      4.28%
          80          82          0.23379294     0.00869474       0.22033874     0.00816567       0.24464023     0.00912914        -5.75%      4.64%
          82          84          0.35186872      0.0202962       0.33140377      0.0189820       0.36838371      0.0213749        -5.82%      4.69%
          84          86          0.49006809      0.0272269       0.46186772      0.0254874       0.51284647      0.0286905        -5.75%      4.65%
          86          88          0.57933126      0.0229426       0.54660533      0.0217846       0.60576164      0.0238906        -5.65%      4.56%
          88          90          0.89292406      0.0282457       0.84652456      0.0268762       0.92981396      0.0293386        -5.20%      4.13%
          90          92          0.49555323      0.0325885       0.46943222      0.0305114       0.51638824      0.0343409        -5.27%      4.20%
          92          94          0.41849714      0.0461605       0.39528665      0.0437361       0.43734801      0.0480954        -5.55%      4.50%
          94          96          0.27031693      0.0167349       0.25525332      0.0161443       0.28247101      0.0171824        -5.57%      4.50%
          96          98          0.16103547      0.0154303       0.15335743      0.0148111       0.16705721      0.0158891        -4.77%      3.74%
          98         100          0.10308103     0.00750697      0.097920366     0.00710065       0.10720297     0.00784422        -5.01%      4.00%
         100         102         0.057693130     0.00929700      0.054325769     0.00905820      0.060429893     0.00945114        -5.84%      4.74%
         102         104         0.034430750     0.00918732      0.032085825     0.00870878      0.036409081     0.00957983        -6.81%      5.75%
         104         106         0.047385791     0.00328227      0.044955759     0.00310319      0.049313541     0.00342586        -5.13%      4.07%
         106         108         0.030402998     0.00309570      0.029392515     0.00275405      0.031111130     0.00342888        -3.32%      2.33%
         108         110         0.024790511     0.00248324      0.023669846     0.00237166      0.025660099     0.00257039        -4.52%      3.51%
         110         112         0.022060748     0.00188984      0.021001988     0.00182075      0.022891496     0.00194093        -4.80%      3.77%
         112         114         0.022659645     0.00142812      0.021677741     0.00140763      0.023420947     0.00144471        -4.33%      3.36%
         114         116         0.019103040     0.00146165      0.018008278     0.00143428      0.019976006     0.00148153        -5.73%      4.57%
         116         118         0.019732520     0.00216874      0.018787215     0.00209834      0.020470771     0.00222344        -4.79%      3.74%
         118         120         0.020209993     0.00135602      0.019287588     0.00128690      0.020920789     0.00141044        -4.56%      3.52%
         120         122         0.015195898     0.00107672      0.014529071     0.00102742      0.015706446     0.00111463        -4.39%      3.36%
         122         124         0.013306456     0.00142344      0.012602855     0.00137880      0.013863709     0.00145718        -5.29%      4.19%
         124         126         0.013703549     0.00105725      0.013027769     0.00100839      0.014233190     0.00109490        -4.93%      3.86%
         126         128         0.011657080    0.000851763      0.011169776    0.000816473      0.012029548    0.000878942        -4.18%      3.20%
         128         130         0.013214281     0.00159577      0.012654720     0.00151674      0.013642107     0.00165756        -4.23%      3.24%
         130         132        0.0097271126     0.00107726     0.0092734824     0.00104775      0.010078402     0.00109752        -4.66%      3.61%
         132         134         0.010481346     0.00107698     0.0099902830     0.00104192      0.010863274     0.00110234        -4.69%      3.64%
         134         136        0.0073745106     0.00162296     0.0071522731     0.00152720     0.0075308111     0.00170031        -3.01%      2.12%
         136         138         0.011936091     0.00201476      0.011333725     0.00188672      0.012411009     0.00212040        -5.05%      3.98%
         138         140         0.010558341     0.00258417      0.010157799     0.00243368      0.010850802     0.00270557        -3.79%      2.77%
         140         142        0.0091274253    0.000955943     0.0086948172    0.000902156     0.0094640556    0.000999194        -4.74%      3.69%
         142         144        0.0063311339     0.00155400     0.0060508875     0.00149689     0.0065486329     0.00159615        -4.43%      3.44%
         144         146        0.0070325588    0.000693216     0.0067530742    0.000658014     0.0072417900    0.000721152        -3.97%      2.98%
         146         148        0.0074408916    0.000677547     0.0071129856    0.000656436     0.0076906131    0.000692561        -4.41%      3.36%
         148         150        0.0064144661    0.000514842     0.0061470850    0.000494493     0.0066169831    0.000529977        -4.17%      3.16%
         150         152        0.0083886879    0.000887826     0.0078452968    0.000824133     0.0088361094    0.000947416        -6.48%      5.33%
         152         154        0.0068161372    0.000782961     0.0065141061    0.000754610     0.0070479924    0.000804587        -4.43%      3.40%
         154         156        0.0041741148    0.000721518     0.0040196122    0.000685418     0.0042890598    0.000749930        -3.70%      2.75%
         156         158        0.0055964366    0.000994520     0.0054592631    0.000916784     0.0056817517     0.00106076        -2.45%      1.52%
         158         160        0.0058811464    0.000434913     0.0056275378    0.000418579     0.0060732643    0.000447632        -4.31%      3.27%
         160         162        0.0049526729    0.000942250     0.0047628860    0.000917200     0.0050929261    0.000958447        -3.83%      2.83%
         162         164        0.0067626863    0.000686366     0.0065003088    0.000660355     0.0069585908    0.000705754        -3.88%      2.90%
         164         166        0.0037494700     0.00113184     0.0036003999     0.00109365     0.0038616287     0.00115874        -3.98%      2.99%
         166         168        0.0041675791    0.000353118     0.0039992056    0.000343190     0.0042972950    0.000360233        -4.04%      3.11%
