#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10          0.65193798     0.00634457       0.61659275     0.00509471       0.66573400     0.00745256        -5.42%      2.12%
          10          20           1.0883296     0.00666033        1.0359025     0.00562237        1.1176952     0.00736559        -4.82%      2.70%
          20          30          0.75950703     0.00690194       0.71364096     0.00606969       0.78507174     0.00769032        -6.04%      3.37%
          30          40          0.64472837      0.0114884       0.60363285      0.0100874       0.67313112      0.0127823        -6.37%      4.41%
          40          50          0.73681244     0.00719854       0.69228552     0.00638264       0.76893318     0.00795251        -6.04%      4.36%
          50          60           1.2108511      0.0111557        1.1436939     0.00984088        1.2583095      0.0123751        -5.55%      3.92%
          60          70           1.8429902      0.0130457        1.7565883      0.0115308        1.8985070      0.0144588        -4.69%      3.01%
          70          80           2.0122362      0.0143424        1.9391001      0.0126426        2.0506519      0.0159337        -3.63%      1.91%
          80          90           1.5039872     0.00966867        1.4543108     0.00853875        1.5327911     0.00976074        -3.30%      1.92%
          90         100           1.2625278     0.00997163        1.2338625     0.00985826        1.2980857      0.0101258        -2.27%      2.82%
         100         110          0.22754594     0.00318405       0.22214643     0.00297676       0.23323756     0.00327276        -2.37%      2.50%
         110         120          0.17911577     0.00390510       0.17428225     0.00359710       0.18378076     0.00394212        -2.70%      2.60%
         120         130          0.15176087     0.00540414       0.14839182     0.00538177       0.15594001     0.00543483        -2.22%      2.75%
         130         140          0.13743955     0.00583292       0.13433355     0.00559310       0.14101369     0.00585669        -2.26%      2.60%
         140         150          0.10536145     0.00465667       0.10257038     0.00462031       0.10882364     0.00470632        -2.65%      3.29%
         150         160         0.099472628     0.00232630      0.097109994     0.00230299       0.10240336     0.00235807        -2.38%      2.95%
         160         170         0.089537201     0.00323986      0.087391597     0.00322886      0.092198715     0.00325496        -2.40%      2.97%
         170         180         0.070898252     0.00205105      0.068909788     0.00203661      0.073364841     0.00207080        -2.80%      3.48%
         180         190         0.067669969     0.00203060      0.065942703     0.00193995      0.069812555     0.00214930        -2.55%      3.17%
         190         200         0.048052136     0.00613009      0.046444115     0.00612609      0.050271420     0.00585480        -3.35%      4.62%
         200         210         0.045765161     0.00195580      0.044498572     0.00194380      0.047336302     0.00197221        -2.77%      3.43%
         210         220         0.044458820     0.00105846      0.043212668     0.00103975      0.046004608     0.00108372        -2.80%      3.48%
         220         230         0.037439052     0.00105650      0.036395591     0.00102193      0.038733413     0.00110238        -2.79%      3.46%
         230         240         0.035509847     0.00101335      0.034515407    0.000989826      0.036743399     0.00104490        -2.80%      3.47%
         240         250         0.032240114     0.00178920      0.031427936     0.00178404      0.033247580     0.00179629        -2.52%      3.12%
         250         260         0.026874449    0.000882536      0.026031964    0.000869326      0.027919508    0.000900428        -3.13%      3.89%
         260         270         0.021839644     0.00183011      0.021036690     0.00181779      0.022877227     0.00183126        -3.68%      4.75%
         270         280         0.021833001    0.000652799      0.021190271    0.000640834      0.022670564    0.000669749        -2.94%      3.84%
         280         290         0.019266608    0.000658675      0.018576356    0.000644888      0.020192190    0.000680202        -3.58%      4.80%
         290         300         0.018003267     0.00195566      0.017537366     0.00193004      0.018633347     0.00192855        -2.59%      3.50%
         300         310         0.012946613     0.00184320      0.012414782     0.00188955      0.013656326     0.00178326        -4.11%      5.48%
         310         320         0.015608197     0.00164580      0.015171088     0.00164204      0.016183498     0.00162380        -2.80%      3.69%
         320         330         0.012277846     0.00189110      0.011778831     0.00189297      0.012926613     0.00187752        -4.06%      5.28%
         330         340         0.025734553      0.0108321      0.025410871      0.0108318      0.026136064      0.0108327        -1.26%      1.56%
         340         350         0.010099930    0.000456862     0.0096387731    0.000445100      0.010707906    0.000473668        -4.57%      6.02%
         350         360        0.0097026534    0.000482390     0.0092663410    0.000474908      0.010265351    0.000491238        -4.50%      5.80%
         360         370        0.0082954152    0.000433870     0.0078708031    0.000414414     0.0088494465    0.000461868        -5.12%      6.68%
         370         380       -0.0078938979      0.0108267    -0.0083014220      0.0109219    -0.0072444745      0.0106397         5.16%     -8.23%
         380         390        0.0064673584    0.000486034     0.0062472124    0.000471656     0.0067600554    0.000504766        -3.40%      4.53%
         390         400        0.0057917989    0.000469812     0.0054801979    0.000449951     0.0062372265    0.000495369        -5.38%      7.69%
