#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           1.9501651      0.0278257        1.8872750      0.0252852        2.0000257      0.0302527        -3.22%      2.56%
           5          10           2.7443550      0.0320874        2.6059011      0.0273982        2.8231136      0.0336676        -5.05%      2.87%
          10          15           2.4377835      0.0311030        2.2969016      0.0278318        2.5290934      0.0341062        -5.78%      3.75%
          15          20           2.3163739      0.0445096        2.2023098      0.0397505        2.3912960      0.0488375        -4.92%      3.23%
          20          25           2.7127492      0.0463572        2.5787125      0.0413552        2.8042483      0.0509038        -4.94%      3.37%
          25          30           2.8853821      0.0481092        2.7800265      0.0430736        2.9445955      0.0526684        -3.65%      2.05%
          30          35           2.8948284      0.0520508        2.7885201      0.0465549        2.9576441      0.0524881        -3.67%      2.17%
          35          40           2.5663866      0.0447598        2.4843915      0.0400554        2.6085405      0.0490385        -3.19%      1.64%
          40          45           1.7385108      0.0302719        1.6845398      0.0273026        1.7773883      0.0330875        -3.10%      2.24%
          45          50           1.0918038      0.0144669        1.0389268      0.0135030        1.1453950      0.0158903        -4.84%      4.91%
          50          55          0.73859610      0.0129643       0.70134913      0.0119784       0.78479910      0.0142115        -5.04%      6.26%
          55          60          0.47649415      0.0123832       0.45389891      0.0113642       0.50452240      0.0136637        -4.74%      5.88%
          60          65          0.40281882      0.0127655       0.38527925      0.0118338       0.42457577      0.0139482        -4.35%      5.40%
          65          70          0.29716925      0.0133738       0.28529793      0.0123573       0.31189501      0.0146598        -3.99%      4.96%
          70          75          0.28186927      0.0119361       0.27066125      0.0109166       0.29577226      0.0132132        -3.98%      4.93%
          75          80          0.21727938     0.00929981       0.20942875     0.00863706       0.22701768      0.0101426        -3.61%      4.48%
          80          85          0.19136993     0.00809064       0.18384095     0.00754983       0.20070923     0.00878168        -3.93%      4.88%
          85          90          0.15264447     0.00624448       0.14678466     0.00573565       0.15991327     0.00688450        -3.84%      4.76%
          90          95          0.12452980     0.00502709       0.11818688     0.00463167       0.13239787     0.00552596        -5.09%      6.32%
          95         100         0.081849796     0.00416479      0.077562389     0.00381511      0.087168108     0.00460347        -5.24%      6.50%
         100         105         0.073007100     0.00360784      0.068695639     0.00331836      0.078355250     0.00397245        -5.91%      7.33%
         105         110         0.055536808     0.00265384      0.052155327     0.00244014      0.059731365     0.00292290        -6.09%      7.55%
         110         115         0.041889490     0.00325020      0.039188153     0.00298251      0.045240363     0.00358658        -6.45%      8.00%
         115         120         0.032734755     0.00301393      0.030838394     0.00274312      0.035087094     0.00335155        -5.79%      7.19%
         120         125         0.028227250     0.00434375      0.026490866     0.00400790      0.030317715     0.00482979        -6.15%      7.41%
         125         130         0.026054159     0.00431415      0.023939965     0.00398312      0.028585404     0.00468330        -8.11%      9.72%
         130         135         0.024232315     0.00138596      0.022295372     0.00126463      0.026536489     0.00152887        -7.99%      9.51%
         135         140         0.018992407    0.000920301      0.017613162    0.000852407      0.020650737     0.00100012        -7.26%      8.73%
         140         145         0.014972697    0.000930734      0.013797120    0.000858640      0.016373495     0.00101730        -7.85%      9.36%
         145         150         0.015759170     0.00114745      0.014516350     0.00104154      0.017250747     0.00127089        -7.89%      9.46%
         150         155         0.011427728    0.000729410      0.010520075    0.000668272      0.012513009    0.000804027        -7.94%      9.50%
         155         160        0.0076877535    0.000969947     0.0071832121    0.000854589     0.0082813494     0.00111777        -6.56%      7.72%
         160         165         0.010525774    0.000842618     0.0095072375    0.000724703      0.011788809    0.000995901        -9.68%     12.00%
         165         170        0.0092541917    0.000545321     0.0084173042    0.000492949      0.010272323    0.000611872        -9.04%     11.00%
         170         175        0.0055651367    0.000568864     0.0050862342    0.000501547     0.0061553325    0.000657517        -8.61%     10.61%
         175         180        0.0069105315    0.000983676     0.0063357324    0.000891568     0.0075971514     0.00109268        -8.32%      9.94%
         180         185        0.0044949169    0.000959509     0.0039884860    0.000870682     0.0051342244     0.00106273       -11.27%     14.22%
         185         190        0.0046487182    0.000430319     0.0041896436    0.000382757     0.0052111424    0.000488354        -9.88%     12.10%
         190         195        0.0021996110     0.00133486     0.0019547503     0.00122303     0.0025256963     0.00146177       -11.13%     14.82%
         195         200        0.0057090585     0.00121932     0.0052181496     0.00111873     0.0062977751     0.00133345        -8.60%     10.31%
         200         205        0.0047539831    0.000811626     0.0042848497    0.000728848     0.0053321443    0.000909468        -9.87%     12.16%
         205         210        0.0028787897    0.000408582     0.0026142255    0.000374988     0.0032066077    0.000449057        -9.19%     11.39%
         210         215        0.0025196805    0.000369671     0.0022319357    0.000327930     0.0028867661    0.000421324       -11.42%     14.57%
         215         220        0.0023292314    0.000362585     0.0020819840    0.000323027     0.0026416476    0.000411790       -10.61%     13.41%
         220         225        0.0020305564    0.000243460     0.0018099264    0.000223129     0.0023098438    0.000269415       -10.87%     13.75%
         225         230        0.0022964532    0.000207601     0.0020452334    0.000180849     0.0026103726    0.000241518       -10.94%     13.67%
         230         235        0.0024681707    0.000408418     0.0022042351    0.000364609     0.0027948315    0.000461250       -10.69%     13.23%
         235         240        0.0022668463    0.000303158     0.0019884222    0.000266231     0.0026198209    0.000349640       -12.28%     15.57%
         240         245        0.0018216882    0.000204932     0.0016441746    0.000179820     0.0020431894    0.000236812        -9.74%     12.16%
         245         250        0.0015288993    0.000248318     0.0013480053    0.000221262     0.0017564567    0.000280952       -11.83%     14.88%
         250         255        0.0014047482    0.000227064     0.0012603430    0.000199366     0.0015888139    0.000261802       -10.28%     13.10%
         255         260        0.0012164886    0.000232114     0.0011012275    0.000204073     0.0013604438    0.000266689        -9.47%     11.83%
         260         265        0.0010805557    0.000178089    0.00096063275    0.000155923     0.0012368430    0.000206266       -11.10%     14.46%
