#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.1536369      0.0160829        2.0469870      0.0151005        2.2478643      0.0170792        -4.95%      4.38%
           5          10           2.8005698      0.0240408        2.6429623      0.0210058        2.9082740      0.0244344        -5.63%      3.85%
          10          15           2.4902249      0.0324688        2.3446538      0.0289678        2.5858029      0.0356515        -5.85%      3.84%
          15          20           2.3888279      0.0385866        2.2622626      0.0346432        2.4751950      0.0421216        -5.30%      3.62%
          20          25           2.5768547      0.0440623        2.4575176      0.0396004        2.6545677      0.0480783        -4.63%      3.02%
          25          30           3.0926441      0.0468663        2.9597045      0.0422010        3.1768238      0.0510971        -4.30%      2.72%
          30          35           3.0757269      0.0491031        2.9570075      0.0440083        3.1539187      0.0486659        -3.86%      2.54%
          35          40           2.8127248      0.0521172        2.6991701      0.0466934        2.8888421      0.0516362        -4.04%      2.71%
          40          45           2.0876263      0.0385969        1.9932800      0.0348441        2.1533996      0.0419809        -4.52%      3.15%
          45          50           1.2058347      0.0137919        1.1445560      0.0130219        1.2664932      0.0153982        -5.08%      5.03%
          50          55          0.68196884      0.0108771       0.65026843      0.0104791       0.71896888      0.0121465        -4.65%      5.43%
          55          60          0.51911848     0.00861709       0.49447967     0.00780760       0.54968169     0.00962192        -4.75%      5.89%
          60          65          0.40235654     0.00822460       0.38471740     0.00745145       0.42423699     0.00918425        -4.38%      5.44%
          65          70          0.33748934      0.0115418       0.32350466      0.0104531       0.35483662      0.0128927        -4.14%      5.14%
          70          75          0.29188272      0.0120612       0.28036294      0.0109228       0.30617243      0.0134736        -3.95%      4.90%
          75          80          0.23261727     0.00796937       0.22475746     0.00721903       0.24236697     0.00890057        -3.38%      4.19%
          80          85          0.21325165     0.00663192       0.20530591     0.00600835       0.22310795     0.00740590        -3.73%      4.62%
          85          90          0.16548898     0.00644100       0.15958496     0.00583484       0.17281263     0.00719330        -3.57%      4.43%
          90          95          0.12494299     0.00637336       0.11953686     0.00577240       0.13164903     0.00711906        -4.33%      5.37%
          95         100         0.098063088     0.00541129      0.092905424     0.00490086       0.10446091     0.00604464        -5.26%      6.52%
         100         105         0.080809541     0.00348797      0.076082055     0.00315941      0.086673750     0.00389569        -5.85%      7.26%
         105         110         0.067694218     0.00819002      0.063409440     0.00741564      0.073009270     0.00915066        -6.33%      7.85%
         110         115         0.027903008     0.00817910      0.026772750     0.00751549      0.029336839     0.00891785        -4.05%      5.14%
         115         120         0.046123970     0.00282532      0.043015930     0.00255870      0.049979338     0.00315614        -6.74%      8.36%
         120         125         0.028200454     0.00145913      0.026473321     0.00131568      0.030259406     0.00163183        -6.12%      7.30%
         125         130         0.025711746     0.00118188      0.024022848     0.00107172      0.027697904     0.00131943        -6.57%      7.72%
         130         135         0.022306758    0.000981529      0.020619803    0.000879282      0.024322251     0.00110827        -7.56%      9.04%
         135         140         0.020442863     0.00149561      0.019006349     0.00134692      0.022152172     0.00167192        -7.03%      8.36%
         140         145         0.017078770     0.00149328      0.015737409     0.00134495      0.018662393     0.00166819        -7.85%      9.27%
         145         150         0.013158491    0.000878740      0.012199757    0.000786844      0.014311357    0.000988654        -7.29%      8.76%
         150         155         0.011786865    0.000661089      0.010884610    0.000592705      0.012870610    0.000743905        -7.65%      9.19%
         155         160         0.011334263    0.000797519      0.010399816    0.000719122      0.012462659    0.000891163        -8.24%      9.96%
         160         165         0.010023266    0.000738734     0.0091288475    0.000666382      0.011116930    0.000826536        -8.92%     10.91%
         165         170        0.0080435280    0.000440787     0.0073313311    0.000394653     0.0089169616    0.000496626        -8.85%     10.86%
         170         175        0.0077060290    0.000435805     0.0070213656    0.000386938     0.0085335366    0.000495063        -8.88%     10.74%
         175         180        0.0061208429    0.000410942     0.0055813304    0.000352391     0.0067884746    0.000487093        -8.81%     10.91%
         180         185        0.0050652957    0.000401672     0.0046035549    0.000343961     0.0056277980    0.000477540        -9.12%     11.11%
         185         190        0.0052978898    0.000351835     0.0048030464    0.000310728     0.0059030421    0.000402168        -9.34%     11.42%
         190         195        0.0055664664    0.000844984     0.0050243037    0.000757274     0.0062323959    0.000948385        -9.74%     11.96%
         195         200        0.0045463263    0.000880453     0.0041317590    0.000790982     0.0050552173    0.000985700        -9.12%     11.19%
         200         205        0.0035659994    0.000299919     0.0032665156    0.000259490     0.0039363273    0.000352312        -8.40%     10.38%
         205         210        0.0032342758    0.000393230     0.0029345067    0.000346618     0.0036012158    0.000450336        -9.27%     11.35%
         210         215        0.0030620445    0.000312239     0.0027561104    0.000274117     0.0034423662    0.000359275        -9.99%     12.42%
         215         220        0.0028541800    0.000562650     0.0025663034    0.000489957     0.0032098530    0.000653270       -10.09%     12.46%
         220         225        0.0013430948    0.000578351     0.0012403126    0.000496176     0.0014642827    0.000683153        -7.65%      9.02%
         225         230        0.0024249327    0.000281750     0.0021589543    0.000236598     0.0027615925    0.000341412       -10.97%     13.88%
         230         235        0.0019322775    0.000144598     0.0017343346    0.000125081     0.0021790314    0.000169429       -10.24%     12.77%
         235         240        0.0018387649    0.000106923     0.0016464845    9.28924e-05     0.0020795168    0.000125127       -10.46%     13.09%
