#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           39.043601       0.412289        37.463869       0.385334        39.876003       0.435004        -4.05%      2.13%
        0.15         0.3           40.373903       0.508517        38.715082       0.469475        41.267994       0.542935        -4.11%      2.21%
         0.3        0.45           40.167271       0.560995        38.320559       0.499780        41.268350       0.620069        -4.60%      2.74%
        0.45         0.6           38.268432       0.573833        36.731027       0.517300        39.096290       0.626989        -4.02%      2.16%
         0.6        0.75           40.290139       0.504151        38.598989       0.460692        41.235139       0.545046        -4.20%      2.35%
        0.75         0.9           38.812071       0.444507        37.153613       0.404078        39.744113       0.483521        -4.27%      2.40%
         0.9        1.05           37.688467       0.491955        36.276436       0.451540        38.398596       0.529911        -3.75%      1.88%
        1.05         1.2           38.811424       0.562079        37.106324       0.504992        39.812966       0.617626        -4.39%      2.58%
         1.2        1.35           37.021188       0.632500        35.529735       0.559834        37.831284       0.702373        -4.03%      2.19%
        1.35         1.5           38.664754       0.653032        36.959367       0.593869        39.675648       0.707909        -4.41%      2.61%
         1.5        1.65           36.677645       0.480886        35.082825       0.449376        37.628117       0.509538        -4.35%      2.59%
        1.65         1.8           35.964168       0.531395        34.684138       0.481331        36.591514       0.582640        -3.56%      1.74%
         1.8        1.95           35.588592       0.522703        33.975964       0.468072        36.576978       0.577827        -4.53%      2.78%
        1.95         2.1           34.343342       0.455598        32.905968       0.413901        35.188030       0.494809        -4.19%      2.46%
         2.1        2.25           32.167512       0.613465        30.832834       0.550485        32.936025       0.671109        -4.15%      2.39%
        2.25         2.4           33.136441       0.563983        31.660718       0.504838        34.037302       0.618832        -4.45%      2.72%
         2.4        2.55           31.298705       0.429667        29.918231       0.391082        32.140216       0.464917        -4.41%      2.69%
        2.55         2.7           29.685955       0.421616        28.345665       0.389135        30.524601       0.450843        -4.51%      2.83%
         2.7        2.85           29.401045       0.562760        27.972419       0.507726        30.342666       0.614440        -4.86%      3.20%
