#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           2.1786116      0.0854698        2.1436348       0.101199        2.1972576      0.0874166        -1.61%      0.86%
           5          10           3.4944107      0.0601150        3.4100645      0.0538341        3.5436324      0.0703115        -2.41%      1.41%
          10          15           3.1949124      0.0527218        3.1037032      0.0480483        3.2584298      0.0571222        -2.85%      1.99%
          15          20           3.6186456      0.0598281        3.5542969      0.0555862        3.6737410      0.0710619        -1.78%      1.52%
          20          25           3.3832621      0.0724801        3.3694210      0.0788196        3.3914944      0.0696613        -0.41%      0.24%
          25          30           3.2956685      0.0668130        3.2526657      0.0589400        3.3418579      0.0777601        -1.30%      1.40%
          30          35           2.2692678      0.0637626        2.2085594      0.0761350        2.3054786      0.0549599        -2.68%      1.60%
          35          40           1.9823087      0.0525753        1.9527148      0.0502894        2.0269192      0.0565093        -1.49%      2.25%
          40          45           1.2228023      0.0380641        1.2122090      0.0398568        1.2311514      0.0428211        -0.87%      0.68%
          45          50          0.68621773      0.0248757       0.67361808      0.0227951       0.70370492      0.0280387        -1.84%      2.55%
          50          55          0.57211670      0.0182505       0.55505671      0.0156817       0.59456391      0.0214862        -2.98%      3.92%
          55          60          0.36636206      0.0175146       0.35911334      0.0158498       0.37649019      0.0199548        -1.98%      2.76%
          60          65          0.33627222      0.0159135       0.32572821      0.0141946       0.35053268      0.0183742        -3.14%      4.24%
          65          70          0.21449415      0.0142101       0.21133788      0.0124272       0.21873349      0.0168572        -1.47%      1.98%
          70          75          0.14869731      0.0126189       0.14603388      0.0113851       0.15217953      0.0143797        -1.79%      2.34%
          75          80          0.14724861      0.0155344       0.14185341      0.0145447       0.15346646      0.0170382        -3.66%      4.22%
          80          85          0.10321338     0.00903117       0.10138253      0.0108934       0.10536594     0.00889500        -1.77%      2.09%
          85          90          0.10299612     0.00817562      0.099406155     0.00716196       0.10773628     0.00964296        -3.49%      4.60%
          90          95         0.055455393     0.00798162      0.054983135     0.00949553      0.055835406     0.00794041        -0.85%      0.69%
          95         100         0.075140236     0.00801837      0.068280611     0.00738971      0.083881076     0.00898516        -9.13%     11.63%
         100         105         0.053639167     0.00551458      0.049824134     0.00481113      0.058665689     0.00649880        -7.11%      9.37%
         105         110         0.049027628     0.00568452      0.046757224     0.00493729      0.052033209     0.00675208        -4.63%      6.13%
         110         115         0.027703496     0.00396564      0.026078404     0.00344450      0.029852303     0.00474954        -5.87%      7.76%
         115         120         0.026292352     0.00357035      0.025415807     0.00300042      0.027491497     0.00440327        -3.33%      4.56%
         120         125         0.024675934     0.00361352      0.023839844     0.00303354      0.025796086     0.00442667        -3.39%      4.54%
         125         130         0.015966345     0.00293171      0.015092136     0.00245277      0.017080380     0.00362722        -5.48%      6.98%
         130         135         0.013034942     0.00274672      0.012660600     0.00342598      0.013233443     0.00227803        -2.87%      1.52%
         135         140         0.013460476     0.00284627      0.013003448     0.00232176      0.013872987     0.00366784        -3.40%      3.06%
         140         145         0.012431095     0.00446744      0.011321335     0.00393460      0.013883912     0.00519712        -8.93%     11.69%
         145         150         0.020721141     0.00441508      0.019123819     0.00389896      0.022746740     0.00510296        -7.71%      9.78%
         150         155        0.0050212587     0.00304264     0.0039692800     0.00407285     0.0057642388     0.00234527       -20.95%     14.80%
         155         160        0.0022111950     0.00408104     0.0012449201     0.00475742     0.0028555670     0.00356781       -43.70%     29.14%
         160         165         0.020659885     0.00449843      0.018240851     0.00393852      0.023721522     0.00520590       -11.71%     14.82%
         165         170        0.0056738398     0.00244477     0.0053317176     0.00255731     0.0060172846     0.00234623        -6.03%      6.05%
         170         175        0.0019163246     0.00162971     0.0014181643     0.00197193     0.0022565527     0.00139214       -26.00%     17.75%
         175         180        0.0042670595     0.00169864     0.0036110236     0.00205204     0.0046429829     0.00144875       -15.37%      8.81%
