#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           1.8783458      0.0820567        1.8276860      0.0972179        1.9017142      0.0837727        -2.70%      1.24%
           5          10           2.7642638      0.0567771        2.7237203      0.0495278        2.7800658      0.0687929        -1.47%      0.57%
          10          15           2.6148186      0.0544291        2.5496315      0.0500457        2.6527322      0.0587059        -2.49%      1.45%
          15          20           2.5964747      0.0552323        2.5430358      0.0503132        2.6355743      0.0646221        -2.06%      1.51%
          20          25           2.6355516      0.0606973        2.6048464      0.0551895        2.6522992      0.0709028        -1.17%      0.64%
          25          30           2.8800359      0.0641752        2.8582805      0.0586091        2.8904106      0.0607391        -0.76%      0.36%
          30          35           2.8710078      0.0766264        2.8577998      0.0806998        2.8776506      0.0711887        -0.46%      0.23%
          35          40           2.3545736      0.0722608        2.3163830      0.0846666        2.3794327      0.0632045        -1.62%      1.06%
          40          45           1.9079871      0.0528953        1.8834362      0.0462761        1.9399724      0.0570426        -1.29%      1.68%
          45          50           1.2573086      0.0271179        1.2286702      0.0233200        1.2843008      0.0325451        -2.28%      2.15%
          50          55          0.78806338      0.0201053       0.76554367      0.0177154       0.81046254      0.0236628        -2.86%      2.84%
          55          60          0.60150243      0.0196795       0.58110965      0.0178980       0.62331882      0.0224436        -3.39%      3.63%
          60          65          0.45573731      0.0209992       0.44502940      0.0196577       0.46584122      0.0231105        -2.35%      2.22%
          65          70          0.36852701      0.0222743       0.35660555      0.0208304       0.38123046      0.0244487        -3.23%      3.45%
          70          75          0.31721833      0.0157887       0.30736871      0.0138281       0.32843249      0.0178623        -3.10%      3.54%
          75          80          0.24201431      0.0144468       0.23492703      0.0127558       0.25205742      0.0167352        -2.93%      4.15%
          80          85          0.24800212      0.0131325       0.23760339      0.0112760       0.26083077      0.0153142        -4.19%      5.17%
          85          90          0.16109698      0.0110614       0.15646383     0.00963677       0.16744911      0.0130643        -2.88%      3.94%
          90          95          0.19278732      0.0234146       0.18323366      0.0229986       0.20460086      0.0240780        -4.96%      6.13%
          95         100          0.11213588     0.00736155       0.10725015     0.00640781       0.11759724     0.00869548        -4.36%      4.87%
         100         105         0.072172637      0.0123974      0.068810590      0.0120001      0.075744352      0.0126259        -4.66%      4.95%
         105         110         0.061218841      0.0235002      0.055252248      0.0231429      0.068657833      0.0235743        -9.75%     12.15%
         110         115         0.035673502     0.00869475      0.035041568     0.00778254      0.036448403     0.00972209        -1.77%      2.17%
         115         120         0.056053057     0.00433526      0.051905065     0.00408255      0.061050198     0.00487105        -7.40%      8.92%
         120         125         0.033600434     0.00276596      0.032103119     0.00233816      0.035215504     0.00338143        -4.46%      4.81%
         125         130         0.031385193     0.00266689      0.029701510     0.00218873      0.033516765     0.00336534        -5.36%      6.79%
         130         135         0.029376761     0.00244258      0.027746508     0.00200248      0.031309368     0.00306326        -5.55%      6.58%
         135         140         0.023777436     0.00242226      0.022034061     0.00207341      0.026090871     0.00292358        -7.33%      9.73%
         140         145         0.026090520     0.00228199      0.024049990     0.00199406      0.028619572     0.00269077        -7.82%      9.69%
         145         150         0.017228181     0.00170593      0.016225590     0.00146012      0.018520406     0.00207204        -5.82%      7.50%
         150         155         0.015008196     0.00161874      0.014146026     0.00133200      0.016029479     0.00205040        -5.74%      6.80%
         155         160         0.019084613     0.00234310      0.016902093     0.00187382      0.021930737     0.00300966       -11.44%     14.91%
         160         165         0.011907899     0.00224425      0.011028768     0.00179608      0.013023897     0.00287771        -7.38%      9.37%
         165         170        0.0078937708     0.00200714     0.0075479821     0.00259738     0.0079988153     0.00159000        -4.38%      1.33%
         170         175         0.012916104     0.00196007      0.011755572     0.00152670      0.014332100     0.00260308        -8.99%     10.96%
         175         180        0.0059006055     0.00137979     0.0049757481     0.00206400     0.0064368755    0.000973969       -15.67%      9.09%
         180         185        0.0076101932     0.00147822     0.0069905926     0.00115792     0.0083515684     0.00193439        -8.14%      9.74%
         185         190        0.0062268524     0.00120973     0.0057764038    0.000926850     0.0067303517     0.00163330        -7.23%      8.09%
         190         195        0.0067764565     0.00119996     0.0063676654     0.00100737     0.0072281662     0.00147096        -6.03%      6.67%
         195         200        0.0060119220     0.00116117     0.0056071816    0.000991331     0.0064868293     0.00139685        -6.73%      7.90%
         200         205        0.0053444684    0.000796976     0.0047689878    0.000637807     0.0061158745     0.00103161       -10.77%     14.43%
         205         210        0.0038542840    0.000844540     0.0035710954    0.000679786     0.0042043338     0.00109919        -7.35%      9.08%
         210         215        0.0032705362    0.000830607     0.0031802505    0.000675766     0.0033503293     0.00105643        -2.76%      2.44%
         215         220        0.0027834388    0.000744750     0.0026921727    0.000619559     0.0028268388    0.000924394        -3.28%      1.56%
         220         225        0.0027706193    0.000758786     0.0025279446    0.000658681     0.0030840793    0.000896191        -8.76%     11.31%
         225         230        0.0027469820    0.000727236     0.0023977994    0.000578288     0.0032609131    0.000946998       -12.71%     18.71%
         230         235        0.0034500769    0.000442572     0.0030443072    0.000357336     0.0039887723    0.000577190       -11.76%     15.61%
         235         240        0.0010945741    0.000592660    0.00093726713    0.000806391     0.0011852979    0.000449651       -14.37%      8.29%
         240         245        0.0019726779    0.000422689     0.0018982982    0.000554427     0.0020494067    0.000440798        -3.77%      3.89%
         245         250        0.0024711140    0.000532943     0.0023075963    0.000412653     0.0025983387    0.000714926        -6.62%      5.15%
         250         255        0.0019622708    0.000649809     0.0016658790    0.000477672     0.0024755952    0.000939823       -15.10%     26.16%
         255         260        0.0014624442    0.000626614     0.0013784414    0.000477543     0.0015529775    0.000850475        -5.74%      6.19%
         260         265        0.0010020968    0.000508933    0.00096999383    0.000420782     0.0010307592    0.000483392        -3.20%      2.86%
         265         270        0.0013893722    0.000534070     0.0012151091    0.000417889     0.0016252810    0.000704275       -12.54%     16.98%
         270         275        0.0019361272    0.000367429     0.0016972427    0.000280268     0.0022265298    0.000502101       -12.34%     15.00%
         275         280        0.0010365025    0.000445215    0.00094459255    0.000415034     0.0011511802    0.000479947        -8.87%     11.06%
         280         285       0.00060627277    0.000408188    0.00054024177    0.000319209    0.00069128114    0.000543605       -10.89%     14.02%
         285         290        0.0012500299    0.000220330     0.0010947254    0.000171823     0.0014439540    0.000292292       -12.42%     15.51%
         290         295       0.00080179553    0.000336393    0.00073192752    0.000359034    0.00087004246    0.000320340        -8.71%      8.51%
         295         300       0.00096017871    0.000291151    0.00087666980    0.000221866     0.0010613079    0.000395056        -8.70%     10.53%
         300         305        0.0014671881    0.000310823     0.0012314233    0.000235135     0.0018141065    0.000427462       -16.07%     23.65%
         305         310       0.00019986878    0.000280907    7.4788877e-05    0.000384761    0.00027223885    0.000212365       -62.58%     36.21%
         310         315        0.0010266813    0.000241292    0.00088238025    0.000181390     0.0012119777    0.000333703       -14.06%     18.05%
         315         320       0.00059702506    0.000217268    0.00052222449    0.000159224    0.00069553810    0.000273644       -12.53%     16.50%
         320         325       0.00050975113    0.000205469    0.00047642739    0.000146492    0.00054543534    0.000222587        -6.54%      7.00%
         325         330       3.5394745e-05    0.000254111   -8.9492818e-05    0.000333750    0.00011856451    0.000199362      -352.84%    234.98%
         330         335       0.00057428616    0.000253301    0.00054358152    0.000207962    0.00060789172    0.000316941        -5.35%      5.85%
         335         340       0.00023201048    0.000175901    0.00015924752    0.000241923    0.00027121253    0.000132444       -31.36%     16.90%
         340         345       0.00055687951    0.000156563    0.00050513795    0.000124530    0.00062298897    0.000203080        -9.29%     11.87%
         345         350       0.00038561019    0.000166631    0.00036443860    0.000136515    0.00040859496    0.000210512        -5.49%      5.96%
         350         355       0.00016294662    0.000163499    9.8059180e-05    0.000200316    0.00020435026    0.000143847       -39.82%     25.41%
         355         360       0.00045717460    0.000119298    0.00041745674    8.95462e-05    0.00050010217    0.000165297        -8.69%      9.39%
         360         365       3.1386285e-05    0.000202671   -0.00015016682    0.000321190    0.00013020433    0.000141173      -578.45%    314.84%
         365         370       0.00047575793    0.000146933    0.00041766610    0.000112274    0.00055123583    0.000199478       -12.21%     15.86%
         370         375       0.00024176046    0.000170485    0.00016100298    0.000243297    0.00029275091    0.000123419       -33.40%     21.09%
         375         380       0.00036781846    0.000151238    0.00030798475    0.000110039    0.00045114428    0.000214696       -16.27%     22.65%
         380         385       0.00023051572    0.000130537    0.00011863974    0.000233783    0.00029374095    8.65347e-05       -48.53%     27.43%
         385         390       0.00017144750    0.000171578    0.00015672076    0.000229406    0.00017891254    0.000161893        -8.59%      4.35%
         390         395       0.00056877411    0.000105645    0.00044196576    7.68293e-05    0.00075246673    0.000149179       -22.30%     32.30%
         395         400      -0.00015845467    0.000133254   -0.00019985311    0.000165660   -0.00013050054    0.000113930        26.13%    -17.64%
         400         405       0.00046938028    0.000305352    0.00035974692    0.000232481    0.00063068853    0.000413921       -23.36%     34.37%
         405         410       0.00035335888    0.000153084    0.00028698138    0.000120425    0.00043976809    0.000204849       -18.78%     24.45%
         410         415       0.00017016965    0.000131310    0.00014840713    9.78185e-05    0.00020414814    0.000182957       -12.79%     19.97%
         415         420      -0.00012531164    9.64014e-05   -0.00020630018    0.000133131   -7.4276183e-05    7.25378e-05        64.63%    -40.73%
         420         425       3.3176944e-05    0.000103412   -5.5100193e-05    0.000164095    8.3928893e-05    6.70921e-05      -266.08%    152.97%
         425         430       0.00037881356    0.000138069    0.00029430550    0.000103210    0.00050172854    0.000190412       -22.31%     32.45%
         430         435       0.00021052840    0.000100437    0.00018085804    8.63902e-05    0.00025121521    0.000119697       -14.09%     19.33%
