#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6          0.27251237     0.00636663       0.21377341     0.00496819       0.33425836     0.00787178       -21.55%     22.66%
           6           8           1.1149422     0.00241261       0.88349713     0.00191321        1.3554339     0.00293518       -20.76%     21.57%
           8          10           1.5460763     0.00232633        1.2363559     0.00186416        1.8646454     0.00280492       -20.03%     20.61%
          10          12           1.5839844     0.00213632        1.2767355     0.00172439        1.8972190     0.00255873       -19.40%     19.78%
          12          14           1.4611471     0.00194793        1.1859244     0.00158361        1.7395551     0.00231865       -18.84%     19.05%
          14          16           1.2966078     0.00177891        1.0588767     0.00145450        1.5354265     0.00210677       -18.33%     18.42%
          16          18           1.1270488     0.00162815       0.92560956     0.00133860        1.3281309     0.00191898       -17.87%     17.84%
          18          20          0.97377881     0.00149266       0.80400875     0.00123346        1.1422350     0.00175151       -17.43%     17.30%
          20          22          0.84335041     0.00137628       0.69988389     0.00114294       0.98489526     0.00160808       -17.01%     16.78%
          22          24          0.73287971     0.00127016       0.61118368     0.00106075       0.85229800     0.00147746       -16.61%     16.29%
          24          26          0.64417402     0.00118062       0.53984070    0.000990137       0.74599057     0.00136806       -16.20%     15.81%
          26          28          0.57281103     0.00109954       0.48230508    0.000925652       0.66065832     0.00126990       -15.80%     15.34%
          28          30          0.51804101     0.00103361       0.43832586    0.000874192       0.59498768     0.00118904       -15.39%     14.85%
          30          32          0.47717958    0.000975017       0.40561659    0.000828247       0.54588198     0.00111749       -15.00%     14.40%
          32          34          0.45109400    0.000941230       0.38527337    0.000804337       0.51392381     0.00107348       -14.59%     13.93%
          34          36          0.43620753    0.000909066       0.37428619    0.000781280       0.49497641     0.00103189       -14.20%     13.47%
          36          38          0.43493833    0.000873345       0.37469858    0.000751495       0.49180927    0.000990030       -13.85%     13.08%
          38          40          0.44888755    0.000858700       0.38817330    0.000741556       0.50591183    0.000970443       -13.53%     12.70%
          40          42          0.47910389    0.000871038       0.41568484    0.000757093       0.53838591    0.000979171       -13.24%     12.37%
          42          44          0.52367860    0.000875625       0.45557264    0.000761793       0.58708943    0.000983269       -13.01%     12.11%
          44          46          0.57973196    0.000908862       0.50536831    0.000793191       0.64875482     0.00101776       -12.83%     11.91%
          46          48          0.64069996    0.000969140       0.55931630    0.000848576       0.71606959     0.00108221       -12.70%     11.76%
          48          50          0.71599701     0.00101343       0.62564097    0.000887014       0.79954046     0.00113188       -12.62%     11.67%
          50          52          0.80670710     0.00108894       0.70555352    0.000954581       0.90010423     0.00121461       -12.54%     11.58%
          52          54          0.91671809     0.00118277       0.80217490     0.00103797        1.0223808     0.00131801       -12.49%     11.53%
          54          56           1.0448044     0.00129739       0.91457631     0.00113954        1.1648590     0.00144462       -12.46%     11.49%
          56          58           1.1944023     0.00141979        1.0457997     0.00124621        1.3313295     0.00158163       -12.44%     11.46%
          58          60           1.3528377     0.00155564        1.1849785     0.00136627        1.5074163     0.00173201       -12.41%     11.43%
          60          62           1.5149428     0.00170330        1.3269912     0.00149632        1.6880052     0.00189606       -12.41%     11.42%
          62          64           1.6596769     0.00182757        1.4541068     0.00160610        1.8488942     0.00203374       -12.39%     11.40%
          64          66           1.7533294     0.00250748        1.5364147     0.00225736        1.9529467     0.00273489       -12.37%     11.39%
          66          68           1.8207336     0.00198061        1.5957326     0.00174027        2.0277424     0.00220408       -12.36%     11.37%
          68          70           1.8866500     0.00204456        1.6537147     0.00179678        2.1009156     0.00227488       -12.35%     11.36%
          70          72           1.9543609     0.00210668        1.7131876     0.00185140        2.1761837     0.00234399       -12.34%     11.35%
          72          74           2.0039859     0.00214771        1.7568163     0.00188810        2.2313053     0.00238901       -12.33%     11.34%
          74          76           2.0473024     0.00216518        1.7951765     0.00190306        2.2791174     0.00240877       -12.32%     11.32%
          76          78           2.0638408     0.00215113        1.8102461     0.00189264        2.2969187     0.00239124       -12.29%     11.29%
          78          80           2.0262779     0.00206335        1.7778688     0.00181441        2.2545090     0.00229451       -12.26%     11.26%
          80          82           1.9007355     0.00191645        1.6688025     0.00168739        2.1136838     0.00212904       -12.20%     11.20%
          82          84           1.6524300     0.00162912        1.4528892     0.00143547        1.8353720     0.00180876       -12.08%     11.07%
          84          86           1.2590112     0.00128384        1.1117015     0.00113702        1.3934795     0.00141959       -11.70%     10.68%
          86          88          0.98376376     0.00108724       0.88060524    0.000977434        1.0765000     0.00118780       -10.49%      9.43%
          88          90           2.1462276     0.00187061        1.9595622     0.00171888        2.3093311     0.00200543        -8.70%      7.60%
          90          92           8.6326096     0.00476505        7.9747751     0.00441647        9.1949141     0.00507100        -7.62%      6.51%
          92          94           2.9712825     0.00296086        2.7278377     0.00272004        3.1818571     0.00317504        -8.19%      7.09%
          94          96          0.74765190     0.00174667       0.68101428     0.00159895       0.80601476     0.00187908        -8.91%      7.81%
          96          98          0.34858775     0.00120669       0.31644909     0.00109364       0.37686123     0.00130879        -9.22%      8.11%
          98         100          0.21397457    0.000945723       0.19397826    0.000862929       0.23158844     0.00102044        -9.35%      8.23%
         100         102          0.15020415    0.000736749       0.13608307    0.000663494       0.16264831    0.000802877        -9.40%      8.28%
         102         104          0.11488182    0.000664903       0.10409912    0.000603019       0.12437725    0.000720512        -9.39%      8.27%
         104         106         0.090072779    0.000562637      0.081671646    0.000509046      0.097461832    0.000610815        -9.33%      8.20%
         106         108         0.074844987    0.000528163      0.067916841    0.000477891      0.080928800    0.000573147        -9.26%      8.13%
         108         110         0.062287573    0.000463086      0.056566631    0.000419556      0.067305405    0.000502023        -9.18%      8.06%
         110         112         0.054460499    0.000558020      0.049471698    0.000503917      0.058829926    0.000606319        -9.16%      8.02%
         112         114         0.046328023    0.000400039      0.042136387    0.000362997      0.049993628    0.000432921        -9.05%      7.91%
         114         116         0.040420271    0.000373980      0.036788802    0.000338946      0.043592015    0.000405035        -8.98%      7.85%
         116         118         0.035362744    0.000404212      0.032223397    0.000372163      0.038099420    0.000432451        -8.88%      7.74%
         118         120         0.030697930    0.000369598      0.027995898    0.000340910      0.033049776    0.000394732        -8.80%      7.66%
         120         122         0.026796256    0.000292214      0.024441885    0.000265808      0.028845525    0.000315804        -8.79%      7.65%
         122         124         0.024159999    0.000294686      0.022072305    0.000270068      0.025972413    0.000316475        -8.64%      7.50%
         124         126         0.021284772    0.000307051      0.019463589    0.000281667      0.022863343    0.000329629        -8.56%      7.42%
         126         128         0.018350379    0.000245824      0.016803466    0.000224567      0.019687437    0.000264496        -8.43%      7.29%
         128         130         0.016251707    0.000237006      0.014885295    0.000216271      0.017432577    0.000255274        -8.41%      7.27%
         130         132         0.014430977    0.000241607      0.013241881    0.000225762      0.015455960    0.000255635        -8.24%      7.10%
         132         134         0.012443171    0.000218240      0.011418871    0.000199158      0.013325291    0.000234955        -8.23%      7.09%
         134         136         0.011017759    0.000221327      0.010136387    0.000205172      0.011773323    0.000235352        -8.00%      6.86%
         136         138        0.0096270311    0.000181836     0.0088536068    0.000165969      0.010290441    0.000195738        -8.03%      6.89%
         138         140        0.0083155452    0.000172578     0.0076544248    0.000157663     0.0088819189    0.000185667        -7.95%      6.81%
         140         142        0.0069608390    0.000157290     0.0064155521    0.000144348     0.0074266562    0.000168569        -7.83%      6.69%
         142         144        0.0060166481    0.000145621     0.0055580203    0.000134428     0.0064071756    0.000155366        -7.62%      6.49%
         144         146        0.0054291778    0.000391276     0.0050487608    0.000379870     0.0057493740    0.000399391        -7.01%      5.90%
         146         148        0.0043325758    0.000139372     0.0040196418    0.000129821     0.0045969575    0.000147585        -7.22%      6.10%
         148         150        0.0039036196    0.000150605     0.0036228906    0.000139223     0.0041404977    0.000160475        -7.19%      6.07%
         150         152        0.0027513556    9.08537e-05     0.0025615165    8.34457e-05     0.0029105319    9.73195e-05        -6.90%      5.79%
         152         154        0.0024675306    9.71818e-05     0.0023017503    9.03573e-05     0.0026061868    0.000103063        -6.72%      5.62%
         154         156        0.0020157059    0.000113506     0.0018930707    0.000109198     0.0021168171    0.000117001        -6.08%      5.02%
         156         158        0.0016494367    0.000127826     0.0015622730    0.000129020     0.0017204864    0.000126895        -5.28%      4.31%
         158         160        0.0010848134    4.69967e-05     0.0010212916    4.32778e-05     0.0011368162    5.02337e-05        -5.86%      4.79%
         160         162       0.00095145729    6.56046e-05    0.00089766260    6.09939e-05    0.00099516498    6.95744e-05        -5.65%      4.59%
         162         164       0.00090825134    0.000188091    0.00086646922    0.000183649    0.00094085964    0.000190821        -4.60%      3.59%
         164         166        0.0010878641    0.000494176     0.0010665012    0.000504695     0.0011013117    0.000482006        -1.96%      1.24%
