#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           11.022468     0.00837537        9.6190195     0.00724323        12.343223     0.00952416       -12.73%     11.98%
          10          20          0.58151677     0.00361982       0.52326611     0.00327333       0.63371881     0.00394577       -10.02%      8.98%
          20          30          0.20544764     0.00206172       0.18632192     0.00191849       0.22239909     0.00218729        -9.31%      8.25%
          30          40         0.081709807     0.00123616      0.074935847     0.00115639      0.087614276     0.00130429        -8.29%      7.23%
          40          50         0.029162859    0.000677679      0.027317096    0.000643115      0.030693083    0.000705627        -6.33%      5.25%
          50          60         0.014517758    0.000622974      0.013772808    0.000591282      0.015108849    0.000648248        -5.13%      4.07%
          60          70        0.0067615633    0.000227382     0.0064643068    0.000217295     0.0069901101    0.000235362        -4.40%      3.38%
          70          80        0.0041124229    0.000213993     0.0039576598    0.000205037     0.0042272287    0.000220820        -3.76%      2.79%
          80          90        0.0028289992    0.000330789     0.0027626392    0.000337284     0.0028723150    0.000323563        -2.35%      1.53%
          90         100        0.0017649598    0.000117338     0.0017193898    0.000114270     0.0017951331    0.000119588        -2.58%      1.71%
         100         110        0.0011396393    9.06644e-05     0.0011174036    8.98973e-05     0.0011527921    9.08620e-05        -1.95%      1.15%
         110         120       0.00097531244    0.000145046    0.00096978343    0.000149072    0.00097531244    0.000145046        -0.57%   0.00000%
         120         130       0.00060953191    0.000120211    0.00060422569    0.000120086    0.00061060628    0.000119556        -0.87%      0.18%
         130         140       0.00045929300    5.22037e-05    0.00045653903    5.11183e-05    0.00045958301    5.31938e-05        -0.60%      0.06%
         140         150       0.00032703510    4.16502e-05    0.00032275792    4.01025e-05    0.00032989950    4.32691e-05        -1.31%      0.88%
         150         160       0.00018464898    2.57502e-05    0.00018270553    2.48477e-05    0.00018569171    2.66693e-05        -1.05%      0.56%
         160         170       0.00019226246    2.53697e-05    0.00019061790    2.51507e-05    0.00019288651    2.54692e-05        -0.86%      0.32%
         170         180       0.00011951489    1.72918e-05    0.00011791286    1.69590e-05    0.00012059423    1.75833e-05        -1.34%      0.90%
         180         190       0.00020892080    7.03096e-05    0.00020792236    7.06204e-05    0.00020892080    7.03096e-05        -0.48%   0.00000%
         190         200       6.8345163e-05    1.13379e-05    6.6778976e-05    1.10319e-05    6.9729438e-05    1.16244e-05        -2.29%      2.03%
         200         210       9.5149373e-05    2.23168e-05    9.3159860e-05    2.19012e-05    9.6810303e-05    2.26446e-05        -2.09%      1.75%
         210         220       6.6031656e-05    1.38879e-05    6.4054124e-05    1.35410e-05    6.7932776e-05    1.42111e-05        -2.99%      2.88%
         220         230       5.3002180e-05    8.91456e-06    5.1601551e-05    8.68326e-06    5.4293208e-05    9.13860e-06        -2.64%      2.44%
         230         240       2.9800034e-05    4.94183e-06    2.8845707e-05    4.76732e-06    3.0730045e-05    5.11613e-06        -3.20%      3.12%
         240         250       1.5518376e-05    2.79312e-06    1.5097804e-05    2.72283e-06    1.5909412e-05    2.85761e-06        -2.71%      2.52%
         250         260       2.0912881e-05    3.12821e-06    1.9978207e-05    2.95329e-06    2.1905986e-05    3.32653e-06        -4.47%      4.75%
         260         270       3.4586554e-06    1.30702e-06    3.3028356e-06    1.24827e-06    3.6219725e-06    1.36847e-06        -4.51%      4.72%
         270         280       2.7576417e-05    7.66164e-06    2.6580039e-05    7.38611e-06    2.8574637e-05    7.94132e-06        -3.61%      3.62%
         280         290       1.0871587e-05    3.15430e-06    1.0596588e-05    3.11646e-06    1.1121568e-05    3.17765e-06        -2.53%      2.30%
         290         300       6.8773442e-10    6.87616e-10    5.5265331e-10    5.52577e-10    8.7491523e-10    8.74731e-10       -19.64%     27.22%
         300         310       5.1897814e-06    1.70746e-06    4.8935879e-06    1.59941e-06    5.5191105e-06    1.83263e-06        -5.71%      6.35%
         310         320       8.9486179e-07    2.72565e-07    8.5942001e-07    2.65261e-07    9.3126813e-07    2.79455e-07        -3.96%      4.07%
         320         330       4.5246749e-06    1.25189e-06    4.3245174e-06    1.19147e-06    4.7351050e-06    1.31798e-06        -4.42%      4.65%
