#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5                   0              0                0              0                0              0            0%         0%
           5          10        0.0092845453     0.00247917     0.0075017155     0.00191478      0.011088124     0.00302953       -19.20%     19.43%
          10          15          0.24315443     0.00516626       0.22225466     0.00643667       0.25474483     0.00510093        -8.60%      4.77%
          15          20          0.70546942      0.0107232       0.68248660     0.00852767       0.72060589      0.0106955        -3.26%      2.15%
          20          25          0.83500519     0.00875612       0.79556916     0.00693874       0.85707107      0.0106050        -4.72%      2.64%
          25          30          0.78553637      0.0102948       0.73946247     0.00880208       0.81170494      0.0117070        -5.87%      3.33%
          30          35          0.66450525      0.0102528       0.62218050     0.00877077       0.68744236      0.0116554        -6.37%      3.45%
          35          40          0.54881391     0.00471541       0.51337791     0.00393773       0.56764349     0.00549371        -6.46%      3.43%
          40          45          0.46290590     0.00384082       0.43150642     0.00322561       0.48184621     0.00445499        -6.78%      4.09%
          45          50          0.39291327     0.00422981       0.36522846     0.00355244       0.41115179     0.00489701        -7.05%      4.64%
          50          55          0.34486503     0.00331205       0.31967210     0.00281645       0.36247924     0.00379859        -7.31%      5.11%
          55          60          0.33101068     0.00274079       0.30493525     0.00235578       0.35065710     0.00311717        -7.88%      5.94%
          60          65          0.32636874     0.00345232       0.29929006     0.00298712       0.34771611     0.00389748        -8.30%      6.54%
          65          70          0.35210045     0.00363618       0.32111017     0.00315748       0.37745376     0.00409314        -8.80%      7.20%
          70          75          0.44642826     0.00460284       0.40402671     0.00400012       0.48240175     0.00517815        -9.50%      8.06%
          75          80          0.62377049     0.00536570       0.56310258     0.00468043       0.67599382     0.00600771        -9.73%      8.37%
          80          85           1.2166390     0.00856474        1.0988401     0.00751252        1.3184012     0.00954453        -9.68%      8.36%
          85          90           4.2303824      0.0242787        3.9165192      0.0213254        4.4797331      0.0270219        -7.42%      5.89%
          90          95           6.0699195      0.0258134        5.9172212      0.0287104        6.2476772      0.0227158        -2.52%      2.93%
          95         100          0.88858907     0.00724864       0.86764621     0.00641375       0.90492426     0.00726435        -2.36%      1.84%
         100         105          0.61129988     0.00525178       0.59190568     0.00466008       0.62078191     0.00526926        -3.17%      1.55%
         105         110          0.52714975     0.00856754       0.50896321     0.00763245       0.53718830     0.00942178        -3.45%      1.90%
         110         115          0.43616529      0.0107926       0.42189908     0.00970856       0.44477758      0.0108008        -3.27%      1.97%
         115         120          0.36640992     0.00913220       0.35385986     0.00826316       0.37441201     0.00914300        -3.43%      2.18%
         120         125          0.31952110     0.00508634       0.30868038     0.00457226       0.32732446     0.00510250        -3.39%      2.44%
         125         130          0.29215279     0.00809603       0.28158619     0.00744535       0.29928992     0.00810675        -3.62%      2.44%
         130         135          0.23277539     0.00739499       0.22497078     0.00683204       0.23930630     0.00740461        -3.35%      2.81%
         135         140          0.21178762     0.00291411       0.20457629     0.00264430       0.21787712     0.00293696        -3.40%      2.88%
         140         145          0.18924558     0.00283711       0.18211823     0.00256900       0.19490160     0.00286941        -3.77%      2.99%
         145         150          0.17376353     0.00379016       0.16774810     0.00344654       0.17875857     0.00380971        -3.46%      2.87%
         150         155          0.15528126     0.00469709       0.14953019     0.00431426       0.15998674     0.00473387        -3.70%      3.03%
         155         160          0.14282644     0.00436445       0.13732862     0.00394353       0.14699792     0.00437524        -3.85%      2.92%
         160         165          0.12835489     0.00330463       0.12402730     0.00296352       0.13241747     0.00333270        -3.37%      3.17%
         165         170          0.13105018     0.00245130       0.12598718     0.00230158       0.13483499     0.00249476        -3.86%      2.89%
         170         175          0.13349298     0.00425039       0.12758767     0.00392059       0.13799532     0.00453544        -4.42%      3.37%
         175         180          0.13806578     0.00367946       0.13196522     0.00335605       0.14275770     0.00396943        -4.42%      3.40%
         180         185          0.16061004     0.00303339       0.15478364     0.00277660       0.16486352     0.00327315        -3.63%      2.65%
         185         190          0.19769041     0.00535002       0.19110388     0.00496680       0.20274813     0.00535946        -3.33%      2.56%
         190         195          0.20112606     0.00535893       0.19555659     0.00499105       0.20667536     0.00537089        -2.77%      2.76%
         195         200          0.21202549     0.00536180       0.20613577     0.00496464       0.21789822     0.00537556        -2.78%      2.77%
         200         205          0.19442119     0.00534093       0.18941485     0.00491486       0.20006413     0.00534739        -2.57%      2.90%
         205         210          0.18745631     0.00383545       0.18295437     0.00382462       0.19304073     0.00385033        -2.40%      2.98%
         210         215          0.17988574     0.00525232       0.17536638     0.00477298       0.18524175     0.00526246        -2.51%      2.98%
         215         220          0.16086570     0.00481473       0.15665385     0.00480833       0.16609030     0.00482353        -2.62%      3.25%
         220         225          0.15659024     0.00625638       0.15263797     0.00625322       0.16149284     0.00626074        -2.52%      3.13%
         225         230          0.15562161      0.0123888       0.15190663      0.0123870       0.16022987      0.0123912        -2.39%      2.96%
         230         235          0.12230600      0.0114163       0.11875045      0.0114143       0.12671648      0.0114191        -2.91%      3.61%
         235         240          0.13083116     0.00318985       0.12738264     0.00317385       0.13510886     0.00321176        -2.64%      3.27%
         240         245          0.11918888     0.00654513       0.11602571     0.00654225       0.12311262     0.00654910        -2.65%      3.29%
         245         250          0.10118260     0.00579779      0.098146029     0.00579221       0.10494932     0.00580548        -3.00%      3.72%
         250         255          0.10559224     0.00286624       0.10274517     0.00285415       0.10912390     0.00288283        -2.70%      3.34%
         255         260         0.095924051     0.00298894      0.093220472     0.00298206      0.099277703     0.00299840        -2.82%      3.50%
         260         265         0.091399309     0.00248891      0.088779139     0.00248208      0.094649497     0.00249829        -2.87%      3.56%
         265         270         0.089895558     0.00373520      0.087473518     0.00372861      0.092899976     0.00374428        -2.69%      3.34%
         270         275         0.079239548     0.00383866      0.076835900     0.00381654      0.082221152     0.00386894        -3.03%      3.76%
         275         280         0.075405339     0.00440240      0.073268214     0.00439934      0.078056334     0.00440661        -2.83%      3.52%
         280         285         0.075646365     0.00386767      0.073607940     0.00386360      0.078174927     0.00387328        -2.69%      3.34%
         285         290         0.059899239     0.00508824      0.057966391     0.00508519      0.062296840     0.00509245        -3.23%      4.00%
         290         295         0.062750324     0.00200704      0.060891488     0.00200030      0.065056116     0.00201630        -2.96%      3.67%
         295         300         0.060891343     0.00261921      0.059017972     0.00260386      0.063215165     0.00264022        -3.08%      3.82%
         300         305         0.054459979     0.00350598      0.052828408     0.00350076      0.056483859     0.00351315        -3.00%      3.72%
         305         310         0.057570412     0.00282780      0.055926465     0.00281766      0.059609644     0.00284170        -2.86%      3.54%
         310         315         0.047509377     0.00232492      0.045940505     0.00231638      0.049455484     0.00233663        -3.30%      4.10%
         315         320         0.047980187     0.00226622      0.046549919     0.00226009      0.049754363     0.00227466        -2.98%      3.70%
         320         325         0.043522953     0.00187818      0.042171331     0.00187227      0.045199572     0.00188628        -3.11%      3.85%
         325         330         0.043061644     0.00287918      0.041657946     0.00284084      0.044802860     0.00293120        -3.26%      4.04%
         330         335         0.037144148     0.00238628      0.035931157     0.00238271      0.038648802     0.00239118        -3.27%      4.05%
         335         340         0.038155906     0.00201529      0.036942563     0.00200766      0.039660998     0.00202577        -3.18%      3.94%
         340         345         0.032569991     0.00251767      0.031346703     0.00262586      0.034200424     0.00239477        -3.76%      5.01%
         345         350         0.032699994     0.00213808      0.031632075     0.00213292      0.034024695     0.00214517        -3.27%      4.05%
         350         355         0.033679126     0.00181619      0.032690867     0.00180865      0.034905011     0.00182653        -2.93%      3.64%
         355         360         0.030568134     0.00185859      0.029585785     0.00185465      0.031786688     0.00186400        -3.21%      3.99%
         360         365         0.029326140     0.00157945      0.028337306     0.00156771      0.030552739     0.00159550        -3.37%      4.18%
         365         370         0.026765162     0.00142893      0.025853729     0.00142453      0.027942306     0.00139438        -3.41%      4.40%
         370         375         0.026746353     0.00111032      0.025916981     0.00110118      0.027805023     0.00109079        -3.10%      3.96%
         375         380         0.026455730     0.00171532      0.025569335     0.00166291      0.027555258     0.00178503        -3.35%      4.16%
         380         385         0.024251509     0.00126762      0.023421318     0.00125593      0.025305232     0.00124134        -3.42%      4.34%
         385         390         0.025763497     0.00226320      0.025006264     0.00226022      0.026702806     0.00226731        -2.94%      3.65%
         390         395         0.021563442     0.00288444      0.020672253     0.00287010      0.022736010     0.00289001        -4.13%      5.44%
         395         400         0.021991328     0.00147796      0.021303445     0.00147421      0.022888342     0.00146264        -3.13%      4.08%
         400         405         0.030098364     0.00918240      0.029449138     0.00918181      0.030903695     0.00918322        -2.16%      2.68%
         405         410         0.012194547     0.00927773      0.011297708     0.00954998      0.013387382     0.00891106        -7.35%      9.78%
         410         415         0.017847991     0.00182287      0.017197937     0.00184643      0.018710502     0.00178452        -3.64%      4.83%
         415         420         0.018766430     0.00243432      0.018161622     0.00246220      0.019585295     0.00238581        -3.22%      4.36%
         420         425         0.014195452     0.00232021      0.013574323     0.00233779      0.015049739     0.00228376        -4.38%      6.02%
         425         430         0.015588730     0.00129988      0.015049421     0.00129589      0.016310797     0.00129155        -3.46%      4.63%
         430         435         0.015930111     0.00135675      0.015379184     0.00133812      0.016668402     0.00137475        -3.46%      4.63%
         435         440         0.016250055     0.00121089      0.015666735     0.00114169      0.016973635     0.00130025        -3.59%      4.45%
         440         445         0.015804713     0.00110586      0.015271875     0.00111661      0.016502155     0.00108807        -3.37%      4.41%
         445         450         0.012841405     0.00118589      0.012326898     0.00119850      0.013537560     0.00116570        -4.01%      5.42%
         450         455         0.013786566    0.000907517      0.013307137    0.000909296      0.014422524    0.000903396        -3.48%      4.61%
         455         460         0.014522922     0.00169479      0.014057887     0.00170518      0.015128145     0.00167245        -3.20%      4.17%
         460         465        0.0088906851     0.00185996     0.0084758945     0.00187136     0.0094722754     0.00183526        -4.67%      6.54%
         465         470         0.012158997    0.000708051      0.011733496    0.000709759      0.012730836    0.000703316        -3.50%      4.70%
         470         475         0.011327256     0.00100002      0.010892263     0.00100676      0.011897591    0.000987389        -3.84%      5.04%
         475         480         0.011558016     0.00100245      0.011171765     0.00100149      0.012080023    0.000999083        -3.34%      4.52%
         480         485         0.010096137     0.00110573     0.0096700747     0.00110803      0.010663423     0.00109683        -4.22%      5.62%
         485         490         0.011817724    0.000867934      0.011463695    0.000870731      0.012285159    0.000860336        -3.00%      3.96%
         490         495        0.0086736127     0.00105083     0.0082780942     0.00105670     0.0092050000     0.00103843        -4.56%      6.13%
         495         500        0.0091502956    0.000650845     0.0088246707    0.000645401     0.0095875590    0.000654799        -3.56%      4.78%
         500         505         0.010255727    0.000816522     0.0098134375    0.000806653      0.010819601    0.000827801        -4.31%      5.50%
