#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           5           1.9879873      0.0140368        1.9259085      0.0120957        2.0333455      0.0160770        -3.12%      2.28%
           5          10           3.0857921      0.0153137        2.9100195      0.0132048        3.1845541      0.0161518        -5.70%      3.20%
          10          15           2.5689789      0.0195870        2.4196632      0.0174180        2.6658396      0.0215933        -5.81%      3.77%
          15          20           2.5774546      0.0309656        2.4455181      0.0274451        2.6633831      0.0341813        -5.12%      3.33%
          20          25           2.7338564      0.0327573        2.6075923      0.0290188        2.8137780      0.0361649        -4.62%      2.92%
          25          30           2.8229946      0.0408398        2.7001468      0.0359351        2.8992567      0.0453473        -4.35%      2.70%
          30          35           2.8105628      0.0912100        2.6975657      0.0816354        2.8783723      0.0998160        -4.02%      2.41%
          35          40           2.4699480      0.0873393        2.3957987      0.0784244        2.5109004      0.0864097        -3.00%      1.66%
          40          45           1.9871419      0.0328431        1.9395643      0.0293797        2.0060321      0.0331239        -2.39%      0.95%
          45          50           1.2749670      0.0220199        1.2180099      0.0198261        1.3357553      0.0238593        -4.47%      4.77%
          50          55          0.81395440     0.00847704       0.78054441     0.00783040       0.85539781     0.00929493        -4.10%      5.09%
          55          60          0.58061735     0.00740012       0.55605337     0.00683772       0.61108775     0.00811168        -4.23%      5.25%
          60          65          0.42904551     0.00836318       0.41144084     0.00766674       0.45088321     0.00923750        -4.10%      5.09%
          65          70          0.34598716     0.00772395       0.33150983     0.00709706       0.36394557     0.00851274        -4.18%      5.19%
          70          75          0.25459009     0.00657633       0.24430008     0.00603037       0.26735434     0.00726192        -4.04%      5.01%
          75          80          0.20792613     0.00649750       0.19919340     0.00595259       0.21875865     0.00718116        -4.20%      5.21%
          80          85          0.15781409     0.00508677       0.15120105     0.00467123       0.16601724     0.00560931        -4.19%      5.20%
          85          90          0.14503624     0.00492136       0.13829559     0.00448340       0.15339768     0.00546785        -4.65%      5.77%
          90          95          0.10442679     0.00420606      0.099975936     0.00383342       0.10994785     0.00467125        -4.26%      5.29%
          95         100         0.091256326     0.00320278      0.087093077     0.00293511      0.096420626     0.00353871        -4.56%      5.66%
         100         105         0.078005669     0.00372509      0.074296070     0.00340147      0.082607239     0.00412982        -4.76%      5.90%
         105         110         0.064642629     0.00374530      0.061622178     0.00340777      0.068389346     0.00416596        -4.67%      5.80%
         110         115         0.047749235     0.00373750      0.045617363     0.00340860      0.050393714     0.00414834        -4.46%      5.54%
         115         120         0.050535625     0.00319499      0.047898166     0.00290736      0.053807260     0.00355350        -5.22%      6.47%
         120         125         0.034733578     0.00234917      0.033248474     0.00213868      0.036625105     0.00255839        -4.28%      5.45%
         125         130         0.036357982     0.00195267      0.034474912     0.00178481      0.038693835     0.00216281        -5.18%      6.42%
         130         135         0.026944555     0.00179808      0.025654738     0.00166491      0.028567377     0.00195264        -4.79%      6.02%
         135         140         0.029801153     0.00202035      0.027860685     0.00187338      0.032163221     0.00219371        -6.51%      7.93%
         140         145         0.019133517     0.00213190      0.018342174     0.00199496      0.020125930     0.00229177        -4.14%      5.19%
         145         150         0.019153677     0.00137065      0.018015282     0.00125641      0.020578331     0.00150407        -5.94%      7.44%
         150         155         0.018262877     0.00127187      0.017078443     0.00116953      0.019721327     0.00139391        -6.49%      7.99%
         155         160         0.016960959    0.000960287      0.015917515    0.000883806      0.018244378     0.00105033        -6.15%      7.57%
         160         165         0.010702757     0.00110226      0.010140337     0.00100949      0.011423049     0.00121125        -5.25%      6.73%
         165         170         0.012347409     0.00114321      0.011490712     0.00104771      0.013413640     0.00125560        -6.94%      8.64%
         170         175        0.0085922212     0.00142908     0.0080436472     0.00136264     0.0092924196     0.00150726        -6.38%      8.15%
         175         180         0.011459332    0.000990640      0.010610098    0.000887396      0.012510925     0.00111497        -7.41%      9.18%
         180         185        0.0066180244    0.000927077     0.0061481405    0.000858530     0.0072199386     0.00101163        -7.10%      9.10%
         185         190        0.0067252774    0.000961830     0.0062414158    0.000863258     0.0073257871     0.00108569        -7.19%      8.93%
         190         195        0.0086264803     0.00105583     0.0079751594    0.000932427     0.0094435912     0.00120724        -7.55%      9.47%
         195         200        0.0051467040    0.000895952     0.0047774131    0.000802545     0.0056157148     0.00100830        -7.18%      9.11%
         200         205        0.0054110551    0.000596023     0.0049760714    0.000545248     0.0059611604    0.000659062        -8.04%     10.17%
         205         210        0.0034877941     0.00141029     0.0032186213     0.00129472     0.0038469254     0.00154096        -7.72%     10.30%
         210         215        0.0049584590     0.00142804     0.0045714530     0.00131760     0.0054400958     0.00155243        -7.80%      9.71%
         215         220        0.0029989170    0.000665807     0.0027810981    0.000617633     0.0032838884    0.000724358        -7.26%      9.50%
         220         225        0.0049427414    0.000616745     0.0045198803    0.000557719     0.0054672678    0.000688372        -8.56%     10.61%
         225         230        0.0035143702    0.000678615     0.0032131429    0.000608861     0.0038980589    0.000763105        -8.57%     10.92%
         230         235        0.0029688110    0.000654413     0.0027719840    0.000586240     0.0032217069    0.000737051        -6.63%      8.52%
         235         240        0.0024277668    0.000342592     0.0022479757    0.000302609     0.0026587414    0.000392598        -7.41%      9.51%
         240         245        0.0032421563    0.000584322     0.0030070374    0.000551511     0.0035344320    0.000625517        -7.25%      9.01%
