#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0        0.15           44.840656       0.377998        42.836185       0.316366        45.966774       0.440608        -4.47%      2.51%
        0.15         0.3           43.631924       0.613585        41.837887       0.494466        44.554626       0.738147        -4.11%      2.11%
         0.3        0.45           43.931195       0.568750        42.006954       0.460160        44.988310       0.682515        -4.38%      2.41%
        0.45         0.6           43.145836       0.394219        41.343909       0.341789        44.097085       0.444636        -4.18%      2.20%
         0.6        0.75           43.545578       0.342647        41.658734       0.296715        44.584639       0.387250        -4.33%      2.39%
        0.75         0.9           42.941416       0.348422        41.124261       0.303651        43.915621       0.391150        -4.23%      2.27%
         0.9        1.05           42.453708       0.357193        40.661659       0.310932        43.417245       0.401496        -4.22%      2.27%
        1.05         1.2           42.997676       0.340267        41.093354       0.294619        44.086173       0.384659        -4.43%      2.53%
         1.2        1.35           41.449433       0.326597        39.725185       0.284641        42.380732       0.367314        -4.16%      2.25%
        1.35         1.5           40.480200       0.447341        38.795078       0.394487        41.395295       0.496444        -4.16%      2.26%
         1.5        1.65           40.869482       0.443285        39.030959       0.390685        41.954453       0.492142        -4.50%      2.65%
        1.65         1.8           39.740411       0.296274        38.027373       0.256292        40.715416       0.336375        -4.31%      2.45%
         1.8        1.95           39.100871       0.295758        37.379391       0.254966        40.104980       0.336818        -4.40%      2.57%
        1.95         2.1           38.192985       0.265615        36.475374       0.232759        39.216072       0.297404        -4.50%      2.68%
         2.1        2.25           36.407105       0.274497        34.834096       0.242156        37.313724       0.305344        -4.32%      2.49%
        2.25         2.4           35.619021       0.314101        33.989767       0.270789        36.612270       0.357392        -4.57%      2.79%
         2.4        2.55           35.122189       0.269387        33.487242       0.239070        36.131883       0.298009        -4.66%      2.87%
        2.55         2.7           33.157426       0.301934        31.639376       0.263341        34.083863       0.339860        -4.58%      2.79%
         2.7        2.85           31.553171       0.293907        30.068260       0.261863        32.481191       0.323673        -4.71%      2.94%
        2.85           3           29.814440       0.274799        28.412176       0.245450        30.688905       0.302135        -4.70%      2.93%
           3        3.15           28.467825       0.247634        27.026564       0.221513        29.419939       0.271935        -5.06%      3.34%
        3.15         3.3           25.989242       0.234011        24.714604       0.205017        26.809386       0.262689        -4.90%      3.16%
         3.3        3.45           23.752697       0.352223        22.570983       0.312572        24.519199       0.390823        -4.98%      3.23%
        3.45         3.6           21.660946       0.338289        20.532830       0.305633        22.420007       0.368530        -5.21%      3.50%
         3.6        3.75           18.755729       0.230930        17.770455       0.209777        19.422771       0.250292        -5.25%      3.56%
        3.75         3.9           16.130199       0.207573        15.256641       0.188321        16.730251       0.225358        -5.42%      3.72%
         3.9        4.05           13.409647       0.156239        12.663171       0.137726        13.924758       0.174634        -5.57%      3.84%
        4.05         4.2           10.835000       0.147162        10.209695       0.127526        11.268768       0.167077        -5.77%      4.00%
         4.2        4.35           8.4086075       0.146862        7.9347716       0.126792        8.7193378       0.167529        -5.64%      3.70%
        4.35         4.5           6.5956850       0.107542        6.1734176      0.0918746        6.8825811       0.123648        -6.40%      4.35%
         4.5        4.65           4.8257039      0.0788777        4.5334774      0.0670620        5.0163420      0.0825118        -6.06%      3.95%
        4.65         4.8           4.2516307      0.0862458        3.9475778      0.0725987        4.4584329      0.0998599        -7.15%      4.86%
         4.8        4.95           3.3259747      0.0851978        3.1006302      0.0713945        3.4834443      0.0912845        -6.78%      4.73%
        4.95         5.1           2.9238785      0.0561908        2.7163316      0.0477799        3.0645750      0.0645461        -7.10%      4.81%
         5.1        5.25           2.3410710      0.0614338        2.1837423      0.0519423        2.4481710      0.0659814        -6.72%      4.57%
        5.25         5.4           1.8626915      0.0686966        1.7310532      0.0588779        1.9579509      0.0717157        -7.07%      5.11%
         5.4        5.55           1.3194918      0.0646260        1.2361476      0.0552869        1.3846010      0.0668895        -6.32%      4.93%
        5.55         5.7           1.0238598      0.0513231       0.95476244      0.0441319        1.0730849      0.0583013        -6.75%      4.81%
         5.7        5.85          0.65592616      0.0379895       0.61441233      0.0331845       0.68732963      0.0387064        -6.33%      4.79%
        5.85           6          0.47961206      0.0357173       0.44671570      0.0308378       0.50382282      0.0406151        -6.86%      5.05%
           6        6.15          0.22973440      0.0284616       0.21781221      0.0245476       0.23879996      0.0291483        -5.19%      3.95%
        6.15         6.3          0.14840292      0.0134259       0.13709808      0.0120505       0.15789541      0.0147013        -7.62%      6.40%
         6.3        6.45         0.065105277     0.00536789      0.060487509     0.00485491      0.068835564     0.00588639        -7.09%      5.73%
        6.45         6.6         0.017140211     0.00446121      0.016374267     0.00401116      0.017750257     0.00449543        -4.47%      3.56%
         6.6        6.75       0.00049515875     0.00668084   -0.00017963231     0.00693320     0.0011187444     0.00641667      -136.28%    125.94%
        6.75         6.9        0.0056132856     0.00382443     0.0052382849     0.00349028     0.0060784551     0.00424212        -6.68%      8.29%
         6.9        7.05       0.00033383607    0.000183466    0.00027381894    0.000155981    0.00039635745    0.000213216       -17.98%     18.73%
        7.05         7.2      -1.5321309e-05    2.10495e-05   -1.7715123e-05    2.33754e-05   -1.3391513e-05    1.91865e-05        15.62%    -12.60%
         7.2        7.35                   0              0                0              0                0              0            0%         0%
