#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6          0.21098565      0.0775969       0.19233145      0.0604747       0.23328467      0.0962298        -8.84%     10.57%
           6           8          0.79569219      0.0695585       0.78312055      0.0850922       0.80132943      0.0853256        -1.58%      0.71%
           8          10           1.3254512      0.0525850        1.2813957      0.0442037        1.3584754      0.0631663        -3.32%      2.49%
          10          12           1.4001135      0.0478245        1.3558417      0.0407823        1.4282196      0.0569795        -3.16%      2.01%
          12          14           1.3108529      0.0386511        1.2727633      0.0327727        1.3269117      0.0462989        -2.91%      1.23%
          14          16           1.3037921      0.0386869        1.2583179      0.0332041        1.3299004      0.0447335        -3.49%      2.00%
          16          18           1.1572627      0.0340348        1.1212006      0.0295877        1.1821533      0.0407695        -3.12%      2.15%
          18          20           1.0488873      0.0393155        1.0203915      0.0365941        1.0613574      0.0443448        -2.72%      1.19%
          20          22          0.90929745      0.0387004       0.88683836      0.0365839       0.92747924      0.0429974        -2.47%      2.00%
          22          24          0.93025209      0.0322573       0.89793160      0.0290337       0.95568932      0.0381080        -3.47%      2.73%
          24          26          0.81187466      0.0265398       0.78798219      0.0241902       0.83325345      0.0315172        -2.94%      2.63%
          26          28          0.73639710      0.0236982       0.71795058      0.0215543       0.75388573      0.0282122        -2.50%      2.37%
          28          30          0.73960241      0.0416802       0.71834097      0.0375238       0.75724061      0.0478133        -2.87%      2.38%
          30          32          0.67676079      0.0226523       0.65811633      0.0208223       0.68797402      0.0272193        -2.75%      1.66%
          32          34          0.67840618      0.0217806       0.65857940      0.0194547       0.69843229      0.0261109        -2.92%      2.95%
          34          36          0.65974164      0.0235422       0.64229895      0.0213176       0.66977466      0.0273160        -2.64%      1.52%
          36          38          0.70302529      0.0327044       0.68449659      0.0296578       0.72263734      0.0375515        -2.64%      2.79%
          38          40          0.81603352      0.0990741       0.79455852      0.0880291       0.84160103       0.113456        -2.63%      3.13%
          40          42          0.76111434      0.0224447       0.75152356      0.0208598       0.77110643      0.0271143        -1.26%      1.31%
          42          44          0.81175347      0.0280477       0.79908998      0.0268850       0.81547605      0.0327825        -1.56%      0.46%
          44          46          0.88245664      0.0263563       0.86241460      0.0245386       0.89257166      0.0281368        -2.27%      1.15%
          46          48          0.93812171      0.0265042       0.91964009      0.0246240       0.94919608      0.0285556        -1.97%      1.18%
          48          50           1.0351771      0.0324143        1.0176701      0.0302839        1.0409626      0.0346141        -1.69%      0.56%
          50          52           1.1041096      0.0565277        1.0887163      0.0641017        1.1214509      0.0504511        -1.39%      1.57%
          52          54           1.2359806      0.0346570        1.2232269      0.0328315        1.2429545      0.0322030        -1.03%      0.56%
          54          56           1.4154720      0.0342143        1.3999897      0.0322035        1.4233329      0.0403567        -1.09%      0.56%
          56          58           1.5491160      0.0387704        1.5344364      0.0365127        1.5621512      0.0365039        -0.95%      0.84%
          58          60           1.6741246      0.0449819        1.6580534      0.0429229        1.6856816      0.0425353        -0.96%      0.69%
          60          62           1.8020333      0.0462567        1.7770310      0.0439763        1.8138147      0.0486373        -1.39%      0.65%
          62          64           2.0080527      0.0537743        1.9853262      0.0513789        2.0183472      0.0616848        -1.13%      0.51%
          64          66           1.8904110      0.0459586        1.8664978      0.0440634        1.9102894      0.0426744        -1.26%      1.05%
          66          68           2.0813126      0.0439034        2.0471688      0.0411570        2.0993911      0.0467584        -1.64%      0.87%
          68          70           2.0543950      0.0492414        2.0408405      0.0565960        2.0702026      0.0464534        -0.66%      0.77%
          70          72           2.1400274      0.0538537        2.1151485      0.0514886        2.1565822      0.0505314        -1.16%      0.77%
          72          74           2.1752396      0.0527964        2.1513111      0.0502836        2.1917352      0.0602692        -1.10%      0.76%
          74          76           2.0664084      0.0545487        2.0446741      0.0519864        2.0892526      0.0513589        -1.05%      1.11%
          76          78           2.0292139      0.0512560        2.0028683      0.0493051        2.0498002      0.0475605        -1.30%      1.01%
          78          80           1.9674762      0.0475465        1.9526063      0.0451306        1.9740385      0.0524688        -0.76%      0.33%
          80          82           1.7719856      0.0444049        1.7552544      0.0518926        1.7851438      0.0413843        -0.94%      0.74%
          82          84           1.5727398      0.0477648        1.5669261      0.0493283        1.5792147      0.0521163        -0.37%      0.41%
          84          86           1.3543671      0.0372460        1.3421825      0.0340289        1.3780284      0.0418939        -0.90%      1.75%
          86          88           1.5272820      0.0546609        1.5115118      0.0496815        1.5540323      0.0613858        -1.03%      1.75%
          88          90           3.6545779      0.0872049        3.5916891      0.0809399        3.7243436      0.0966310        -1.72%      1.91%
          90          92           8.6851113       0.187008        8.5713807       0.169524        8.7965576       0.212092        -1.31%      1.28%
          92          94           2.9541236      0.0723294        2.9129368      0.0671833        3.0229189      0.0806061        -1.39%      2.33%
          94          96          0.77116508      0.0777043       0.75121273      0.0904473       0.79539004      0.0655590        -2.59%      3.14%
          96          98          0.39426916      0.0236322       0.39201181      0.0205143       0.39610211      0.0272439        -0.57%      0.46%
          98         100          0.18827668      0.0238553       0.18701305      0.0238884       0.18985821      0.0230524        -0.67%      0.84%
         100         102          0.18517299      0.0155081       0.17982552      0.0140966       0.19197543      0.0176594        -2.89%      3.67%
         102         104          0.15524073      0.0118483       0.15070390      0.0103581       0.16083600      0.0140435        -2.92%      3.60%
         104         106          0.10164612      0.0102828      0.099413487     0.00979765       0.10307615      0.0107576        -2.20%      1.41%
         106         108         0.090469087     0.00814190      0.087403927     0.00721012      0.094793226     0.00914997        -3.39%      4.78%
         108         110         0.078817632     0.00760664      0.076376475     0.00688356      0.082630710     0.00877801        -3.10%      4.84%
         110         112         0.057338342     0.00668958      0.055818674     0.00696202      0.058721232     0.00645706        -2.65%      2.41%
         112         114         0.058512297     0.00623940      0.056717002     0.00716133      0.059776429     0.00665453        -3.07%      2.16%
         114         116         0.045172763     0.00760403      0.044675653     0.00750291      0.045470492     0.00920917        -1.10%      0.66%
         116         118         0.055159293     0.00639544      0.052401563     0.00555286      0.058776615     0.00768547        -5.00%      6.56%
         118         120         0.036716516     0.00578973      0.036079079     0.00509025      0.037951112     0.00688916        -1.74%      3.36%
         120         122         0.070520079      0.0324524      0.065124365      0.0281291      0.077526504      0.0382167        -7.65%      9.94%
         122         124         0.016461608     0.00560238      0.014148103     0.00699655      0.018081735     0.00462321       -14.05%      9.84%
         124         126         0.034930417      0.0105090      0.032918741     0.00838223      0.037686962      0.0139045        -5.76%      7.89%
         126         128         0.020817377     0.00390515      0.020133850     0.00368862      0.021333918     0.00411881        -3.28%      2.48%
         128         130         0.024250572     0.00993553      0.022571627     0.00877775      0.026579016      0.0115403        -6.92%      9.60%
         130         132         0.013415479     0.00348910      0.013134798     0.00320941      0.014056244     0.00391907        -2.09%      4.78%
         132         134         0.021168240      0.0106250      0.019202308      0.0102352      0.024485918      0.0125036        -9.29%     15.67%
         134         136        0.0074442300     0.00296287     0.0070540097     0.00359550     0.0076954459     0.00253790        -5.24%      3.37%
         136         138         0.010975081     0.00258381      0.010762825     0.00244540      0.011223733     0.00272337        -1.93%      2.27%
         138         140         0.010763524     0.00337997      0.010203162     0.00320206      0.011243787     0.00354976        -5.21%      4.46%
         140         142        0.0075454624     0.00303355     0.0070715254     0.00365204     0.0078439318     0.00262742        -6.28%      3.96%
         142         144        0.0089493925     0.00222883     0.0081314244     0.00188927      0.010081890     0.00272807        -9.14%     12.65%
         144         146        0.0084934458     0.00551175     0.0082343364     0.00654701     0.0086341121     0.00564965        -3.05%      1.66%
         146         148        0.0072695744     0.00203968     0.0068743945     0.00166458     0.0077920487     0.00258388        -5.44%      7.19%
         148         150        0.0042737067     0.00153507     0.0041622806     0.00126489     0.0044202180     0.00193093        -2.61%      3.43%
         150         152        0.0027789182     0.00167678     0.0024687675     0.00196080     0.0030207607     0.00147962       -11.16%      8.70%
         152         154        0.0029258716     0.00137214     0.0027937315     0.00139930     0.0030824936     0.00155615        -4.52%      5.35%
         154         156        0.0056759519     0.00155333     0.0049923344     0.00136715     0.0065812543     0.00181972       -12.04%     15.95%
         156         158        0.0078442347     0.00449107     0.0069231664     0.00386820     0.0090055252     0.00531374       -11.74%     14.80%
         158         160        0.0039834813     0.00210220     0.0035667759     0.00174609     0.0045426778     0.00259607       -10.46%     14.04%
         160         162       0.00024153805    0.000823927    0.00012059666     0.00101404    0.00032747392    0.000838698       -50.07%     35.58%
         162         164        0.0016810210    0.000585261     0.0015231097    0.000479946     0.0018990160    0.000741070        -9.39%     12.97%
         164         166        0.0062969843     0.00339587     0.0057891793     0.00311220     0.0069340145     0.00374431        -8.06%     10.12%
         166         168       6.9640439e-05    0.000565871   -4.3867519e-05    0.000617003    0.00020006185    0.000524706      -162.99%    187.28%
