#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14                   0              0                0              0                0              0            0%         0%
          14          16                   0              0                0              0                0              0            0%         0%
          16          18                   0              0                0              0                0              0            0%         0%
          18          20                   0              0                0              0                0              0            0%         0%
          20          22                   0              0                0              0                0              0            0%         0%
          22          24                   0              0                0              0                0              0            0%         0%
          24          26                   0              0                0              0                0              0            0%         0%
          26          28                   0              0                0              0                0              0            0%         0%
          28          30                   0              0                0              0                0              0            0%         0%
          30          32                   0              0                0              0                0              0            0%         0%
          32          34                   0              0                0              0                0              0            0%         0%
          34          36                   0              0                0              0                0              0            0%         0%
          36          38                   0              0                0              0                0              0            0%         0%
          38          40                   0              0                0              0                0              0            0%         0%
          40          42                   0              0                0              0                0              0            0%         0%
          42          44                   0              0                0              0                0              0            0%         0%
          44          46                   0              0                0              0                0              0            0%         0%
          46          48                   0              0                0              0                0              0            0%         0%
          48          50                   0              0                0              0                0              0            0%         0%
          50          52                   0              0                0              0                0              0            0%         0%
          52          54                   0              0                0              0                0              0            0%         0%
          54          56                   0              0                0              0                0              0            0%         0%
          56          58                   0              0                0              0                0              0            0%         0%
          58          60                   0              0                0              0                0              0            0%         0%
          60          62                   0              0                0              0                0              0            0%         0%
          62          64                   0              0                0              0                0              0            0%         0%
          64          66                   0              0                0              0                0              0            0%         0%
          66          68       0.00025760624    5.02260e-06    0.00021508304    4.22488e-06    0.00030415516    5.88980e-06       -16.51%     18.07%
          68          70       0.00023994178    4.85016e-06    0.00020056360    4.08133e-06    0.00028298835    5.68556e-06       -16.41%     17.94%
          70          72       0.00023514776    5.29252e-06    0.00019660427    4.46804e-06    0.00027726787    6.18441e-06       -16.39%     17.91%
          72          74       0.00021381713    4.77213e-06    0.00017871431    4.01203e-06    0.00025218899    5.59870e-06       -16.42%     17.95%
          74          76       0.00020964249    4.92328e-06    0.00017538784    4.17307e-06    0.00024704795    5.73260e-06       -16.34%     17.84%
          76          78       0.00019076030    4.27933e-06    0.00015943223    3.59723e-06    0.00022501033    5.02153e-06       -16.42%     17.95%
          78          80       0.00019393845    4.54300e-06    0.00016231776    3.83595e-06    0.00022844763    5.30799e-06       -16.30%     17.79%
          80          82       0.00018661027    4.31019e-06    0.00015611256    3.62935e-06    0.00021991293    5.04927e-06       -16.34%     17.85%
          82          84       0.00020131703    4.61361e-06    0.00016848654    3.89076e-06    0.00023714410    5.39672e-06       -16.31%     17.80%
          84          86       0.00019396119    4.26184e-06    0.00016220922    3.58297e-06    0.00022864242    4.99988e-06       -16.37%     17.88%
          86          88       0.00023467518    4.69080e-06    0.00019601552    3.93338e-06    0.00027695962    5.51691e-06       -16.47%     18.02%
          88          90       0.00039342882    5.83067e-06    0.00032787669    4.85690e-06    0.00046531181    6.89985e-06       -16.66%     18.27%
          90          92       0.00093217444    8.99333e-06    0.00077560721    7.47122e-06     0.0011041635    1.06688e-05       -16.80%     18.45%
          92          94       0.00045903616    6.22466e-06    0.00038267950    5.18612e-06    0.00054272863    7.36451e-06       -16.63%     18.23%
          94          96       0.00022255715    4.45576e-06    0.00018615887    3.74083e-06    0.00026230238    5.23432e-06       -16.35%     17.86%
          96          98       0.00016024344    3.81199e-06    0.00013412418    3.20000e-06    0.00018873677    4.47805e-06       -16.30%     17.78%
          98         100       0.00013961691    3.79226e-06    0.00011712172    3.19488e-06    0.00016409336    4.43966e-06       -16.11%     17.53%
         100         102       0.00012328350    3.94315e-06    0.00010351766    3.33330e-06    0.00014476328    4.60146e-06       -16.03%     17.42%
         102         104       0.00011739876    3.29890e-06    9.8615829e-05    2.78397e-06    0.00013780070    3.85601e-06       -16.00%     17.38%
         104         106       0.00010693855    3.13324e-06    8.9822613e-05    2.64061e-06    0.00012553087    3.66672e-06       -16.01%     17.39%
         106         108       9.9055861e-05    2.87391e-06    8.3194509e-05    2.42263e-06    0.00011628593    3.36259e-06       -16.01%     17.39%
         108         110       9.9632193e-05    3.26383e-06    8.3809466e-05    2.76206e-06    0.00011678958    3.80444e-06       -15.88%     17.22%
         110         112       9.4769658e-05    3.11824e-06    7.9814996e-05    2.64970e-06    0.00011096181    3.62109e-06       -15.78%     17.09%
         112         114       8.4457285e-05    2.61403e-06    7.1036665e-05    2.20691e-06    9.9009619e-05    3.05399e-06       -15.89%     17.23%
         114         116       8.4602586e-05    2.88610e-06    7.1202958e-05    2.44583e-06    9.9121120e-05    3.35975e-06       -15.84%     17.16%
         116         118                   0              0                0              0                0              0            0%         0%
         118         120                   0              0                0              0                0              0            0%         0%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
