#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14                   0              0                0              0                0              0            0%         0%
          14          16                   0              0                0              0                0              0            0%         0%
          16          18                   0              0                0              0                0              0            0%         0%
          18          20                   0              0                0              0                0              0            0%         0%
          20          22                   0              0                0              0                0              0            0%         0%
          22          24                   0              0                0              0                0              0            0%         0%
          24          26                   0              0                0              0                0              0            0%         0%
          26          28                   0              0                0              0                0              0            0%         0%
          28          30                   0              0                0              0                0              0            0%         0%
          30          32                   0              0                0              0                0              0            0%         0%
          32          34                   0              0                0              0                0              0            0%         0%
          34          36                   0              0                0              0                0              0            0%         0%
          36          38                   0              0                0              0                0              0            0%         0%
          38          40                   0              0                0              0                0              0            0%         0%
          40          42                   0              0                0              0                0              0            0%         0%
          42          44                   0              0                0              0                0              0            0%         0%
          44          46                   0              0                0              0                0              0            0%         0%
          46          48                   0              0                0              0                0              0            0%         0%
          48          50                   0              0                0              0                0              0            0%         0%
          50          52                   0              0                0              0                0              0            0%         0%
          52          54                   0              0                0              0                0              0            0%         0%
          54          56                   0              0                0              0                0              0            0%         0%
          56          58                   0              0                0              0                0              0            0%         0%
          58          60                   0              0                0              0                0              0            0%         0%
          60          62                   0              0                0              0                0              0            0%         0%
          62          64                   0              0                0              0                0              0            0%         0%
          64          66                   0              0                0              0                0              0            0%         0%
          66          68         0.030463987     0.00112441      0.029058595     0.00105035      0.031586929     0.00118851        -4.61%      3.69%
          68          70         0.032353214     0.00115672      0.031170711     0.00110557      0.033247968     0.00119978        -3.65%      2.77%
          70          72         0.037897806     0.00125094      0.036248126     0.00118593      0.039194516     0.00130522        -4.35%      3.42%
          72          74         0.044823002     0.00143844      0.042928101     0.00135525      0.046311103     0.00150877        -4.23%      3.32%
          74          76         0.054178158     0.00145064      0.051969204     0.00137202      0.055904087     0.00151681        -4.08%      3.19%
          76          78         0.067018169     0.00174152      0.064411004     0.00164988      0.069074422     0.00181789        -3.89%      3.07%
          78          80         0.083615251     0.00201187      0.080418376     0.00190688      0.086115330     0.00210012        -3.82%      2.99%
          80          82          0.11609198     0.00255014       0.11196676     0.00241537       0.11925964     0.00266243        -3.55%      2.73%
          82          84          0.16629545     0.00312333       0.16095964     0.00297395       0.17039312     0.00324807        -3.21%      2.46%
          84          86          0.27245921     0.00477680       0.26422010     0.00453907       0.27899950     0.00482290        -3.02%      2.40%
          86          88          0.53149510     0.00701926       0.51799998     0.00665800       0.54579270     0.00712588        -2.54%      2.69%
          88          90           1.5277089      0.0118108        1.4911887      0.0116488        1.5729440      0.0120302        -2.39%      2.96%
          90          92           4.3341402      0.0193930        4.2174748      0.0190636        4.4786457      0.0198375        -2.69%      3.33%
          92          94           1.8453580      0.0128097        1.7946010      0.0126269        1.9082272      0.0130572        -2.75%      3.41%
          94          96          0.54251444     0.00689024       0.52766509     0.00680002       0.56090732     0.00701250        -2.74%      3.39%
          96          98          0.25709239     0.00596285       0.25048326     0.00578130       0.26527866     0.00620400        -2.57%      3.18%
          98         100          0.14170837     0.00328797       0.13778377     0.00324719       0.14656951     0.00334328        -2.77%      3.43%
         100         102         0.096100847     0.00259252      0.093408916     0.00255927      0.099435159     0.00263758        -2.80%      3.47%
         102         104         0.067122600     0.00198462      0.065391314     0.00196808      0.069267028     0.00200717        -2.58%      3.19%
         104         106         0.052410673     0.00147879      0.051082816     0.00145878      0.054055399     0.00150589        -2.53%      3.14%
         106         108         0.041399962     0.00149254      0.040337737     0.00147858      0.042715668     0.00151154        -2.57%      3.18%
         108         110         0.028777706     0.00121190      0.028045307     0.00118546      0.029684880     0.00124737        -2.55%      3.15%
         110         112         0.025323093    0.000873085      0.024632024    0.000862683      0.026179074    0.000887199        -2.73%      3.38%
         112         114         0.022536983    0.000710152      0.021945336    0.000702678      0.023269816    0.000720311        -2.63%      3.25%
         114         116         0.019937772    0.000837869      0.019466519    0.000822029      0.020521481    0.000859188        -2.36%      2.93%
         116         118                   0              0                0              0                0              0            0%         0%
         118         120                   0              0                0              0                0              0            0%         0%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
