#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10       0.00026311329    2.95399e-05    5.7695348e-05    3.19245e-05    0.00043554108    2.72188e-05       -78.07%     65.53%
          10          20       0.00032256418    7.94174e-06    0.00029186641    7.64866e-06    0.00035262538    8.24187e-06        -9.52%      9.32%
          20          30       0.00017171512    4.14856e-06    0.00015571667    3.92944e-06    0.00018726900    4.36738e-06        -9.32%      9.06%
          30          40       0.00010974526    3.18462e-06    9.9839379e-05    3.05479e-06    0.00011933446    3.31897e-06        -9.03%      8.74%
          40          50       7.6887769e-05    1.97642e-06    6.9730627e-05    1.82963e-06    8.3784268e-05    2.11998e-06        -9.31%      8.97%
          50          60       6.0199053e-05    2.21545e-06    5.4805715e-05    2.07296e-06    6.5371162e-05    2.34874e-06        -8.96%      8.59%
          60          70       4.6875718e-05    1.67104e-06    4.2686390e-05    1.55789e-06    5.0884728e-05    1.78098e-06        -8.94%      8.55%
          70          80       3.6809654e-05    1.28042e-06    3.3564471e-05    1.18182e-06    3.9904264e-05    1.37584e-06        -8.82%      8.41%
          80          90       3.1787703e-05    1.55039e-06    2.9112850e-05    1.52069e-06    3.4337302e-05    1.58780e-06        -8.41%      8.02%
          90         100       2.6603130e-05    2.43627e-06    2.4661750e-05    2.43776e-06    2.8447922e-05    2.43642e-06        -7.30%      6.93%
         100         110       2.1488301e-05    9.36489e-07    1.9756272e-05    8.73526e-07    2.3125930e-05    9.96700e-07        -8.06%      7.62%
         110         120       1.7207037e-05    9.25554e-07    1.5902409e-05    8.78168e-07    1.8439763e-05    9.71581e-07        -7.58%      7.16%
         120         130       1.3897692e-05    8.35497e-07    1.2799891e-05    7.73612e-07    1.4930570e-05    8.94113e-07        -7.90%      7.43%
         130         140       1.1645665e-05    6.43953e-07    1.0765010e-05    6.05741e-07    1.2470972e-05    6.80743e-07        -7.56%      7.09%
         140         150       1.0687233e-05    6.58381e-07    9.8840888e-06    6.14470e-07    1.1439588e-05    7.00059e-07        -7.51%      7.04%
         150         160       9.5018641e-06    7.67132e-07    8.7870840e-06    7.12749e-07    1.0168377e-05    8.18536e-07        -7.52%      7.01%
         160         170       7.4500040e-06    5.57737e-07    6.9191351e-06    5.25356e-07    7.9463156e-06    5.88850e-07        -7.13%      6.66%
         170         180       6.3621831e-06    4.38208e-07    5.8817872e-06    4.07834e-07    6.8087166e-06    4.66858e-07        -7.55%      7.02%
         180         190       5.1416866e-06    6.55098e-07    4.7852850e-06    6.17342e-07    5.4704793e-06    6.89403e-07        -6.93%      6.39%
         190         200       4.9214025e-06    5.30234e-07    4.6081694e-06    5.03263e-07    5.2114302e-06    5.56092e-07        -6.36%      5.89%
         200         210       3.6850052e-06    4.10437e-07    3.4362632e-06    3.83514e-07    3.9146503e-06    4.35728e-07        -6.75%      6.23%
         210         220       3.3233594e-06    2.85986e-07    3.1061437e-06    2.67584e-07    3.5234660e-06    3.03122e-07        -6.54%      6.02%
         220         230       2.6434434e-06    2.65031e-07    2.4665510e-06    2.47434e-07    2.8055722e-06    2.81308e-07        -6.69%      6.13%
         230         240       2.7259659e-06    3.46557e-07    2.5703538e-06    3.31313e-07    2.8677465e-06    3.60442e-07        -5.71%      5.20%
         240         250       1.9767534e-06    2.29136e-07    1.8787375e-06    2.21860e-07    2.0663903e-06    2.36267e-07        -4.96%      4.53%
         250         260       2.0904711e-06    2.66484e-07    1.9676035e-06    2.52107e-07    2.2026607e-06    2.79943e-07        -5.88%      5.37%
         260         270       1.5323709e-06    2.00925e-07    1.4413927e-06    1.90092e-07    1.6157119e-06    2.11100e-07        -5.94%      5.44%
         270         280       1.4105677e-06    2.27558e-07    1.3414640e-06    2.20799e-07    1.4726188e-06    2.33750e-07        -4.90%      4.40%
         280         290       9.5783337e-07    1.30332e-07    9.0501218e-07    1.24010e-07    1.0058601e-06    1.36219e-07        -5.51%      5.01%
         290         300       1.3827050e-06    2.19311e-07    1.3155991e-06    2.09647e-07    1.4434134e-06    2.28374e-07        -4.85%      4.39%
         300         310       1.5080171e-06    3.15294e-07    1.4492009e-06    3.06395e-07    1.5612854e-06    3.23660e-07        -3.90%      3.53%
         310         320       7.3816567e-07    1.14147e-07    7.0157411e-07    1.08910e-07    7.7071541e-07    1.18861e-07        -4.96%      4.41%
         320         330       1.0393916e-06    1.97078e-07    9.8664857e-07    1.88342e-07    1.0866883e-06    2.05051e-07        -5.07%      4.55%
         330         340       7.2956840e-07    1.52659e-07    6.9146634e-07    1.44009e-07    7.6339609e-07    1.60353e-07        -5.22%      4.64%
         340         350       8.5705959e-07    1.79940e-07    8.2514123e-07    1.75633e-07    8.8567175e-07    1.84063e-07        -3.72%      3.34%
         350         360       5.9147828e-07    1.27918e-07    5.5713903e-07    1.19980e-07    6.2237028e-07    1.35180e-07        -5.81%      5.22%
         360         370       5.0220539e-07    1.76836e-07    4.8403829e-07    1.73594e-07    5.1853240e-07    1.79847e-07        -3.62%      3.25%
         370         380       3.8191217e-07    9.58871e-08    3.5980674e-07    8.85845e-08    4.0128620e-07    1.02364e-07        -5.79%      5.07%
         380         390       3.1837164e-07    6.09017e-08    3.0423784e-07    5.86562e-08    3.3088963e-07    6.29410e-08        -4.44%      3.93%
         390         400       4.6851184e-07    1.18814e-07    4.5301880e-07    1.15286e-07    4.8194604e-07    1.21872e-07        -3.31%      2.87%
         400         410       3.6572543e-07    1.09814e-07    3.5367617e-07    1.06549e-07    3.7651695e-07    1.12845e-07        -3.29%      2.95%
         410         420       2.8724949e-07    7.33296e-08    2.7687859e-07    7.11417e-08    2.9618356e-07    7.53774e-08        -3.61%      3.11%
         420         430       5.6919620e-07    1.89918e-07    5.4769797e-07    1.83059e-07    5.8801590e-07    1.95954e-07        -3.78%      3.31%
         430         440       3.5437849e-07    1.03351e-07    3.3698535e-07    9.70895e-08    3.6964730e-07    1.08929e-07        -4.91%      4.31%
         440         450       2.2902123e-07    6.50051e-08    2.1748025e-07    6.19630e-08    2.3909989e-07    6.76657e-08        -5.04%      4.40%
         450         460       1.7288736e-07    5.08584e-08    1.6528464e-07    4.85011e-08    1.7944315e-07    5.28982e-08        -4.40%      3.79%
         460         470       3.4216510e-07    1.19990e-07    3.3177529e-07    1.16000e-07    3.5112559e-07    1.23526e-07        -3.04%      2.62%
         470         480       1.7015568e-07    4.24489e-08    1.6446929e-07    4.09868e-08    1.7508160e-07    4.37407e-08        -3.34%      2.89%
         480         490       1.8356381e-07    6.10610e-08    1.7657727e-07    5.87146e-08    1.8962474e-07    6.31067e-08        -3.81%      3.30%
         490         500       2.6659246e-07    1.41150e-07    2.5536324e-07    1.34316e-07    2.7642543e-07    1.47186e-07        -4.21%      3.69%
