#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          10           1.4632089     0.00418195        1.3622769     0.00395002        1.5469038     0.00437062        -6.90%      5.72%
          10          20         0.041606257    0.000638581      0.038860326    0.000601175      0.043860496    0.000668962        -6.60%      5.42%
          20          30         0.011108596    0.000303233      0.010455583    0.000287931      0.011634287    0.000315339        -5.88%      4.73%
          30          40        0.0036341981    0.000147727     0.0034539704    0.000141804     0.0037743760    0.000152177        -4.96%      3.86%
          40          50        0.0016772717    0.000130263     0.0016184364    0.000129737     0.0017196935    0.000129992        -3.51%      2.53%
          50          60       0.00076927433    5.80285e-05    0.00074504382    5.70636e-05    0.00078620064    5.85836e-05        -3.15%      2.20%
          60          70       0.00047354747    4.08955e-05    0.00045840307    3.97590e-05    0.00048403222    4.16494e-05        -3.20%      2.21%
          70          80       0.00027702052    2.82930e-05    0.00027038302    2.78717e-05    0.00028115714    2.84877e-05        -2.40%      1.49%
          80          90       0.00018897180    2.39748e-05    0.00018531617    2.37925e-05    0.00019101681    2.39893e-05        -1.93%      1.08%
          90         100       0.00018247177    2.39119e-05    0.00018021726    2.40523e-05    0.00018338229    2.36886e-05        -1.24%      0.50%
         100         110       0.00012461561    1.74551e-05    0.00012222307    1.71615e-05    0.00012597234    1.76211e-05        -1.92%      1.09%
         110         120       0.00010574356    1.74445e-05    0.00010486845    1.77574e-05    0.00010586546    1.70844e-05        -0.83%      0.12%
         120         130       8.6176101e-05    1.46960e-05    8.5101609e-05    1.45792e-05    8.6591796e-05    1.47169e-05        -1.25%      0.48%
         130         140       4.9975113e-05    9.52955e-06    4.9053869e-05    9.34412e-06    5.0465187e-05    9.63444e-06        -1.84%      0.98%
         140         150       3.9120396e-05    8.84320e-06    3.8571902e-05    8.66492e-06    3.9355568e-05    8.94668e-06        -1.40%      0.60%
         150         160       4.7796425e-05    1.56973e-05    4.6912117e-05    1.50681e-05    4.8472189e-05    1.63274e-05        -1.85%      1.41%
         160         170       2.9874891e-05    7.17953e-06    2.9367356e-05    6.99605e-06    3.0299423e-05    7.37229e-06        -1.70%      1.42%
         170         180       3.5100919e-05    1.01190e-05    3.4491130e-05    9.90012e-06    3.5538754e-05    1.02979e-05        -1.74%      1.25%
         180         190       1.6432143e-05    5.31380e-06    1.6257820e-05    5.23078e-06    1.6510952e-05    5.36973e-06        -1.06%      0.48%
         190         200       1.1270578e-05    4.75677e-06    1.1052024e-05    4.55834e-06    1.1447259e-05    4.95889e-06        -1.94%      1.57%
         200         210       1.4465852e-05    4.93000e-06    1.4381118e-05    4.90506e-06    1.4465852e-05    4.93000e-06        -0.59%   0.00000%
         210         220       1.0274799e-05    3.82754e-06    1.0098213e-05    3.76771e-06    1.0409606e-05    3.86994e-06        -1.72%      1.31%
         220         230       1.0483864e-05    4.16178e-06    1.0343702e-05    4.12749e-06    1.0570592e-05    4.17115e-06        -1.34%      0.83%
         230         240       2.1298021e-05    9.11369e-06    2.0787221e-05    8.93754e-06    2.1751650e-05    9.26062e-06        -2.40%      2.13%
         240         250       1.5464122e-05    5.82745e-06    1.5207520e-05    5.71920e-06    1.5642747e-05    5.90817e-06        -1.66%      1.16%
         250         260       1.2655692e-05    5.03689e-06    1.2357267e-05    4.90763e-06    1.2913692e-05    5.15339e-06        -2.36%      2.04%
         260         270       4.7777196e-06    3.27778e-06    4.6149812e-06    3.15952e-06    4.9295248e-06    3.38999e-06        -3.41%      3.18%
         270         280       2.4602766e-06    1.72498e-06    2.3787185e-06    1.66767e-06    2.5375438e-06    1.77931e-06        -3.31%      3.14%
         280         290       1.2092128e-05    1.16060e-05    1.1545748e-05    1.10770e-05    1.2655984e-05    1.21531e-05        -4.52%      4.66%
         290         300       1.2917234e-06    7.71549e-07    1.2692577e-06    7.56703e-07    1.3081894e-06    7.83148e-07        -1.74%      1.27%
         300         310       5.6455257e-06    3.86651e-06    5.6037897e-06    3.84026e-06    5.6516494e-06    3.86787e-06        -0.74%      0.11%
         310         320       5.5251993e-06    4.04968e-06    5.2469964e-06    3.84724e-06    5.8172007e-06    4.26140e-06        -5.04%      5.28%
         320         330       1.1065138e-06    1.10652e-06    1.0965597e-06    1.09656e-06    1.1097273e-06    1.10973e-06        -0.90%      0.29%
         330         340       5.6820728e-07    5.45930e-07    5.5366383e-07    5.32640e-07    5.8117814e-07    5.57551e-07        -2.56%      2.28%
         340         350                   0              0                0              0                0              0            0%         0%
         350         360       2.7927372e-05    1.63536e-05    2.6543136e-05    1.55164e-05    2.9364127e-05    1.72260e-05        -4.96%      5.14%
         360         370       7.2769542e-07    7.27697e-07    6.4693489e-07    6.46937e-07    8.1651448e-07    8.16517e-07       -11.10%     12.21%
         370         380       9.5632035e-06    6.76498e-06    9.0297408e-06    6.38894e-06    1.0129575e-05    7.16308e-06        -5.58%      5.92%
         380         390       1.5954791e-05    1.41902e-05    1.4853109e-05    1.32000e-05    1.7171597e-05    1.52853e-05        -6.91%      7.63%
         390         400                   0              0                0              0                0              0            0%         0%
         400         410       1.0953325e-09    1.09534e-09    8.4055114e-10    8.40554e-10    1.3030065e-09    1.30301e-09       -23.26%     18.96%
