#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           2                   0              0                0              0                0              0            0%         0%
           2           4                   0              0                0              0                0              0            0%         0%
           4           6                   0              0                0              0                0              0            0%         0%
           6           8                   0              0                0              0                0              0            0%         0%
           8          10                   0              0                0              0                0              0            0%         0%
          10          12                   0              0                0              0                0              0            0%         0%
          12          14                   0              0                0              0                0              0            0%         0%
          14          16                   0              0                0              0                0              0            0%         0%
          16          18                   0              0                0              0                0              0            0%         0%
          18          20                   0              0                0              0                0              0            0%         0%
          20          22                   0              0                0              0                0              0            0%         0%
          22          24                   0              0                0              0                0              0            0%         0%
          24          26                   0              0                0              0                0              0            0%         0%
          26          28                   0              0                0              0                0              0            0%         0%
          28          30                   0              0                0              0                0              0            0%         0%
          30          32                   0              0                0              0                0              0            0%         0%
          32          34                   0              0                0              0                0              0            0%         0%
          34          36                   0              0                0              0                0              0            0%         0%
          36          38                   0              0                0              0                0              0            0%         0%
          38          40                   0              0                0              0                0              0            0%         0%
          40          42                   0              0                0              0                0              0            0%         0%
          42          44                   0              0                0              0                0              0            0%         0%
          44          46                   0              0                0              0                0              0            0%         0%
          46          48                   0              0                0              0                0              0            0%         0%
          48          50                   0              0                0              0                0              0            0%         0%
          50          52                   0              0                0              0                0              0            0%         0%
          52          54                   0              0                0              0                0              0            0%         0%
          54          56                   0              0                0              0                0              0            0%         0%
          56          58                   0              0                0              0                0              0            0%         0%
          58          60                   0              0                0              0                0              0            0%         0%
          60          62                   0              0                0              0                0              0            0%         0%
          62          64                   0              0                0              0                0              0            0%         0%
          64          66                   0              0                0              0                0              0            0%         0%
          66          68         0.018773866    0.000814982      0.018182780    0.000759277      0.019281729    0.000823983        -3.15%      2.71%
          68          70         0.020149515    0.000734295      0.019688870    0.000724121      0.020720086    0.000748070        -2.29%      2.83%
          70          72         0.022558748    0.000781479      0.021964071    0.000742774      0.023206889    0.000813165        -2.64%      2.87%
          72          74         0.027825924    0.000791357      0.027076618    0.000756424      0.028678613    0.000810419        -2.69%      3.06%
          74          76         0.034961687    0.000894597      0.034113605    0.000860607      0.035976640    0.000912928        -2.43%      2.90%
          76          78         0.044531260     0.00107777      0.043433232     0.00106111      0.045891313     0.00110028        -2.47%      3.05%
          78          80         0.057045190     0.00123614      0.055700057     0.00119222      0.058701918     0.00125970        -2.36%      2.90%
          80          82         0.079871591     0.00155245      0.077997520     0.00151023      0.082192876     0.00160873        -2.35%      2.91%
          82          84          0.12544460     0.00206554       0.12234967     0.00202325       0.12927808     0.00212235        -2.47%      3.06%
          84          86          0.22328929     0.00321925       0.21800904     0.00316890       0.22982957     0.00328727        -2.36%      2.93%
          86          88          0.47119492     0.00524825       0.45965187     0.00514278       0.48549253     0.00539001        -2.45%      3.03%
          88          90           1.5354770     0.00959297        1.4989568     0.00939275        1.5807121     0.00986183        -2.38%      2.95%
          90          92           4.8176229      0.0164228        4.7009575      0.0160324        4.9621284      0.0169454        -2.42%      3.00%
          92          94           2.1027371      0.0110139        2.0519802      0.0108007        2.1656063      0.0113008        -2.41%      2.99%
          94          96          0.61203709     0.00609406       0.59718775     0.00599187       0.63042998     0.00623196        -2.43%      3.01%
          96          98          0.28031210     0.00509997       0.27370298     0.00488646       0.28849838     0.00537994        -2.36%      2.92%
          98         100          0.15653953     0.00267803       0.15261492     0.00262780       0.16140067     0.00274566        -2.51%      3.11%
         100         102          0.10615485     0.00211523       0.10346292     0.00207435       0.10948916     0.00217023        -2.54%      3.14%
         102         104         0.074160261     0.00145811      0.072428975     0.00143551      0.076304689     0.00148865        -2.33%      2.89%
         104         106         0.056804622     0.00120433      0.055476766     0.00117967      0.058449348     0.00123746        -2.34%      2.90%
         106         108         0.044736117     0.00103165      0.043673893     0.00101135      0.046051823     0.00105895        -2.37%      2.94%
         108         110         0.033083309    0.000918887      0.032350909    0.000883723      0.033990483    0.000965183        -2.21%      2.74%
         110         112         0.028209971    0.000681109      0.027518902    0.000667723      0.029065952    0.000699110        -2.45%      3.03%
         112         114         0.024107855    0.000584308      0.023516208    0.000575201      0.024840688    0.000596613        -2.45%      3.04%
         114         116         0.021858658    0.000720973      0.021387405    0.000702503      0.022442367    0.000745642        -2.16%      2.67%
         116         118                   0              0                0              0                0              0            0%         0%
         118         120                   0              0                0              0                0              0            0%         0%
         120         122                   0              0                0              0                0              0            0%         0%
         122         124                   0              0                0              0                0              0            0%         0%
         124         126                   0              0                0              0                0              0            0%         0%
         126         128                   0              0                0              0                0              0            0%         0%
         128         130                   0              0                0              0                0              0            0%         0%
         130         132                   0              0                0              0                0              0            0%         0%
         132         134                   0              0                0              0                0              0            0%         0%
         134         136                   0              0                0              0                0              0            0%         0%
         136         138                   0              0                0              0                0              0            0%         0%
         138         140                   0              0                0              0                0              0            0%         0%
         140         142                   0              0                0              0                0              0            0%         0%
         142         144                   0              0                0              0                0              0            0%         0%
         144         146                   0              0                0              0                0              0            0%         0%
         146         148                   0              0                0              0                0              0            0%         0%
         148         150                   0              0                0              0                0              0            0%         0%
         150         152                   0              0                0              0                0              0            0%         0%
         152         154                   0              0                0              0                0              0            0%         0%
         154         156                   0              0                0              0                0              0            0%         0%
         156         158                   0              0                0              0                0              0            0%         0%
         158         160                   0              0                0              0                0              0            0%         0%
         160         162                   0              0                0              0                0              0            0%         0%
         162         164                   0              0                0              0                0              0            0%         0%
         164         166                   0              0                0              0                0              0            0%         0%
         166         168                   0              0                0              0                0              0            0%         0%
         168         170                   0              0                0              0                0              0            0%         0%
         170         172                   0              0                0              0                0              0            0%         0%
         172         174                   0              0                0              0                0              0            0%         0%
         174         176                   0              0                0              0                0              0            0%         0%
         176         178                   0              0                0              0                0              0            0%         0%
         178         180                   0              0                0              0                0              0            0%         0%
         180         182                   0              0                0              0                0              0            0%         0%
         182         184                   0              0                0              0                0              0            0%         0%
         184         186                   0              0                0              0                0              0            0%         0%
         186         188                   0              0                0              0                0              0            0%         0%
         188         190                   0              0                0              0                0              0            0%         0%
         190         192                   0              0                0              0                0              0            0%         0%
         192         194                   0              0                0              0                0              0            0%         0%
         194         196                   0              0                0              0                0              0            0%         0%
         196         198                   0              0                0              0                0              0            0%         0%
         198         200                   0              0                0              0                0              0            0%         0%
